EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,LostBallSteals,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,FTDefRebounds,DefRebounds,Rebounds,FG3APct,DefFTReboundPct,Arc3Frequency,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,AtRimAssists,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,OffRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGA,Fg2aBlocked,OffTwoPtRebounds,BadPassTurnovers,Offensive Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,ThreePtAssists,Arc3Assists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Assisted3sPct,SecondChanceFg3Pct,OffShortMidRangeReboundPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,Fg3aBlocked,PenaltyTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,PenaltyCorner3Frequency,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceTurnovers,Loose Ball Fouls,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangeAssists,ShortMidRangePctAssisted,PenaltyFtPoints,StepOutOfBoundsTurnovers,BlockedCorner3,SecondChanceFtPoints,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,Charge Fouls Drawn,LongMidRangePctBlocked,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SelfOReb,LostBallOutOfBoundsTurnovers,BlockingFouls,Charge Fouls,Offensive Fouls,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Arc3PctBlocked,Defensive 3 Seconds Violations,Travels,OffensiveGoaltends,SecondChanceCorner3PctAssisted,HeaveAttempts,3SecondViolations,Clear Path Fouls,team_id,year,season,team_vs
1626192-1627735-1627774-1627834-1628403,1610612757,"Pat Connaughton, Wade Baldwin IV, Jake Layman, Georgios Papagiannis, Caleb Swanigan","Connaughton, Baldwin IV, Layman, Papagiannis, Swanigan",1626192-1627735-1627774-1627834-1628403,POR,86.0,1,1.0,6.0,3.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,83.72093023255813,5.333333333333333,35.0,5.333333333333333,27.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5698666666666666,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1627774-1628403-203468,1610612757,"Pat Connaughton, Wade Baldwin IV, Jake Layman, Caleb Swanigan, CJ McCollum","Connaughton, Baldwin IV, Layman, Swanigan, McCollum",1626192-1627735-1627774-1628403-203468,POR,13.0,2,,,1.0,2.0,2.0,3.0,1.0,1.0,,,1.0,1.0,2.0,,2.0,,,,,,,,,,2.0,,,1.0,0.5,0.5,332.3076923076923,5.0,4.0,5.0,4.0,0.5,1.0,1.0,,,,,1.0,0.38475,1.7,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-1628403-203468,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Caleb Swanigan, CJ McCollum","Connaughton, Baldwin IV, Collins, Swanigan, McCollum",1626192-1627735-1628380-1628403-203468,POR,139.0,1,2.0,3.0,6.0,6.0,6.0,12.0,2.0,2.0,,1.0,2.0,3.0,8.0,2.0,2.0,1.0,1.0,,2.0,,,,1.0,1.0,6.0,0.5,1.0,0.6666666666666666,0.5833333333333334,0.6666666666666666,124.31654676258992,9.833333333333334,13.333333333333334,9.5,11.666666666666666,0.3333333333333333,1.0,1.0,0.16666666666666666,,,,0.8333333333333334,0.5072166666666666,7.0,3.0,3.0,5.0,3.0,,4.0,5.0,0.5,,0.5,26.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,1.0,0.625,1.0,0.625,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.25,1.0,0.5,0.5,0.3333333333333333,0.47725,0.16666666666666666,0.3333333333333333,0.25,0.625,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-1628403-203894,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Caleb Swanigan, Shabazz Napier","Connaughton, Baldwin IV, Collins, Swanigan, Napier",1626192-1627735-1628380-1628403-203894,POR,265.0,1,4.0,3.0,7.0,8.0,,15.0,2.0,5.0,,,2.0,6.0,4.0,2.0,2.0,1.0,1.0,,2.0,,,,1.0,2.0,2.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,81.50943396226414,18.285714285714285,17.125,17.857142857142858,17.125,0.8333333333333334,0.4,0.6666666666666666,,,,,0.8333333333333334,0.4277666666666667,3.0833333333333335,,,1.0,,,6.0,7.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,2.0,,,,,,,,,1.0,,2.0,4.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,0.25,,1.0,1.0,1.0,0.5,,,1.0,1.0,,,,,,,,,0.5,,,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.4,0.25,0.3333333333333333,1.0,1.0,0.16666666666666666,1.0,0.6334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-202323-202334,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Evan Turner, Ed Davis","Connaughton, Baldwin IV, Collins, Turner, Davis",1626192-1627735-1628380-202323-202334,POR,217.0,1,4.0,-6.0,6.0,6.0,,12.0,1.0,1.0,,,1.0,3.0,6.0,2.0,,1.0,2.0,,5.0,,,,,1.0,3.0,1.0,1.0,0.3333333333333333,0.5,0.5,79.63133640552995,21.333333333333332,14.833333333333334,19.0,14.833333333333334,0.2,1.0,1.0,,,,,0.6,0.52915,7.333333333333333,2.0,2.0,12.0,2.0,,,1.0,0.4,,0.4,25.55,,1.0,,,,,1.0,,,1.0,1.0,,,3.0,,,,,,,,1.0,1.0,,,,1.0,,,1.0,2.0,2.0,,1.0,,,0.5,,0.5,,,1.5,,1.5,,,,,,,0.3333333333333333,,,,,1.0,0.5,0.5,,,,,,,0.5,,0.16666666666666666,0.25,0.5,,,2.0,,1.0,,,,,0.5,,,,0.4,,0.55965,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-202334-203081,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Ed Davis, Damian Lillard","Connaughton, Baldwin IV, Collins, Davis, Lillard",1626192-1627735-1628380-202334-203081,POR,260.0,1,4.0,2.0,8.0,6.0,2.0,14.0,2.0,4.0,,,3.0,7.0,9.0,4.0,2.0,2.0,3.0,,7.0,,,,,1.0,6.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.45,0.45,77.53846153846155,21.125,15.166666666666666,17.0,14.666666666666666,0.4,0.5,0.6666666666666666,,,,,0.7,0.46621499999999994,5.042857142857143,2.0,3.0,7.0,2.0,,3.0,6.0,0.3,,0.2,25.866666666666664,6.0,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,,,2.0,3.0,1.0,2.0,1.0,3.0,5.0,,,1.0,2.0,,2.0,1.0,3.0,1.0,,1.0,1.0,,,,5.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.6666666666666666,,0.6,0.6,,,0.5,0.6666666666666666,1.0,0.5,0.5,,,0.4,0.5,0.4,0.5,0.5,0.50415,,,0.3333333333333333,0.5555555555555556,0.75,3.0,2.0,3.0,1.0,,0.2857142857142857,0.25,0.75,0.5,,,0.3,,0.4100166666666667,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-202334-203468,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Ed Davis, CJ McCollum","Connaughton, Baldwin IV, Collins, Davis, McCollum",1626192-1627735-1628380-202334-203468,POR,429.0,1,7.0,11.0,14.0,14.0,10.0,28.0,5.0,5.0,,,8.0,9.0,26.0,4.0,12.0,2.0,4.0,,10.0,1.0,1.0,,1.0,3.0,26.0,0.25,0.25,0.8888888888888888,1.0416666666666667,1.0,93.98601398601399,10.5,20.142857142857142,10.5,19.214285714285715,0.4166666666666667,1.0,1.0,,,,,0.6666666666666666,0.554175,5.144444444444444,2.0,3.0,15.0,2.0,1.0,6.0,6.0,0.25,1.0,0.16666666666666666,24.53333333333333,,,,,,,2.0,,,3.0,1.0,,,,,,,,,3.0,,2.0,2.0,,,5.0,,,,1.0,1.0,2.0,,1.0,,,1.0,,1.0,,,,,,,,0.8333333333333334,,,0.8333333333333334,,,1.0,,,0.4,1.0,1.0,,,,,,,1.0,,0.07692307692307693,0.1,,,,4.0,,,,,,,,,1.0,,0.3333333333333333,,,,,,,6.0,2.0,1.0,1.0,1.0,0.6666666666666666,,,0.5,,,,3.0,1.0,,,,,,,,,0.75,0.75,0.08333333333333333,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-202334-203894,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Ed Davis, Shabazz Napier","Connaughton, Baldwin IV, Collins, Davis, Napier",1626192-1627735-1628380-202334-203894,POR,231.0,2,4.0,,8.0,7.0,,15.0,2.0,3.0,,,3.0,4.0,8.0,,6.0,,,,,,,,,1.0,8.0,,,0.75,0.5,0.5714285714285714,93.5064935064935,15.5,15.285714285714286,15.375,13.714285714285714,0.5,0.6666666666666666,0.6666666666666666,,,,,0.8333333333333334,0.5742666666666667,2.85,2.0,2.0,8.0,2.0,,3.0,4.0,0.3333333333333333,,0.3333333333333333,26.1,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,0.5,0.6,,0.5,0.5,0.3333333333333333,0.5,1.0,0.5,,,,,,,,,,,,,0.2857142857142857,0.4,,,,1.0,,,,,,,,,0.5,,0.16666666666666666,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-203086-203468,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Meyers Leonard, CJ McCollum","Connaughton, Baldwin IV, Collins, Leonard, McCollum",1626192-1627735-1628380-203086-203468,POR,199.0,1,3.0,-6.0,7.0,7.0,6.0,14.0,1.0,1.0,,,2.0,3.0,5.0,4.0,,2.0,2.0,,4.0,,,,1.0,1.0,5.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.625,101.30653266331657,15.285714285714286,13.142857142857142,15.285714285714286,10.142857142857142,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,0.3680666666666667,4.8999999999999995,,,11.0,,2.0,3.0,3.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,2.0,,2.0,1.0,2.0,,1.0,,,,,,,,,,,,1.0,1.0,,,0.5,,,,,,1.0,,,,,,,,,,,0.25,0.25,,,,2.0,1.0,,2.0,,0.3333333333333333,,,,1.0,,0.6666666666666666,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.5,,0.5,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-203086-203894,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Meyers Leonard, Shabazz Napier","Connaughton, Baldwin IV, Collins, Leonard, Napier",1626192-1627735-1628380-203086-203894,POR,8.0,1,,-2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,8.0,,8.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
