EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,HeaveAttempts,TwoPtAssists,ShortMidRangeAssists,Steals,BadPassSteals,FTA,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PtsPutbacks,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,OffRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,SecondChanceFg2Pct,PenaltyFg2Pct,LiveBallTurnoverPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,TwoPtShootingFoulsDrawnPct,DefCorner3ReboundPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsUnassisted3s,Fg2aBlocked,Corner3Assists,BadPassOutOfBoundsTurnovers,FG2APctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyFtPoints,LostBallOutOfBoundsTurnovers,AtRimPctBlocked,LongMidRangeAssists,OffCorner3ReboundPct,LongMidRangePctAssisted,LostBallTurnovers,2pt And 1 Free Throw Trips,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,OffLongMidRangeReboundPct,Charge Fouls,Offensive Fouls Drawn,SecondChanceFtPoints,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Charge Fouls Drawn,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,PenaltyCorner3FGA,Technical Free Throw Trips,PenaltyCorner3Frequency,Clear Path Fouls,BlockingFoulsDrawn,SelfOReb,BlockedLongMidRange,OffensiveGoaltends,LongMidRangePctBlocked,SelfORebPct,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,3SecondViolations,BlockingFouls,Corner3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
1626179-1627759-1627824-1627846-203499,1610612738,"Terry Rozier, Jaylen Brown, Guerschon Yabusele, Abdel Nader, Shane Larkin","Rozier, Brown, Yabusele, Nader, Larkin",1626179-1627759-1627824-1627846-203499,BOS,193.0,1,3.0,5.0,7.0,7.0,1.0,14.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,8.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,8.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.8,0.8,0.6,1.0,1.0,1.0,1.0,1.0,104.4559585492228,12.285714285714286,15.285714285714286,12.285714285714286,15.285714285714286,0.2,0.2,1.0,1.0,0.2,0.4,1.0,1.0,1.0,0.8,1.0,0.47602,11.1,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2018,2017-18,False
1626179-1627759-1627824-1628369-1628464,1610612738,"Terry Rozier, Jaylen Brown, Guerschon Yabusele, Jayson Tatum, Daniel Theis","Rozier, Brown, Yabusele, Tatum, Theis",1626179-1627759-1627824-1628369-1628464,BOS,104.0,1,2.0,4.0,3.0,3.0,,6.0,,,,,2.0,3.0,1.0,1.0,2.0,3.0,9.0,5.0,,6.0,2.0,2.0,2.0,3.0,2.0,8.0,,,,,,,,,,,1.0,6.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9,0.75,,,,,,83.07692307692308,18.333333333333332,16.333333333333332,14.333333333333334,16.333333333333332,,,,,,0.75,0.6666666666666666,0.6666666666666666,1.0,0.75,1.0,0.4527833333333333,8.7,40.333333333333336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,1.5,0.75,1.5,0.75,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4713,0.46815,0.2,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2018,2017-18,False
1626179-1627759-1627824-1628369-203382,1610612738,"Terry Rozier, Jaylen Brown, Guerschon Yabusele, Jayson Tatum, Aron Baynes","Rozier, Brown, Yabusele, Tatum, Baynes",1626179-1627759-1627824-1628369-203382,BOS,663.0,1,11.0,-9.0,22.0,22.0,4.0,44.0,4.0,2.0,7.0,,2.0,4.0,5.0,13.0,2.0,4.0,22.0,31.0,8.0,6.0,4.0,2.0,2.0,3.0,2.0,8.0,3.0,,7.0,11.0,3.0,1.0,5.0,3.0,5.0,,5.0,20.0,1.0,0.5,0.5,0.38461538461538464,0.47058823529411764,0.5238095238095238,0.23529411764705882,,0.75,0.875,1.0,0.6666666666666666,95.5656108597285,16.954545454545453,13.181818181818182,16.0,13.045454545454545,0.23529411764705882,0.4117647058823529,0.2857142857142857,0.2857142857142857,,0.23529411764705882,0.5,0.5,1.0,0.47058823529411764,0.5,0.48368235294117645,10.376923076923077,25.15,2.0,3.0,1.0,2.0,,,,1.0,6.0,,,2.0,,1.0,2.0,2.0,,1.0,,1.0,,8.0,,2.0,2.0,0.2,0.25,,,0.5,0.3333333333333333,0.5,0.3333333333333333,0.11764705882352941,0.5,0.5,,,,,0.3333333333333333,,0.7038,0.6058166666666667,0.19047619047619047,,0.09090909090909091,0.09090909090909091,0.09090909090909091,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.4,0.5,0.125,1.0,1.0,0.3,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.6666666666666666,0.5,0.23529411764705882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2018,2017-18,False
1626179-1627759-1627824-1628400-1628444,1610612738,"Terry Rozier, Jaylen Brown, Guerschon Yabusele, Semi Ojeleye, Jabari Bird","Rozier, Brown, Yabusele, Ojeleye, Bird",1626179-1627759-1627824-1628400-1628444,BOS,92.0,1,2.0,3.0,5.0,5.0,,10.0,2.0,,,,1.0,1.0,1.0,3.0,1.0,1.0,5.0,2.0,,3.0,1.0,1.0,1.0,2.0,1.0,5.0,,,3.0,3.0,,,1.0,,,,,5.0,1.0,1.0,1.0,0.3333333333333333,0.625,0.625,0.25,,,1.0,,,156.52173913043478,8.8,9.6,8.8,9.6,0.5,,,,,0.25,1.0,1.0,1.0,0.75,1.0,0.55865,3.8333333333333335,28.3,,,,1.0,,,,,,,,,,,,2.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,0.25,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,3.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,0.5,0.5,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2018,2017-18,False
1626179-1627759-1627824-1628400-203499,1610612738,"Terry Rozier, Jaylen Brown, Guerschon Yabusele, Semi Ojeleye, Shane Larkin","Rozier, Brown, Yabusele, Ojeleye, Larkin",1626179-1627759-1627824-1628400-203499,BOS,241.0,2,4.0,1.0,8.0,9.0,5.0,17.0,,,1.0,1.0,3.0,3.0,,2.0,4.0,4.0,12.0,11.0,,6.0,3.0,3.0,2.0,2.0,1.0,6.0,1.0,,1.0,2.0,1.0,,2.0,2.0,2.0,,,9.0,0.5,1.0,1.0,,1.0,1.0,0.6666666666666666,,1.0,1.0,,,101.57676348547717,13.0,15.222222222222221,12.75,15.222222222222221,,0.16666666666666666,,,0.16666666666666666,0.5,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.49404166666666666,12.8,24.3,1.0,1.0,,1.0,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,1.0,,,1.0,,1.5,,1.5,,0.16666666666666666,,,,,,,,,0.5949,,,,0.25,,0.125,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,0.5,,0.5,,,0.5,,,,,,,,,,,,,,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2018,2017-18,False
1626179-1627759-1627824-1628464-203499,1610612738,"Terry Rozier, Jaylen Brown, Guerschon Yabusele, Daniel Theis, Shane Larkin","Rozier, Brown, Yabusele, Theis, Larkin",1626179-1627759-1627824-1628464-203499,BOS,289.0,1,5.0,8.0,10.0,9.0,2.0,19.0,4.0,,,1.0,,3.0,1.0,5.0,1.0,4.0,9.0,1.0,2.0,3.0,3.0,,1.0,1.0,,3.0,6.0,,7.0,8.0,1.0,,1.0,1.0,2.0,,3.0,9.0,1.0,0.25,0.25,0.2,0.2777777777777778,0.4090909090909091,0.4444444444444444,,1.0,0.875,1.0,1.0,94.67128027681662,14.7,15.777777777777779,13.4,14.666666666666666,0.4444444444444444,,,,0.1111111111111111,0.3333333333333333,,,,0.8888888888888888,,0.4892777777777778,4.08,26.225,2.0,1.0,,1.0,,1.0,,,4.0,,1.0,,,,2.0,,,,,1.0,,5.0,1.0,2.0,2.0,,,,,,,,0.5,0.1111111111111111,,,,1.0,,,,,,0.3948,0.18181818181818182,0.2,,0.2222222222222222,0.2,1.0,,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.5,0.3333333333333333,0.14285714285714285,,0.3333333333333333,0.5,1.0,0.25,0.3333333333333333,,,,1.0,,0.16666666666666666,,1.0,,,,1.0,1.0,,0.2,,,1.0,1.0,1.0,1.0,,,,2.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2018,2017-18,False
1626179-1627759-1627824-1628464-203935,1610612738,"Terry Rozier, Jaylen Brown, Guerschon Yabusele, Daniel Theis, Marcus Smart","Rozier, Brown, Yabusele, Theis, Smart",1626179-1627759-1627824-1628464-203935,BOS,52.0,1,1.0,2.0,1.0,,,1.0,1.0,,,,,,1.0,3.0,,,2.0,,2.0,,,,,,,,,,,2.0,,,,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,27.69230769230769,37.0,,24.0,,0.3333333333333333,,,,,,,,,0.3333333333333333,,0.37143333333333334,6.966666666666666,,,1.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.5,,0.5,,0.6666666666666666,,,,,,,,,0.3647,,,,1.0,,,1.0,1.0,1.0,,,1.0,2.0,,,,,,2.0,,,2.0,,,,,,,,,,,,,,0.5,,,,1.0,,,1.0,,,,,1.0,1.0,,0.5,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2018,2017-18,False
1626179-1627759-1627824-202328-202694,1610612738,"Terry Rozier, Jaylen Brown, Guerschon Yabusele, Greg Monroe, Marcus Morris","Rozier, Brown, Yabusele, Monroe, Morris",1626179-1627759-1627824-202328-202694,BOS,179.0,1,3.0,,6.0,4.0,,10.0,2.0,2.0,2.0,1.0,,3.0,3.0,4.0,,4.0,6.0,6.0,4.0,,3.0,,,1.0,,2.0,1.0,,1.0,3.0,,,,,,,,4.0,,,,0.75,0.375,0.375,0.5,,0.3333333333333333,0.3333333333333333,,,80.44692737430168,18.0,17.75,16.166666666666668,16.0,0.25,0.25,1.0,1.0,0.125,0.375,,,,0.75,,0.517575,10.725,25.175,,1.0,,,,1.0,,,,,1.0,2.0,,,,2.0,,1.0,,,,,,,,0.3333333333333333,0.5,,,0.5,,0.5,,,,,,0.5,,,,,,,,,0.3333333333333333,,,1.0,1.0,1.0,,,1.0,1.0,,,2.0,,2.0,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,0.5,0.4,,0.3333333333333333,,,0.5,0.5,,0.5,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2018,2017-18,False
1626179-1627759-1627824-202694-203382,1610612738,"Terry Rozier, Jaylen Brown, Guerschon Yabusele, Marcus Morris, Aron Baynes","Rozier, Brown, Yabusele, Morris, Baynes",1626179-1627759-1627824-202694-203382,BOS,863.0,1,14.0,4.0,32.0,32.0,,64.0,6.0,1.0,3.0,3.0,3.0,10.0,9.0,14.0,5.0,13.0,36.0,32.0,8.0,12.0,10.0,3.0,4.0,9.0,2.0,22.0,7.0,,12.0,14.0,1.0,,5.0,3.0,4.0,,5.0,33.0,0.8,0.38461538461538464,0.38461538461538464,0.6428571428571429,0.6111111111111112,0.6206896551724138,0.48148148148148145,,0.7777777777777778,0.8571428571428571,1.0,0.8,106.79026651216687,14.21875,12.75,13.875,12.71875,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.37037037037037035,0.3,0.3,0.6666666666666666,0.7037037037037037,0.3,0.5186092592592593,6.714285714285714,25.13076923076923,,2.0,2.0,5.0,1.0,1.0,,,3.0,1.0,1.0,3.0,,,,10.0,,5.0,,3.0,2.0,5.0,,,,0.5555555555555556,0.5555555555555556,1.0,,0.75,,0.75,,0.18518518518518517,0.4,0.4,,0.5,1.0,1.0,,,0.4222,,0.10344827586206896,,0.08333333333333333,,,6.0,,,,,,1.0,,,,5.0,1.0,1.0,,5.0,2.0,1.0,4.0,3.0,,,,,3.0,4.0,3.0,4.0,4.0,,,,0.8,,0.2,1.0,0.125,0.15384615384615385,,0.14285714285714285,1.0,1.0,1.0,1.0,0.8333333333333334,,,,,0.1875,1.0,2.0,,,3.0,,2.0,,,,,,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2018,2017-18,False
1626179-1627759-1627824-202694-203935,1610612738,"Terry Rozier, Jaylen Brown, Guerschon Yabusele, Marcus Morris, Marcus Smart","Rozier, Brown, Yabusele, Morris, Smart",1626179-1627759-1627824-202694-203935,BOS,69.0,1,1.0,,3.0,3.0,3.0,6.0,,,1.0,,1.0,1.0,,2.0,1.0,1.0,3.0,3.0,,,1.0,1.0,,,,,,2.0,2.0,2.0,,,,,2.0,,,3.0,,1.0,1.0,,0.5,0.5,0.3333333333333333,0.6666666666666666,,,,,125.21739130434784,16.0,7.0,16.0,7.0,,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,1.0,0.45648333333333335,10.5,26.7,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2018,2017-18,False
