EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PenaltyDefPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,FtPoints,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,ThreePtAssists,Corner3Assists,DefTwoPtRebounds,FTDefRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Arc3FGM,SecondChanceFtPoints,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,LostBallTurnovers,SecondChanceTurnovers,Charge Fouls Drawn,FG2APctBlocked,ShortMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShortMidRangeAssists,SelfOReb,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,DefArc3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,LongMidRangeAssists,OffThreePtRebounds,StepOutOfBoundsTurnovers,BlockingFouls,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LostBallSteals,Charge Fouls,Loose Ball Fouls,SecondChanceAtRimPctAssisted,NonShootingPenaltyNonTakeFouls,FTOffRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Travels,OffCorner3ReboundPct,3SecondViolations,PenaltyArc3FGM,PenaltyArc3Accuracy,BlockedLongMidRange,DefensiveGoaltends,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,LongMidRangePctBlocked,HeaveAttempts,Blocked3s,BlockedArc3,Clear Path Fouls,BlockedCorner3,OffensiveGoaltends,Arc3PctBlocked,team_id,year,season,team_vs
1626173-1627748-1627763-1627780-203114,1610612749,"Rashad Vaughn, Thon Maker, Malcolm Brogdon, Gary Payton II, Khris Middleton","Vaughn, Maker, Brogdon, Payton II, Middleton",1626173-1627748-1627763-1627780-203114,MIL,170.0,1,3.0,5.0,4.0,5.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,6.0,6.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,6.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,6.0,5.0,0.3333333333333333,0.3333333333333333,0.6,1.0,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.16666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,76.23529411764706,20.2,17.25,17.0,17.25,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,1.0,0.16666666666666666,0.3333333333333333,0.49311666666666665,0.50665,0.49311666666666665,0.3333333333333333,1.0,11.24,26.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,False
1626173-1627748-1627763-1628391-203114,1610612749,"Rashad Vaughn, Thon Maker, Malcolm Brogdon, D.J. Wilson, Khris Middleton","Vaughn, Maker, Brogdon, Wilson, Middleton",1626173-1627748-1627763-1628391-203114,MIL,236.0,2,4.0,9.0,10.0,6.0,,19.0,1.0,2.0,1.0,2.0,,,,,2.0,,,1.0,2.0,3.0,10.0,5.0,,,,,1.0,2.0,1.0,8.0,,2.0,2.0,,1.0,,3.0,,1.0,6.0,,6.0,,1.0,1.0,1.0,,10.0,8.0,6.0,,,0.5,,0.5,0.5,,0.8333333333333334,0.625,,0.8,0.6,,0.5,0.8333333333333334,,,1.0,115.93220338983052,10.555555555555555,14.1,10.555555555555555,13.3,0.4,0.5,0.5,,,,,,,,0.4,,0.6666666666666666,0.5,,1.0,0.57229,,0.5877166666666667,,0.8,1.65,25.566666666666666,0.6666666666666666,5.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,3.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.3333333333333333,1.0,0.375,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,False
1626173-1627748-1627763-1628425-203507,1610612749,"Rashad Vaughn, Thon Maker, Malcolm Brogdon, Sterling Brown, Giannis Antetokounmpo","Vaughn, Maker, Brogdon, Brown, Antetokounmpo",1626173-1627748-1627763-1628425-203507,MIL,384.0,2,6.0,12.0,12.0,,2.0,24.0,3.0,5.0,,,1.0,3.0,,,,,,4.0,8.0,4.0,18.0,11.0,1.0,2.0,,2.0,,,,,2.0,6.0,,1.0,4.0,1.0,11.0,2.0,1.0,5.0,2.0,7.0,1.0,2.0,,4.0,,16.0,,,0.25,0.3333333333333333,0.5,0.5,,0.7083333333333334,0.5,,0.7083333333333334,0.5,,0.3333333333333333,0.5,1.0,0.7142857142857143,0.4,,1.0,90.0,17.833333333333332,14.166666666666666,16.25,14.083333333333334,0.4166666666666667,0.6,0.6,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,,,,,,,,,0.75,0.5616875,0.55745,,0.1111111111111111,,4.1125,22.825,,7.0,,3.0,4.0,,,3.0,1.0,,,9.0,3.0,3.0,4.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,0.75,,0.75,0.5,,0.6666666666666666,1.0,0.5,0.3333333333333333,0.75,0.75,1.0,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,0.5,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,False
1626173-1627748-1627763-202339-203114,1610612749,"Rashad Vaughn, Thon Maker, Malcolm Brogdon, Eric Bledsoe, Khris Middleton","Vaughn, Maker, Brogdon, Bledsoe, Middleton",1626173-1627748-1627763-202339-203114,MIL,610.0,4,10.0,17.0,19.0,2.0,4.0,36.0,3.0,5.0,,,,3.0,1.0,3.0,5.0,,,4.0,11.0,6.0,23.0,30.0,1.0,1.0,,3.0,,2.0,,,4.0,4.0,5.0,2.0,4.0,2.0,10.0,4.0,,2.0,4.0,6.0,,2.0,,4.0,,20.0,,2.0,0.5,0.6666666666666666,0.36363636363636365,1.0,,0.5882352941176471,1.0,,0.6052631578947368,0.75,,0.35294117647058826,0.5714285714285714,,0.2,0.4444444444444444,0.5,,84.98360655737706,20.058823529411764,14.157894736842104,18.41176470588235,13.947368421052632,0.29411764705882354,0.6,0.6,0.6666666666666666,0.17647058823529413,,,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.29411764705882354,,,,,0.6470588235294118,0.5081852941176471,0.7097,0.3711,0.13043478260869565,,7.181818181818182,25.666666666666668,0.11764705882352941,-7.0,3.0,1.0,1.0,,,4.0,3.0,,,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,4.0,5.0,4.0,2.0,,0.5,0.6666666666666666,,0.6666666666666666,1.0,1.0,0.25,0.3333333333333333,,0.058823529411764705,1.0,1.0,1.0,,,0.10526315789473684,0.15384615384615385,1.0,1.0,2.0,,,,,,,,1.0,0.3333333333333333,,,1.0,1.0,3.0,1.0,6.0,3.0,1.0,1.0,2.0,2.0,2.0,0.09090909090909091,0.3333333333333333,0.6,0.6,0.3333333333333333,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,False
1626173-1627748-1627763-202339-203507,1610612749,"Rashad Vaughn, Thon Maker, Malcolm Brogdon, Eric Bledsoe, Giannis Antetokounmpo","Vaughn, Maker, Brogdon, Bledsoe, Antetokounmpo",1626173-1627748-1627763-202339-203507,MIL,93.0,2,2.0,3.0,3.0,1.0,,6.0,,,,,,,,,2.0,,1.0,,,2.0,3.0,4.0,,,,,,,1.0,,,,2.0,,1.0,,3.0,,,1.0,,1.0,1.0,1.0,,1.0,,3.0,,1.0,,,,,,0.75,,,0.75,,,1.0,,,1.0,,,,92.90322580645162,14.333333333333334,16.666666666666668,14.333333333333334,14.0,,,,,,,,,,,1.0,,,,1.0,1.0,0.53595,,0.5199,,,,25.8,0.3333333333333333,-1.0,,,,,,1.0,,,,3.0,1.0,,1.0,,,,,,,,,,,1.0,0.5,,0.5,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,,,,,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,False
1626173-1627748-1627763-202732-203114,1610612749,"Rashad Vaughn, Thon Maker, Malcolm Brogdon, DeAndre Liggins, Khris Middleton","Vaughn, Maker, Brogdon, Liggins, Middleton",1626173-1627748-1627763-202732-203114,MIL,284.0,3,5.0,11.0,9.0,3.0,1.0,20.0,2.0,4.0,,1.0,1.0,2.0,2.0,3.0,,,,5.0,9.0,1.0,12.0,9.0,1.0,1.0,,2.0,,1.0,,2.0,4.0,6.0,,2.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,,10.0,2.0,3.0,0.4,0.5,0.5555555555555556,1.0,,0.5,1.0,,0.5454545454545454,1.0,0.5,0.1,0.5,1.0,0.4,0.3333333333333333,,,101.40845070422534,13.0,15.666666666666666,13.0,15.666666666666666,0.4,0.5,0.5,0.5,0.2,0.5,0.5,0.3,0.6666666666666666,0.6666666666666666,,,1.0,,,0.5,0.537915,0.6999,0.6944,0.16666666666666666,0.16666666666666666,8.133333333333333,22.9,0.2727272727272727,3.0,2.0,,1.0,,,,2.0,,2.0,,,,1.0,,1.0,1.0,,,,2.0,2.0,1.0,,,,,,,,0.25,,1.0,0.1,,,,,,0.09090909090909091,0.1,1.0,1.0,2.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,False
1626173-1627748-1627763-202732-203507,1610612749,"Rashad Vaughn, Thon Maker, Malcolm Brogdon, DeAndre Liggins, Giannis Antetokounmpo","Vaughn, Maker, Brogdon, Liggins, Antetokounmpo",1626173-1627748-1627763-202732-203507,MIL,1424.0,5,24.0,44.0,43.0,7.0,4.0,87.0,9.0,12.0,1.0,1.0,4.0,6.0,4.0,11.0,10.0,1.0,4.0,17.0,29.0,11.0,54.0,39.0,,,2.0,6.0,3.0,4.0,4.0,6.0,16.0,18.0,10.0,8.0,12.0,5.0,28.0,3.0,7.0,15.0,4.0,19.0,3.0,3.0,,12.0,,48.0,6.0,7.0,0.47058823529411764,0.47058823529411764,0.5862068965517241,,0.75,0.575,0.75,0.375,0.6,0.75,0.375,0.275,0.25,0.875,0.7894736842105263,0.21052631578947367,0.42857142857142855,1.0,87.97752808988764,15.818181818181818,16.930232558139537,15.068181818181818,16.511627906976745,0.3,0.75,0.8181818181818182,0.5555555555555556,0.15,0.6666666666666666,0.6666666666666666,0.275,0.36363636363636365,0.36363636363636365,0.25,0.5,0.125,1.0,0.5,0.575,0.49743750000000003,0.61395,0.49775,0.1111111111111111,0.1111111111111111,9.63103448275862,26.345454545454547,0.1590909090909091,15.0,5.0,1.0,1.0,,,4.0,8.0,,,12.0,4.0,1.0,8.0,,4.0,4.0,,,8.0,12.0,11.0,6.0,,1.0,0.36363636363636365,,0.36363636363636365,,,0.7272727272727273,0.5,1.0,0.025,1.0,1.0,1.0,,,0.13333333333333333,0.17647058823529413,,,,,,2.0,1.0,1.0,2.0,2.0,,,0.6666666666666666,1.0,,,3.0,3.0,,3.0,1.0,3.0,,,1.0,0.034482758620689655,,0.3,0.3,1.0,0.3,1.0,,2.0,3.0,0.8,,0.25,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.08333333333333333,0.14285714285714285,0.14285714285714285,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,False
1626173-1627748-1627763-203114-203507,1610612749,"Rashad Vaughn, Thon Maker, Malcolm Brogdon, Khris Middleton, Giannis Antetokounmpo","Vaughn, Maker, Brogdon, Middleton, Antetokounmpo",1626173-1627748-1627763-203114-203507,MIL,345.0,2,6.0,11.0,11.0,5.0,2.0,22.0,2.0,4.0,2.0,4.0,1.0,2.0,,1.0,2.0,,1.0,3.0,7.0,4.0,12.0,6.0,1.0,2.0,,2.0,2.0,5.0,1.0,5.0,4.0,2.0,2.0,2.0,3.0,1.0,7.0,2.0,1.0,4.0,2.0,6.0,,,,,,10.0,5.0,5.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.5,0.4,0.4090909090909091,0.5,0.3333333333333333,0.46153846153846156,0.5,0.35714285714285715,0.36363636363636365,0.5,1.0,0.6666666666666666,0.2857142857142857,,,91.82608695652173,14.454545454545455,16.90909090909091,14.0,13.909090909090908,0.36363636363636365,0.5,0.5,0.5,0.18181818181818182,0.5,0.5,0.09090909090909091,,,0.18181818181818182,,0.6666666666666666,0.5,0.16666666666666666,0.7272727272727273,0.5034909090909091,0.34685,0.5085166666666666,0.16666666666666666,0.4166666666666667,6.8428571428571425,25.4,0.45454545454545453,6.0,8.0,,2.0,,,1.0,3.0,,1.0,3.0,1.0,,3.0,,3.0,1.0,,,,2.0,4.0,2.0,,1.0,0.25,,0.25,,,0.6,0.5,1.0,0.18181818181818182,,,,,,0.15384615384615385,0.2222222222222222,1.0,1.0,,,,2.0,1.0,1.0,2.0,2.0,1.0,,0.5,1.0,0.5,1.0,1.0,,,1.0,,1.0,,,,,,0.5,0.5,1.0,0.5,1.0,1.0,,,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,False
1626173-1627748-1627763-203503-203507,1610612749,"Rashad Vaughn, Thon Maker, Malcolm Brogdon, Tony Snell, Giannis Antetokounmpo","Vaughn, Maker, Brogdon, Snell, Antetokounmpo",1626173-1627748-1627763-203503-203507,MIL,214.0,2,4.0,6.0,7.0,,,13.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,3.0,3.0,1.0,9.0,7.0,,,,,,,,,2.0,4.0,1.0,1.0,1.0,,2.0,,,4.0,,4.0,,,,,,9.0,,,0.3333333333333333,0.3333333333333333,1.0,,,0.75,,,0.6666666666666666,,,0.25,,,0.8,,,,87.47663551401868,14.166666666666666,18.428571428571427,14.166666666666666,17.428571428571427,0.25,1.0,1.0,,0.25,1.0,1.0,0.25,1.0,1.0,0.25,,,,,0.5,0.4602125,,,,,7.733333333333333,24.3,,2.0,,,,,,,3.0,,,,,,4.0,,,,,,,2.0,5.0,2.0,,,,,,,,0.8,,0.6666666666666666,,,,,,,0.3333333333333333,0.4,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,False
1626173-1627748-1627780-202339-203114,1610612749,"Rashad Vaughn, Thon Maker, Gary Payton II, Eric Bledsoe, Khris Middleton","Vaughn, Maker, Payton II, Bledsoe, Middleton",1626173-1627748-1627780-202339-203114,MIL,79.0,1,1.0,3.0,3.0,3.0,,6.0,,,,,,,1.0,1.0,,,,1.0,1.0,,4.0,2.0,,,,,1.0,1.0,,4.0,,2.0,,,,,,,,1.0,,1.0,,,,1.0,,4.0,4.0,3.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,109.36708860759494,9.0,17.333333333333332,9.0,17.333333333333332,,,,,,,,1.0,1.0,1.0,,,,,,,0.4528,,0.4528,,1.0,17.0,,1.0,2.0,,,,,,,2.0,,2.0,,,,1.0,,,,,,,1.0,2.0,1.0,,,,,,,,1.0,,1.0,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,False
