EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,SecondChanceFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PtsAssisted2s,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedAtRim,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyAtRimAccuracy,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,LongMidRangeFGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyFtPoints,NonShootingFoulsDrawn,LostBallOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFoulsDrawn,DefCorner3ReboundPct,PenaltyCorner3FGA,SecondChanceArc3FGA,PtsUnassisted3s,Charge Fouls,Offensive Fouls Drawn,Defensive 3 Seconds Violations,SecondChanceArc3Frequency,PenaltyCorner3Frequency,Loose Ball Fouls,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFtPoints,StepOutOfBoundsTurnovers,BlockingFouls,Offensive Fouls,Technical Free Throw Trips,Blocked3s,BlockedArc3,3SecondViolations,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,DefensiveGoaltends,BlockedLongMidRange,BlockingFoulsDrawn,Clear Path Fouls,OffensiveGoaltends,BlockedCorner3,team_id,year,season,team_vs
1626173-1626209-1628371-202687-202714,1610612753,"Rashad Vaughn, Mario Hezonja, Jonathan Isaac, Bismack Biyombo, Shelvin Mack","Vaughn, Hezonja, Isaac, Biyombo, Mack",1626173-1626209-1628371-202687-202714,ORL,395.0,2,7.0,13.0,15.0,4.0,5.0,3.0,28.0,2.0,5.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,3.0,13.0,1.0,2.0,2.0,11.0,11.0,1.0,4.0,2.0,1.0,5.0,1.0,2.0,6.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,2.0,6.0,5.0,11.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,2.0,4.0,1.0,1.0,0.5,1.0,0.23076923076923078,0.25,0.2,0.3,0.25,0.16666666666666666,0.3055555555555556,0.25,0.16666666666666666,0.13333333333333333,0.15384615384615385,0.2,0.14285714285714285,0.3333333333333333,1.0,0.4,1.0,1.0,0.4,0.3333333333333333,0.5,1.0,1.0,1.0,102.07594936708861,1.0,15.692307692307692,12.733333333333333,14.23076923076923,12.733333333333333,0.3333333333333333,0.4,0.5,0.4666666666666667,0.14285714285714285,0.16666666666666666,0.06666666666666667,0.13333333333333333,0.5,0.5,1.0,0.75,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.4666666666666667,1.0,0.45462142857142857,0.444975,0.44042000000000003,0.2222222222222222,0.25,0.18181818181818182,0.18181818181818182,5.507692307692308,39.9,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,True
1626173-1626209-1628371-202714-203920,1610612753,"Rashad Vaughn, Mario Hezonja, Jonathan Isaac, Shelvin Mack, Khem Birch","Vaughn, Hezonja, Isaac, Mack, Birch",1626173-1626209-1628371-202714-203920,ORL,98.0,1,2.0,3.0,3.0,,3.0,1.0,6.0,,,,,,1.0,2.0,1.0,,,,1.0,3.0,1.0,1.0,,5.0,4.0,,,3.0,,,,,2.0,3.0,,,,,1.0,1.0,1.0,,3.0,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,1.0,0.3333333333333333,,,0.625,1.5,,0.625,1.5,,0.25,0.3333333333333333,,0.5,,,0.5,1.0,1.0,0.5,,1.0,,,1.0,88.16326530612245,,18.0,14.666666666666666,16.0,14.666666666666666,,,,0.5,0.5,1.0,0.25,,,,,,,,,0.25,,0.4585,0.6432,,,,0.6,,11.133333333333333,23.2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,True
1626173-1626209-1628411-202687-202714,1610612753,"Rashad Vaughn, Mario Hezonja, Wes Iwundu, Bismack Biyombo, Shelvin Mack","Vaughn, Hezonja, Iwundu, Biyombo, Mack",1626173-1626209-1628411-202687-202714,ORL,1043.0,3,17.0,31.0,31.0,,,7.0,62.0,10.0,18.0,2.0,5.0,,1.0,3.0,2.0,2.0,7.0,,11.0,23.0,2.0,8.0,6.0,34.0,40.0,2.0,6.0,4.0,,,,,8.0,6.0,,,7.0,2.0,,2.0,9.0,2.0,20.0,4.0,1.0,1.0,6.0,10.0,7.0,17.0,3.0,3.0,,1.0,,5.0,,6.0,10.0,10.0,1.0,7.0,2.0,4.0,3.0,1.0,3.0,1.0,30.0,,,,1.0,0.25,0.25,0.4782608695652174,0.3333333333333333,,0.45161290322580644,0.3333333333333333,,0.5151515151515151,0.3333333333333333,,0.25806451612903225,,,,1.0,0.6,0.3333333333333333,1.0,0.6363636363636364,0.3333333333333333,0.375,,0.6666666666666666,0.5,1.0,85.59923298178332,0.3333333333333333,17.258064516129032,16.387096774193548,15.935483870967742,15.64516129032258,0.5806451612903226,0.5555555555555556,0.5555555555555556,0.0967741935483871,0.3333333333333333,0.3333333333333333,0.06451612903225806,0.22580645161290322,0.2857142857142857,0.2857142857142857,1.0,0.8333333333333334,0.4,,,0.8387096774193549,0.2857142857142857,0.5653548387096774,0.509225,,0.15151515151515152,0.16,0.11764705882352941,,3.6652173913043478,24.6875,,-6.0,,1.0,,,,,,,0.03225806451612903,,,,,,,14.0,7.0,6.0,1.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.6363636363636364,0.6363636363636364,0.8,1.0,0.3333333333333333,0.5,0.4,0.5,0.05555555555555555,0.6,1.0,0.5,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,True
1626173-1626209-201571-202696-203613,1610612753,"Rashad Vaughn, Mario Hezonja, D.J. Augustin, Nikola Vucevic, Jonathon Simmons","Vaughn, Hezonja, Augustin, Vucevic, Simmons",1626173-1626209-201571-202696-203613,ORL,75.0,1,1.0,2.0,3.0,2.0,3.0,,5.0,2.0,2.0,,,2.0,,,,,,,2.0,2.0,,,,4.0,4.0,,,,2.0,2.0,,4.0,,,,,,,,,2.0,,4.0,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,4.0,4.0,2.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,96.0,,18.5,12.666666666666666,18.5,6.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,0.58875,,0.58875,0.5,0.5,,1.0,1.55,,1.0,,,,,,,,,,,,,,,,,4.0,2.0,2.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,True
1626173-1626209-202687-202714-203095,1610612753,"Rashad Vaughn, Mario Hezonja, Bismack Biyombo, Shelvin Mack, Evan Fournier","Vaughn, Hezonja, Biyombo, Mack, Fournier",1626173-1626209-202687-202714-203095,ORL,126.0,1,2.0,4.0,5.0,4.0,5.0,1.0,9.0,2.0,2.0,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,7.0,,1.0,1.0,2.0,2.0,3.0,1.0,7.0,2.0,3.0,2.0,,1.0,1.0,,1.0,2.0,1.0,5.0,1.0,,,1.0,1.0,1.0,2.0,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,,5.0,7.0,4.0,,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.875,1.0,0.875,0.875,1.0,0.875,0.25,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,102.85714285714285,,13.5,14.4,13.25,14.4,0.5,1.0,1.0,0.25,,,,0.25,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.75,1.0,0.6334125,0.7294,0.6334125,,,0.2857142857142857,1.0,1.8,25.3,1.0,7.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,0.5,1.0,1.0,,,,,,1.0,0.5,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,True
1626173-1626209-202687-202714-203613,1610612753,"Rashad Vaughn, Mario Hezonja, Bismack Biyombo, Shelvin Mack, Jonathon Simmons","Vaughn, Hezonja, Biyombo, Mack, Simmons",1626173-1626209-202687-202714-203613,ORL,107.0,2,2.0,3.0,3.0,1.0,3.0,,6.0,,,,,,,,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,5.0,3.0,,,,1.0,1.0,,2.0,,3.0,,,2.0,1.0,,1.0,2.0,1.0,5.0,,,,2.0,2.0,,2.0,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,5.0,2.0,1.0,,1.0,0.5,0.5,1.0,,1.0,0.8333333333333334,,1.0,0.8333333333333334,,1.0,0.6666666666666666,,,,,0.5,,,0.5,,,,,0.5,,80.74766355140187,,11.0,24.666666666666668,11.0,21.333333333333332,,,,,,,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,,,,,0.6666666666666666,0.5,0.5188,,0.3987,,,,0.4,17.3,24.75,0.3333333333333333,2.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,True
1626173-1626209-202687-202714-203932,1610612753,"Rashad Vaughn, Mario Hezonja, Bismack Biyombo, Shelvin Mack, Aaron Gordon","Vaughn, Hezonja, Biyombo, Mack, Gordon",1626173-1626209-202687-202714-203932,ORL,39.0,1,1.0,2.0,1.0,,1.0,,3.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,110.76923076923076,,9.0,21.0,9.0,21.0,,,,,,,1.0,,,,,,,,,,,0.3118,,,,,,,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,True
1626173-1628371-202714-203613-203920,1610612753,"Rashad Vaughn, Jonathan Isaac, Shelvin Mack, Jonathon Simmons, Khem Birch","Vaughn, Isaac, Mack, Simmons, Birch",1626173-1628371-202714-203613-203920,ORL,41.0,1,1.0,1.0,1.0,,1.0,,2.0,,,,,,,,,1.0,1.0,,,,1.0,1.0,,3.0,,,,,,,,,,3.0,,,1.0,1.0,,1.0,1.0,1.0,3.0,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,3.0,,,,1.0,1.0,1.0,,,,1.5,,,1.5,,,1.0,,,,,1.0,,,1.0,,,,,,,70.2439024390244,1.0,22.0,19.0,22.0,19.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,0.5331,,,,,,,,25.5,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,True
1626173-1628411-201571-203613-203920,1610612753,"Rashad Vaughn, Wes Iwundu, D.J. Augustin, Jonathon Simmons, Khem Birch","Vaughn, Iwundu, Augustin, Simmons, Birch",1626173-1628411-201571-203613-203920,ORL,13.0,1,,3.0,1.0,3.0,,,4.0,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,,4.0,,,,,,,3.0,,1.0,,,,,,,,,,,0.75,,0.75,,,,,,,,,,,,,,,,443.07692307692304,,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,True
1626173-201571-202696-203613-203932,1610612753,"Rashad Vaughn, D.J. Augustin, Nikola Vucevic, Jonathon Simmons, Aaron Gordon","Vaughn, Augustin, Vucevic, Simmons, Gordon",1626173-201571-202696-203613-203932,ORL,76.0,1,1.0,3.0,4.0,,4.0,,7.0,,,,,,1.0,1.0,,,2.0,,1.0,1.0,,2.0,,2.0,2.0,,,,,,,,,,,1.0,1.0,,,,1.0,,2.0,,,,,1.0,,1.0,2.0,2.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,2.0,,,,,,,1.0,,,0.3333333333333333,,,0.3333333333333333,,,0.6666666666666666,,,,,,,,,,,,,,,132.63157894736844,,8.666666666666666,12.5,8.666666666666666,12.5,,,,0.3333333333333333,1.0,1.0,,0.6666666666666666,,,,,,,,0.6666666666666666,,0.502475,,,,,,,13.5,39.75,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,True
