EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,PenaltyAtRimFGM,PenaltyFtPoints,FTDefRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,OffAtRimReboundPct,PenaltyAtRimAccuracy,FTOffRebounds,Offensive Fouls,Loose Ball Fouls Drawn,OffFTReboundPct,SecondChanceAtRimPctAssisted,DefCorner3ReboundPct,Corner3FGA,Corner3Frequency,LongMidRangeFGM,LongMidRangeAssists,BadPassSteals,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PtsUnassisted3s,Travels,LostBallOutOfBoundsTurnovers,Corner3FGM,Corner3Assists,SecondChanceTurnovers,3pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Loose Ball Fouls,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3FGA,SecondChanceFtPoints,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,PenaltyCorner3Frequency,Charge Fouls,Charge Fouls Drawn,DefensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceArc3FGM,3SecondViolations,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ShortMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockingFoulsDrawn,BlockedArc3,BlockedLongMidRange,LongMidRangePctBlocked,BlockingFouls,OffensiveGoaltends,StepOutOfBoundsTurnovers,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1627215-1627767-202703-203121-203546,1610612740,"Walter Lemon Jr., Cheick Diallo, Nikola Mirotic, Darius Miller, Ian Clark","Lemon Jr., Diallo, Mirotic, Miller, Clark",1627215-1627767-202703-203121-203546,NOP,617.0,3,10.0,3.0,24.0,21.0,4.0,3.0,3.0,45.0,5.0,8.0,2.0,2.0,1.0,3.0,5.0,2.0,1.0,5.0,1.0,2.0,8.0,15.0,1.0,5.0,4.0,23.0,20.0,3.0,3.0,6.0,1.0,2.0,1.0,2.0,5.0,10.0,6.0,3.0,4.0,1.0,4.0,1.0,1.0,5.0,1.0,6.0,1.0,3.0,2.0,13.0,1.0,2.0,8.0,8.0,3.0,11.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,1.0,7.0,1.0,6.0,1.0,2.0,1.0,5.0,4.0,1.0,5.0,4.0,17.0,5.0,4.0,0.625,0.8333333333333334,1.0,0.2,0.5,0.25,0.5333333333333333,1.0,0.5,0.475,1.0,0.625,0.5227272727272727,1.0,0.625,0.25,0.06666666666666667,0.125,0.8333333333333334,0.8888888888888888,0.2857142857142857,0.3333333333333333,0.8888888888888888,0.3,0.5,0.5,0.3333333333333333,0.8,1.0,1.0,0.1111111111111111,105.02431118314425,0.8,14.708333333333334,12.571428571428571,14.291666666666666,11.952380952380953,0.4,0.625,0.7142857142857143,0.6,0.25,0.6,0.6,0.6666666666666666,0.1,0.25,0.2,0.2,1.0,0.6666666666666666,1.0,0.25,0.5,0.5,0.65,0.25,0.5007973684210526,0.5542,0.3065833333333333,0.13636363636363635,0.125,0.16666666666666666,0.2608695652173913,0.21739130434782608,6.16,33.06,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627215-1627767-202732-203121-203546,1610612740,"Walter Lemon Jr., Cheick Diallo, DeAndre Liggins, Darius Miller, Ian Clark","Lemon Jr., Diallo, Liggins, Miller, Clark",1627215-1627767-202732-203121-203546,NOP,76.0,1,1.0,-1.0,2.0,3.0,,,,5.0,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,2.0,3.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,0.5,,,0.5,,,0.5,,,,1.0,,,1.0,,,,,,1.0,,,94.73684210526316,,17.0,14.0,17.0,14.0,0.5,1.0,1.0,,,,,,,0.5,,,,,,,,,1.0,,0.6709,,,,,,,,0.6,25.7,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627215-1627767-203076-203121-203546,1610612740,"Walter Lemon Jr., Cheick Diallo, Anthony Davis, Darius Miller, Ian Clark","Lemon Jr., Diallo, Davis, Miller, Clark",1627215-1627767-203076-203121-203546,NOP,157.0,1,3.0,2.0,6.0,7.0,6.0,7.0,1.0,13.0,2.0,3.0,,,3.0,,1.0,,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,9.0,7.0,,1.0,,2.0,4.0,1.0,1.0,9.0,,4.0,3.0,,,1.0,1.0,,,1.0,1.0,1.0,,,3.0,,1.0,1.0,2.0,1.0,3.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,9.0,9.0,6.0,,,1.0,1.0,1.0,1.0,0.5,,0.5,0.7,,0.7,0.75,,0.75,0.2,,,,1.0,0.5,,1.0,0.5,,,,1.0,,,,119.23566878980891,1.0,11.166666666666666,12.857142857142858,9.833333333333334,12.571428571428571,0.6,0.6666666666666666,0.6666666666666666,,0.2,,,,,0.2,1.0,1.0,1.0,,,0.6,0.2,1.0,0.8,1.0,0.4923,0.3998,0.4923,0.2,0.25,,,1.0,3.05,25.4,1.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627215-201950-203076-203121-203546,1610612740,"Walter Lemon Jr., Jrue Holiday, Anthony Davis, Darius Miller, Ian Clark","Lemon Jr., Holiday, Davis, Miller, Clark",1627215-201950-203076-203121-203546,NOP,41.0,1,1.0,2.0,2.0,1.0,,,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,2.0,,1.0,1.0,2.0,,,,,,2.0,,,,,,,,1.0,,1.0,,1.0,,2.0,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,105.36585365853658,,14.5,12.0,7.0,12.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,0.5654,0.5654,,,,,1.0,,1.1,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627215-202703-202732-203121-203546,1610612740,"Walter Lemon Jr., Nikola Mirotic, DeAndre Liggins, Darius Miller, Ian Clark","Lemon Jr., Mirotic, Liggins, Miller, Clark",1627215-202703-202732-203121-203546,NOP,248.0,1,4.0,6.0,8.0,8.0,,,,16.0,4.0,4.0,,,,,,2.0,1.0,1.0,,,4.0,6.0,1.0,1.0,2.0,13.0,7.0,,,,,,,,,4.0,4.0,3.0,,,1.0,1.0,,2.0,1.0,3.0,1.0,2.0,,7.0,,,1.0,5.0,,5.0,,,,,,,1.0,,1.0,,,1.0,2.0,,3.0,1.0,2.0,,,,,,,13.0,,,0.5,0.5,1.0,1.0,,1.0,0.6666666666666666,,,0.7857142857142857,,,0.8125,,,0.14285714285714285,,,,1.0,,,1.0,,,,,,,1.0,,92.9032258064516,,12.75,18.25,12.75,18.25,0.5714285714285714,1.0,1.0,0.5,,,,,0.2857142857142857,0.14285714285714285,1.0,1.0,1.0,,,,,,0.7142857142857143,1.0,0.6013071428571429,,,0.25,0.2857142857142857,,,,8.216666666666667,25.7,,4.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627215-202703-203076-203121-203546,1610612740,"Walter Lemon Jr., Nikola Mirotic, Anthony Davis, Darius Miller, Ian Clark","Lemon Jr., Mirotic, Davis, Miller, Clark",1627215-202703-203076-203121-203546,NOP,81.0,1,1.0,-2.0,2.0,3.0,,,,5.0,1.0,1.0,,,,1.0,1.0,,,,,,2.0,2.0,,,,4.0,6.0,,,,,,,,,2.0,2.0,,,,,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,4.0,,,0.5,0.5,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,88.88888888888889,,18.5,14.666666666666666,18.5,14.666666666666666,0.5,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,0.5,,0.40565,,,,,,,,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627215-203076-203121-203546-2731,1610612740,"Walter Lemon Jr., Anthony Davis, Darius Miller, Ian Clark, Emeka Okafor","Lemon Jr., Davis, Miller, Clark, Okafor",1627215-203076-203121-203546-2731,NOP,81.0,1,1.0,3.0,3.0,3.0,,,,6.0,1.0,1.0,,,,2.0,2.0,,,,,,3.0,3.0,,,,6.0,3.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,106.66666666666666,,12.0,15.0,12.0,15.0,0.3333333333333333,1.0,1.0,,0.6666666666666666,1.0,1.0,,,,,,,,,,,,0.3333333333333333,,0.4746666666666666,,,,,,,,4.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627767-1628455-201950-202734-203121,1610612740,"Cheick Diallo, Mike James, Jrue Holiday, E'Twaun Moore, Darius Miller","Diallo, James, Holiday, Moore, Miller",1627767-1628455-201950-202734-203121,NOP,64.0,1,1.0,-3.0,3.0,3.0,,,,6.0,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,1.0,,,1.0,,,,,1.0,,,,135.0,,15.0,6.333333333333333,15.0,6.333333333333333,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,0.6666666666666666,,0.5216666666666666,,,,,,,,14.7,23.7,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627767-1628455-202703-203121-203546,1610612740,"Cheick Diallo, Mike James, Nikola Mirotic, Darius Miller, Ian Clark","Diallo, James, Mirotic, Miller, Clark",1627767-1628455-202703-203121-203546,NOP,230.0,1,4.0,6.0,9.0,8.0,,,1.0,17.0,2.0,2.0,,,,,1.0,4.0,,,,,4.0,7.0,,,2.0,10.0,4.0,,1.0,,,,,,,4.0,4.0,,,,,,,2.0,,2.0,,1.0,,4.0,,1.0,2.0,3.0,1.0,4.0,,3.0,2.0,2.0,,,,2.0,2.0,,,1.0,1.0,,2.0,,1.0,,,,,,,10.0,,,0.5,0.5,,,,,0.5714285714285714,,,0.5714285714285714,,,0.625,,,,,,1.0,1.0,0.3333333333333333,,0.75,0.3333333333333333,1.0,,,,,1.0,,106.43478260869564,,10.222222222222221,17.25,9.222222222222221,16.0,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,,,,0.5714285714285714,,,,,,,,,,0.2857142857142857,,0.5097285714285714,0.4218,,0.125,0.125,,,,11.257142857142856,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,2.0,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627767-200765-201950-201967-202734,1610612740,"Cheick Diallo, Rajon Rondo, Jrue Holiday, Dante Cunningham, E'Twaun Moore","Diallo, Rondo, Holiday, Cunningham, Moore",1627767-200765-201950-201967-202734,NOP,243.0,1,4.0,1.0,9.0,10.0,,10.0,,19.0,,1.0,,,,,,1.0,2.0,3.0,,,1.0,2.0,2.0,3.0,2.0,10.0,9.0,,,,,,,,,2.0,,3.0,,,3.0,2.0,,1.0,1.0,2.0,1.0,,,5.0,,,1.0,5.0,,5.0,,,,1.0,,,2.0,1.0,3.0,,,,1.0,,2.0,,1.0,,,,,,,10.0,,,1.0,1.0,0.5,0.6666666666666666,,0.6666666666666666,0.5,,,0.8,,,0.8333333333333334,,,0.6,,,0.3333333333333333,0.5,,,0.8333333333333334,,,,,1.0,,,,112.5925925925926,,9.777777777777779,15.5,9.777777777777779,14.6,0.2,,,,,,,,0.2,0.6,0.6666666666666666,0.6666666666666666,0.5,,,,,,0.8,0.6666666666666666,0.54276,,,0.16666666666666666,0.3333333333333333,,,,9.5,25.233333333333334,,4.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
