EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,Fouls,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,OpponentPoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,BadPassSteals,ShootingFouls,FoulsDrawn,FTA,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimAssists,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceOffPoss,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,OffTwoPtRebounds,OffRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeAssists,FTDefRebounds,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,SecondChanceAtRimFGA,SelfOReb,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,BadPassTurnovers,Offensive Fouls Drawn,BlockedAtRim,BlockedShortMidRange,DefCorner3ReboundPct,OffThreePtRebounds,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted3s,PtsPutbacks,Fg3aBlocked,Corner3Assists,FTOffRebounds,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,TwoPtShootingFoulsDrawnPct,DefensiveGoaltends,Charge Fouls Drawn,HeaveAttempts,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1627767-200765-201950-202703-202734,1610612740,"Cheick Diallo, Rajon Rondo, Jrue Holiday, Nikola Mirotic, E'Twaun Moore","Diallo, Rondo, Holiday, Mirotic, Moore",1627767-200765-201950-202703-202734,NOP,102.0,1,2.0,4.0,3,4,4.0,7,1.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,98.82352941176471,1.0,12.0,16.5,12.0,13.75,0.3333333333333333,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,0.44530000000000003,8.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-200765-201950-202703-203121,1610612740,"Cheick Diallo, Rajon Rondo, Jrue Holiday, Nikola Mirotic, Darius Miller","Diallo, Rondo, Holiday, Mirotic, Miller",1627767-200765-201950-202703-203121,NOP,140.0,1,2.0,-7.0,5,6,4.0,11,,,2.0,,2.0,6.0,,,,,1.0,,3.0,,,,1.0,,1.0,,,,,6.0,,,,0.5,0.75,,,,,,,113.14285714285714,,16.8,9.333333333333334,16.8,9.333333333333334,,0.6666666666666666,,,,0.3333333333333333,0.40076666666666666,7.55,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,13.0,1.0,1.0,1.0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,0.75,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,1.0,0.4194,0.25,0.5,1.0,29.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-200765-201950-202734-203076,1610612740,"Cheick Diallo, Rajon Rondo, Jrue Holiday, E'Twaun Moore, Anthony Davis","Diallo, Rondo, Holiday, Moore, Davis",1627767-200765-201950-202734-203076,NOP,96.0,1,2.0,-5.0,4,4,,8,3.0,,,1.0,3.0,2.0,2.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,1.0,,,120.0,,14.75,9.25,14.75,9.25,1.0,,,,,1.0,0.4896666666666667,2.6666666666666665,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-200765-201950-203076-203121,1610612740,"Cheick Diallo, Rajon Rondo, Jrue Holiday, Anthony Davis, Darius Miller","Diallo, Rondo, Holiday, Davis, Miller",1627767-200765-201950-203076-203121,NOP,128.0,1,2.0,6.0,5,4,4.0,9,2.0,2.0,2.0,4.0,5.0,8.0,8.0,,,4.0,4.0,2.0,8.0,2.0,2.0,3.0,1.0,1.0,,,,,,6.0,1.0,1.0,0.8,0.8,0.8,,,1.0,0.5,,,101.25,,9.4,20.25,8.6,14.5,0.4,0.4,1.0,1.0,1.0,0.4,0.4281,8.76,3.0,,,,,,,,2.0,2.0,,,,4.0,,,,,,,,1.0,,,4.0,3.0,,,,,1.0,1.0,,,,,,,,,0.3901,,,0.5,,0.6,2.0,2.0,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3822,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-200765-202703-203121-203546,1610612740,"Cheick Diallo, Rajon Rondo, Nikola Mirotic, Darius Miller, Ian Clark","Diallo, Rondo, Mirotic, Miller, Clark",1627767-200765-202703-203121-203546,NOP,118.0,1,2.0,-4.0,4,4,4.0,8,1.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,,2.0,,,,,4.0,0.5,0.5,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,,,,,97.6271186440678,,13.25,16.25,13.25,14.5,0.25,0.25,1.0,1.0,,0.5,0.4488,10.033333333333333,4.0,,1.0,,1.0,,1.0,,8.0,3.0,,1.0,,4.0,,1.0,,,,,,1.0,,,4.0,4.0,,,,,0.5,0.5,0.25,0.25,,,,0.25,,,0.4488,,,1.0,27.8,1.0,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,0.6666666666666666,,,,,,,0.25,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-200765-202734-203076-203546,1610612740,"Cheick Diallo, Rajon Rondo, E'Twaun Moore, Anthony Davis, Ian Clark","Diallo, Rondo, Moore, Davis, Clark",1627767-200765-202734-203076-203546,NOP,78.0,1,1.0,,2,2,,4,1.0,,1.0,,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,73.84615384615384,,28.5,10.5,27.0,10.5,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,0.4365333333333334,11.566666666666668,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,0.5406,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-201950-202703-203121-203546,1610612740,"Cheick Diallo, Jrue Holiday, Nikola Mirotic, Darius Miller, Ian Clark","Diallo, Holiday, Mirotic, Miller, Clark",1627767-201950-202703-203121-203546,NOP,222.0,1,4.0,1.0,7,7,3.0,14,2.0,,,3.0,4.0,6.0,,6.0,,,,,,2.0,4.0,4.0,,,1.0,3.0,,3.0,2.0,6.0,,,0.75,0.5,0.5,,,0.6666666666666666,0.8,0.5,,90.8108108108108,0.6666666666666666,12.714285714285714,19.0,12.714285714285714,17.714285714285715,0.3333333333333333,,,,,0.6666666666666666,0.5329166666666666,8.45,,,2.0,,,,2.0,,5.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,24.9,,2.0,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,1.0,,,,,0.5,0.5,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-201950-202703-203524-203546,1610612740,"Cheick Diallo, Jrue Holiday, Nikola Mirotic, Solomon Hill, Ian Clark","Diallo, Holiday, Mirotic, Hill, Clark",1627767-201950-202703-203524-203546,NOP,257.0,1,4.0,-2.0,8,9,,17,3.0,1.0,2.0,4.0,7.0,8.0,,8.0,1.0,,,,,1.0,3.0,4.0,,,,,,,,6.0,,,0.5714285714285714,0.4444444444444444,0.4444444444444444,0.14285714285714285,,1.0,1.0,,,95.25291828793775,,20.125,10.666666666666666,17.625,10.666666666666666,0.3333333333333333,0.2222222222222222,0.5,0.5,,0.5555555555555556,0.5114666666666667,7.328571428571428,,,2.0,,,,2.0,,10.0,,,,,,,2.0,,,,,,,,,,,,,,,,,0.2222222222222222,0.2222222222222222,,,,,,,,,,,26.1,,3.0,,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,,1.0,,,,,1.0,,1.0,1.0,,0.2,,1.0,0.2222222222222222,,0.25,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
200765-201950-202703-202734-203076,1610612740,"Rajon Rondo, Jrue Holiday, Nikola Mirotic, E'Twaun Moore, Anthony Davis","Rondo, Holiday, Mirotic, Moore, Davis",200765-201950-202703-202734-203076,NOP,10185.0,10,170.0,34.0,368,360,43.0,728,119.0,28.0,78.0,124.0,235.0,406.0,146.0,102.0,19.0,73.0,103.0,15.0,236.0,79.0,148.0,186.0,29.0,13.0,58.0,17.0,2.0,19.0,11.0,353.0,0.5887096774193549,0.6239316239316239,0.5276595744680851,0.553030303030303,0.5688202247191011,0.08085106382978724,0.06722689075630252,0.7247706422018348,0.7712765957446809,0.5517241379310345,0.8285714285714286,102.9278350515464,0.5789473684210527,13.39945652173913,14.594444444444445,12.831521739130435,14.055555555555555,0.3606060606060606,0.23636363636363636,0.358974358974359,0.4117647058823529,0.5357142857142857,0.6484848484848484,0.5205566666666667,6.66,60.0,32.0,82.0,5.0,11.0,39.0,95.0,41.0,372.0,35.0,6.0,13.0,15.0,71.0,90.0,82.0,32.0,30.0,24.0,16.0,23.0,67.0,61.0,,70.0,59.0,0.7692307692307693,0.4105263157894737,0.46153846153846156,0.4105263157894737,0.5833333333333334,0.625,0.2878787878787879,0.24848484848484848,0.3902439024390244,0.3950617283950617,0.75,0.22916666666666666,0.45454545454545453,0.3902439024390244,0.516159375,0.08522727272727272,,0.1748768472906404,25.357894736842105,0.16304347826086957,80.0,51.0,66.0,32.0,7.0,51.0,0.6274509803921569,0.8354430379746836,0.84375,0.6722689075630253,0.7207207207207207,0.6375,34.0,38.0,17.0,25.0,53.0,19.0,29.0,38.0,19.0,6.0,12.0,5.0,0.68,0.5428571428571428,0.7205882352941176,0.7361111111111112,0.2636363636363636,0.22424242424242424,0.14285714285714285,0.7555555555555555,0.11515151515151516,0.5760896551724137,0.13054187192118227,20.0,16.0,7.0,3.0,,1.0,0.42105263157894735,0.43243243243243246,0.4375,0.4166666666666667,20.0,3.0,0.26,0.020689655172413793,0.5882352941176471,25.0,2.0,11.0,4.0,0.8,8.0,0.02631578947368421,0.14545454545454545,0.12244897959183673,14.0,11.0,7.0,13.0,1.0,2.0,1.0,2.0,4.0,7.0,5.0,9.0,4.0,27.0,14.0,2.0,6.0,1.0,5.0,1.0,3.0,2.0,4.0,3.0,1.0,8.0,1.0,30.0,4.0,2.0,1.0,1.0,3.0,0.5555555555555556,0.021052631578947368,0.1282051282051282,0.07692307692307693,0.012195121951219513,0.1,0.3333333333333333,0.3333333333333333,0.03939393939393939,0.5384615384615384,0.5833333333333334,0.8571428571428571,0.7,0.35714285714285715,0.058823529411764705,0.5,1.0,0.20588235294117646,0.5714285714285714,0.75,0.55,0.041666666666666664,0.5,0.11673151750972763,,,,,1610612740,2018,2017-18,False
200765-201950-202703-202734-203524,1610612740,"Rajon Rondo, Jrue Holiday, Nikola Mirotic, E'Twaun Moore, Solomon Hill","Rondo, Holiday, Mirotic, Moore, Hill",200765-201950-202703-202734-203524,NOP,275.0,3,5.0,-4.0,9,9,3.0,18,2.0,2.0,2.0,6.0,7.0,13.0,4.0,8.0,,2.0,2.0,1.0,4.0,,2.0,2.0,,,2.0,,,,,13.0,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.8571428571428571,0.8125,,,,0.3333333333333333,,,94.25454545454546,,14.88888888888889,15.666666666666666,14.88888888888889,15.666666666666666,0.2857142857142857,0.2857142857142857,1.0,1.0,0.5,0.2857142857142857,0.46912857142857145,11.585714285714285,4.0,,,,,,,1.0,17.0,3.0,,,,6.0,,,,,,,,1.0,2.0,,6.0,4.0,,,,,1.0,1.0,,,,,,,,,0.4950666666666667,0.125,,0.46153846153846156,,0.4444444444444444,2.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,3.0,,,,3.0,,,,,1.0,,,1.0,,,,,,,0.42857142857142855,,,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.125,,,,,1610612740,2018,2017-18,False
