EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,SecondChanceFG2A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,Loose Ball Fouls Drawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,LongMidRangeFGM,LongMidRangeFGA,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,LongMidRangeAssists,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG3A,Steals,BadPassSteals,OffAtRimReboundPct,PenaltyAtRimFrequency,PenaltyArc3Frequency,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,FtPoints,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Corner3Assists,Loose Ball Fouls,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Assists,FTDefRebounds,ShortMidRangePctBlocked,DefFTReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SelfOReb,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SelfORebPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,PenaltyAtRimFGM,PtsUnassisted2s,PtsUnassisted3s,HeaveAttempts,AtRimAssists,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,BlockingFoulsDrawn,LiveBallTurnoverPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimAccuracy,Offensive Fouls,Blocked3s,BlockedArc3,Charge Fouls,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,Corner3PctBlocked,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,BlockedAtRim,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffCorner3ReboundPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,SecondChanceAtRimPctAssisted,Offensive Fouls Drawn,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,Travels,LongMidRangePctBlocked,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,FTOffRebounds,3pt And 1 Free Throw Trips,SecondChanceFg3Pct,Arc3PctBlocked,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,BlockingFouls,Clear Path Fouls,Technical Free Throw Trips,BlockedCorner3,3SecondViolations,Charge Fouls Drawn,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,team_id,year,season,team_vs
1626172-1626188-1628395-201142-202691,1610612744,"Kevon Looney, Quinn Cook, Jordan Bell, Kevin Durant, Klay Thompson","Looney, Cook, Bell, Durant, Thompson",1626172-1626188-1628395-201142-202691,GSW,79.0,1,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.2,0.2,0.4,1.0,0.5,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,72.9113924050633,20.5,19.0,18.0,19.0,0.2,0.4,0.5,0.5,1.0,0.4,0.5,0.6,0.53756,0.7031,7.533333333333334,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-1628395-201142-2733,1610612744,"Kevon Looney, Quinn Cook, Jordan Bell, Kevin Durant, Shaun Livingston","Looney, Cook, Bell, Durant, Livingston",1626172-1626188-1628395-201142-2733,GSW,38.0,1,1.0,,1.0,1.0,,2.0,,,,,,1.0,1.0,,2.0,,2.0,,1.0,1.0,,2.0,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,75.78947368421053,17.0,21.0,17.0,21.0,,,,,,,,,0.3938,,14.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3938,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-201142-201156-201939,1610612744,"Kevon Looney, Quinn Cook, Kevin Durant, Nick Young, Stephen Curry","Looney, Cook, Durant, Young, Curry",1626172-1626188-201142-201156-201939,GSW,85.0,1,1.0,-2.0,2.0,2.0,1.0,4.0,3.0,2.0,,,1.0,,3.0,1.0,,2.0,,1.0,,,,,,2.0,,,,2.0,2.0,,,,,,,,,0.25,,0.6666666666666666,,,,0.5,,,,,67.76470588235294,19.0,23.5,18.0,23.5,0.75,,,,,0.25,1.0,1.0,0.622825,0.71645,1.0,27.2,2.0,,,,2.0,,3.0,,,,1.0,,2.0,,,,,,,,0.622825,,1.0,3.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-201142-202691-203110,1610612744,"Kevon Looney, Quinn Cook, Kevin Durant, Klay Thompson, Draymond Green","Looney, Cook, Durant, Thompson, Green",1626172-1626188-201142-202691-203110,GSW,255.0,3,4.0,1.0,8.0,7.0,1.0,15.0,2.0,,,1.0,1.0,,4.0,3.0,8.0,1.0,,1.0,,2.0,,6.0,,1.0,,4.0,4.0,1.0,5.0,2.0,,8.0,,,,0.42857142857142855,0.4444444444444444,0.42857142857142855,0.5714285714285714,0.25,,,0.5714285714285714,0.2,,,,,84.70588235294117,15.0,19.285714285714285,14.0,17.428571428571427,0.2857142857142857,0.14285714285714285,,,,0.14285714285714285,,0.7142857142857143,0.4819857142857143,0.4739,6.525,25.96666666666667,4.0,,,1.0,7.0,,,5.0,,1.0,2.0,5.0,4.0,,0.75,0.625,0.14285714285714285,,,,0.5214,0.625,0.5,,1.0,2.0,,,0.5,,0.5,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.25,0.5,0.6666666666666666,0.5,1.0,0.2857142857142857,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-201142-202691-2738,1610612744,"Kevon Looney, Quinn Cook, Kevin Durant, Klay Thompson, Andre Iguodala","Looney, Cook, Durant, Thompson, Iguodala",1626172-1626188-201142-202691-2738,GSW,101.0,1,2.0,-2.0,3.0,4.0,,7.0,1.0,,,1.0,1.0,,2.0,1.0,3.0,,,1.0,,1.0,,3.0,,,,1.0,2.0,,2.0,,,3.0,,,,0.5,0.5,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,,,0.5,,99.8019801980198,15.0,14.0,15.0,13.75,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,0.6666666666666666,0.43855,,6.55,26.1,3.0,4.0,,,5.0,,2.0,3.0,,1.0,1.0,3.0,3.0,,0.5,0.5,,,,,0.43855,1.0,1.0,1.0,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,,,,,1.0,,1.0,,3.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-201142-203110-2733,1610612744,"Kevon Looney, Quinn Cook, Kevin Durant, Draymond Green, Shaun Livingston","Looney, Cook, Durant, Green, Livingston",1626172-1626188-201142-203110-2733,GSW,284.0,6,5.0,-9.0,11.0,10.0,1.0,21.0,4.0,1.0,2.0,3.0,1.0,2.0,9.0,1.0,8.0,1.0,4.0,1.0,2.0,2.0,2.0,4.0,,1.0,,2.0,2.0,1.0,3.0,4.0,,8.0,1.0,1.0,0.2222222222222222,0.2,0.3333333333333333,0.1,0.6666666666666666,0.14285714285714285,,,0.6666666666666666,0.125,,,1.0,,106.47887323943662,13.090909090909092,14.0,13.0,14.0,0.4,0.3,0.6666666666666666,0.6666666666666666,1.0,0.1,1.0,0.5,0.49297,0.6347,7.966666666666667,24.9,2.0,6.0,,2.0,17.0,1.0,1.0,3.0,,,1.0,3.0,2.0,1.0,1.0,0.75,0.2,,,,0.3705,0.375,0.18181818181818182,,,,,,0.25,,,,,,,,4.0,,1.0,,1.0,,,,5.0,1.0,,,,,1.0,,,,,0.1111111111111111,0.25,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,0.14285714285714285,0.18181818181818182,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-201142-2561-2733,1610612744,"Kevon Looney, Quinn Cook, Kevin Durant, David West, Shaun Livingston","Looney, Cook, Durant, West, Livingston",1626172-1626188-201142-2561-2733,GSW,1655.0,9,28.0,-17.0,58.0,59.0,3.0,117.0,13.0,1.0,5.0,15.0,10.0,17.0,38.0,12.0,59.0,2.0,16.0,9.0,8.0,12.0,,28.0,1.0,3.0,6.0,9.0,16.0,4.0,20.0,7.0,1.0,59.0,0.47058823529411764,0.47058823529411764,0.4473684210526316,0.49,0.5363636363636364,0.24,0.9,0.14285714285714285,0.46153846153846156,0.16666666666666666,0.6521739130434783,0.14814814814814814,0.1,0.16666666666666666,1.0,0.5,101.80060422960726,15.344827586206897,12.966101694915254,14.862068965517242,12.338983050847459,0.26,0.3,0.3333333333333333,0.4166666666666667,,0.2,0.5,0.5,0.45330510204081637,0.362,8.426315789473684,28.05,18.0,43.0,2.0,10.0,76.0,4.0,11.0,16.0,2.0,6.0,18.0,16.0,18.0,0.36363636363636365,0.3076923076923077,0.47058823529411764,0.2,0.2,0.2,1.0,0.4541807692307692,0.2711864406779661,0.3103448275862069,4.0,2.0,2.0,4.0,2.0,,0.3076923076923077,0.15384615384615385,2.0,2.0,,,5.0,10.0,,8.0,12.0,3.0,4.0,2.0,4.0,10.0,3.0,,,,,3.0,0.8,0.4166666666666667,,0.45454545454545453,0.07894736842105263,,0.5,1.0,,0.04,1.0,1.0,1.0,,,3.0,,3.0,2.0,1.0,0.2,1.0,0.3,0.3,0.6666666666666666,,0.3333333333333333,,,2.0,9.0,,0.038461538461538464,0.05,10.0,3.0,18.0,3.0,1.0,6.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,0.5,0.25,0.4444444444444444,0.7692307692307693,0.7692307692307693,0.6,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-202691-203110-2733,1610612744,"Kevon Looney, Quinn Cook, Klay Thompson, Draymond Green, Shaun Livingston","Looney, Cook, Thompson, Green, Livingston",1626172-1626188-202691-203110-2733,GSW,140.0,1,2.0,-6.0,6.0,6.0,,12.0,2.0,,,,,1.0,2.0,1.0,2.0,,2.0,,1.0,1.0,,2.0,,,2.0,,2.0,,2.0,,,2.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,1.0,,1.0,,,,,,123.42857142857142,13.833333333333334,9.5,13.833333333333334,9.5,0.6666666666666666,,,,,,,1.0,0.49498333333333333,,2.5,23.2,,,,,8.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,0.5,0.5,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,2.0,,1.0,1.0,,1.0,3.0,,,,0.6666666666666666,,1.0,0.5,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-202691-203110-2738,1610612744,"Kevon Looney, Quinn Cook, Klay Thompson, Draymond Green, Andre Iguodala","Looney, Cook, Thompson, Green, Iguodala",1626172-1626188-202691-203110-2738,GSW,75.0,1,1.0,-2.0,3.0,2.0,,5.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,96.0,19.333333333333332,8.5,19.333333333333332,8.5,,,,,,,,,0.36585,,16.9,,,,,2.0,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-202691-2561-2733,1610612744,"Kevon Looney, Quinn Cook, Klay Thompson, David West, Shaun Livingston","Looney, Cook, Thompson, West, Livingston",1626172-1626188-202691-2561-2733,GSW,62.0,2,1.0,3.0,4.0,2.0,1.0,6.0,2.0,,1.0,2.0,,3.0,4.0,,6.0,1.0,4.0,,2.0,2.0,1.0,4.0,,,,,,,,,,6.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,,,,,,,,,,,,139.3548387096774,8.75,13.5,6.0,13.5,0.5,0.5,0.5,0.5,1.0,,,0.5,0.46585,,3.925,,4.0,2.0,,,3.0,3.0,4.0,6.0,,,,6.0,4.0,0.75,0.75,0.75,,,,,0.46585,1.0,1.0,2.0,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
