EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PtsUnassisted2s,FoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,FTDefRebounds,OffRebounds,BlockingFouls,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,SelfOReb,LostBallSteals,LostBallTurnovers,SecondChanceTurnovers,Charge Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,ShortMidRangeAssists,ShortMidRangePctAssisted,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Offensive Fouls,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,OffAtRimReboundPct,Loose Ball Fouls,2pt And 1 Free Throw Trips,DefensiveGoaltends,SecondChanceCorner3FGA,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls Drawn,SecondChanceCorner3FGM,PenaltyCorner3FGM,Travels,Charge Fouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,HeaveAttempts,LongMidRangePctBlocked,team_id,year,season,team_vs
1626220-1628378-201937-201973-203497,1610612762,"Royce O'Neale, Donovan Mitchell, Ricky Rubio, Jonas Jerebko, Rudy Gobert","O'Neale, Mitchell, Rubio, Jerebko, Gobert",1626220-1628378-201937-201973-203497,UTA,49.0,1,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.5,0.5,0.5,117.55102040816327,12.5,12.0,12.5,12.0,0.5,0.5,1.0,1.0,0.5,0.51905,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-201937-202324-203109,1610612762,"Royce O'Neale, Donovan Mitchell, Ricky Rubio, Derrick Favors, Jae Crowder","O'Neale, Mitchell, Rubio, Favors, Crowder",1626220-1628378-201937-202324-203109,UTA,121.0,3,2.0,-4.0,5.0,6.0,3.0,11.0,,,,,,,,,,,,,130.9090909090909,14.0,8.5,14.0,8.5,,,,,,,,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,5.0,4.0,1.0,3.0,4.0,0.6,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-201937-202324-203497,1610612762,"Royce O'Neale, Donovan Mitchell, Ricky Rubio, Derrick Favors, Rudy Gobert","O'Neale, Mitchell, Rubio, Favors, Gobert",1626220-1628378-201937-202324-203497,UTA,362.0,3,6.0,-7.0,16.0,16.0,5.0,32.0,4.0,1.0,2.0,4.0,11.0,11.0,6.0,1.0,9.0,0.36363636363636365,0.39285714285714285,0.39285714285714285,127.29281767955801,10.625,12.0,10.4375,11.5,0.2857142857142857,0.14285714285714285,0.5,0.5,0.5,0.48836071428571426,7.054545454545454,,18.0,3.0,5.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,,3.0,,5.0,7.0,,0.3333333333333333,1.0,0.42857142857142855,,,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.21428571428571427,0.2727272727272727,0.25,0.4,1.0,0.14285714285714285,0.1111111111111111,0.25,1.0,1.0,0.5,0.6666666666666666,0.5,0.35714285714285715,0.2,0.3333333333333333,0.07142857142857142,0.14285714285714285,0.5,0.5,1.0,1.0,0.5,0.4931,0.18181818181818182,24.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-201937-203109-203497,1610612762,"Royce O'Neale, Donovan Mitchell, Ricky Rubio, Jae Crowder, Rudy Gobert","O'Neale, Mitchell, Rubio, Crowder, Gobert",1626220-1628378-201937-203109-203497,UTA,1429.0,6,24.0,34.0,52.0,49.0,11.0,101.0,9.0,5.0,12.0,16.0,31.0,65.0,28.0,17.0,59.0,0.5161290322580645,0.5888888888888889,0.625,101.77746675997201,12.23076923076923,16.183673469387756,11.711538461538462,15.285714285714286,0.2,0.26666666666666666,0.4166666666666667,0.4166666666666667,0.5111111111111111,0.48767000000000005,9.858064516129033,12.0,31.0,5.0,21.0,26.0,9.0,7.0,4.0,,2.0,1.0,1.0,5.0,1.0,4.0,10.0,12.0,0.8,0.5,0.7142857142857143,0.5,0.23076923076923078,6.0,7.0,1.0,1.0,4.0,10.0,2.0,6.0,12.0,7.0,14.0,2.0,3.0,6.0,4.0,6.0,12.0,6.0,3.0,2.0,7.0,1.0,19.0,3.0,1.0,5.0,2.0,2.0,1.0,0.125,0.13333333333333333,0.5,0.5,0.6666666666666666,0.5,0.6,0.3111111111111111,0.0967741935483871,0.1111111111111111,0.2,1.0,0.2,0.22727272727272727,0.16666666666666666,0.2,1.0,0.7777777777777778,0.875,0.14285714285714285,0.2222222222222222,0.4,0.5,0.044444444444444446,0.26666666666666666,0.5,0.5,0.25,1.0,0.5,0.48165,0.09230769230769231,24.964285714285715,1.0,2.0,1.0,1.0,1.0,12.0,1.0,2.0,2.0,7.0,1.0,7.0,11.0,15.0,2.0,5.0,4.0,1.0,1.0,2.0,15.0,1.0,2.0,2.0,1.0,1.0,1.0,14.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,11.0,2.0,0.7142857142857143,0.2857142857142857,0.25,0.4583333333333333,0.8333333333333334,0.2857142857142857,0.2857142857142857,0.16666666666666666,1.0,0.8571428571428571,0.75,0.05263157894736842,0.5,0.2,0.5,0.5,1.0,0.6666666666666666,0.25,0.25,0.5,0.125,0.4571375,0.1,0.1388888888888889,0.16923076923076924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-201937-203497-204060,1610612762,"Royce O'Neale, Donovan Mitchell, Ricky Rubio, Rudy Gobert, Joe Ingles","O'Neale, Mitchell, Rubio, Gobert, Ingles",1626220-1628378-201937-203497-204060,UTA,29.0,1,,,1.0,2.0,,3.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,0.5,0.5,148.9655172413793,17.0,6.0,6.0,6.0,,0.5,1.0,1.0,0.5,0.477025,17.7,,2.0,,1.0,2.0,,,,,,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,0.5,,,,1.0,,1.0,,,,,,,,,,,0.5,,,,,,0.3716,1.0,25.8,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-201973-202324-202692,1610612762,"Royce O'Neale, Donovan Mitchell, Jonas Jerebko, Derrick Favors, Alec Burks","O'Neale, Mitchell, Jerebko, Favors, Burks",1626220-1628378-201973-202324-202692,UTA,29.0,1,,,1.0,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,,99.3103448275862,3.0,26.0,3.0,26.0,1.0,,,,1.0,0.3895,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,0.3895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-201973-202692-203497,1610612762,"Royce O'Neale, Donovan Mitchell, Jonas Jerebko, Alec Burks, Rudy Gobert","O'Neale, Mitchell, Jerebko, Burks, Gobert",1626220-1628378-201973-202692-203497,UTA,142.0,1,2.0,-1.0,4.0,5.0,,9.0,,,,1.0,1.0,8.0,,,8.0,1.0,1.3333333333333333,1.3333333333333333,91.26760563380282,20.0,12.4,20.0,12.4,,,,,0.6666666666666666,0.5199666666666667,10.6,,9.0,,1.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,2.0,3.0,1.0,1.0,,1.0,2.0,,5.0,,,,,,,1.0,1.0,1.0,1.0,,,,0.6666666666666666,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,,,1.0,,,24.1,,,1.0,,,,,,,,,,,3.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,0.5,,,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-201973-203497-204060,1610612762,"Royce O'Neale, Donovan Mitchell, Jonas Jerebko, Rudy Gobert, Joe Ingles","O'Neale, Mitchell, Jerebko, Gobert, Ingles",1626220-1628378-201973-203497-204060,UTA,328.0,2,5.0,-4.0,11.0,12.0,,23.0,2.0,,,2.0,3.0,7.0,,1.0,7.0,0.6666666666666666,0.4375,0.4375,100.97560975609755,15.727272727272727,12.916666666666666,15.727272727272727,12.75,0.25,,,,0.875,0.53669375,4.7,9.0,11.0,1.0,4.0,4.0,1.0,,1.0,1.0,,2.0,,3.0,2.0,1.0,3.0,9.0,0.3333333333333333,0.5,0.8,,0.8181818181818182,,1.0,,,1.0,1.0,2.0,1.0,3.0,1.0,5.0,,,,4.0,3.0,3.0,1.0,,2.0,2.0,1.0,4.0,,,,,,,1.0,1.0,0.2,0.2,,,,0.625,,,,,,,,1.0,,0.5,0.5,1.0,0.125,1.0,1.0,0.25,0.375,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,24.78,1.0,2.0,,,2.0,,,,2.0,3.0,4.0,,7.0,,,,,,,,3.0,,1.0,1.0,,,,,,,2.0,1.0,1.0,2.0,1.0,7.0,,,0.6666666666666666,0.5,0.5,1.0,,,,,1.0,,,0.5,,,,,,,0.2857142857142857,0.5,0.2857142857142857,0.5335857142857143,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.2857142857142857,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-202324-202692-203109,1610612762,"Royce O'Neale, Donovan Mitchell, Derrick Favors, Alec Burks, Jae Crowder","O'Neale, Mitchell, Favors, Burks, Crowder",1626220-1628378-202324-202692-203109,UTA,159.0,2,3.0,-1.0,5.0,4.0,,9.0,,,1.0,,1.0,6.0,,1.0,6.0,,0.75,0.75,81.50943396226415,12.2,24.5,12.2,24.25,,0.25,,,0.75,0.5274375,18.2,3.0,7.0,2.0,2.0,2.0,,,,,,,,,,2.0,2.0,3.0,,0.6666666666666666,0.6666666666666666,,0.6,,,,,,,2.0,1.0,1.0,2.0,3.0,,,,,,1.0,1.0,,,2.0,,6.0,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,0.75,,,,,,,,1.0,,,,,,,,0.5,0.25,1.0,1.0,,,1.0,,,24.46666666666667,,,1.0,,1.0,,,,,1.0,2.0,,3.0,6.0,,2.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,3.0,,1.0,,0.5,0.5,,,,,,,,,1.0,,0.5,0.5,1.0,1.0,,,,0.3333333333333333,0.48405000000000004,,,0.5,,,1.0,1.0,1.0,,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-202324-203109-203497,1610612762,"Royce O'Neale, Donovan Mitchell, Derrick Favors, Jae Crowder, Rudy Gobert","O'Neale, Mitchell, Favors, Crowder, Gobert",1626220-1628378-202324-203109-203497,UTA,185.0,2,3.0,3.0,6.0,5.0,2.0,11.0,1.0,1.0,1.0,4.0,4.0,12.0,8.0,3.0,9.0,1.0,0.9166666666666666,0.8571428571428571,85.62162162162161,13.166666666666666,21.2,12.0,21.2,0.16666666666666666,0.16666666666666666,1.0,1.0,0.5,0.48960833333333337,10.675,,9.0,1.0,1.0,1.0,1.0,,,,,,,,,,2.0,,,1.0,1.0,,,1.0,1.0,,,2.0,2.0,,1.0,2.0,1.0,2.0,1.0,1.0,3.0,,,2.0,1.0,,,1.0,,3.0,,,,,,,,,0.5,0.5,1.0,1.0,0.75,0.3333333333333333,,,,,,,,1.0,,1.0,1.0,,0.3333333333333333,1.0,1.0,,0.3333333333333333,0.5,0.5,,,0.5,0.4283,0.25,25.35,,,,,,1.0,,1.0,,,,,,3.0,,1.0,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
