EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,FtPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,Fg2aBlocked,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,OffRebounds,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,ShootingFouls,Charge Fouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGA,SecondChanceFG2A,LostBallSteals,SecondChanceAtRimFrequency,SecondChanceCorner3FGA,OffTwoPtRebounds,Travels,OffTwoPtReboundPct,OffAtRimReboundPct,SecondChanceCorner3Frequency,SecondChanceShotQualityAvg,BlockingFouls,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,SecondChancePointsPct,BlockedAtRim,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,FTOffRebounds,Offensive Fouls,BlockingFoulsDrawn,OffFTReboundPct,Charge Fouls Drawn,SecondChanceAtRimFGM,Corner3FGM,SecondChanceFG2M,PtsPutbacks,Corner3Assists,SecondChanceFg2Pct,SecondChanceEfgPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,OffArc3ReboundPct,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Blocked3s,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips,LongMidRangePctBlocked,HeaveMakes,HeaveAttempts,team_id,year,season,team_vs
1626167-1627734-201954-202362-202709,1610612754,"Myles Turner, Domantas Sabonis, Darren Collison, Lance Stephenson, Cory Joseph","Turner, Sabonis, Collison, Stephenson, Joseph",1626167-1627734-201954-202362-202709,IND,229.0,2,4.0,6.0,8.0,8.0,1.0,8.0,16,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,5.0,10.0,4.0,1.0,1.0,3.0,4.0,3.0,3.0,5.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.0,1.0,1.0,1.0,0.5,0.4,1.0,0.4,1.0,0.7142857142857143,1.5,0.7142857142857143,1.5,0.7142857142857143,1.0,0.6666666666666666,1.0,0.8,1.0,0.5,1.0,1.0,100.61135371179039,10.125,18.5,10.125,16.25,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.7142857142857143,0.4,0.4,0.5,1.0,1.0,0.8571428571428571,0.4,0.5533785714285714,0.42675,0.14285714285714285,0.2,0.3,9.15,26.580000000000002,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,True
1626167-1627734-201954-202362-203506,1610612754,"Myles Turner, Domantas Sabonis, Darren Collison, Lance Stephenson, Victor Oladipo","Turner, Sabonis, Collison, Stephenson, Oladipo",1626167-1627734-201954-202362-203506,IND,656.0,5,11.0,-9.0,21.0,22.0,9.0,15.0,43,5.0,6.0,,,1.0,6.0,,2.0,6.0,9.0,1.0,7.0,17.0,26.0,,3.0,6.0,6.0,3.0,,6.0,1.0,3.0,1.0,4.0,1.0,2.0,,9.0,1.0,5.0,7.0,8.0,3.0,3.0,4.0,2.0,6.0,2.0,5.0,4.0,3.0,,,17.0,6.0,9.0,0.5,0.5,1.0,0.14285714285714285,,0.14285714285714285,0.6666666666666666,0.46875,0.375,0.5,0.375,0.4375,0.6666666666666666,0.625,0.5,0.6,1.0,1.0,,1.0,94.39024390243902,16.19047619047619,14.363636363636363,16.047619047619047,14.227272727272727,0.375,0.8333333333333334,1.0,0.4,,,,,0.375,0.16666666666666666,0.16666666666666666,1.0,0.25,,0.8125,0.16666666666666666,0.5609875,0.52645,0.11764705882352941,,0.35294117647058826,4.666666666666667,26.985714285714288,0.42857142857142855,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.6,0.1111111111111111,0.16666666666666666,1.0,0.16666666666666666,0.1111111111111111,1.0,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.0625,1.0,0.375,0.6666666666666666,0.125,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,True
1626167-1627734-201954-202709-203506,1610612754,"Myles Turner, Domantas Sabonis, Darren Collison, Cory Joseph, Victor Oladipo","Turner, Sabonis, Collison, Joseph, Oladipo",1626167-1627734-201954-202709-203506,IND,199.0,1,3.0,-10.0,6.0,6.0,,,12,1.0,2.0,,1.0,,1.0,,,1.0,5.0,,2.0,2.0,12.0,,,,2.0,,,1.0,,1.0,,1.0,,1.0,,2.0,,,,1.0,1.0,,,,,,1.0,,,,,2.0,,,1.0,1.0,,,,,0.2,0.14285714285714285,,0.14285714285714285,,0.2857142857142857,,,,,,,,,86.83417085427135,18.666666666666668,14.5,18.333333333333332,14.166666666666666,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,,,,0.14285714285714285,,,,,,0.5714285714285714,,0.5272714285714286,,,,,7.279999999999999,23.9,,1.0,,,,2.0,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,0.5,0.16666666666666666,1.0,0.2857142857142857,,,,0.14285714285714285,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,True
1626167-1627734-201954-202711-203506,1610612754,"Myles Turner, Domantas Sabonis, Darren Collison, Bojan Bogdanovic, Victor Oladipo","Turner, Sabonis, Collison, Bogdanovic, Oladipo",1626167-1627734-201954-202711-203506,IND,211.0,3,4.0,7.0,9.0,5.0,6.0,5.0,14,1.0,2.0,,,1.0,4.0,,2.0,2.0,3.0,1.0,5.0,7.0,,,3.0,2.0,2.0,3.0,,4.0,1.0,1.0,1.0,2.0,1.0,,,5.0,2.0,1.0,5.0,6.0,,,,,1.0,1.0,2.0,,,,,7.0,2.0,6.0,0.5,0.5,1.0,0.2,,0.2,0.6666666666666666,0.4375,0.2,0.4375,0.2,0.625,,1.0,1.0,1.0,1.0,,1.0,,95.54502369668246,15.444444444444445,14.4,13.333333333333334,14.4,0.25,0.5,0.5,,,,,,0.5,0.25,0.25,1.0,0.4,,0.875,0.25,0.5387375,0.5667500000000001,,,0.2857142857142857,4.533333333333333,25.52,0.6666666666666666,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,2.0,,1.0,,2.0,1.0,1.0,,,2.0,,,,,,,,,0.5,,,1.0,,0.2,,0.125,1.0,1.0,1.0,0.125,,0.4,0.5,0.2,,1.0,1.0,,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.577775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,True
1626167-1627734-202362-202709-202711,1610612754,"Myles Turner, Domantas Sabonis, Lance Stephenson, Cory Joseph, Bojan Bogdanovic","Turner, Sabonis, Stephenson, Joseph, Bogdanovic",1626167-1627734-202362-202709-202711,IND,146.0,1,2.0,-3.0,4.0,4.0,,,8,2.0,2.0,,1.0,,,,,2.0,4.0,,,4.0,7.0,,,,4.0,,,,,2.0,,2.0,,2.0,,4.0,1.0,,1.0,1.0,,,,,,,2.0,,,,,4.0,,,1.0,1.0,,,,,0.5,0.5,,0.5,,,,,1.0,1.0,,,1.0,,78.9041095890411,25.25,11.25,25.25,11.25,0.5,1.0,1.0,1.0,0.25,,,,,,,,,,0.5,,0.468425,,,,,8.8,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,True
1626167-1627734-202362-202709-203506,1610612754,"Myles Turner, Domantas Sabonis, Lance Stephenson, Cory Joseph, Victor Oladipo","Turner, Sabonis, Stephenson, Joseph, Oladipo",1626167-1627734-202362-202709-203506,IND,228.0,4,4.0,-4.0,8.0,8.0,3.0,2.0,16,,1.0,,,1.0,2.0,,,,2.0,1.0,4.0,6.0,10.0,,1.0,1.0,,3.0,,2.0,1.0,,1.0,1.0,1.0,,,3.0,2.0,,2.0,4.0,1.0,,1.0,1.0,2.0,1.0,3.0,3.0,4.0,,,5.0,1.0,3.0,,,1.0,0.25,,0.25,,0.25,,0.375,0.16666666666666666,0.6666666666666666,0.5,,1.0,1.0,,,1.0,1.0,101.05263157894737,15.5,13.0,15.375,13.0,0.16666666666666666,,,,,,,,0.3333333333333333,0.5,0.5,1.0,,,0.8333333333333334,0.5,0.48233333333333334,0.502375,0.14285714285714285,,0.16666666666666666,7.15,24.35,0.375,1.0,,,,1.0,2.0,1.0,,3.0,,,1.0,,,,1.0,,2.0,1.0,,,2.0,1.0,,,1.0,,,,,,,,,0.3333333333333333,0.4,0.5,0.16666666666666666,,,,0.3333333333333333,,,,0.5,0.3333333333333333,,,1.0,,,1.0,,0.5,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,True
1626167-1627734-202709-202711-203506,1610612754,"Myles Turner, Domantas Sabonis, Cory Joseph, Bojan Bogdanovic, Victor Oladipo","Turner, Sabonis, Joseph, Bogdanovic, Oladipo",1626167-1627734-202709-202711-203506,IND,23.0,1,,,,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,62.60869565217391,,23.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,True
1626167-201152-201954-202362-202709,1610612754,"Myles Turner, Thaddeus Young, Darren Collison, Lance Stephenson, Cory Joseph","Turner, Young, Collison, Stephenson, Joseph",1626167-201152-201954-202362-202709,IND,114.0,1,2.0,-4.0,4.0,4.0,,,8,1.0,1.0,,,,1.0,,,1.0,1.0,,2.0,2.0,6.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,2.0,,,1.0,1.0,2.0,,1.0,2.0,1.0,,,2.0,,,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,0.5,1.0,,1.0,1.0,,,,101.05263157894737,18.25,10.25,16.0,10.25,0.3333333333333333,1.0,1.0,,,,,,0.3333333333333333,,,,,,1.0,,0.5706,,0.3333333333333333,,,1.4,26.1,,1.0,,,,,1.0,,,,1.0,,,2.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,,1.0,,,,,1.0,,,,,1.0,0.5121,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,True
1626167-201152-201954-202362-202711,1610612754,"Myles Turner, Thaddeus Young, Darren Collison, Lance Stephenson, Bojan Bogdanovic","Turner, Young, Collison, Stephenson, Bogdanovic",1626167-201152-201954-202362-202711,IND,242.0,2,4.0,-5.0,9.0,10.0,8.0,,19,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,5.0,7.0,12.0,1.0,5.0,5.0,2.0,3.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,5.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,7.0,5.0,8.0,0.5,0.5,1.0,0.2,0.2,0.2,0.6666666666666666,0.4375,0.35714285714285715,0.4375,0.35714285714285715,0.625,,,1.0,1.0,,,1.0,,113.05785123966942,12.88888888888889,12.6,12.88888888888889,12.6,0.125,1.0,1.0,1.0,0.125,1.0,1.0,,0.25,0.5,0.5,1.0,0.2857142857142857,0.5,0.75,0.5,0.5519625,0.5772285714285715,,,0.7142857142857143,10.4,24.619999999999997,0.8888888888888888,,1.0,1.0,,1.0,3.0,3.0,,,,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,0.5,,,,,,,0.125,,,,0.375,,0.14285714285714285,1.0,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,True
1626167-201152-201954-202362-203506,1610612754,"Myles Turner, Thaddeus Young, Darren Collison, Lance Stephenson, Victor Oladipo","Turner, Young, Collison, Stephenson, Oladipo",1626167-201152-201954-202362-203506,IND,695.0,4,12.0,,21.0,22.0,5.0,4.0,43,4.0,7.0,3.0,5.0,1.0,2.0,1.0,1.0,7.0,12.0,2.0,5.0,23.0,23.0,1.0,2.0,9.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,,2.0,,7.0,2.0,3.0,5.0,7.0,5.0,2.0,3.0,1.0,4.0,,4.0,3.0,4.0,,,21.0,9.0,5.0,0.2857142857142857,0.3333333333333333,0.5,0.4,0.5,0.4,0.5833333333333334,0.5882352941176471,0.7,0.6052631578947368,0.75,0.29411764705882354,0.75,0.75,0.5,0.625,,,0.3333333333333333,1.0,89.09352517985612,15.523809523809524,16.772727272727273,15.476190476190476,15.954545454545455,0.4117647058823529,0.5714285714285714,0.5714285714285714,0.5,0.29411764705882354,0.6,0.6,,0.11764705882352941,0.5,0.5,,0.2,1.0,0.7058823529411765,0.5,0.5508970588235295,0.6349,0.10526315789473684,,0.391304347826087,8.908333333333333,24.56,0.23809523809523808,2.0,2.0,3.0,,,3.0,1.0,,3.0,,2.0,3.0,10.0,,,,,2.0,1.0,2.0,,2.0,,,,2.0,,,,,0.6666666666666666,,,,,0.25,,,,,,0.17647058823529413,,0.6,0.6666666666666666,0.2,0.14285714285714285,2.0,2.0,3.0,1.0,,2.0,,0.4,0.6666666666666666,,0.66355,,,2.0,2.0,,,,,0.5,0.08695652173913043,,,0.75,,,,,,,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,True
