EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffThreePtRebounds,Steals,LostBallSteals,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffArc3ReboundPct,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,BadPassSteals,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,LiveBallTurnoverPct,SelfORebPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,SecondChanceFg3Pct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PtsAssisted2s,TwoPtAssists,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,ShortMidRangePctAssisted,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls,Offensive Fouls Drawn,PenaltyCorner3FGA,PenaltyCorner3Frequency,SecondChanceTurnovers,AtRimPctBlocked,OffensiveGoaltends,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,AtRimAssists,Loose Ball Fouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveAttempts,SecondChanceArc3FGM,SecondChanceArc3FGA,LongMidRangeAssists,Loose Ball Fouls Drawn,OffLongMidRangeReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockingFouls,2pt And 1 Free Throw Trips,BlockedLongMidRange,Technical Free Throw Trips,PenaltyCorner3FGM,Fg3aBlocked,FTOffRebounds,StepOutOfBoundsTurnovers,Travels,Charge Fouls,BlockingFoulsDrawn,NonShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,PenaltyCorner3Accuracy,SecondChanceFtPoints,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,Arc3PctBlocked,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
101109-1626177-1628390-202331-203924,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Paul George, Jerami Grant","Felton, Johnson, Ferguson, George, Grant",101109-1626177-1628390-202331-203924,OKC,282.0,1,5.0,2.0,9.0,9.0,3.0,5.0,1.0,18.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,8.0,1.0,2.0,2.0,11.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,6.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0,1.0,6.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,9.0,3.0,3.0,1.0,0.5,0.5,0.375,1.0,0.5,0.45,1.0,0.3333333333333333,0.4583333333333333,1.0,0.375,0.2,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,0.2,0.8,0.2,1.0,1.0,1.0,1.0,91.91489361702128,1.0,14.88888888888889,16.444444444444443,14.88888888888889,15.0,0.2,0.5,0.5,0.3,0.3333333333333333,0.5,0.3,0.3333333333333333,0.5,0.1,1.0,1.0,1.0,0.1,1.0,1.0,0.3333333333333333,0.4,0.470565,0.7423,0.36946666666666667,0.16666666666666666,0.2,0.18181818181818182,0.2727272727272727,9.0625,26.45,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-201566-202331-2546,1610612760,"Raymond Felton, Dakari Johnson, Russell Westbrook, Paul George, Carmelo Anthony","Felton, Johnson, Westbrook, George, Anthony",101109-1626177-201566-202331-2546,OKC,68.0,1,1.0,-1.0,2.0,2.0,,2.0,1.0,4.0,,,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,0.16666666666666666,,,0.5,,,,1.0,,,,0.5,,,,,84.70588235294117,,9.5,24.5,6.0,23.0,,,,,,,0.5,,,,,,,0.5,,,,0.5,0.506275,,,0.3333333333333333,0.5,,,14.1,25.2,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-201566-203924-203962,1610612760,"Raymond Felton, Dakari Johnson, Russell Westbrook, Jerami Grant, Josh Huestis","Felton, Johnson, Westbrook, Grant, Huestis",101109-1626177-201566-203924-203962,OKC,44.0,1,1.0,3.0,2.0,1.0,,1.0,,3.0,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,3.0,,,,,,,,,,,3.0,,,,1.0,1.0,1.0,3.0,,,,1.0,,1.0,,,,,,,,,,3.0,,,1.0,1.0,1.0,,,,0.75,,,0.75,,,0.5,,,,,,,1.0,,,,,,98.18181818181819,,9.5,25.0,9.5,25.0,,,,0.5,,,,,,0.5,1.0,1.0,1.0,,,,,0.5,0.508775,,,,,,,13.1,23.3,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-201566-203962-2546,1610612760,"Raymond Felton, Dakari Johnson, Russell Westbrook, Josh Huestis, Carmelo Anthony","Felton, Johnson, Westbrook, Huestis, Anthony",101109-1626177-201566-203962-2546,OKC,41.0,1,1.0,2.0,2.0,2.0,,2.0,,4.0,1.0,1.0,,,,,,1.0,,,,,1.0,2.0,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.5,,,0.5,,,0.5,,,,,,,,,,,,,,,,140.4878048780488,,11.5,9.0,11.5,9.0,0.5,1.0,1.0,,,,0.5,,,,,,,,,,,0.5,0.62795,,,,,,,8.8,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-202331-202335-203518,1610612760,"Raymond Felton, Dakari Johnson, Paul George, Patrick Patterson, Alex Abrines","Felton, Johnson, George, Patterson, Abrines",101109-1626177-202331-202335-203518,OKC,126.0,1,2.0,-4.0,4.0,4.0,,2.0,1.0,8.0,,2.0,,1.0,,,2.0,2.0,,1.0,,,2.0,4.0,,1.0,,4.0,8.0,,1.0,,,,,,,4.0,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,4.0,,,,,,0.5,,,0.4,,,0.4,,,0.2,,,,,,0.5,,0.3333333333333333,0.5,,,,91.42857142857143,,15.0,16.5,13.5,16.5,0.4,,,,,,0.4,1.0,1.0,0.2,,,,,1.0,,,0.6,0.46509999999999996,0.4673,,,,,,11.6,23.7,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-202331-202335-203962,1610612760,"Raymond Felton, Dakari Johnson, Paul George, Patrick Patterson, Josh Huestis","Felton, Johnson, George, Patterson, Huestis",101109-1626177-202331-202335-203962,OKC,311.0,2,5.0,5.0,11.0,9.0,,,2.0,20.0,,,,,1.0,3.0,2.0,3.0,2.0,3.0,1.0,,3.0,6.0,2.0,4.0,2.0,14.0,9.0,,,6.0,,,,,,6.0,6.0,,1.0,,2.0,2.0,2.0,6.0,1.0,,1.0,5.0,2.0,7.0,1.0,1.0,3.0,2.0,1.0,,,,,8.0,,,1.0,0.5,0.5,0.5,,,0.6,1.5,,0.6363636363636364,1.5,,0.4,,,,1.0,,0.3333333333333333,1.0,0.4,,,,,92.60450160771704,,13.272727272727273,18.333333333333332,12.363636363636363,18.333333333333332,,,,0.3,0.3333333333333333,0.3333333333333333,0.3,0.6666666666666666,0.6666666666666666,0.3,0.6666666666666666,0.6666666666666666,1.0,0.1,,,,0.4,0.48025,0.60465,,0.09090909090909091,0.14285714285714285,0.42857142857142855,,13.133333333333333,23.925,,1.0,1.0,,,0.5,1.0,4.0,1.0,1.0,1.0,1.0,,,1.0,,0.2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-202331-203518-203924,1610612760,"Raymond Felton, Dakari Johnson, Paul George, Alex Abrines, Jerami Grant","Felton, Johnson, George, Abrines, Grant",101109-1626177-202331-203518-203924,OKC,117.0,1,2.0,-2.0,4.0,4.0,,,1.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,,2.0,3.0,,1.0,,4.0,6.0,1.0,1.0,2.0,,,,,,2.0,,2.0,1.0,1.0,,1.0,,2.0,1.0,1.0,,1.0,1.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,,0.6666666666666666,1.0,,0.5,1.0,,0.5,1.0,,0.25,0.3333333333333333,0.5,,,0.5,1.0,0.5,0.5,,0.5,,,98.46153846153847,1.0,15.25,14.0,15.0,14.0,0.25,1.0,1.0,0.5,0.5,1.0,,,,,,,,0.25,1.0,1.0,,0.5,0.4816,0.4795,,,,0.5,,4.066666666666666,25.6,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,2.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-202335-203460-203518,1610612760,"Raymond Felton, Dakari Johnson, Patrick Patterson, Andre Roberson, Alex Abrines","Felton, Johnson, Patterson, Roberson, Abrines",101109-1626177-202335-203460-203518,OKC,160.0,1,3.0,-2.0,5.0,6.0,3.0,,,11.0,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,,2.0,,1.0,1.0,,,,,,,,,3.0,,,,,,,,,,,,,0.5,,,,,0.5,,0.6666666666666666,,,,1.0,,99.0,,15.2,14.0,15.2,14.0,,,,,,,0.5,,,0.5,,,,,,,,0.5,0.468975,,0.3822,,,,,16.2,23.1,0.6,,1.0,1.0,,,,1.0,1.0,1.0,,,2.0,1.0,3.0,0.6666666666666666,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1627772-202331-202335-203500,1610612760,"Raymond Felton, Daniel Hamilton, Paul George, Patrick Patterson, Steven Adams","Felton, Hamilton, George, Patterson, Adams",101109-1627772-202331-202335-203500,OKC,44.0,1,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,65.45454545454545,,24.0,20.0,24.0,20.0,,,,,,,,,,1.0,,,,,,,,1.0,0.53475,,0.53475,,,,,,23.4,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1627772-202331-203500-203924,1610612760,"Raymond Felton, Daniel Hamilton, Paul George, Steven Adams, Jerami Grant","Felton, Hamilton, George, Adams, Grant",101109-1627772-202331-203500-203924,OKC,39.0,1,1.0,,2.0,,,,1.0,2.0,,1.0,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,1.0,,0.5,1.0,,,,73.84615384615384,,19.5,,19.5,,0.5,,,,,,,,,,,,,0.5,,,,1.0,0.43685,,,,,,,3.1,25.9,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
