EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGA,PenaltyFG3A,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnoverPct,PenaltyArc3Frequency,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,DefThreePtRebounds,Steals,BadPassSteals,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,PtsUnassisted3s,LongMidRangeAssists,FTDefRebounds,DefFTReboundPct,LongMidRangePctAssisted,ShortMidRangeFGM,PtsPutbacks,OffTwoPtRebounds,SelfOReb,OffTwoPtReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangeAssists,LostBallSteals,Offensive Fouls,Offensive Fouls Drawn,ShortMidRangePctAssisted,BlockedAtRim,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,Charge Fouls,Loose Ball Fouls Drawn,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,PenaltyArc3Accuracy,Loose Ball Fouls,BlockingFoulsDrawn,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,BadPassOutOfBoundsTurnovers,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,Travels,BlockingFouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,3SecondViolations,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,HeaveAttempts,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,DefensiveGoaltends,OffensiveGoaltends,HeaveMakes,Corner3PctBlocked,team_id,year,season,team_vs
101109-1626177-1628390-202331-203924,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Paul George, Jerami Grant","Felton, Johnson, Ferguson, George, Grant",101109-1626177-1628390-202331-203924,OKC,282.0,1,5.0,-2.0,9.0,9.0,5.0,3.0,1.0,18.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,7.0,1.0,3.0,9.0,11.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,7.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,5.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,7.0,5.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,1.0,0.5,0.375,1.0,0.5,0.5,1.5,0.7,0.125,0.14285714285714285,0.3333333333333333,0.8,1.0,0.8,0.2,1.0,1.0,1.0,91.91489361702128,1.0,16.444444444444443,14.88888888888889,15.0,14.88888888888889,0.375,0.6666666666666666,1.0,0.5,0.125,0.375,0.3333333333333333,0.3333333333333333,0.125,1.0,1.0,0.25,1.0,0.5,0.46625,0.4337,0.396275,0.2222222222222222,0.25,0.3333333333333333,0.7777777777777778,10.042857142857143,26.8,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-201566-202331-2546,1610612760,"Raymond Felton, Dakari Johnson, Russell Westbrook, Paul George, Carmelo Anthony","Felton, Johnson, Westbrook, George, Anthony",101109-1626177-201566-202331-2546,OKC,68.0,1,1.0,1.0,2.0,2.0,2.0,,,4.0,,,,,,,,,,1.0,,,1.0,2.0,2.0,1.0,,,1.0,1.0,,,2.0,2.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,,1.0,,,,,,1.0,2.0,2.0,,,,,,,,,0.3333333333333333,0.5,0.3333333333333333,1.0,,,1.0,1.0,0.5,1.0,1.0,,1.0,84.70588235294117,,24.5,9.5,23.0,6.0,,,,,,,,,1.0,,,,,1.0,0.5259,,0.5259,0.5,1.0,0.5,1.0,,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-201566-203924-203962,1610612760,"Raymond Felton, Dakari Johnson, Russell Westbrook, Jerami Grant, Josh Huestis","Felton, Johnson, Westbrook, Grant, Huestis",101109-1626177-201566-203924-203962,OKC,44.0,1,1.0,-3.0,1.0,2.0,1.0,,,3.0,,,,,,,,,,1.0,,,1.0,,,3.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,98.18181818181819,,25.0,9.5,25.0,9.5,,,,,,,,,1.0,,,,,1.0,0.53505,,0.53505,,,,,,26.2,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-201566-203962-2546,1610612760,"Raymond Felton, Dakari Johnson, Russell Westbrook, Josh Huestis, Carmelo Anthony","Felton, Johnson, Westbrook, Huestis, Anthony",101109-1626177-201566-203962-2546,OKC,41.0,1,1.0,-2.0,2.0,2.0,2.0,,,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,140.4878048780488,,9.0,11.5,9.0,11.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,2.0,2.0,,,0.5,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-202331-202335-203518,1610612760,"Raymond Felton, Dakari Johnson, Paul George, Patrick Patterson, Alex Abrines","Felton, Johnson, George, Patterson, Abrines",101109-1626177-202331-202335-203518,OKC,126.0,1,2.0,4.0,4.0,4.0,2.0,,,8.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,8.0,4.0,,,,,,,,3.0,,2.0,1.0,,,2.0,,6.0,,1.0,2.0,,2.0,,,1.0,,,,,,,,,8.0,3.0,2.0,,,1.0,,,1.3333333333333333,,1.5,1.3333333333333333,,1.5,0.6666666666666666,,,0.5,,0.6666666666666666,,,,,91.42857142857143,,16.5,15.0,16.5,13.5,,,,,,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,0.6666666666666666,0.43803333333333333,,0.44745,,,,0.375,23.0,24.45,0.5,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-202331-202335-203962,1610612760,"Raymond Felton, Dakari Johnson, Paul George, Patrick Patterson, Josh Huestis","Felton, Johnson, George, Patterson, Huestis",101109-1626177-202331-202335-203962,OKC,311.0,2,5.0,-5.0,9.0,11.0,,,,20.0,2.0,2.0,,,,,,1.0,1.0,3.0,3.0,3.0,5.0,,9.0,14.0,,,,,,,,,4.0,2.0,3.0,,2.0,2.0,1.0,4.0,,2.0,4.0,,4.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,9.0,,,0.6666666666666666,0.6666666666666666,1.0,,,0.5625,,,0.5625,,,0.625,,,0.6666666666666666,,0.6,,,0.5,1.0,92.60450160771704,,18.333333333333332,13.272727272727273,18.333333333333332,12.363636363636363,0.25,1.0,1.0,0.5,,0.125,1.0,1.0,0.375,,,,,0.875,0.54163125,,,0.125,0.3333333333333333,,,8.533333333333333,23.98,,,,1.0,,1.0,,,,1.0,,1.0,,,1.0,2.0,,,,1.0,,,,,,,1.0,,,,0.2,,0.2,0.5,,1.0,0.25,0.5,0.5,,,,,,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-202331-203518-203924,1610612760,"Raymond Felton, Dakari Johnson, Paul George, Alex Abrines, Jerami Grant","Felton, Johnson, George, Abrines, Grant",101109-1626177-202331-203518-203924,OKC,117.0,1,2.0,2.0,4.0,4.0,,,1.0,8.0,2.0,4.0,1.0,1.0,,,1.0,,,,3.0,5.0,,,6.0,4.0,1.0,1.0,,2.0,,,,,2.0,4.0,,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,2.0,,1.0,,,,,1.0,,1.0,1.0,,4.0,,,0.3333333333333333,0.5,0.6,1.0,,0.6,1.0,,0.6,1.0,,,0.2,0.25,,,0.5,0.5,,,,98.46153846153847,,14.0,15.25,14.0,15.0,0.8,0.5,0.6666666666666666,0.5,0.2,,,,,1.0,1.0,,,0.8,0.51842,0.6831,,,,0.3333333333333333,,2.6399999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-202335-203460-203518,1610612760,"Raymond Felton, Dakari Johnson, Patrick Patterson, Andre Roberson, Alex Abrines","Felton, Johnson, Patterson, Roberson, Abrines",101109-1626177-202335-203460-203518,OKC,160.0,1,3.0,2.0,6.0,5.0,,3.0,1.0,11.0,,2.0,,1.0,,,2.0,,,1.0,1.0,4.0,1.0,,2.0,,,1.0,,,,,,,2.0,,1.0,,1.0,1.0,,2.0,,1.0,2.0,1.0,3.0,,1.0,1.0,,,,,,,,,2.0,,,1.0,1.0,0.25,,,0.2,,,0.2,,,0.2,,,1.0,,1.0,0.3333333333333333,,,1.0,99.0,,14.0,15.2,14.0,15.2,0.4,,,,0.4,,,,0.2,1.0,,,,0.6,0.42946,0.5382,,,,,,4.0,25.2,,,,1.0,1.0,2.0,,,,0.5,,,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,0.5,1.0,,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1627772-202331-202335-203500,1610612760,"Raymond Felton, Daniel Hamilton, Paul George, Patrick Patterson, Steven Adams","Felton, Hamilton, George, Patterson, Adams",101109-1627772-202331-202335-203500,OKC,44.0,1,1.0,,1.0,1.0,,1.0,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,65.45454545454545,,20.0,24.0,20.0,24.0,,,,,,,,,1.0,,,,,1.0,0.5124,,,,,,,,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1627772-202331-203500-203924,1610612760,"Raymond Felton, Daniel Hamilton, Paul George, Steven Adams, Jerami Grant","Felton, Hamilton, George, Adams, Grant",101109-1627772-202331-203500-203924,OKC,39.0,1,1.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,73.84615384615384,,,19.5,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
