EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,FG2M,FG3M,Points,PenaltyFG2M,PenaltyFG3M,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGM,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,SecondChanceOffPoss,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFtPoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,ShootingFouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChancePointsPct,Fg2aBlocked,FTOffRebounds,FG2APctBlocked,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceShotQualityAvg,SecondChanceAtRimFGA,ShortMidRangeFGA,Fg3aBlocked,LongMidRangeAssists,OffTwoPtRebounds,SelfOReb,Offensive Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FG3APctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeFrequency,LongMidRangePctAssisted,SecondChanceAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,PtsPutbacks,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimAccuracy,ShortMidRangeFGM,Loose Ball Fouls,OffLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,BlockingFouls,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,ShortMidRangeAssists,ShortMidRangePctAssisted,LostBallSteals,Charge Fouls Drawn,AtRimPctBlocked,HeaveAttempts,RecoveredBlocks,BlocksRecoveredPct,Travels,Loose Ball Fouls Drawn,Technical Free Throw Trips,BlockedShortMidRange,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,SecondChanceCorner3FGA,SecondChanceFtPoints,BlockedLongMidRange,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,BlockingFoulsDrawn,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,Charge Fouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101141-101161-1626147-200755-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Justin Anderson, JJ Redick, T.J. McConnell","Ilyasova, Johnson, Anderson, Redick, McConnell",101141-101161-1626147-200755-204456,PHI,59.0,1,1.0,-3.0,2.0,2.0,2.0,2.0,4,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,97.6271186440678,13.0,16.5,13.0,16.5,0.5,0.5,0.5,0.5,0.396025,0.396025,17.3,25.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1626147-201158-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Justin Anderson, Marco Belinelli, T.J. McConnell","Ilyasova, Johnson, Anderson, Belinelli, McConnell",101141-101161-1626147-201158-204456,PHI,76.0,1,1.0,3.0,3.0,2.0,3.0,,5,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,3.0,0.5,,,,94.73684210526316,13.333333333333334,18.0,13.333333333333334,16.5,,0.5,0.5,1.0,0.552,0.552,1.5,25.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.25,1.25,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1627732-200755-201158,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, JJ Redick, Marco Belinelli","Ilyasova, Johnson, Simmons, Redick, Belinelli",101141-101161-1627732-200755-201158,PHI,407.0,4,7.0,6.0,14.0,14.0,7.0,4.0,28,1.0,8.0,3.0,3.0,9.0,17.0,1.0,4.0,8.0,2.0,6.0,7.0,7.0,0.75,1.0,1.0,,99.06633906633907,12.142857142857142,16.928571428571427,11.928571428571429,16.714285714285715,0.08333333333333333,0.6666666666666666,0.6,0.9166666666666666,0.5525666666666667,0.57871,7.433333333333334,25.61111111111111,0.5,2.0,2.0,1.0,1.0,4.0,2.0,3.0,5.0,23.0,1.0,3.0,13.0,4.0,3.0,4.0,2.0,2.0,1.0,,2.0,1.0,5.0,21.0,13.0,0.5555555555555556,0.75,0.5555555555555556,1.0,1.0,0.875,1.1,0.8846153846153846,1.0833333333333333,0.5,0.16666666666666666,1.0,1.0,0.5,0.5,0.2,1.0,0.6666666666666666,0.5,0.5652173913043478,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,12.0,1.0,4.0,5.0,3.0,1.0,1.0,14.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.8,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,0.5,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,0.75,0.2,1.0,0.08695652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1627732-200755-203496,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, JJ Redick, Robert Covington","Ilyasova, Johnson, Simmons, Redick, Covington",101141-101161-1627732-200755-203496,PHI,56.0,1,1.0,,2.0,2.0,2.0,2.0,4,1.0,,,1.0,,2.0,1.0,,,,1.0,2.0,2.0,,,,,102.85714285714286,24.5,3.5,14.5,3.5,1.0,,,,0.357,0.357,22.1,,1.0,,,,,,,,,2.0,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,0.3333333333333333,0.5,,,,,,,,,,,1.0,1.0,,,,,,2.0,,1.0,,2.0,,,,,,,,,,,,1.0,1.0,,,,,3.0,3.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1627732-201158-203496,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, Marco Belinelli, Robert Covington","Ilyasova, Johnson, Simmons, Belinelli, Covington",101141-101161-1627732-201158-203496,PHI,497.0,6,8.0,-4.0,18.0,19.0,6.0,5.0,37,1.0,7.0,2.0,8.0,7.0,20.0,3.0,2.0,7.0,2.0,7.0,9.0,6.0,0.4666666666666667,0.6666666666666666,0.875,1.0,107.20321931589537,12.38888888888889,14.421052631578947,11.944444444444445,13.473684210526315,0.06666666666666667,0.4666666666666667,0.4,0.8666666666666667,0.5635066666666667,0.55389,4.6125,25.914285714285715,0.3333333333333333,3.0,6.0,2.0,2.0,1.0,,4.0,1.0,16.0,3.0,,8.0,4.0,,1.0,1.0,1.0,3.0,2.0,4.0,1.0,7.0,16.0,8.0,0.14285714285714285,,0.14285714285714285,0.5,1.0,0.36666666666666664,0.6,0.47058823529411764,0.6666666666666666,0.75,0.4,0.5,0.5,0.14285714285714285,0.16666666666666666,0.4,1.0,,0.14285714285714285,0.5,2.0,1.0,,,,,5.0,,2.0,,2.0,4.0,3.0,2.0,1.0,3.0,1.0,,1.0,7.0,1.0,5.0,,2.0,1.0,1.0,,6.0,5.0,6.0,1.0,1.0,0.5,0.5,1.0,,,,,1.0,0.16666666666666666,0.2,0.16666666666666666,,1.0,,0.3333333333333333,1.0,1.0,,,,,1.0,,,,,,,,,0.6599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.25,0.3333333333333333,1.0,0.1111111111111111,0.06666666666666667,1.0,0.5,0.125,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1627732-201158-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, Marco Belinelli, T.J. McConnell","Ilyasova, Johnson, Simmons, Belinelli, McConnell",101141-101161-1627732-201158-204456,PHI,57.0,1,1.0,,2.0,2.0,2.0,2.0,4,,,,4.0,,2.0,4.0,,,1.0,1.0,5.0,2.0,,1.0,1.0,,101.05263157894737,13.5,15.0,12.0,15.0,,,,1.0,0.5724,0.5724,1.475,,1.0,1.0,4.0,1.0,4.0,,,1.0,,2.0,1.0,,2.0,2.0,,,,,,,1.0,1.0,1.0,,2.0,,,,0.25,0.25,0.25,0.25,0.25,0.25,,1.0,0.25,0.25,,,1.0,0.25,,,1.0,2.0,,,,,,,1.0,3.0,2.0,,,,,,,,,,,,,,4.0,,1.0,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,0.6136333333333334,3.0,,,,3.0,1.0,,,,,,,,,,1.0,1.0,,0.3333333333333333,,,1.0,,,,1.0,2.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1628365-200755-201158,1610612755,"Ersan Ilyasova, Amir Johnson, Markelle Fultz, JJ Redick, Marco Belinelli","Ilyasova, Johnson, Fultz, Redick, Belinelli",101141-101161-1628365-200755-201158,PHI,204.0,2,3.0,,7.0,7.0,7.0,4.0,14,2.0,,,5.0,,11.0,5.0,,,,2.0,4.0,7.0,,,0.5,,98.82352941176471,12.142857142857142,17.0,12.142857142857142,16.857142857142858,0.4,,,0.2,0.43332,0.43332,10.76,,1.0,1.0,1.0,1.0,1.0,,,3.0,,11.0,3.0,,11.0,6.0,,,,,,,1.0,1.0,3.0,7.0,11.0,,,,0.6,0.6,0.6,0.6,0.7857142857142857,0.7857142857142857,,0.2,1.0,1.0,,,0.2,1.0,,,1.0,2.0,,,,,,5.0,2.0,2.0,4.0,5.0,,,,,,,,,,,1.0,1.0,2.0,,1.0,,1.0,2.0,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.5,,,,,,,,,,,,,,,0.36363636363636365,,1.0,,,1.0,0.45585,1.0,2.0,,,1.0,,1.0,,1.0,1.0,,,,,,0.5,,1.0,,0.4,,0.5,0.2857142857142857,0.16666666666666666,1.0,1.0,4.0,,1.0,1.0,2.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1628365-201158-203496,1610612755,"Ersan Ilyasova, Amir Johnson, Markelle Fultz, Marco Belinelli, Robert Covington","Ilyasova, Johnson, Fultz, Belinelli, Covington",101141-101161-1628365-201158-203496,PHI,219.0,1,4.0,1.0,7.0,7.0,,7.0,14,1.0,2.0,,8.0,2.0,8.0,,,2.0,2.0,4.0,7.0,,0.2,1.0,1.0,1.0,92.05479452054794,15.714285714285714,15.571428571428571,15.285714285714286,15.571428571428571,0.1,0.2,,0.5,0.5029950000000001,,6.425,25.2,,1.0,3.0,,,1.0,,3.0,1.0,9.0,,,,4.0,,1.0,,,,,,,1.0,7.0,,0.5,,0.5,0.375,,0.45,,0.45,,,0.3,0.3333333333333333,0.3333333333333333,0.5,0.5,,,,0.5,,2.0,1.0,,,,,,1.0,3.0,2.0,,2.0,3.0,1.0,1.0,2.0,1.0,,,5.0,,1.0,1.0,3.0,,,,1.0,,,,,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,,0.5,,1.0,,,,1.0,1.0,,,,,1.0,,,0.2222222222222222,1.0,,0.125,,,0.6385333333333333,3.0,4.0,,1.0,3.0,1.0,,,,,,,,,,0.6,0.5,1.0,0.2,0.4,1.0,1.0,,,,1.0,2.0,,,0.3333333333333333,1.0,,,0.25,0.3333333333333333,1.0,0.25,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-200755-201158-204456,1610612755,"Ersan Ilyasova, Amir Johnson, JJ Redick, Marco Belinelli, T.J. McConnell","Ilyasova, Johnson, Redick, Belinelli, McConnell",101141-101161-200755-201158-204456,PHI,196.0,1,3.0,7.0,7.0,7.0,3.0,3.0,14,1.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,102.85714285714286,11.428571428571429,16.571428571428573,11.428571428571429,16.285714285714285,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.48646666666666666,0.5166000000000001,10.25,25.6,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,9.0,2.0,,4.0,2.0,,1.0,,,,,1.0,,1.0,9.0,4.0,0.5,,0.5,0.75,1.0,0.75,0.6666666666666666,0.75,0.6666666666666666,,0.16666666666666666,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,,0.5,0.4444444444444444,,1.0,,,,,,,,,,4.0,3.0,2.0,1.0,3.0,1.0,,1.0,7.0,,,,,,1.0,,,1.0,,,,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,0.6666666666666666,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,0.25,,,,,2.0,1.0,1.0,,,,,,,,,,0.5,0.5,,,,,0.3333333333333333,1.0,,,,,,,,,,1.0,,,0.5,1.0,,0.5,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-201158-203496-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Marco Belinelli, Robert Covington, T.J. McConnell","Ilyasova, Johnson, Belinelli, Covington, McConnell",101141-101161-201158-203496-204456,PHI,45.0,1,1.0,-1.0,2.0,1.0,,1.0,3,,,,3.0,,3.0,,,,,,1.0,,,,,,96.0,16.0,13.0,14.5,13.0,,,,,0.44753333333333334,,11.333333333333334,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,2.0,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,,1.0,,1.0,,,,2.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,0.5,,,,,,,,,,,,,,,,1.0,,0.3333333333333333,,,0.5027,,3.0,,,1.0,,,,,,,,,,,0.5,,,,1.0,,,,,,,,,,,1.0,,,0.3333333333333333,0.5,,0.3333333333333333,0.5,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
