EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffThreePtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,FtPoints,PenaltyFtPoints,PenaltyPoints,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,LiveBallTurnoverPct,DefFTReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,AtRimFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,AtRimAssists,DefTwoPtRebounds,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,BlockedLongMidRange,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChancePointsPct,LongMidRangeFGM,PtsUnassisted2s,Steals,LostBallSteals,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangeAssists,DefShortMidRangeReboundPct,LongMidRangePctAssisted,PenaltyFG2A,BadPassOutOfBoundsTurnovers,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyShotQualityAvg,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,PenaltyTurnovers,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFg2Pct,PenaltyEfgPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,Corner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFtPoints,PenaltyFG3M,PtsPutbacks,Corner3Assists,OffTwoPtRebounds,FTOffRebounds,SelfOReb,BadPassSteals,StepOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,PenaltyFg3Pct,SecondChanceFg2Pct,ShortMidRangePctBlocked,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,BlockingFouls,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGA,Travels,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveMakes,Technical Free Throw Trips,BlockedArc3,Corner3PctBlocked,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,SecondChanceCorner3PctAssisted,Charge Fouls Drawn,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
101181-1626204-201145-203903-203918,1610612739,"Jose Calderon, Larry Nance Jr., Jeff Green, Jordan Clarkson, Rodney Hood","Calderon, Nance Jr., Green, Clarkson, Hood",101181-1626204-201145-203903-203918,CLE,138.0,1,2.0,-1.0,4.0,4.0,1.0,8,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333,0.3,0.3,0.6,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.25,1.0,0.5,83.47826086956522,14.5,20.0,14.25,14.75,0.2,0.2,0.2,0.4,0.5,0.5,1.0,0.8,0.5,0.51278,8.75,25.433333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-201145-203918-2544,1610612739,"Jose Calderon, Larry Nance Jr., Jeff Green, Rodney Hood, LeBron James","Calderon, Nance Jr., Green, Hood, James",101181-1626204-201145-203918-2544,CLE,44.0,1,1.0,-3.0,1.0,2.0,,3,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,98.18181818181819,13.0,15.5,13.0,15.5,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-201145-2544-2747,1610612739,"Jose Calderon, Larry Nance Jr., Jeff Green, LeBron James, JR Smith","Calderon, Nance Jr., Green, James, Smith",101181-1626204-201145-2544-2747,CLE,134.0,1,2.0,-1.0,5.0,4.0,,9,,,,,,1.0,2.0,,1.0,4.0,5.0,,,1.0,,,,1.0,2.0,,2.0,1.0,1.0,,2.0,,,,,4.0,,,0.3333333333333333,0.5,0.3333333333333333,,,,1.0,,0.5,,,,96.71641791044776,17.8,11.25,17.8,11.25,,,,0.3333333333333333,,,,0.3333333333333333,,0.43933333333333335,10.2,26.1,,4.0,2.0,,,2.0,1.0,,,,0.25,0.3333333333333333,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-201567-2544-2747,1610612739,"Jose Calderon, Larry Nance Jr., Kevin Love, LeBron James, JR Smith","Calderon, Nance Jr., Love, James, Smith",101181-1626204-201567-2544-2747,CLE,313.0,1,5.0,1.0,11.0,11.0,3.0,22,2.0,,,2.0,1.0,5.0,2.0,1.0,7.0,9.0,8.0,,,5.0,1.0,,3.0,3.0,5.0,3.0,8.0,2.0,7.0,2.0,1.0,,1.0,,1.0,6.0,0.14285714285714285,0.14285714285714285,0.3888888888888889,0.45,0.7777777777777778,,,,0.75,0.5,0.8333333333333334,0.5,0.75,0.75,101.21405750798722,16.09090909090909,12.363636363636363,14.818181818181818,11.727272727272727,0.2222222222222222,,0.2222222222222222,0.5555555555555556,0.2,0.2,,1.0,0.2,0.5231833333333333,1.9,25.985714285714288,,4.0,2.0,,,2.0,1.0,,,,0.1,0.3333333333333333,,,,,2.0,4.0,2.0,3.0,,7.0,,2.0,,4.0,1.0,1.0,1.0,0.5,,,,,,,2.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-203918-2544-2594,1610612739,"Jose Calderon, Larry Nance Jr., Rodney Hood, LeBron James, Kyle Korver","Calderon, Nance Jr., Hood, James, Korver",101181-1626204-203918-2544-2594,CLE,99.0,1,2.0,,3.0,3.0,,6,,,1.0,,,,1.0,,,2.0,2.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,2.0,,,1.0,1.0,,,,,,,0.3333333333333333,,,,87.27272727272728,12.333333333333334,20.666666666666668,12.333333333333334,20.333333333333332,,1.0,,,,,,,,0.351,19.6,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-203918-2544-2747,1610612739,"Jose Calderon, Larry Nance Jr., Rodney Hood, LeBron James, JR Smith","Calderon, Nance Jr., Hood, James, Smith",101181-1626204-203918-2544-2747,CLE,168.0,1,3.0,3.0,6.0,6.0,,12,1.0,,1.0,,1.0,4.0,2.0,1.0,4.0,7.0,4.0,,3.0,4.0,1.0,,,1.0,3.0,,3.0,,1.0,,,,,,,7.0,0.25,0.25,0.5833333333333334,0.5833333333333334,0.6666666666666666,,,,1.0,,0.75,,,1.0,102.85714285714286,10.166666666666666,17.833333333333332,10.166666666666666,14.833333333333334,0.16666666666666666,0.16666666666666666,,0.6666666666666666,0.25,0.25,,0.8333333333333334,0.25,0.5744833333333333,9.15,25.725,,6.0,,,,,,,,,,,,,,,2.0,4.0,2.0,2.0,,4.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,0.6666666666666666,,0.5,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-2544-2594-2747,1610612739,"Jose Calderon, Larry Nance Jr., LeBron James, Kyle Korver, JR Smith","Calderon, Nance Jr., James, Korver, Smith",101181-1626204-2544-2594-2747,CLE,318.0,3,5.0,3.0,12.0,10.0,,22,1.0,,2.0,1.0,,1.0,4.0,,2.0,12.0,9.0,,,1.0,,,,,3.0,,3.0,1.0,2.0,,4.0,,1.0,,1.0,12.0,,,0.3333333333333333,0.6,0.3333333333333333,,,,,,0.6,,,,99.62264150943396,13.583333333333334,15.5,13.583333333333334,14.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,,,,0.5,,0.4810083333333333,10.05,23.85,4.0,8.0,8.0,4.0,4.0,8.0,3.0,4.0,4.0,0.5,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.3333333333333333,,1.0,2.0,2.0,1.0,1.0,,2.0,,,,2.0,0.5,0.5,0.5,,,,0.16666666666666666,,,,1.0,,,,,,,,,1.0,3.0,,2.0,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,2.0,1.0,1.0,0.5,0.5,,,,2.0,1.0,1.0,1.0,1.0,0.3643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626224-201145-2544-2594,1610612739,"Jose Calderon, Cedi Osman, Jeff Green, LeBron James, Kyle Korver","Calderon, Osman, Green, James, Korver",101181-1626224-201145-2544-2594,CLE,24.0,1,,-2.0,1.0,1.0,,2,,,,,,1.0,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,120.0,3.0,21.0,3.0,21.0,,,,1.0,,,,1.0,,0.2244,,28.9,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2244,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-201145-201567-2544-2594,1610612739,"Jose Calderon, Jeff Green, Kevin Love, LeBron James, Kyle Korver","Calderon, Green, Love, James, Korver",101181-201145-201567-2544-2594,CLE,9.0,1,,,1.0,1.0,,2,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,320.0,9.0,,9.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-201145-201567-2544-2747,1610612739,"Jose Calderon, Jeff Green, Kevin Love, LeBron James, JR Smith","Calderon, Green, Love, James, Smith",101181-201145-201567-2544-2747,CLE,102.0,1,2.0,2.0,4.0,4.0,,8,1.0,,,,,,1.0,,,4.0,2.0,,,,,,,1.0,3.0,,3.0,,1.0,,1.0,,,,,4.0,,,1.0,1.0,,,,,1.0,,1.0,,,1.0,112.94117647058823,9.25,16.25,9.25,16.25,1.0,,,,,,,1.0,,0.8031,1.0,,4.0,,2.0,2.0,4.0,2.0,,4.0,4.0,1.0,,,1.0,1.0,,,1.0,2.0,1.0,1.0,,2.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,0.8031,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
