EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGM,SecondChanceFtPoints,Fg2aBlocked,Fg3aBlocked,ShortMidRangeAssists,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceArc3Accuracy,ThreePtShootingFoulsDrawnPct,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTurnovers,BlockedLongMidRange,Technical Free Throw Trips,Clear Path Fouls,PenaltyArc3FGM,Travels,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedShortMidRange,Corner3PctBlocked,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,HeaveAttempts,Loose Ball Fouls Drawn,BlockingFoulsDrawn,BlockedCorner3,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
1627749-1938-200746-200752-201988,1610612759,"Dejounte Murray, Manu Ginobili, LaMarcus Aldridge, Rudy Gay, Patty Mills","Murray, Ginobili, Aldridge, Gay, Mills",1627749-1938-200746-200752-201988,SAS,1068.0,3,18.0,9.0,33.0,33.0,9.0,8.0,3.0,66.0,2.0,2.0,1.0,1.0,3.0,7.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,5.0,13.0,1.0,6.0,14.0,7.0,16.0,5.0,38.0,29.0,1.0,1.0,1.0,2.0,5.0,3.0,5.0,2.0,2.0,3.0,15.0,4.0,8.0,18.0,3.0,2.0,13.0,5.0,2.0,6.0,8.0,4.0,2.0,1.0,1.0,22.0,2.0,1.0,7.0,9.0,2.0,18.0,3.0,21.0,3.0,1.0,2.0,3.0,4.0,1.0,7.0,8.0,1.0,6.0,3.0,33.0,15.0,9.0,1.0,0.3333333333333333,0.4,0.8571428571428571,0.4375,0.5,1.0,0.4375,0.42857142857142855,1.0,0.6,0.55,0.8333333333333334,0.8571428571428571,0.5757575757575758,0.8333333333333334,0.8333333333333334,0.5333333333333333,1.0,1.0,0.75,0.125,0.875,0.2222222222222222,0.8,0.17647058823529413,0.25,0.25,0.75,0.5,1.0,1.0,0.6666666666666666,88.98876404494382,18.545454545454547,13.818181818181818,17.87878787878788,13.363636363636363,0.06666666666666667,1.0,1.0,0.5,0.23333333333333334,0.42857142857142855,0.42857142857142855,0.16666666666666666,0.2,0.2,1.0,0.1,0.6666666666666666,0.6666666666666666,1.0,0.43333333333333335,0.38461538461538464,0.38461538461538464,0.8,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.2857142857142857,1.0,0.6,0.38461538461538464,0.48605666666666664,0.5682,0.44728571428571423,0.09090909090909091,0.17647058823529413,0.13157894736842105,0.39473684210526316,12.15,26.23125,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-200746-200752-201980-201988,1610612759,"Dejounte Murray, LaMarcus Aldridge, Rudy Gay, Danny Green, Patty Mills","Murray, Aldridge, Gay, Green, Mills",1627749-200746-200752-201980-201988,SAS,2844.0,5,47.0,-17.0,86.0,86.0,,2.0,11.0,172.0,8.0,17.0,5.0,5.0,5.0,17.0,4.0,17.0,3.0,5.0,1.0,1.0,,,9.0,29.0,2.0,17.0,51.0,12.0,34.0,11.0,81.0,98.0,6.0,7.0,2.0,3.0,21.0,,,,,,,6.0,28.0,30.0,6.0,10.0,29.0,9.0,3.0,10.0,13.0,7.0,3.0,2.0,,36.0,2.0,10.0,11.0,13.0,,24.0,12.0,36.0,2.0,2.0,,8.0,4.0,,22.0,17.0,,14.0,6.0,60.0,,,,0.17647058823529413,0.25,0.8333333333333334,0.35294117647058826,0.6666666666666666,,0.35294117647058826,0.3333333333333333,0.8571428571428571,,0.4117647058823529,0.9,,0.44505494505494503,0.9545454545454546,,0.4,0.25,,0.5652173913043478,0.29411764705882354,0.8461538461538461,0.09523809523809523,0.6666666666666666,0.21818181818181817,0.16666666666666666,0.10526315789473684,0.42857142857142855,0.3333333333333333,0.8,0.8181818181818182,1.0,87.08860759493672,18.174418604651162,14.895348837209303,17.686046511627907,14.465116279069768,0.2,0.47058823529411764,0.6153846153846154,0.25,0.2,0.29411764705882354,0.3333333333333333,0.2,0.23529411764705882,0.25,,0.058823529411764705,0.6,0.6,1.0,0.3411764705882353,0.3103448275862069,0.32142857142857145,0.7777777777777778,0.5,1.0,0.1,1.0,1.0,0.2,,,0.6,0.3103448275862069,0.4984135294117647,0.6065,,0.07692307692307693,0.10714285714285714,0.25925925925925924,,9.890196078431373,25.558823529411764,,1.0,3.0,7.0,1.0,1.0,3.0,10.0,7.0,3.0,4.0,6.0,1.0,3.0,1.0,1.0,0.029411764705882353,0.13725490196078433,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.034482758620689655,0.5555555555555556,0.23076923076923078,0.06382978723404255,0.2,0.5,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-200746-200752-201980-2225,1610612759,"Dejounte Murray, LaMarcus Aldridge, Rudy Gay, Danny Green, Tony Parker","Murray, Aldridge, Gay, Green, Parker",1627749-200746-200752-201980-2225,SAS,68.0,1,1.0,-6.0,2.0,3.0,,,,5.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,105.88235294117648,16.0,12.0,16.0,12.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.4177,,,,,,,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-200746-200752-201988-203937,1610612759,"Dejounte Murray, LaMarcus Aldridge, Rudy Gay, Patty Mills, Kyle Anderson","Murray, Aldridge, Gay, Mills, Anderson",1627749-200746-200752-201988-203937,SAS,59.0,1,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.16666666666666666,,,,0.25,,,,,48.8135593220339,20.0,39.0,20.0,11.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.3861,,0.3861,,,,,15.7,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-200746-200752-201988-2200,1610612759,"Dejounte Murray, LaMarcus Aldridge, Rudy Gay, Patty Mills, Pau Gasol","Murray, Aldridge, Gay, Mills, Gasol",1627749-200746-200752-201988-2200,SAS,57.0,1,1.0,-2.0,2.0,2.0,,,1.0,4.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,2.0,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,1.0,,0.3333333333333333,,,,,,,,101.05263157894737,27.0,1.5,24.0,1.5,0.3333333333333333,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,,,,,,,0.6666666666666666,,0.4399666666666667,,,,,,,11.1,23.9,,,,1.0,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-200746-201980-201988-203937,1610612759,"Dejounte Murray, LaMarcus Aldridge, Danny Green, Patty Mills, Kyle Anderson","Murray, Aldridge, Green, Mills, Anderson",1627749-200746-201980-201988-203937,SAS,382.0,2,6.0,-9.0,12.0,14.0,,1.0,,26.0,,1.0,,,1.0,3.0,3.0,4.0,,,,,,,,2.0,,4.0,8.0,,2.0,,8.0,17.0,,,,,,,,,,,,6.0,2.0,,,,2.0,,3.0,,3.0,,,,3.0,6.0,,,2.0,2.0,,4.0,,4.0,1.0,1.0,,3.0,1.0,,3.0,,,,,8.0,,,,0.75,0.75,,,,,,0.5,,,0.4,,,0.4,,,0.2,0.3333333333333333,,0.6666666666666666,,1.0,,0.8,,,,1.0,,1.0,1.0,1.0,98.01047120418849,17.166666666666668,12.571428571428571,17.166666666666668,12.571428571428571,0.1,,,,0.3,0.3333333333333333,0.5,0.4,0.75,0.75,1.0,,,,,0.2,,,,,,,,,,,,0.3,,0.42828,,,,,,,13.7875,26.8,,,,1.0,,,,1.0,1.0,,,2.0,,,,,,0.125,,0.3333333333333333,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-200746-201980-201988-2200,1610612759,"Dejounte Murray, LaMarcus Aldridge, Danny Green, Patty Mills, Pau Gasol","Murray, Aldridge, Green, Mills, Gasol",1627749-200746-201980-201988-2200,SAS,124.0,1,2.0,5.0,4.0,4.0,,,,8.0,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,4.0,9.0,4.0,,,,,,,,,,,,,2.0,3.0,,,1.0,1.0,,1.0,1.0,1.0,,,,3.0,,,1.0,1.0,,2.0,,2.0,,,,,1.0,,1.0,2.0,,4.0,2.0,9.0,,,,,,1.0,1.0,,,1.0,1.0,,,1.25,,,1.125,,,0.5,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,92.9032258064516,16.0,15.0,16.0,15.0,,,,,,,,0.5,1.0,1.0,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,0.5,1.0,0.472575,,,0.5,0.6666666666666666,,,16.4,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-200752-201980-2200-2225,1610612759,"Dejounte Murray, Rudy Gay, Danny Green, Pau Gasol, Tony Parker","Murray, Gay, Green, Gasol, Parker",1627749-200752-201980-2200-2225,SAS,18.0,1,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,80.0,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-201980-201988-203937-2200,1610612759,"Dejounte Murray, Danny Green, Patty Mills, Kyle Anderson, Pau Gasol","Murray, Green, Mills, Anderson, Gasol",1627749-201980-201988-203937-2200,SAS,33.0,1,1.0,-2.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,87.27272727272727,24.0,9.0,24.0,9.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,0.50595,,,,,,,,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-201980-202722-203937-2200,1610612759,"Dejounte Murray, Danny Green, Davis Bertans, Kyle Anderson, Pau Gasol","Murray, Green, Bertans, Anderson, Gasol",1627749-201980-202722-203937-2200,SAS,10.0,1,,-2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
