EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,OpponentPoints,PtsUnassisted2s,LongMidRangeAssists,BlockedShortMidRange,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,BadPassSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedLongMidRange,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,OffAtRimReboundPct,PenaltyArc3FGA,PenaltyFG3A,Charge Fouls Drawn,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,PenaltyArc3Frequency,SecondChanceCorner3FGA,PtsPutbacks,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,StepOutOfBoundsTurnovers,DefensiveGoaltends,3SecondViolations,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyFtPoints,HeaveAttempts,NonShootingPenaltyNonTakeFoulsDrawn,Defensive 3 Seconds Violations,2pt And 1 Free Throw Trips,Clear Path Fouls,Technical Free Throw Trips,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Blocked3s,BlockedCorner3,OffensiveGoaltends,Corner3PctBlocked,BlockedArc3,team_id,year,season,team_vs
101141-101161-1626147-1627732-201158,1610612755,"Ersan Ilyasova, Amir Johnson, Justin Anderson, Ben Simmons, Marco Belinelli","Ilyasova, Johnson, Anderson, Simmons, Belinelli",101141-101161-1626147-1627732-201158,PHI,196.0,4,3.0,14.0,7.0,6.0,1.0,13.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,5.0,14.0,2.0,9.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,11.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,0.75,0.8,0.8,0.5,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,95.51020408163265,1.0,9.0,22.166666666666668,9.0,20.833333333333332,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,1.0,1.0,0.75,0.8571428571428571,1.0,0.5497642857142857,11.35,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1626147-201158-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Justin Anderson, Marco Belinelli, T.J. McConnell","Ilyasova, Johnson, Anderson, Belinelli, McConnell",101141-101161-1626147-201158-204456,PHI,124.0,2,2.0,5.0,4.0,4.0,1.0,8.0,,,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,6.0,,2.0,2.0,1.0,2.0,3.0,2.0,,8.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,,10.0,0.5,0.5,1.0,1.0,1.0,1.0,1.25,1.25,0.5,0.5,,0.5,1.0,,,92.9032258064516,,11.25,19.75,11.25,19.75,,,,,0.25,,0.5,1.0,1.0,1.0,0.5,1.0,0.4923875,14.4,25.55,1.0,1.0,1.0,5.0,2.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1627732-200755-201158,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, JJ Redick, Marco Belinelli","Ilyasova, Johnson, Simmons, Redick, Belinelli",101141-101161-1627732-200755-201158,PHI,500.0,3,8.0,5.0,17.0,16.0,9.0,33.0,5.0,7.0,4.0,,,3.0,9.0,15.0,,3.0,18.0,10.0,,,3.0,,5.0,,5.0,,3.0,10.0,5.0,4.0,9.0,11.0,1.0,1.0,2.0,2.0,1.0,,1.0,,1.0,1.0,18.0,0.5555555555555556,0.5555555555555556,,,,0.6,0.5,0.5,0.16666666666666666,1.0,0.8333333333333334,0.9,,1.0,0.8,95.03999999999999,1.0,15.0,15.3125,14.470588235294118,14.6875,0.3888888888888889,0.7142857142857143,0.8333333333333334,0.6,0.2222222222222222,,0.16666666666666666,,,,0.5555555555555556,,0.4726277777777778,7.786666666666666,30.166666666666668,1.0,4.0,3.0,13.0,8.0,2.0,1.0,0.2222222222222222,0.25,0.25,0.75,0.75,0.6666666666666666,5.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.06666666666666667,0.14285714285714285,0.5,0.3333333333333333,0.25,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,1.0,0.43885,0.4975,0.2222222222222222,0.29411764705882354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1627732-200755-203496,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, JJ Redick, Robert Covington","Ilyasova, Johnson, Simmons, Redick, Covington",101141-101161-1627732-200755-203496,PHI,2403.0,6,40.0,4.0,87.0,87.0,1.0,174.0,16.0,28.0,12.0,1.0,10.0,26.0,24.0,56.0,10.0,27.0,89.0,28.0,27.0,3.0,26.0,10.0,14.0,9.0,23.0,9.0,8.0,55.0,16.0,20.0,39.0,52.0,11.0,5.0,10.0,22.0,9.0,,6.0,1.0,6.0,4.0,77.0,0.5833333333333334,0.5833333333333334,0.9,0.37037037037037035,0.37037037037037035,0.42857142857142855,0.46987951807228917,0.49444444444444446,0.3253012048192771,0.8,0.9411764705882353,0.8571428571428571,0.875,0.6923076923076923,1.0,104.26966292134833,0.6666666666666666,12.494252873563218,15.126436781609195,12.011494252873563,14.367816091954023,0.3373493975903614,0.5714285714285714,0.6153846153846154,0.5,0.14457831325301204,0.012048192771084338,0.3132530120481928,0.38461538461538464,0.38461538461538464,0.9,0.6626506024096386,0.38461538461538464,0.5088216867469879,7.448214285714286,25.57037037037037,4.0,16.0,4.0,85.0,20.0,3.0,4.0,0.1927710843373494,0.25,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.75,,8.0,4.0,,,5.0,,,,7.0,8.0,13.0,6.0,1.0,4.0,6.0,12.0,,,,,,,0.125,0.07142857142857142,0.5,0.25,0.2653061224489796,0.4166666666666667,1.0,0.6666666666666666,0.4444444444444444,,,0.51064,,,,1.0,3.0,4.0,11.0,1.0,3.0,4.0,1.0,12.0,3.0,5.0,3.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,14.0,5.0,1.0,1.0,1.0,0.75,0.2,0.6111111111111112,0.6,0.25,0.08333333333333333,1.0,0.29411764705882354,0.375,0.3125,0.023809523809523808,0.75,0.25,1.0,0.4444444444444444,0.75,1.0,0.06741573033707865,0.08196721311475409,0.03571428571428571,0.1348314606741573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1627732-200755-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, JJ Redick, T.J. McConnell","Ilyasova, Johnson, Simmons, Redick, McConnell",101141-101161-1627732-200755-204456,PHI,122.0,1,2.0,2.0,4.0,4.0,,8.0,2.0,3.0,,,1.0,2.0,2.0,3.0,1.0,2.0,7.0,,3.0,,2.0,1.0,,1.0,1.0,1.0,,3.0,,2.0,2.0,4.0,,,1.0,1.0,,,,,,,4.0,,,1.0,0.5,0.5,0.6666666666666666,0.7,0.7,0.4,1.0,,1.0,,1.0,,94.42622950819673,,16.0,14.5,15.5,14.5,0.6,0.6666666666666666,0.6666666666666666,,,,0.4,0.5,0.5,1.0,1.0,0.5,0.52422,2.533333333333333,25.25,,,,5.0,4.0,,,,,,,,,,1.0,,,,,,,,,1.0,2.0,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,3.0,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,1.5,1.5,,,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,0.42857142857142855,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1627732-201158-203496,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, Marco Belinelli, Robert Covington","Ilyasova, Johnson, Simmons, Belinelli, Covington",101141-101161-1627732-201158-203496,PHI,481.0,5,8.0,-6.0,19.0,21.0,9.0,40.0,1.0,4.0,1.0,,2.0,10.0,2.0,7.0,2.0,10.0,13.0,4.0,6.0,,10.0,2.0,2.0,2.0,4.0,2.0,1.0,10.0,,6.0,6.0,7.0,1.0,,2.0,5.0,5.0,,2.0,1.0,2.0,2.0,11.0,1.0,1.0,1.0,0.2,0.2,0.2857142857142857,0.29411764705882354,0.34210526315789475,0.5882352941176471,0.75,,0.75,1.0,0.6666666666666666,,119.75051975051974,1.0,12.578947368421053,11.523809523809524,12.052631578947368,11.142857142857142,0.23529411764705882,0.25,0.25,1.0,0.058823529411764705,,0.5882352941176471,0.2,0.2,1.0,0.8235294117647058,0.2,0.5129058823529412,7.057142857142857,26.619999999999997,,2.0,1.0,19.0,,1.0,1.0,0.11764705882352941,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.5,0.5,,,0.5,,0.08333333333333333,,,,0.5,0.5,1.0,0.5266,0.4934,0.15384615384615385,0.10526315789473684,1.0,,1.0,3.0,1.0,,1.0,,2.0,,1.0,,,1.0,,,,,,,1.0,,,4.0,2.0,,,,,1.0,0.5,0.5,,,,0.14285714285714285,,0.14285714285714285,,,1.0,1.0,0.5,,,0.10526315789473684,0.2222222222222222,,0.15384615384615385,,1.0,1.0,2.0,1.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1627732-201158-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, Marco Belinelli, T.J. McConnell","Ilyasova, Johnson, Simmons, Belinelli, McConnell",101141-101161-1627732-201158-204456,PHI,794.0,8,13.0,2.0,27.0,27.0,12.0,54.0,3.0,3.0,,,7.0,13.0,6.0,9.0,7.0,13.0,35.0,4.0,18.0,3.0,13.0,7.0,2.0,6.0,8.0,6.0,1.0,22.0,4.0,5.0,11.0,11.0,3.0,1.0,3.0,8.0,2.0,,,,,,33.0,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.5384615384615384,0.5384615384615384,0.6666666666666666,0.75,0.7608695652173914,0.5909090909090909,0.625,1.0,0.75,0.5,1.0,1.0,97.93450881612091,,14.0,15.407407407407407,13.74074074074074,14.962962962962964,0.13636363636363635,1.0,1.0,0.3333333333333333,,,0.5909090909090909,0.5384615384615384,0.5384615384615384,0.8571428571428571,0.7272727272727273,0.5384615384615384,0.5223159090909091,7.055555555555555,25.93846153846154,3.0,6.0,,33.0,8.0,,,0.2727272727272727,0.5,0.5,,,,8.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,,,,2.0,1.0,2.0,2.0,4.0,2.0,6.0,8.0,0.6,0.5,0.5,,,0.5,,,,0.5,,1.0,0.16666666666666666,1.0,0.5019,0.45820833333333333,0.17142857142857143,0.2962962962962963,1.0,,,2.0,1.0,,,,2.0,1.0,,2.0,,2.0,,,,,1.0,,,1.0,,2.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,0.3333333333333333,1.0,,,,,0.043478260869565216,0.1,,0.05714285714285714,,1.0,1.0,,,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1627732-203496-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, Robert Covington, T.J. McConnell","Ilyasova, Johnson, Simmons, Covington, McConnell",101141-101161-1627732-203496-204456,PHI,90.0,1,2.0,4.0,3.0,3.0,,6.0,2.0,2.0,,1.0,,,2.0,2.0,,1.0,5.0,,,,,,,,,,,,,2.0,2.0,4.0,,,1.0,1.0,2.0,,,,,,3.0,,,,,,1.0,0.6666666666666666,0.625,0.3333333333333333,1.0,,1.0,1.0,,,96.0,,14.0,16.0,11.333333333333334,16.0,0.6666666666666666,1.0,1.0,,,0.3333333333333333,,,,,1.0,,0.62865,1.1,22.9,,,,1.0,4.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,2.0,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,0.5,,,0.62535,,,,1.0,,,1.0,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,2.0,1.0,,,,,1.0,0.5,0.5,,,,1.0,,,,,1.0,,,,,0.25,0.3333333333333333,,0.4,,,,,,,,1.0,2.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1627789-201158-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Timothe Luwawu-Cabarrot, Marco Belinelli, T.J. McConnell","Ilyasova, Johnson, Luwawu-Cabarrot, Belinelli, McConnell",101141-101161-1627789-201158-204456,PHI,61.0,1,1.0,3.0,3.0,2.0,1.0,5.0,,,,,1.0,2.0,1.0,1.0,1.0,2.0,5.0,,3.0,,2.0,1.0,,1.0,1.0,1.0,,3.0,,,,,,,1.0,2.0,,,,,,,5.0,,,1.0,0.5,0.5,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,,,,,,,118.03278688524591,,11.0,14.0,11.0,14.0,,,,,,,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,0.5,0.458,11.2,27.1,1.0,1.0,,2.0,2.0,,,0.3333333333333333,1.0,1.0,,,,3.0,,,,,,1.0,1.0,5.0,,,,,,,,,,5.0,3.0,1.0,0.8333333333333334,0.8333333333333334,,,,,,,,,,,,,0.458,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,1.0,0.6666666666666666,,,,,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
101141-101161-1628365-200755-201158,1610612755,"Ersan Ilyasova, Amir Johnson, Markelle Fultz, JJ Redick, Marco Belinelli","Ilyasova, Johnson, Fultz, Redick, Belinelli",101141-101161-1628365-200755-201158,PHI,124.0,1,2.0,7.0,4.0,4.0,,8.0,,,,1.0,2.0,3.0,,,3.0,4.0,9.0,,9.0,,3.0,2.0,,3.0,3.0,2.0,,9.0,2.0,1.0,3.0,4.0,,,1.0,2.0,,,,,,,9.0,,,1.0,0.75,0.75,,1.125,1.125,1.0,1.0,1.0,1.0,1.0,,1.0,92.9032258064516,,11.5,19.5,9.5,19.5,,,,,,0.25,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.562125,,25.475,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,False
