EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,ShootingFouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,SelfOReb,Steals,LostBallSteals,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,SecondChancePointsPct,ShortMidRangeFGM,LongMidRangeFGA,PenaltyFtPoints,BadPassSteals,Travels,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctBlocked,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,LongMidRangeFGM,HeaveAttempts,OffLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,OffCorner3ReboundPct,Corner3FGM,SecondChanceFtPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,BadPassTurnovers,BlockingFouls,Loose Ball Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,BlockedShortMidRange,DefensiveGoaltends,Assisted3sPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceTurnovers,SecondChanceCorner3FGA,Fg3aBlocked,FTDefRebounds,BlockingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,DefFTReboundPct,SecondChanceCorner3Frequency,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,BlockedCorner3,Defensive 3 Seconds Violations,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,Technical Free Throw Trips,Charge Fouls,3pt And 1 Free Throw Trips,3SecondViolations,team_id,year,season,team_vs
101181-1626204-201145-203903-203918,1610612739,"Jose Calderon, Larry Nance Jr., Jeff Green, Jordan Clarkson, Rodney Hood","Calderon, Nance Jr., Green, Clarkson, Hood",101181-1626204-201145-203903-203918,CLE,138.0,1,2.0,1.0,4.0,4.0,1.0,8,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,0.5,0.25,0.4,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.75,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,83.47826086956522,1.0,20.0,14.5,14.75,14.25,0.25,1.0,1.0,0.25,0.5,1.0,0.75,0.4252875,0.2568,0.2,0.3333333333333333,4.2,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-201145-203918-2544,1610612739,"Jose Calderon, Larry Nance Jr., Jeff Green, Rodney Hood, LeBron James","Calderon, Nance Jr., Green, Hood, James",101181-1626204-201145-203918-2544,CLE,44.0,1,1.0,3.0,2.0,1.0,,3,1.0,1.0,,1.0,,1.0,1.0,1.0,,5.0,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,5.0,1.0,1.25,1.25,0.5,,,,,,,,,,,,,,98.18181818181819,,15.5,13.0,15.5,13.0,0.5,1.0,1.0,,0.5,,1.0,0.579975,,,,0.1,26.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.579975,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-201145-2544-2747,1610612739,"Jose Calderon, Larry Nance Jr., Jeff Green, LeBron James, JR Smith","Calderon, Nance Jr., Green, James, Smith",101181-1626204-201145-2544-2747,CLE,134.0,1,2.0,1.0,4.0,5.0,1.0,9,1.0,2.0,,1.0,,1.0,2.0,2.0,,5.0,4.0,,2.0,1.0,,,1.0,1.0,1.0,2.0,1.0,3.0,,,2.0,,1.0,,2.0,1.0,,,,,,3.0,0.5,0.625,0.5,0.5,,,1.0,1.0,1.0,,1.0,0.5,,,,,,96.71641791044776,,11.25,17.8,11.25,17.8,0.5,0.5,0.5,,0.25,,1.0,0.7086625,0.7357,0.2,0.3333333333333333,0.55,24.35,4.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,,3.0,1.0,,,,,1.0,5.0,4.0,,,0.5,0.5,0.5,0.5,0.625,0.5,,1.0,1.0,0.5,0.5,0.25,1.0,1.0,0.7086625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.25,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-201567-2544-2747,1610612739,"Jose Calderon, Larry Nance Jr., Kevin Love, LeBron James, JR Smith","Calderon, Nance Jr., Love, James, Smith",101181-1626204-201567-2544-2747,CLE,313.0,1,5.0,-1.0,11.0,11.0,1.0,22,,1.0,1.0,4.0,,1.0,3.0,4.0,6.0,8.0,9.0,,2.0,4.0,1.0,1.0,,3.0,,3.0,1.0,4.0,1.0,1.0,1.0,,7.0,2.0,8.0,2.0,,,,,,8.0,0.3333333333333333,0.14285714285714285,0.36363636363636365,0.5714285714285714,0.3333333333333333,,,,0.5,0.25,0.5,0.16666666666666666,,0.25,,,1.0,101.21405750798722,,12.363636363636363,16.09090909090909,11.727272727272727,14.818181818181818,0.14285714285714285,,,0.14285714285714285,0.5714285714285714,,0.7142857142857143,0.5091142857142857,,0.2222222222222222,0.4,10.0,27.1,4.0,,,,,,1.0,,,1.0,,1.0,3.0,,,,,,,,1.0,3.0,4.0,,,,,,,,0.375,,,,,,0.5,,,0.4972,0.375,0.36363636363636365,,1.0,,,,1.0,,,,2.0,,,,,,,0.25,,,1.0,,,,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-203918-2544-2594,1610612739,"Jose Calderon, Larry Nance Jr., Rodney Hood, LeBron James, Kyle Korver","Calderon, Nance Jr., Hood, James, Korver",101181-1626204-203918-2544-2594,CLE,99.0,1,2.0,,3.0,3.0,2.0,6,1.0,3.0,,1.0,,1.0,3.0,1.0,,2.0,2.0,,2.0,1.0,,1.0,1.0,,,,2.0,2.0,,1.0,,,1.0,,,,,,,,,,0.3333333333333333,0.25,0.25,0.25,,,,0.5,,1.0,,0.6666666666666666,,1.0,,,,87.27272727272728,,20.666666666666668,12.333333333333334,20.333333333333332,12.333333333333334,0.75,0.3333333333333333,0.3333333333333333,,0.25,,1.0,0.7035125,0.6922,,,0.8666666666666667,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,2.0,2.0,2.0,,2.0,2.0,0.5,0.5,0.5,0.5,,,,,1.0,0.5,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-203918-2544-2747,1610612739,"Jose Calderon, Larry Nance Jr., Rodney Hood, LeBron James, JR Smith","Calderon, Nance Jr., Hood, James, Smith",101181-1626204-203918-2544-2747,CLE,168.0,1,3.0,-3.0,6.0,6.0,1.0,12,1.0,1.0,1.0,2.0,,2.0,5.0,2.0,,4.0,7.0,,2.0,1.0,,,1.0,3.0,,3.0,1.0,4.0,,,,,1.0,,,,,,,,,4.0,0.4,0.2857142857142857,0.2857142857142857,0.2857142857142857,,,,0.3333333333333333,1.0,,1.0,0.25,,,,,,102.85714285714286,,17.833333333333332,10.166666666666666,14.833333333333334,10.166666666666666,0.14285714285714285,1.0,1.0,0.14285714285714285,0.2857142857142857,,0.42857142857142855,0.4765083333333333,0.4268,,,11.64,41.95,6.0,,1.0,1.0,,,2.0,,2.0,5.0,,2.0,4.0,2.0,,,1.0,1.0,1.0,2.0,,4.0,6.0,0.5,0.5,,,,0.4,0.2857142857142857,0.2857142857142857,1.0,,,0.14285714285714285,1.0,0.2857142857142857,,,0.4765083333333333,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,0.42857142857142855,,,,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-2544-2594-2747,1610612739,"Jose Calderon, Larry Nance Jr., LeBron James, Kyle Korver, JR Smith","Calderon, Nance Jr., James, Korver, Smith",101181-1626204-2544-2594-2747,CLE,318.0,3,5.0,-3.0,10.0,12.0,1.0,22,2.0,5.0,1.0,2.0,1.0,3.0,6.0,3.0,,9.0,12.0,1.0,6.0,2.0,1.0,2.0,,2.0,2.0,4.0,2.0,6.0,2.0,3.0,4.0,,2.0,,2.0,1.0,,,,,,9.0,0.5,0.5,0.45,0.3333333333333333,0.16666666666666666,,1.0,,1.0,1.0,1.0,0.4,,1.0,,1.0,1.0,99.62264150943396,,15.5,13.583333333333334,14.5,13.583333333333334,0.5555555555555556,0.4,0.5,0.1111111111111111,0.2222222222222222,0.5,0.8888888888888888,0.5703833333333334,,0.1,0.14285714285714285,3.3166666666666664,24.866666666666664,8.0,4.0,,3.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,5.0,,3.0,1.0,,,,,3.0,5.0,8.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.35714285714285715,0.3125,,0.5,0.5,0.42857142857142855,,0.2857142857142857,0.5,0.5,0.5571071428571429,0.5555555555555556,0.8,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,0.1111111111111111,0.5,,0.14285714285714285,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,0.3333333333333333,,,,,,1.0,3.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626224-201145-2544-2594,1610612739,"Jose Calderon, Cedi Osman, Jeff Green, LeBron James, Kyle Korver","Calderon, Osman, Green, James, Korver",101181-1626224-201145-2544-2594,CLE,24.0,1,,2.0,1.0,1.0,,2,,,1.0,,,1.0,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,120.0,,21.0,3.0,21.0,3.0,,,,1.0,,,,0.3492,,,,8.7,,1.0,1.0,,,,,,,1.0,1.0,,,2.0,,,,,,,,,2.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,0.3492,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-201145-201567-2544-2594,1610612739,"Jose Calderon, Jeff Green, Kevin Love, LeBron James, Kyle Korver","Calderon, Green, Love, James, Korver",101181-201145-201567-2544-2594,CLE,9.0,1,,,1.0,1.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,,,9.0,,9.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-201145-201567-2544-2747,1610612739,"Jose Calderon, Jeff Green, Kevin Love, LeBron James, JR Smith","Calderon, Green, Love, James, Smith",101181-201145-201567-2544-2747,CLE,102.0,1,2.0,-2.0,4.0,4.0,,8,1.0,1.0,,1.0,,1.0,3.0,1.0,,2.0,4.0,,2.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,2.0,0.3333333333333333,0.25,0.25,0.25,,,,,,,,,,,,,,112.94117647058823,,16.25,9.25,16.25,9.25,0.25,1.0,1.0,,0.25,,0.5,0.533675,,,,12.4,28.1,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
