EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,LongMidRangeFGM,FG2M,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyDefPoss,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PtsUnassisted3s,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls Drawn,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,2pt And 1 Free Throw Trips,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,PenaltyOffPoss,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,AtRimAssists,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,DefCorner3ReboundPct,Offensive Fouls,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,OffShortMidRangeReboundPct,SecondChanceAtRimAccuracy,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Charge Fouls Drawn,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTDefRebounds,DefFTReboundPct,BlockedAtRim,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,OffCorner3ReboundPct,DefAtRimReboundPct,SecondChanceCorner3FGA,AtRimPctBlocked,SecondChanceCorner3Frequency,Technical Free Throw Trips,Travels,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,BlockingFoulsDrawn,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,Clear Path Fouls,BlockingFouls,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,OffensiveGoaltends,Charge Fouls,LongMidRangePctBlocked,BlockedCorner3,Arc3PctBlocked,3SecondViolations,team_id,year,season,team_vs
1626166-1626170-1626171-1626245-1627756,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Cristiano Felicio, Denzel Valentine","Payne, Grant, Portis, Felicio, Valentine",1626166-1626170-1626171-1626245-1627756,CHI,157.0,1,3.0,3.0,5.0,5.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.3,0.4166666666666667,0.5,0.4,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.25,91.71974522292993,1.0,17.4,14.0,17.0,14.0,0.2,0.2,0.2,0.4,0.5,0.5,1.0,1.0,0.6,0.5,0.4765,0.5328,0.16666666666666666,0.25,0.4,9.666666666666666,25.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,True
1626166-1626170-1626171-1626245-1628021,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Cristiano Felicio, David Nwaba","Payne, Grant, Portis, Felicio, Nwaba",1626166-1626170-1626171-1626245-1628021,CHI,76.0,2,1.0,9.0,4.0,3.0,,7.0,1.0,,,2.0,1.0,1.0,3.0,1.0,1.0,,9.0,,,,,3.0,1.0,1.0,1.0,2.0,1.0,5.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,9.0,1.0,1.0,1.0,1.125,1.125,,0.25,,,,1.0,1.0,,,,,,1.0,,132.63157894736844,,8.0,14.666666666666666,8.0,14.666666666666666,0.25,,0.5,0.25,1.0,1.0,1.0,,0.5,1.0,0.5346625,,,,,12.0,25.1,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,True
1626166-1626170-1626171-1626245-203200,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Cristiano Felicio, Justin Holiday","Payne, Grant, Portis, Felicio, Holiday",1626166-1626170-1626171-1626245-203200,CHI,164.0,1,3.0,9.0,7.0,7.0,2.0,14.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,,10.0,1.0,1.0,,,3.0,3.0,1.0,1.0,2.0,,5.0,1.0,2.0,2.0,4.0,2.0,6.0,,1.0,,1.0,1.0,,,,,,,,10.0,0.5,0.5,0.5,0.625,0.625,,0.5,1.0,1.0,0.5,1.0,1.0,0.5,,1.0,,1.0,1.0,,122.92682926829268,,10.142857142857142,13.285714285714286,9.0,13.285714285714286,0.25,0.125,0.125,0.375,0.3333333333333333,0.3333333333333333,,1.0,0.75,0.3333333333333333,0.57396875,,,,,7.625,25.225,1.0,,2.0,2.0,2.0,1.0,,2.0,,2.0,0.5,0.5,0.5,0.5,0.5,,,,7.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.125,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,True
1626166-1626170-1626171-1626245-203930,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Cristiano Felicio, Sean Kilpatrick","Payne, Grant, Portis, Felicio, Kilpatrick",1626166-1626170-1626171-1626245-203930,CHI,83.0,2,1.0,1.0,3.0,4.0,,7.0,1.0,,,,,,1.0,,1.0,1.0,3.0,2.0,,,,,,,,,,,,,3.0,3.0,,3.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,3.0,,,,0.5,0.75,,0.5,1.0,1.0,,,1.0,,,,,1.0,,,121.44578313253012,,13.333333333333334,10.75,13.333333333333334,10.75,0.5,,,,,,,,1.0,,0.676225,,0.5,1.0,,1.7,23.6,1.0,,1.0,,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,True
1626166-1626170-1626171-1627756-203943,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Denzel Valentine, Noah Vonleh","Payne, Grant, Portis, Valentine, Vonleh",1626166-1626170-1626171-1627756-203943,CHI,79.0,1,1.0,4.0,4.0,3.0,,7.0,1.0,,,,2.0,2.0,1.0,2.0,2.0,,6.0,2.0,,,,6.0,2.0,2.0,2.0,2.0,2.0,6.0,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,6.0,1.0,1.0,1.0,1.0,1.0,,0.6666666666666666,,1.0,,1.0,1.0,,,,,1.0,1.0,,127.59493670886076,,14.0,7.666666666666667,14.0,7.666666666666667,0.3333333333333333,,,0.6666666666666666,1.0,1.0,1.0,,1.0,1.0,0.46518333333333334,,,,,2.7,26.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,True
1626166-1626170-1626171-1627835-1628021,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Paul Zipser, David Nwaba","Payne, Grant, Portis, Zipser, Nwaba",1626166-1626170-1626171-1627835-1628021,CHI,12.0,1,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,True
1626166-1626170-1626171-1628021-203930,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, David Nwaba, Sean Kilpatrick","Payne, Grant, Portis, Nwaba, Kilpatrick",1626166-1626170-1626171-1628021-203930,CHI,80.0,1,1.0,-2.0,3.0,3.0,,6.0,2.0,,,,,,2.0,,,,4.0,6.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,1.0,,,,,,,,,,,,,,,108.0,,14.0,12.666666666666666,14.0,12.666666666666666,1.0,,,,,,,,1.0,,0.77255,,,,,0.3,,2.0,,2.0,2.0,2.0,1.0,,,,,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,1.0,0.77255,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,True
1626166-1626170-1626171-1628021-203943,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, David Nwaba, Noah Vonleh","Payne, Grant, Portis, Nwaba, Vonleh",1626166-1626170-1626171-1628021-203943,CHI,81.0,1,1.0,4.0,3.0,3.0,,6.0,,,,,1.0,2.0,,2.0,3.0,1.0,7.0,3.0,,,,6.0,2.0,1.0,2.0,2.0,1.0,6.0,,,1.0,1.0,,1.0,,,,,2.0,1.0,1.0,,,,,,7.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.1666666666666667,,1.0,,1.0,,,0.5,,,,,1.0,,,106.66666666666666,,12.0,15.0,12.0,13.333333333333334,,,,0.6666666666666666,0.5,0.5,1.0,,1.0,0.5,0.56535,,0.3333333333333333,,,,25.866666666666664,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,3.0,,,,3.0,1.0,,,,,7.0,,,7.0,,1.0,1.1666666666666667,,,,0.56535,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,True
1626166-1626170-1626171-1628374-203200,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Lauri Markkanen, Justin Holiday","Payne, Grant, Portis, Markkanen, Holiday",1626166-1626170-1626171-1628374-203200,CHI,17.0,1,,,2.0,1.0,,3.0,,,,1.0,,,1.0,,,,2.0,2.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,254.11764705882354,,1.5,14.0,1.5,14.0,,,1.0,,,,,,,,0.2396,,,,,21.4,,,1.0,1.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,1.0,,,1.0,1.0,2.0,,,2.0,1.0,1.0,1.0,,,,0.2396,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,True
1626166-1626170-1626171-201600-203200,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Omer Asik, Justin Holiday","Payne, Grant, Portis, Asik, Holiday",1626166-1626170-1626171-201600-203200,CHI,43.0,1,1.0,4.0,1.0,1.0,,2.0,1.0,,,1.0,,,2.0,,,,4.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,4.0,,,,1.0,1.0,,,,,,,,,,,,,,,66.97674418604652,,19.0,24.0,19.0,24.0,0.5,,0.5,,,,,,0.5,,0.5144,,0.5,0.5,,10.4,,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,,4.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5144,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,True
