EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,PenaltyFg2Pct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceOffPoss,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,Loose Ball Fouls,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,ShortMidRangeAssists,ShortMidRangePctAssisted,Travels,Corner3FGA,NonShootingPenaltyNonTakeFouls,Corner3Frequency,Corner3FGM,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Charge Fouls Drawn,Technical Free Throw Trips,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Loose Ball Fouls Drawn,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsUnassisted3s,Fg3aBlocked,Offensive Fouls Drawn,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,FTOffRebounds,BlockedLongMidRange,OffensiveGoaltends,OffFTReboundPct,Blocked3s,BlockedArc3,DefensiveGoaltends,LongMidRangePctBlocked,BlockingFouls,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Clear Path Fouls,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,3SecondViolations,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,Corner3PctBlocked,team_id,year,season,team_vs
1626173-1626209-1628371-202687-202714,1610612753,"Rashad Vaughn, Mario Hezonja, Jonathan Isaac, Bismack Biyombo, Shelvin Mack","Vaughn, Hezonja, Isaac, Biyombo, Mack",1626173-1626209-1628371-202687-202714,ORL,395.0,2,7.0,15.0,13.0,5.0,4.0,28.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,5.0,6.0,11.0,11.0,1.0,3.0,2.0,5.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,6.0,2.0,8.0,8.0,3.0,1.0,1.0,2.0,4.0,1.0,4.0,5.0,1.0,4.0,6.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,11.0,5.0,5.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.2,0.3333333333333333,0.3125,0.5,0.5,0.625,0.625,0.3333333333333333,1.0,0.75,0.6666666666666666,0.6,0.6,0.6666666666666666,0.5,1.0,102.07594936708861,0.5,12.733333333333333,15.692307692307692,12.733333333333333,14.23076923076923,0.125,1.0,1.0,1.0,0.125,0.125,0.625,0.2,0.2,1.0,1.0,0.3333333333333333,0.75,0.2,0.4968125,0.5453,0.2,0.4,0.45454545454545453,8.266666666666667,25.72,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,False
1626173-1626209-1628371-202714-203920,1610612753,"Rashad Vaughn, Mario Hezonja, Jonathan Isaac, Shelvin Mack, Khem Birch","Vaughn, Hezonja, Isaac, Mack, Birch",1626173-1626209-1628371-202714-203920,ORL,98.0,1,2.0,3.0,3.0,3.0,,6.0,1.0,1.0,,1.0,,1.0,,1.0,2.0,2.0,,1.0,,4.0,5.0,,1.0,,4.0,2.0,,1.0,,,1.0,,1.0,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,4.0,4.0,3.0,,0.5,0.5,,,,,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,,,,,0.5,0.5,,,1.0,88.16326530612245,,14.666666666666666,18.0,14.666666666666666,16.0,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,0.6666666666666666,,0.5128333333333334,0.5128333333333334,,,1.0,11.05,28.8,1.0,-1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,False
1626173-1626209-1628411-202687-202714,1610612753,"Rashad Vaughn, Mario Hezonja, Wes Iwundu, Bismack Biyombo, Shelvin Mack","Vaughn, Hezonja, Iwundu, Biyombo, Mack",1626173-1626209-1628411-202687-202714,ORL,1043.0,3,17.0,31.0,31.0,,,62.0,10.0,12.0,7.0,2.0,4.0,5.0,,,11.0,21.0,4.0,5.0,6.0,40.0,34.0,,,,,14.0,12.0,5.0,4.0,3.0,7.0,4.0,11.0,4.0,7.0,26.0,8.0,,12.0,16.0,3.0,3.0,1.0,,4.0,,5.0,10.0,1.0,10.0,11.0,6.0,,,,,,,33.0,,,,0.6363636363636364,0.7,1.0,0.8,,0.8,0.5238095238095238,0.6538461538461539,,0.6451612903225806,,0.19230769230769232,0.14285714285714285,0.14285714285714285,0.75,,0.6666666666666666,0.6666666666666666,0.625,1.0,0.5,85.59923298178332,,16.387096774193548,17.258064516129032,15.64516129032258,15.935483870967742,0.46153846153846156,0.8333333333333334,1.0,0.7,0.2692307692307692,0.07692307692307693,0.19230769230769232,0.8,0.8,1.0,,,0.6538461538461539,0.8,0.5242596153846154,,0.1935483870967742,0.23076923076923078,,6.147619047619047,25.34,,6.0,,,,,,8.0,,,,,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,2.0,4.0,4.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.875,0.16666666666666666,0.4,0.6666666666666666,0.36363636363636365,0.5,0.3333333333333333,0.5,0.6,1.0,0.125,0.14285714285714285,0.16666666666666666,0.3333333333333333,1.0,1.0,0.4432,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,False
1626173-1626209-201571-202696-203613,1610612753,"Rashad Vaughn, Mario Hezonja, D.J. Augustin, Nikola Vucevic, Jonathon Simmons","Vaughn, Hezonja, Augustin, Vucevic, Simmons",1626173-1626209-201571-202696-203613,ORL,75.0,1,1.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,,,,,2.0,3.0,,,,4.0,4.0,,,,4.0,2.0,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,4.0,4.0,3.0,,0.5,0.5,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,,96.0,,12.666666666666666,18.5,6.0,18.5,0.3333333333333333,1.0,1.0,,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,,0.5384333333333333,0.5384333333333333,,,1.0,7.2,,1.0,,1.0,1.0,,2.0,3.0,2.0,0.6666666666666666,,,0.3333333333333333,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,0.3506,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,False
1626173-1626209-202687-202714-203095,1610612753,"Rashad Vaughn, Mario Hezonja, Bismack Biyombo, Shelvin Mack, Evan Fournier","Vaughn, Hezonja, Biyombo, Mack, Fournier",1626173-1626209-202687-202714-203095,ORL,126.0,1,2.0,5.0,4.0,5.0,4.0,9.0,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,7.0,,1.0,,,,,1.0,,,,,,,,,,,,,2.0,2.0,1.0,,3.0,3.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,0.5,,,0.6666666666666666,,,,,,,102.85714285714285,,14.4,13.5,14.4,13.25,,,,,0.5,,0.5,,,,0.5,,0.5,,0.26855,0.26855,,,,8.9,25.5,1.0,-7.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,False
1626173-1626209-202687-202714-203613,1610612753,"Rashad Vaughn, Mario Hezonja, Bismack Biyombo, Shelvin Mack, Jonathon Simmons","Vaughn, Hezonja, Biyombo, Mack, Simmons",1626173-1626209-202687-202714-203613,ORL,107.0,2,2.0,3.0,3.0,3.0,1.0,6.0,,1.0,1.0,3.0,,,,,1.0,5.0,,,1.0,3.0,5.0,,,1.0,3.0,,,,,1.0,,,,,,,,,1.0,3.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,3.0,3.0,3.0,,,,,,,,0.2,0.2,0.3333333333333333,0.3,0.5,,0.2,1.0,,,,1.0,,,,80.74766355140187,,24.666666666666668,11.0,21.333333333333332,11.0,0.2,,,,0.2,0.6,,,,,,,0.2,,0.41967999999999994,0.4207666666666667,0.2,0.2,1.0,11.86,,1.0,-2.0,,1.0,1.0,1.0,3.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,1.0,,,,,,2.0,1.0,2.0,,,,,,1.0,,,,,,0.5,1.0,0.5,,1.0,0.5,1.0,,,,,,,,0.4085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,False
1626173-1626209-202687-202714-203932,1610612753,"Rashad Vaughn, Mario Hezonja, Bismack Biyombo, Shelvin Mack, Aaron Gordon","Vaughn, Hezonja, Biyombo, Mack, Gordon",1626173-1626209-202687-202714-203932,ORL,39.0,1,1.0,1.0,2.0,1.0,,3.0,,,,,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,110.76923076923076,,21.0,9.0,21.0,9.0,,,,,,,1.0,,,,1.0,,1.0,,0.4323,0.4323,,,,,26.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,False
1626173-1628371-202714-203613-203920,1610612753,"Rashad Vaughn, Jonathan Isaac, Shelvin Mack, Jonathon Simmons, Khem Birch","Vaughn, Isaac, Mack, Simmons, Birch",1626173-1628371-202714-203613-203920,ORL,41.0,1,1.0,1.0,1.0,1.0,,2.0,,1.0,,,,,,,,1.0,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,70.2439024390244,,19.0,22.0,19.0,22.0,1.0,,,,,,,,,,,,1.0,,0.3635,0.3635,,,,3.6,,1.0,-3.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,False
1626173-1628411-201571-203613-203920,1610612753,"Rashad Vaughn, Wes Iwundu, D.J. Augustin, Jonathon Simmons, Khem Birch","Vaughn, Iwundu, Augustin, Simmons, Birch",1626173-1628411-201571-203613-203920,ORL,13.0,1,,1.0,3.0,,3.0,4.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,443.07692307692304,,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,False
1626173-201571-202696-203613-203932,1610612753,"Rashad Vaughn, D.J. Augustin, Nikola Vucevic, Jonathon Simmons, Aaron Gordon","Vaughn, Augustin, Vucevic, Simmons, Gordon",1626173-201571-202696-203613-203932,ORL,76.0,1,1.0,4.0,3.0,4.0,,7.0,,,,,,,,,,,,,2.0,2.0,2.0,,,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,,,2.0,2.0,,,,1.0,2.0,1.0,,,,,,,2.0,2.0,4.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,132.63157894736844,,12.5,8.666666666666666,12.5,8.666666666666666,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2018,2017-18,False
