EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,NonHeaveArc3FGM,Arc3Assists,AtRimAssists,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg3Pct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyFtPoints,FTDefRebounds,BadPassOutOfBoundsTurnovers,BlockingFouls,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,DefFTReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,SelfOReb,Offensive Fouls Drawn,OffAtRimReboundPct,SelfORebPct,Travels,ShortMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,BlockedShortMidRange,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceTurnovers,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls,BlockedLongMidRange,PtsUnassisted3s,HeaveAttempts,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,Defensive 3 Seconds Violations,FTOffRebounds,OffFTReboundPct,3SecondViolations,DefensiveGoaltends,OffensiveGoaltends,Corner3PctBlocked,team_id,year,season,team_vs
101106-1626204-1627742-1628366-203484,1610612747,"Andrew Bogut, Larry Nance Jr., Brandon Ingram, Lonzo Ball, Kentavious Caldwell-Pope","Bogut, Nance Jr., Ingram, Ball, Caldwell-Pope",101106-1626204-1627742-1628366-203484,LAL,673.0,3,11.0,-7.0,19.0,23.0,5.0,6.0,4.0,42.0,3.0,6.0,2.0,4.0,2.0,5.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,17.0,1.0,3.0,3.0,18.0,25.0,2.0,5.0,1.0,4.0,2.0,3.0,1.0,1.0,7.0,6.0,6.0,3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,2.0,5.0,3.0,3.0,6.0,7.0,13.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,6.0,3.0,1.0,1.0,14.0,7.0,5.0,0.5,0.6,1.0,0.3333333333333333,1.0,0.3333333333333333,0.35294117647058826,0.4,0.6666666666666666,0.375,0.3333333333333333,0.875,0.40476190476190477,0.3333333333333333,0.875,0.15,0.058823529411764705,0.16666666666666666,0.8,0.75,0.45454545454545453,1.0,1.0,0.8571428571428571,0.5384615384615384,1.0,0.4,1.0,1.0,0.5,1.0,1.0,89.86627043090638,18.94736842105263,13.608695652173912,15.052631578947368,13.08695652173913,0.3,0.5,0.5,0.25,0.4,0.4,1.0,0.3,0.16666666666666666,0.2,1.0,0.1,0.5,0.5,1.0,0.05,0.6666666666666666,0.5,0.16666666666666666,0.25,1.0,0.45,0.5057525,0.50588,0.4591375,0.047619047619047616,0.05555555555555555,0.2222222222222222,0.3888888888888889,9.441176470588236,24.2,0.2631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2018,2017-18,False
101106-1626204-1627742-1628366-203903,1610612747,"Andrew Bogut, Larry Nance Jr., Brandon Ingram, Lonzo Ball, Jordan Clarkson","Bogut, Nance Jr., Ingram, Ball, Clarkson",101106-1626204-1627742-1628366-203903,LAL,338.0,3,6.0,4.0,13.0,11.0,7.0,,2.0,24.0,3.0,4.0,,,1.0,3.0,1.0,2.0,,,,,3.0,2.0,5.0,9.0,2.0,3.0,,16.0,12.0,,,2.0,3.0,2.0,4.0,1.0,2.0,7.0,10.0,,6.0,,3.0,,5.0,2.0,7.0,,1.0,1.0,16.0,,,1.0,3.0,4.0,,4.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,4.0,,,1.0,1.0,,13.0,7.0,7.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555556,,0.5,0.6666666666666666,0.75,0.5833333333333334,0.6666666666666666,0.75,0.5833333333333334,0.25,,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,102.24852071005917,13.0,15.363636363636363,11.923076923076923,15.363636363636363,0.3333333333333333,0.75,0.75,0.25,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.5,0.5,1.0,,,,,0.25,,,1.0,,,0.5833333333333334,0.5034333333333333,0.53625,0.5524749999999999,,,0.1875,0.4375,8.044444444444444,24.833333333333332,0.5384615384615384,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2018,2017-18,False
101106-1626204-1627742-1628404-203903,1610612747,"Andrew Bogut, Larry Nance Jr., Brandon Ingram, Josh Hart, Jordan Clarkson","Bogut, Nance Jr., Ingram, Hart, Clarkson",101106-1626204-1627742-1628404-203903,LAL,31.0,1,1.0,2.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,92.9032258064516,7.0,24.0,7.0,24.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,0.4687,,,,,,,2.6,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2018,2017-18,False
101106-1626204-1627742-203484-203903,1610612747,"Andrew Bogut, Larry Nance Jr., Brandon Ingram, Kentavious Caldwell-Pope, Jordan Clarkson","Bogut, Nance Jr., Ingram, Caldwell-Pope, Clarkson",101106-1626204-1627742-203484-203903,LAL,78.0,1,1.0,,2.0,1.0,,1.0,,3.0,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,3.0,3.0,,,,,,,,,,2.0,,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,2.0,,1.0,3.0,,,1.0,1.0,,,,,1.0,,,1.0,,,0.75,,,,,,,,,,,,,,,,,,,,55.38461538461538,23.5,31.0,23.5,31.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,0.4241,,,0.5,0.5,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2018,2017-18,False
101106-1626204-1627936-201147-203903,1610612747,"Andrew Bogut, Larry Nance Jr., Alex Caruso, Corey Brewer, Jordan Clarkson","Bogut, Nance Jr., Caruso, Brewer, Clarkson",101106-1626204-1627936-201147-203903,LAL,833.0,2,14.0,8.0,31.0,27.0,10.0,13.0,7.0,58.0,8.0,11.0,4.0,4.0,2.0,8.0,1.0,5.0,1.0,3.0,,2.0,3.0,1.0,11.0,24.0,2.0,6.0,4.0,32.0,24.0,5.0,6.0,1.0,13.0,3.0,3.0,,2.0,9.0,8.0,14.0,6.0,6.0,3.0,1.0,4.0,2.0,6.0,1.0,,1.0,14.0,2.0,5.0,6.0,4.0,11.0,7.0,18.0,4.0,2.0,2.0,3.0,3.0,2.0,,5.0,4.0,4.0,8.0,,10.0,8.0,1.0,3.0,19.0,9.0,10.0,0.36363636363636365,0.5,1.0,0.3333333333333333,,0.3333333333333333,0.4583333333333333,0.8333333333333334,1.0,0.4666666666666667,0.9285714285714286,0.6,0.48484848484848486,0.9285714285714286,0.6428571428571429,0.2,0.041666666666666664,,0.6,0.6666666666666666,0.38461538461538464,0.75,0.5,0.7142857142857143,0.4117647058823529,0.3333333333333333,0.75,0.5,0.5,0.5,1.0,0.6666666666666666,100.26410564225691,15.129032258064516,13.481481481481481,14.806451612903226,12.25925925925926,0.36666666666666664,0.7272727272727273,0.8,0.26666666666666666,0.25,0.25,,0.16666666666666666,0.2,0.2,1.0,0.1,0.3333333333333333,0.3333333333333333,1.0,0.1,0.5714285714285714,1.0,0.14285714285714285,0.4,,0.5666666666666667,0.5336116666666667,0.6421,0.48358,0.09375,0.11538461538461539,0.40625,0.28125,7.379166666666666,24.233333333333334,0.3225806451612903,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.375,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,,,0.3333333333333333,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2018,2017-18,False
101106-1626204-1628366-1628404-203484,1610612747,"Andrew Bogut, Larry Nance Jr., Lonzo Ball, Josh Hart, Kentavious Caldwell-Pope","Bogut, Nance Jr., Ball, Hart, Caldwell-Pope",101106-1626204-1628366-1628404-203484,LAL,101.0,1,2.0,3.0,3.0,3.0,3.0,3.0,2.0,6.0,2.0,3.0,2.0,2.0,,,1.0,2.0,,,,,,,3.0,5.0,,,,6.0,3.0,2.0,2.0,,4.0,3.0,5.0,,,6.0,2.0,4.0,,4.0,,,1.0,,1.0,,,1.0,2.0,,2.0,,,,2.0,2.0,,,,,,,,,,1.0,2.0,,1.0,,,,2.0,6.0,3.0,0.3333333333333333,1.0,,,,,0.6,1.0,0.6,0.6,1.0,0.6,0.6,1.0,0.6,,,,,,1.0,,,,1.0,,1.0,,,,,,85.54455445544555,15.0,18.666666666666668,15.0,18.666666666666668,0.6,0.6666666666666666,0.6666666666666666,,,,,0.4,0.5,0.5,1.0,,,,,,1.0,1.0,,,,0.6,0.54104,0.7097,0.54104,,,0.6666666666666666,1.0,8.82,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.6,0.6666666666666666,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2018,2017-18,False
101106-1626204-1628404-201147-203903,1610612747,"Andrew Bogut, Larry Nance Jr., Josh Hart, Corey Brewer, Jordan Clarkson","Bogut, Nance Jr., Hart, Brewer, Clarkson",101106-1626204-1628404-201147-203903,LAL,410.0,2,7.0,-3.0,15.0,13.0,,,1.0,28.0,4.0,5.0,1.0,1.0,,2.0,,1.0,,,,,2.0,,4.0,8.0,1.0,2.0,3.0,14.0,17.0,1.0,1.0,,2.0,,,,,,6.0,2.0,3.0,,2.0,1.0,3.0,1.0,4.0,,,,9.0,,1.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,,1.0,1.0,3.0,,4.0,,2.0,4.0,,2.0,4.0,,2.0,12.0,,,0.75,0.75,1.0,0.5,,0.5,0.5,1.0,,0.55,1.0,,0.5833333333333334,1.0,,0.2,0.125,,0.25,0.4,0.25,1.0,,0.5714285714285714,0.2,,1.0,,,,1.0,1.0,98.34146341463415,14.466666666666667,14.846153846153847,14.266666666666667,13.307692307692308,0.5,0.8,0.8,0.2,,,,0.1,,,,,,,,0.2,1.0,1.0,,,,0.7,0.45446,0.4253,,0.16666666666666666,0.2,0.14285714285714285,,4.975,25.65,,,,1.0,,,,,1.0,1.0,3.0,,,,,,,,0.75,0.5,0.5,1.0,,,,,,,0.5,,,2.0,,2.0,,,,,,,,,1.0,1.0,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2018,2017-18,False
101106-1626204-201147-203898-203903,1610612747,"Andrew Bogut, Larry Nance Jr., Corey Brewer, Tyler Ennis, Jordan Clarkson","Bogut, Nance Jr., Brewer, Ennis, Clarkson",101106-1626204-201147-203898-203903,LAL,88.0,1,1.0,-1.0,3.0,4.0,,4.0,,7.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,,3.0,4.0,,,,,,,,,,,,3.0,,1.0,,,1.0,1.0,,,,3.0,,,1.0,,1.0,,1.0,,,,2.0,2.0,,,2.0,,,1.0,,1.0,,,,3.0,,,,,1.0,1.0,,1.0,,,,1.5,,,1.5,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,114.54545454545455,16.0,10.0,16.0,10.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,0.5067,,,,,,,,25.5,,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2018,2017-18,False
101106-1627742-1627936-1628398-203903,1610612747,"Andrew Bogut, Brandon Ingram, Alex Caruso, Kyle Kuzma, Jordan Clarkson","Bogut, Ingram, Caruso, Kuzma, Clarkson",101106-1627742-1627936-1628398-203903,LAL,60.0,1,1.0,-1.0,3.0,3.0,,,,6.0,,,,,,2.0,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,12.333333333333334,7.666666666666667,12.333333333333334,7.666666666666667,,,,1.0,,,,,,,,,,,,,,,,,,,0.3897,,,,,,,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2018,2017-18,False
101106-1627742-1628366-1628398-1628404,1610612747,"Andrew Bogut, Brandon Ingram, Lonzo Ball, Kyle Kuzma, Josh Hart","Bogut, Ingram, Ball, Kuzma, Hart",101106-1627742-1628366-1628398-1628404,LAL,375.0,2,6.0,3.0,12.0,12.0,,,1.0,24.0,1.0,2.0,,,1.0,2.0,,,,1.0,,,6.0,1.0,2.0,4.0,4.0,7.0,1.0,17.0,14.0,,,1.0,,,,,,,,4.0,12.0,,6.0,,,4.0,4.0,,,,12.0,1.0,,2.0,2.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,,1.0,3.0,,,17.0,,,,,1.0,0.5714285714285714,,0.5714285714285714,0.5,,,0.7272727272727273,,,0.7083333333333334,,,0.6363636363636364,,,1.0,0.4,,1.0,0.3333333333333333,0.5714285714285714,0.2,,,,1.0,0.5,,1.0,92.16,13.833333333333334,17.416666666666668,13.75,16.083333333333332,0.18181818181818182,0.5,0.5,0.18181818181818182,0.5,0.5,,,,,,0.09090909090909091,,,,0.5454545454545454,,,1.0,,,0.8181818181818182,0.57275,,,0.08333333333333333,,,,3.85,25.400000000000002,,,,4.0,,,,,4.0,4.0,,1.0,1.0,1.0,,,0.3333333333333333,,,0.6666666666666666,0.6666666666666666,1.0,,,,,,,0.6666666666666666,,,,,,,,,,,,,,1.0,,1.0,,,0.2,,,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2018,2017-18,False
