EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,Arc3FGM,Arc3FGA,FG3M,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,DefThreePtRebounds,FTDefRebounds,SecondChanceTurnovers,ShootingFouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,OffThreePtRebounds,LostBallSteals,Loose Ball Fouls,NonShootingFoulsDrawn,BlockedAtRim,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SelfOReb,SelfORebPct,SecondChanceArc3FGA,SecondChanceArc3Frequency,Offensive Fouls Drawn,Corner3FGM,Corner3Assists,Loose Ball Fouls Drawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Charge Fouls Drawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,Travels,Charge Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Offensive Fouls,Technical Free Throw Trips,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,Defensive 3 Seconds Violations,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,BlockedArc3,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,BlockingFouls,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,3SecondViolations,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
1626169-1626246-1627740-1628379-202397,1610612765,"Stanley Johnson, Boban Marjanovic, Henry Ellenson, Luke Kennard, Ish Smith","Johnson, Marjanovic, Ellenson, Kennard, Smith",1626169-1626246-1627740-1628379-202397,DET,243.0,1,4.0,6.0,8.0,8.0,1.0,16.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,6.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,6.0,4.0,3.0,3.0,1.0,1.0,1.0,6.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,10.0,0.6,0.6,0.8333333333333334,1.0,0.7142857142857143,1.0,0.75,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,94.81481481481482,15.125,15.25,13.625,15.25,0.2857142857142857,1.0,1.0,0.5,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,0.42857142857142855,0.5083071428571428,0.431,0.25,0.2857142857142857,0.16666666666666666,8.916666666666666,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-1628379-201229-202397,1610612765,"Stanley Johnson, Boban Marjanovic, Luke Kennard, Anthony Tolliver, Ish Smith","Johnson, Marjanovic, Kennard, Tolliver, Smith",1626169-1626246-1628379-201229-202397,DET,675.0,3,11.0,-4.0,22.0,25.0,1.0,47.0,2.0,4.0,1.0,2.0,2.0,5.0,1.0,5.0,11.0,8.0,4.0,20.0,24.0,,,,4.0,6.0,2.0,4.0,2.0,,,10.0,2.0,4.0,9.0,2.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,,2.0,20.0,0.4,0.4,0.45454545454545453,,0.42105263157894735,,0.47619047619047616,,0.42105263157894735,1.0,0.8,0.3333333333333333,0.8888888888888888,0.16666666666666666,,1.0,0.6666666666666666,100.26666666666667,16.318181818181817,12.64,15.909090909090908,12.32,0.21052631578947367,0.5,0.6666666666666666,1.0,0.10526315789473684,0.5,0.5,,0.2631578947368421,0.4,0.4,,0.05263157894736842,0.631578947368421,0.5039526315789474,,0.09523809523809523,0.15384615384615385,,10.381818181818183,25.5125,1.0,2.0,7.0,2.0,6.0,7.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.25,0.25,0.09090909090909091,0.25,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,0.5,0.3684210526315789,0.2857142857142857,0.2857142857142857,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-1628379-201229-202704,1610612765,"Stanley Johnson, Boban Marjanovic, Luke Kennard, Anthony Tolliver, Reggie Jackson","Johnson, Marjanovic, Kennard, Tolliver, Jackson",1626169-1626246-1628379-201229-202704,DET,107.0,1,2.0,4.0,5.0,4.0,2.0,9.0,,1.0,,,1.0,2.0,2.0,1.0,3.0,3.0,4.0,6.0,2.0,,1.0,2.0,2.0,,1.0,1.0,,,1.0,2.0,,,,3.0,3.0,2.0,1.0,,,,1.0,2.0,4.0,,1.0,4.0,1.0,1.0,0.3333333333333333,,0.16666666666666666,,0.375,0.3333333333333333,0.5,,,,,0.6,,,,121.12149532710279,10.2,14.0,9.4,12.75,0.16666666666666666,,,,,,,,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5240166666666667,0.4974,0.14285714285714285,0.25,0.3333333333333333,10.4,25.3,4.0,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,0.16666666666666666,,,,,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.2857142857142857,1.0,1.0,1.0,0.5,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5240166666666667,0.6666666666666666,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-1628379-202397-202699,1610612765,"Stanley Johnson, Boban Marjanovic, Luke Kennard, Ish Smith, Tobias Harris","Johnson, Marjanovic, Kennard, Smith, Harris",1626169-1626246-1628379-202397-202699,DET,205.0,2,3.0,4.0,8.0,7.0,1.0,15.0,1.0,1.0,,,1.0,3.0,1.0,2.0,4.0,3.0,2.0,6.0,2.0,,,2.0,2.0,2.0,1.0,1.0,1.0,,,2.0,,3.0,4.0,,4.0,1.0,,,,,1.0,2.0,2.0,,1.0,4.0,0.5,0.5,0.5,,0.2857142857142857,,0.375,1.0,0.42857142857142855,,0.75,,0.8,,,,0.5,105.3658536585366,13.0,14.428571428571429,12.0,13.428571428571429,0.14285714285714285,1.0,1.0,1.0,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,,0.14285714285714285,0.5714285714285714,0.48877857142857145,,0.125,0.2,0.3333333333333333,11.95,24.8,4.0,,2.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,0.2857142857142857,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-1628379-202397-202720,1610612765,"Stanley Johnson, Boban Marjanovic, Luke Kennard, Ish Smith, Jon Leuer","Johnson, Marjanovic, Kennard, Smith, Leuer",1626169-1626246-1628379-202397-202720,DET,24.0,1,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,60.0,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-201229-202340-202397,1610612765,"Stanley Johnson, Boban Marjanovic, Anthony Tolliver, Avery Bradley, Ish Smith","Johnson, Marjanovic, Tolliver, Bradley, Smith",1626169-1626246-201229-202340-202397,DET,46.0,1,1.0,,1.0,1.0,,2.0,,,,1.0,,,,,1.0,,2.0,2.0,2.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,2.0,,1.0,2.0,,,,,,,0.5,,,,,1.0,,1.0,1.0,,,62.60869565217391,29.0,17.0,29.0,17.0,,,,,1.0,,,,,,,,,,0.4139,,0.5,0.5,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-201229-202397-204038,1610612765,"Stanley Johnson, Boban Marjanovic, Anthony Tolliver, Ish Smith, Langston Galloway","Johnson, Marjanovic, Tolliver, Smith, Galloway",1626169-1626246-201229-202397-204038,DET,416.0,3,7.0,6.0,15.0,11.0,1.0,26.0,1.0,1.0,1.0,6.0,3.0,4.0,,5.0,11.0,3.0,4.0,17.0,11.0,,1.0,,6.0,4.0,3.0,4.0,,1.0,2.0,9.0,1.0,3.0,6.0,1.0,7.0,,,,,,3.0,3.0,4.0,,1.0,17.0,0.6,0.6,0.45454545454545453,,0.4642857142857143,,0.53125,,0.21428571428571427,,1.0,0.16666666666666666,1.0,0.125,0.2,,1.0,90.0,15.933333333333334,16.09090909090909,15.4,16.09090909090909,0.07142857142857142,1.0,1.0,,0.42857142857142855,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857,0.75,0.75,0.6666666666666666,,0.2857142857142857,0.4413571428571429,0.4056,0.06666666666666667,0.08333333333333333,,10.299999999999999,25.866666666666664,2.0,1.0,3.0,1.0,3.0,3.0,1.0,,1.0,1.0,3.0,,,1.0,,,,,1.0,0.3333333333333333,0.3333333333333333,,,,1.0,,,1.0,1.0,,,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,3.0,,,,,,,,,2.0,,2.0,2.0,,,,1.0,,2.0,3.0,1.0,1.0,,,0.3333333333333333,,,,,,,,,0.32625,0.11764705882352941,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-202340-202699-202704,1610612765,"Stanley Johnson, Boban Marjanovic, Avery Bradley, Tobias Harris, Reggie Jackson","Johnson, Marjanovic, Bradley, Harris, Jackson",1626169-1626246-202340-202699-202704,DET,106.0,1,2.0,-4.0,2.0,3.0,1.0,5.0,,,,1.0,1.0,1.0,,1.0,2.0,1.0,,2.0,6.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,1.0,2.0,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,,,,,0.5,,,,67.9245283018868,28.5,16.333333333333332,26.0,16.333333333333332,,,,,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,0.45985000000000004,,,,1.0,13.3,25.6,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-202340-202699-204038,1610612765,"Stanley Johnson, Boban Marjanovic, Avery Bradley, Tobias Harris, Langston Galloway","Johnson, Marjanovic, Bradley, Harris, Galloway",1626169-1626246-202340-202699-204038,DET,98.0,1,2.0,2.0,4.0,3.0,1.0,7.0,,,,2.0,1.0,1.0,,1.0,3.0,,2.0,4.0,2.0,,1.0,,2.0,,1.0,1.0,,,1.0,2.0,,1.0,2.0,,2.0,,,,,,,1.0,2.0,,1.0,4.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.5,,,,1.0,,1.0,,,,,102.85714285714286,12.75,15.666666666666666,10.25,15.666666666666666,,,,,0.6666666666666666,,,,0.3333333333333333,1.0,1.0,1.0,,,0.3980333333333333,0.3929,0.25,0.25,,10.133333333333333,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-202397-202699-203493,1610612765,"Stanley Johnson, Boban Marjanovic, Ish Smith, Tobias Harris, Reggie Bullock","Johnson, Marjanovic, Smith, Harris, Bullock",1626169-1626246-202397-202699-203493,DET,32.0,1,1.0,-2.0,1.0,,1.0,1.0,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,0.5,,,,45.0,30.0,,20.0,,,,,,,,,,,,,,,1.0,0.558675,,,,,,24.75,,,2.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,2.0,1.0,,,,2.0,,,1.0,,,,,,1.0,,,,,,0.5,0.5,,,,,,1.0,0.558675,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
