EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGA,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Fg3aBlocked,PenaltyTurnovers,Charge Fouls,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,FG3APctBlocked,Arc3PctBlocked,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,PenaltyAtRimFGM,Arc3FGM,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Arc3Assists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeFGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,OffCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,Loose Ball Fouls Drawn,BlockingFoulsDrawn,ShortMidRangeAssists,FTOffRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls,Offensive Fouls Drawn,BlockedAtRim,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,PenaltyCorner3FGM,BlockingFouls,Charge Fouls Drawn,Blocked3s,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,PenaltyCorner3Accuracy,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,3SecondViolations,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,HeaveAttempts,BlockedCorner3,Clear Path Fouls,Corner3PctBlocked,team_id,year,season,team_vs
1626161-1627741-1627746-1627781-1628368,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, Malachi Richardson, De'Aaron Fox","Cauley-Stein, Hield, Labissiere, Richardson, Fox",1626161-1627741-1627746-1627781-1628368,SAC,841.0,1,14.0,-8.0,31.0,30.0,4.0,61.0,8.0,12.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,6.0,9.0,17.0,1.0,7.0,4.0,25.0,33.0,2.0,4.0,4.0,10.0,8.0,3.0,6.0,2.0,5.0,1.0,6.0,1.0,5.0,13.0,2.0,3.0,3.0,12.0,15.0,5.0,20.0,1.0,8.0,8.0,3.0,1.0,1.0,11.0,1.0,2.0,6.0,1.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,21.0,0.5555555555555556,0.5555555555555556,1.0,0.14285714285714285,0.14285714285714285,0.5294117647058824,0.5,0.4375,0.5,0.5,0.5,0.2916666666666667,0.11764705882352941,0.16666666666666666,0.7272727272727273,0.75,0.375,1.0,0.3333333333333333,0.7894736842105263,0.35714285714285715,0.5,0.5,0.3333333333333333,0.75,0.8,0.5,1.0,1.0,0.08333333333333333,104.44708680142686,0.5,14.612903225806452,12.933333333333334,13.741935483870968,12.6,0.5,0.6666666666666666,0.8,0.625,0.08333333333333333,0.125,0.3333333333333333,0.3333333333333333,0.041666666666666664,1.0,1.0,1.0,0.25,0.75,0.6666666666666666,0.7916666666666666,0.506725,0.49123333333333336,0.12,0.16666666666666666,0.16,5.311764705882353,25.342857142857145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2018,2017-18,True
1626161-1627741-1627746-1627781-202066,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, Malachi Richardson, Garrett Temple","Cauley-Stein, Hield, Labissiere, Richardson, Temple",1626161-1627741-1627746-1627781-202066,SAC,193.0,1,3.0,-6.0,6.0,6.0,1.0,12.0,,1.0,,,,,1.0,,,2.0,,2.0,,2.0,3.0,3.0,9.0,,,1.0,,,,2.0,1.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,3.0,,,,1.0,,,1.0,,,1.0,,2.0,4.0,,1.0,,,,,2.0,,,,,,,,,,0.25,0.5,0.5,0.5,1.0,,1.0,0.5,0.5,,0.6666666666666666,0.25,,1.0,,,1.0,,,1.0,,89.53367875647668,,18.333333333333332,13.833333333333334,17.833333333333332,12.833333333333334,0.25,,,,,0.25,,,,,,,0.5,,,0.75,0.48235,,0.2,0.3333333333333333,0.3333333333333333,8.3,25.7,5.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,0.25,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5163333333333333,0.6666666666666666,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2018,2017-18,True
1626161-1627741-1627746-1628368-1628382,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, De'Aaron Fox, Justin Jackson","Cauley-Stein, Hield, Labissiere, Fox, Jackson",1626161-1627741-1627746-1628368-1628382,SAC,759.0,7,13.0,18.0,25.0,23.0,2.0,48.0,6.0,7.0,2.0,2.0,,2.0,6.0,1.0,1.0,9.0,8.0,13.0,7.0,10.0,5.0,42.0,24.0,2.0,2.0,4.0,8.0,8.0,18.0,9.0,,4.0,6.0,10.0,1.0,2.0,26.0,1.0,1.0,3.0,7.0,10.0,2.0,12.0,,2.0,1.0,,,,2.0,,3.0,4.0,1.0,5.0,6.0,,3.0,,,,,38.0,0.5,0.5714285714285714,0.8571428571428571,0.7,0.7,0.6153846153846154,1.0,0.8043478260869565,1.0,0.8076923076923077,1.0,0.43478260869565216,,,1.0,0.875,0.2,1.0,0.3333333333333333,0.9090909090909091,0.25,1.0,,0.3333333333333333,1.0,1.0,0.75,1.0,1.0,,91.06719367588933,,14.88,16.82608695652174,14.64,16.52173913043478,0.30434782608695654,0.8571428571428571,0.8571428571428571,0.3333333333333333,,0.2608695652173913,0.3333333333333333,0.3333333333333333,0.043478260869565216,1.0,1.0,1.0,0.391304347826087,1.0,1.0,0.7391304347826086,0.5011673913043478,0.43815,0.11538461538461539,0.1875,0.09523809523809523,10.492307692307692,24.97,5.0,1.0,2.0,,2.0,2.0,2.0,7.0,,,,,7.0,5.0,,0.7,,,0.25,0.5,0.55265,0.16666666666666666,0.2,1.0,1.0,6.0,1.0,1.0,1.0,3.0,2.0,6.0,5.0,2.0,3.0,2.0,1.0,1.0,0.5,0.5,0.625,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5,1.0,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2018,2017-18,True
1626161-1627741-1627746-1628368-1628412,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, De'Aaron Fox, Frank Mason","Cauley-Stein, Hield, Labissiere, Fox, Mason",1626161-1627741-1627746-1628368-1628412,SAC,5.0,1,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,288.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,2.0,,,,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2018,2017-18,True
1626161-1627741-1627746-1628368-1713,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, De'Aaron Fox, Vince Carter","Cauley-Stein, Hield, Labissiere, Fox, Carter",1626161-1627741-1627746-1628368-1713,SAC,81.0,2,1.0,,4.0,2.0,,6.0,1.0,2.0,,,,,,,,1.0,1.0,2.0,,1.0,,2.0,2.0,,,,2.0,,,1.0,,1.0,,1.0,,1.0,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,1.0,1.0,,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,1.0,,,,1.0,,,,,,1.0,,,,,106.66666666666666,,9.5,21.5,9.5,21.5,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,0.3333333333333333,,,1.0,0.5574166666666667,,,,,1.85,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2018,2017-18,True
1626161-1627741-1627746-1628368-201588,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, De'Aaron Fox, George Hill","Cauley-Stein, Hield, Labissiere, Fox, Hill",1626161-1627741-1627746-1628368-201588,SAC,378.0,2,6.0,9.0,12.0,12.0,2.0,24.0,3.0,4.0,,,2.0,,,1.0,2.0,4.0,5.0,6.0,2.0,6.0,4.0,20.0,11.0,,,5.0,4.0,6.0,6.0,4.0,,2.0,2.0,4.0,1.0,2.0,10.0,2.0,,,4.0,4.0,2.0,6.0,1.0,,,,,,,,,,,4.0,4.0,,2.0,,,,,15.0,0.4,0.4,1.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,,0.6666666666666666,1.5,0.7142857142857143,1.25,0.5,,,,0.8,,,0.6666666666666666,0.8,0.5,,,0.5,,0.6666666666666666,1.0,,,0.25,91.42857142857143,,13.416666666666666,18.083333333333332,12.333333333333334,17.833333333333332,0.3333333333333333,0.75,0.75,0.6666666666666666,0.16666666666666666,,,,0.16666666666666666,0.5,0.5,1.0,0.3333333333333333,,,0.8333333333333334,0.5064624999999999,,0.14285714285714285,0.25,0.25,3.8000000000000003,25.016666666666666,8.0,2.0,2.0,2.0,4.0,3.0,4.0,12.0,,,,,12.0,8.0,,0.6666666666666666,,,0.2857142857142857,0.2857142857142857,0.48250714285714286,0.6,0.6666666666666666,,2.0,1.0,,4.0,,,,1.0,1.0,,2.0,1.0,1.0,,,1.0,0.5714285714285714,,0.25,0.25,1.0,,1.0,,0.25,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2018,2017-18,True
1626161-1627741-1627746-1628368-202066,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, De'Aaron Fox, Garrett Temple","Cauley-Stein, Hield, Labissiere, Fox, Temple",1626161-1627741-1627746-1628368-202066,SAC,429.0,7,7.0,1.0,15.0,16.0,2.0,31.0,4.0,5.0,1.0,1.0,,,,,1.0,4.0,4.0,5.0,,5.0,7.0,15.0,14.0,1.0,1.0,2.0,6.0,2.0,,4.0,1.0,3.0,,3.0,,3.0,6.0,2.0,,1.0,4.0,5.0,2.0,7.0,,2.0,2.0,2.0,1.0,,4.0,1.0,,2.0,,5.0,7.0,1.0,3.0,,,,,13.0,0.75,0.75,,,,0.8,1.0,0.4,1.0,0.5769230769230769,1.0,0.5,0.2,0.2,0.5,0.8,,1.0,0.4,0.8333333333333334,0.3333333333333333,,,0.5,,0.5,1.0,1.0,,,104.05594405594405,,14.8,12.9375,14.4,12.875,0.5,0.8,1.0,0.75,,,,,0.1,,,,0.4,1.0,1.0,1.0,0.5224949999999999,,0.25,0.42857142857142855,0.13333333333333333,2.44,24.94,12.0,3.0,3.0,,3.0,4.0,4.0,8.0,,4.0,1.0,1.0,8.0,12.0,,0.4444444444444444,,,0.42857142857142855,0.42857142857142855,0.5252642857142857,0.5333333333333333,0.8,3.0,2.0,,,2.0,,,,,,,3.0,2.0,1.0,,,0.6666666666666666,0.2857142857142857,,,,,1.0,0.6666666666666666,,,,1.0,,,,,,,,,,,,0.14285714285714285,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2018,2017-18,True
1626161-1627741-1627746-1628368-203992,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, De'Aaron Fox, Bogdan Bogdanovic","Cauley-Stein, Hield, Labissiere, Fox, Bogdanovic",1626161-1627741-1627746-1628368-203992,SAC,3455.0,21,58.0,,121.0,126.0,13.0,247.0,21.0,29.0,2.0,3.0,19.0,6.0,14.0,2.0,4.0,36.0,32.0,62.0,15.0,40.0,32.0,141.0,141.0,5.0,8.0,16.0,38.0,26.0,30.0,36.0,5.0,19.0,10.0,29.0,2.0,14.0,68.0,4.0,8.0,16.0,24.0,42.0,13.0,55.0,3.0,5.0,2.0,13.0,,1.0,18.0,1.0,8.0,30.0,2.0,28.0,40.0,4.0,15.0,7.0,3.0,7.0,3.0,125.0,0.59375,0.6333333333333333,0.6666666666666666,0.375,0.375,0.5161290322580645,0.625,0.5343137254901961,0.5909090909090909,0.5875,0.6153846153846154,0.39215686274509803,0.08064516129032258,0.10344827586206896,0.2777777777777778,0.6666666666666666,0.26666666666666666,0.9411764705882353,0.18181818181818182,0.7547169811320755,0.23076923076923078,0.25,0.375,0.2,0.5384615384615384,0.6666666666666666,0.8181818181818182,1.0,0.5,0.06521739130434782,102.94645441389291,0.42857142857142855,14.59504132231405,13.404761904761905,13.867768595041323,13.095238095238095,0.28431372549019607,0.7241379310344828,0.8076923076923077,0.6666666666666666,0.18627450980392157,0.13725490196078433,0.42857142857142855,0.42857142857142855,0.0392156862745098,0.5,0.5,1.0,0.35294117647058826,0.2727272727272727,0.6666666666666666,0.6764705882352942,0.4940995098039216,0.4910555555555556,0.13274336283185842,0.2054794520547945,0.11347517730496454,7.661290322580645,25.8025,45.0,14.0,7.0,3.0,27.0,7.0,19.0,58.0,2.0,7.0,3.0,7.0,58.0,45.0,7.0,0.6444444444444445,0.05,0.05555555555555555,0.4117647058823529,0.20588235294117646,0.4802779411764706,0.41134751773049644,0.371900826446281,34.0,10.0,13.0,3.0,15.0,3.0,15.0,4.0,13.0,8.0,3.0,10.0,5.0,5.0,3.0,0.42857142857142855,0.5555555555555556,0.5735294117647058,0.5,0.3611111111111111,0.38235294117647056,0.6153846153846154,,0.7142857142857143,0.42857142857142855,0.3611111111111111,5.0,,1.0,3.0,1.0,3.0,0.3333333333333333,,0.2631578947368421,0.29411764705882354,0.2727272727272727,0.3333333333333333,1.0,,2.0,,2.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0,6.0,0.10526315789473684,0.6666666666666666,0.3333333333333333,0.21428571428571427,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2018,2017-18,True
1626161-1627741-1627746-1628382-1628412,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, Justin Jackson, Frank Mason","Cauley-Stein, Hield, Labissiere, Jackson, Mason",1626161-1627741-1627746-1628382-1628412,SAC,42.0,1,1.0,-1.0,2.0,1.0,,3.0,,,,,,,,,,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,0.25,,1.0,,,,,,,,,,,,,,,,,,,102.85714285714286,,15.0,12.0,15.0,12.0,,,,,,,,,,,,,1.0,,,1.0,0.4692,,,,,,24.5,2.0,,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,0.25,,,,1.0,0.4692,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2018,2017-18,True
1626161-1627741-1627746-1628382-201588,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, Justin Jackson, George Hill","Cauley-Stein, Hield, Labissiere, Jackson, Hill",1626161-1627741-1627746-1628382-201588,SAC,1599.0,6,27.0,2.0,51.0,52.0,10.0,103.0,12.0,16.0,3.0,4.0,6.0,,2.0,3.0,5.0,21.0,13.0,24.0,9.0,26.0,5.0,58.0,56.0,3.0,5.0,9.0,18.0,8.0,24.0,21.0,2.0,9.0,8.0,17.0,3.0,9.0,42.0,4.0,6.0,4.0,14.0,19.0,10.0,29.0,2.0,1.0,1.0,6.0,,1.0,7.0,2.0,3.0,9.0,1.0,9.0,8.0,,3.0,3.0,1.0,4.0,3.0,49.0,0.6923076923076923,0.75,0.8888888888888888,0.34615384615384615,0.34615384615384615,0.5416666666666666,0.6,0.53,0.5625,0.5370370370370371,0.5625,0.52,0.08333333333333333,0.0625,0.14285714285714285,0.6666666666666666,0.5454545454545454,0.5,0.23529411764705882,0.6206896551724138,0.35714285714285715,0.5,0.5,0.2,0.6666666666666666,0.7272727272727273,0.5714285714285714,0.5,0.5,0.07692307692307693,92.7579737335835,0.75,13.666666666666666,17.346153846153847,13.0,16.03846153846154,0.32,0.75,0.8,0.75,0.12,0.04,,,0.1,0.6,0.6,1.0,0.42,0.5,0.75,0.84,0.5554910000000001,0.62337,0.05660377358490566,0.1111111111111111,0.15517241379310345,4.679166666666666,25.196153846153848,10.0,2.0,1.0,,7.0,2.0,2.0,10.0,,3.0,1.0,1.0,10.0,10.0,1.0,0.45454545454545453,,,0.2222222222222222,0.1111111111111111,0.46747222222222223,0.1724137931034483,0.19607843137254902,9.0,,6.0,1.0,1.0,2.0,3.0,2.0,6.0,5.0,,2.0,1.0,1.0,,1.0,0.14285714285714285,0.4444444444444444,,0.2857142857142857,0.2857142857142857,0.8333333333333334,0.6666666666666666,,1.0,0.2857142857142857,1.0,1.0,1.0,3.0,1.0,3.0,0.3333333333333333,0.5,0.16666666666666666,0.2,0.375,0.3333333333333333,1.0,0.1111111111111111,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.16666666666666666,0.5,,0.6,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1610612758,2018,2017-18,True
