EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,Fg2aBlocked,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,PenaltyAtRimFGM,Arc3FGM,PenaltyArc3FGM,FG2M,FG3M,FtPoints,Points,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,BadPassTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Steals,LostBallSteals,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted2s,DefThreePtRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,DefThreePtReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,Corner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,LostBallOutOfBoundsTurnovers,DefLongMidRangeReboundPct,ShortMidRangeFGM,ShortMidRangeAssists,OffTwoPtRebounds,BadPassSteals,Offensive Fouls,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFGM,BlockedLongMidRange,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFtPoints,PtsPutbacks,Fg3aBlocked,Corner3Assists,LongMidRangeAssists,FTDefRebounds,SelfOReb,StepOutOfBoundsTurnovers,Travels,BlockingFouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Charge Fouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1627767-200765-201950-202703-202734,1610612740,"Cheick Diallo, Rajon Rondo, Jrue Holiday, Nikola Mirotic, E'Twaun Moore","Diallo, Rondo, Holiday, Mirotic, Moore",1627767-200765-201950-202703-202734,NOP,102.0,1,2.0,-4.0,4,3,4.0,1.0,7,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,0.3333333333333333,0.5,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,98.82352941176471,1.0,16.5,12.0,13.75,12.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4776666666666667,0.4776666666666667,9.95,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627767-200765-201950-202703-203121,1610612740,"Cheick Diallo, Rajon Rondo, Jrue Holiday, Nikola Mirotic, Darius Miller","Diallo, Rondo, Holiday, Mirotic, Miller",1627767-200765-201950-202703-203121,NOP,140.0,1,2.0,7.0,6,5,4.0,,11,1.0,1.0,,3.0,1.0,1.0,3.0,6.0,1.0,1.0,3.0,,,2.0,2.0,,2.0,1.0,,,,1.0,,1.0,1.0,,,,,4.0,0.75,,,1.0,1.0,,1.0,,,,113.14285714285714,,9.333333333333334,16.8,9.333333333333334,16.8,0.25,,0.75,0.5,0.5,1.0,0.515775,0.4995,2.0,26.599999999999998,0.6666666666666666,4.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,13.0,1.0,1.0,2.0,7.0,2.0,6.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,13.0,7.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.375,1.25,1.3,1.1666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.2,0.5,0.5384615384615384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627767-200765-201950-202734-203076,1610612740,"Cheick Diallo, Rajon Rondo, Jrue Holiday, E'Twaun Moore, Anthony Davis","Diallo, Rondo, Holiday, Moore, Davis",1627767-200765-201950-202734-203076,NOP,96.0,1,2.0,5.0,4,4,,,8,2.0,,,2.0,,2.0,2.0,2.0,,,2.0,,,2.0,2.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,0.5,,,,1.0,,1.0,,,1.0,120.0,1.0,9.25,14.75,9.25,14.75,0.5,,0.5,,,1.0,0.6148125,,1.0,26.4,,,2.0,,1.0,,2.0,1.0,,7.0,,,,,4.0,3.0,,1.0,2.0,1.0,3.0,1.0,2.0,7.0,,,,,,7.0,,1.0,1.0,1.0,0.5,,0.5,1.0,,0.875,,0.875,,,1.0,1.0,1.0,0.5,0.5,1.0,,,0.5,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627767-200765-201950-203076-203121,1610612740,"Cheick Diallo, Rajon Rondo, Jrue Holiday, Anthony Davis, Darius Miller","Diallo, Rondo, Holiday, Davis, Miller",1627767-200765-201950-203076-203121,NOP,128.0,1,2.0,-6.0,4,5,4.0,2.0,9,1.0,1.0,,2.0,2.0,3.0,2.0,8.0,3.0,2.0,2.0,,2.0,,,2.0,2.0,1.0,,,1.0,1.0,,1.0,,,,,,4.0,0.4,,,1.0,,1.0,,0.5,1.0,,101.25,,20.25,9.4,14.5,8.6,0.2,,0.4,0.2,0.4,0.6,0.49523,0.49523,8.4,26.7,1.0,3.0,1.0,1.0,,,1.0,,,2.0,1.0,,,2.0,2.0,,,,1.0,,1.0,,1.0,2.0,,,1.0,,,,2.0,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2,0.2,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,0.4,0.5,1.0,1.0,0.5127,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627767-200765-202703-203121-203546,1610612740,"Cheick Diallo, Rajon Rondo, Nikola Mirotic, Darius Miller, Ian Clark","Diallo, Rondo, Mirotic, Miller, Clark",1627767-200765-202703-203121-203546,NOP,118.0,1,2.0,4.0,4,4,4.0,2.0,8,1.0,1.0,,3.0,3.0,1.0,4.0,4.0,1.0,4.0,3.0,,2.0,1.0,2.0,2.0,4.0,,,,,,,,2.0,1.0,1.0,1.0,1.0,4.0,0.8,,,,1.0,1.0,1.0,1.0,1.0,1.0,97.6271186440678,1.0,16.25,13.25,14.5,13.25,0.2,,0.6,0.2,0.6,1.0,0.5316799999999999,0.5316799999999999,2.3,26.025,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,,8.0,1.0,2.0,,8.0,,3.0,3.0,2.0,,1.0,1.0,1.0,,3.0,,,1.0,2.0,,5.0,8.0,,,0.5,0.5,0.5,0.5,1.0,1.0,0.8,0.8,0.6666666666666666,0.6666666666666666,,1.0,1.0,,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,,,1.0,,,,,,,,3.0,,,1.5,0.75,,,,,,0.375,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627767-200765-202734-203076-203546,1610612740,"Cheick Diallo, Rajon Rondo, E'Twaun Moore, Anthony Davis, Ian Clark","Diallo, Rondo, Moore, Davis, Clark",1627767-200765-202734-203076-203546,NOP,78.0,1,1.0,,2,2,,,4,,,,,,,,,,,,,,2.0,2.0,,2.0,1.0,,1.0,,2.0,,,,,,,,,,,,0.5,0.6666666666666666,,0.6666666666666666,,,1.0,73.84615384615384,,10.5,28.5,10.5,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627767-201950-202703-203121-203546,1610612740,"Cheick Diallo, Jrue Holiday, Nikola Mirotic, Darius Miller, Ian Clark","Diallo, Holiday, Mirotic, Miller, Clark",1627767-201950-202703-203121-203546,NOP,222.0,1,4.0,-1.0,7,7,3.0,1.0,14,2.0,,,2.0,,4.0,3.0,6.0,1.0,1.0,2.0,3.0,,1.0,3.0,1.0,4.0,,,1.0,,1.0,,1.0,1.0,,,,,3.0,0.42857142857142855,0.75,,,1.0,,1.0,0.2,,,90.8108108108108,,19.0,12.714285714285714,17.714285714285715,12.714285714285714,0.2857142857142857,,0.2857142857142857,,,0.7142857142857143,0.49800714285714287,0.4709,3.825,24.46666666666667,0.42857142857142855,,,,1.0,,1.0,1.0,,5.0,1.0,,,2.0,2.0,,3.0,1.0,1.0,,1.0,,,2.0,,,1.0,,,5.0,2.0,1.0,1.0,,0.3333333333333333,,0.3333333333333333,0.25,1.0,0.35714285714285715,0.5,0.35714285714285715,0.5,,,,,0.5,0.5,,,,0.5,,,0.4,1.0,,,,2.0,,1.0,,,,,,0.2857142857142857,,,,0.3223,,1.0,1.0,,,,,,2.0,,,,1.0,,1.0,0.14285714285714285,,,,0.5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
1627767-201950-202703-203524-203546,1610612740,"Cheick Diallo, Jrue Holiday, Nikola Mirotic, Solomon Hill, Ian Clark","Diallo, Holiday, Mirotic, Hill, Clark",1627767-201950-202703-203524-203546,NOP,257.0,1,4.0,2.0,9,8,,,17,4.0,,1.0,3.0,,6.0,3.0,8.0,,,3.0,,,3.0,4.0,,4.0,,,,,,,,,1.0,,1.0,1.0,,0.3333333333333333,,,,1.0,,0.8,,,,95.25291828793775,1.0,10.666666666666666,20.125,10.666666666666666,17.625,0.4444444444444444,0.1111111111111111,0.3333333333333333,,,0.7777777777777778,0.5607611111111112,,5.783333333333334,25.2,,,4.0,,,,5.0,,,10.0,,,,,6.0,,,,3.0,,3.0,,3.0,6.0,,,,,,10.0,,0.6,0.6,,,,,0.8333333333333334,,0.5555555555555556,,0.5555555555555556,,1.0,1.0,1.0,0.75,,,,,,,,,,,,,,1.0,,,,,,,,0.1111111111111111,,,,,,,,,,,,4.0,1.0,,,,0.5,,0.5,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,True
200765-201950-202703-202734-203076,1610612740,"Rajon Rondo, Jrue Holiday, Nikola Mirotic, E'Twaun Moore, Anthony Davis","Rondo, Holiday, Mirotic, Moore, Davis",200765-201950-202703-202734-203076,NOP,10185.0,10,170.0,-34.0,360,368,43.0,36.0,728,87.0,8.0,61.0,96.0,14.0,210.0,124.0,406.0,19.0,17.0,96.0,17.0,13.0,81.0,137.0,43.0,180.0,29.0,6.0,22.0,13.0,51.0,2.0,7.0,58.0,19.0,8.0,21.0,10.0,43.0,0.3712574850299401,0.08095238095238096,0.03278688524590164,0.5686274509803921,0.7363636363636363,0.16455696202531644,0.7757575757575758,0.22872340425531915,0.15625,0.6666666666666666,102.9278350515464,0.47619047619047616,14.594444444444445,13.39945652173913,14.055555555555555,12.831521739130435,0.26047904191616766,0.18263473053892215,0.2874251497005988,0.2222222222222222,0.3888888888888889,0.6317365269461078,0.5156983532934132,0.5026722222222222,9.024761904761904,25.39677419354839,0.11944444444444445,60.0,58.0,5.0,32.0,8.0,101.0,45.0,35.0,372.0,11.0,10.0,4.0,56.0,112.0,120.0,15.0,32.0,56.0,40.0,96.0,27.0,30.0,232.0,16.0,30.0,67.0,44.0,21.0,320.0,56.0,0.5544554455445545,0.6021505376344086,0.8888888888888888,0.3629032258064516,0.5882352941176471,0.3629032258064516,0.48095238095238096,0.5789473684210527,0.5044910179640718,0.7222222222222222,0.5269886363636364,0.7368421052631579,0.74,0.6666666666666666,0.7631578947368421,0.5172413793103449,0.3333333333333333,0.3368421052631579,0.84375,0.625,0.5714285714285714,0.3333333333333333,0.06534090909090909,0.09292035398230089,0.15053763440860216,32.0,7.0,13.0,22.0,62.0,16.0,30.0,52.0,5.0,0.5333333333333333,0.625,0.6341463414634146,0.18562874251497005,0.55,0.5909090909090909,0.3076923076923077,0.5320233333333333,0.13978494623655913,28.0,3.0,5.0,8.0,6.0,10.0,90.0,47.0,,,0.6,0.8545454545454545,0.2,0.8775510204081632,0.08383233532934131,0.2,0.625,0.8,0.08333333333333333,9.0,0.8571428571428571,17.0,6.0,30.0,25.0,2.0,0.12643678160919541,0.06451612903225806,0.27522935779816515,0.4482758620689655,0.27419354838709675,0.29310344827586204,0.35294117647058826,26.0,1.0,0.4262295081967213,0.4406779661016949,13.0,1.0,2.0,2.0,2.0,16.0,2.0,13.0,20.0,9.0,5.0,3.0,1.0,1.0,2.0,4.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,10.0,3.0,0.016129032258064516,0.03571428571428571,0.010416666666666666,0.9,0.24444444444444444,0.17142857142857143,0.6666666666666666,0.029585798816568046,0.7692307692307693,0.4642857142857143,0.48148148148148145,1.0,0.05,0.5,1.0,0.6666666666666666,0.015873015873015872,,,,1610612740,2018,2017-18,True
200765-201950-202703-202734-203524,1610612740,"Rajon Rondo, Jrue Holiday, Nikola Mirotic, E'Twaun Moore, Solomon Hill","Rondo, Holiday, Mirotic, Moore, Hill",200765-201950-202703-202734-203524,NOP,275.0,3,5.0,4.0,9,9,3.0,,18,4.0,,1.0,4.0,2.0,6.0,4.0,13.0,,2.0,3.0,,,1.0,1.0,2.0,3.0,,,,,,,,2.0,,,,,3.0,0.4,,,,1.0,,1.0,0.6666666666666666,,,94.25454545454546,,15.666666666666666,14.88888888888889,15.666666666666666,14.88888888888889,0.4,0.1,0.4,,1.0,0.8,0.5686888888888889,0.4899,5.25,31.925,0.3333333333333333,4.0,2.0,,2.0,,4.0,2.0,3.0,17.0,,,3.0,3.0,6.0,6.0,,2.0,3.0,2.0,5.0,2.0,2.0,12.0,,1.0,1.0,4.0,,17.0,3.0,0.75,0.75,1.0,0.5,,0.6666666666666666,0.6666666666666666,,0.7,,0.7083333333333334,0.375,,0.5,0.5,1.0,0.5,0.5,1.0,,,0.6666666666666666,,,0.17647058823529413,2.0,1.0,,1.0,1.0,,1.0,,,,,,0.1,1.0,,,0.7223,,,,,,,,2.0,,2.0,1.0,,,,,,,,,,,1.0,1.0,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1610612740,2018,2017-18,True
