EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,Arc3FGA,FG2A,FG3A,OpponentPoints,NonHeaveArc3FGA,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,FG2M,FtPoints,Points,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyDefPoss,SecondChanceOffPoss,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,Steals,BadPassSteals,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Corner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted3s,Corner3Assists,LongMidRangeAssists,FTDefRebounds,LostBallSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Travels,ShootingFouls,BlockingFouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,SecondChanceTsPct,LongMidRangePctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGA,PenaltyAtRimFGA,SelfOReb,Charge Fouls,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SelfORebPct,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimFGM,PenaltyArc3FGM,PenaltyFG3M,SecondChanceTurnovers,Technical Free Throw Trips,PenaltyFg3Pct,OffLongMidRangeReboundPct,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,SecondChanceCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,FTOffRebounds,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceEfgPct,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,HeaveAttempts,3pt And 1 Free Throw Trips,StepOutOfBoundsTurnovers,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,3SecondViolations,OffensiveGoaltends,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,BlockedCorner3,Arc3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
101141-101161-1626147-1627732-201158,1610612755,"Ersan Ilyasova, Amir Johnson, Justin Anderson, Ben Simmons, Marco Belinelli","Ilyasova, Johnson, Anderson, Simmons, Belinelli",101141-101161-1626147-1627732-201158,PHI,196.0,4,3.0,-14.0,6.0,7.0,1.0,13.0,1.0,1.0,2.0,2.0,2.0,14.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,95.51020408163265,22.166666666666668,9.0,20.833333333333332,9.0,0.25,0.25,0.5,0.75,0.4614875,0.2,0.3333333333333333,5.0,27.6,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,True
101141-101161-1626147-201158-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Justin Anderson, Marco Belinelli, T.J. McConnell","Ilyasova, Johnson, Anderson, Belinelli, McConnell",101141-101161-1626147-201158-204456,PHI,124.0,2,2.0,-5.0,4.0,4.0,1.0,8.0,3.0,1.0,,4.0,,10.0,,1.0,,,,1.0,,,,,,,,,1.0,2.0,1.0,1.0,,0.25,,,,,,,,92.9032258064516,19.75,11.25,19.75,11.25,0.75,0.25,,0.75,0.5675,0.2,0.2,2.65,,0.25,2.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,0.5,0.5,0.5,0.5,0.5,0.25,1.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5,0.4013,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,True
101141-101161-1627732-200755-201158,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, JJ Redick, Marco Belinelli","Ilyasova, Johnson, Simmons, Redick, Belinelli",101141-101161-1627732-200755-201158,PHI,500.0,3,8.0,-5.0,16.0,17.0,9.0,33.0,,5.0,6.0,7.0,7.0,18.0,6.0,1.0,2.0,4.0,6.0,7.0,1.0,,,1.0,1.0,1.0,1.0,,2.0,5.0,1.0,9.0,0.5,0.14285714285714285,,1.0,0.6666666666666666,1.0,0.75,1.0,,95.03999999999999,15.3125,15.0,14.6875,14.470588235294118,,0.35714285714285715,0.42857142857142855,0.5,0.4437428571428571,0.125,0.125,11.557142857142859,26.52857142857143,0.5625,,3.0,4.0,13.0,5.0,4.0,6.0,2.0,4.0,1.0,2.0,,5.0,,1.0,13.0,6.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.32142857142857145,0.40625,0.3333333333333333,0.2,,0.1,,,,,0.41523571428571426,0.46153846153846156,5.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.2,0.14285714285714285,0.16666666666666666,0.2,1.0,0.3333333333333333,1.0,1.0,0.4,0.5,0.5,0.14285714285714285,0.5,0.5,0.07142857142857142,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,True
101141-101161-1627732-200755-203496,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, JJ Redick, Robert Covington","Ilyasova, Johnson, Simmons, Redick, Covington",101141-101161-1627732-200755-203496,PHI,2403.0,6,40.0,-4.0,87.0,87.0,1.0,174.0,20.0,17.0,24.0,44.0,28.0,89.0,24.0,6.0,12.0,24.0,37.0,43.0,11.0,1.0,3.0,5.0,14.0,,9.0,,22.0,18.0,9.0,1.0,0.3888888888888889,0.13636363636363635,0.05,0.7857142857142857,0.75,0.7058823529411765,0.7346938775510204,0.625,1.0,104.26966292134833,15.126436781609195,12.494252873563218,14.367816091954023,12.011494252873563,0.2777777777777778,0.2361111111111111,0.3333333333333333,0.6666666666666666,0.5108816901408451,0.12658227848101267,0.18,6.720454545454545,26.075,0.011494252873563218,12.0,19.0,14.0,85.0,,2.0,2.0,24.0,14.0,12.0,21.0,9.0,51.0,5.0,6.0,84.0,2.0,0.631578947368421,0.631578947368421,0.4318181818181818,0.4930555555555556,0.5379746835443038,1.0,0.23529411764705882,0.2,0.14285714285714285,0.3076923076923077,0.6,0.631578947368421,0.75,,0.023529411764705882,,5.0,4.0,3.0,7.0,4.0,10.0,,11.0,3.0,,,27.0,10.0,9.0,8.0,1.0,1.0,6.0,4.0,1.0,7.0,2.0,7.0,4.0,0.8181818181818182,0.39285714285714285,0.39285714285714285,,,0.058823529411764705,,1.0,0.5833333333333334,0.6875,0.5714285714285714,0.23529411764705882,0.3076923076923077,0.25,0.09722222222222222,0.42857142857142855,0.5,0.05555555555555555,0.4166666666666667,0.4166666666666667,0.8,,0.4166666666666667,0.034482758620689655,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,0.08333333333333333,0.14285714285714285,1.0,0.125,0.3333333333333333,0.6666666666666666,0.25,0.25,1.0,0.2,0.2,0.45753000000000005,0.011764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,True
101141-101161-1627732-200755-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, JJ Redick, T.J. McConnell","Ilyasova, Johnson, Simmons, Redick, McConnell",101141-101161-1627732-200755-204456,PHI,122.0,1,2.0,-2.0,4.0,4.0,,8.0,,2.0,1.0,2.0,1.0,7.0,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,,0.3333333333333333,,,,,,,,,94.42622950819673,14.5,16.0,14.5,15.5,,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.45154999999999995,0.25,0.3333333333333333,6.2,25.1,,,,2.0,5.0,,,,,,,1.0,,3.0,,,5.0,,,,,0.5,0.625,,,,,,,,,,,,,,,,,1.0,,1.0,,,,3.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,True
101141-101161-1627732-201158-203496,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, Marco Belinelli, Robert Covington","Ilyasova, Johnson, Simmons, Belinelli, Covington",101141-101161-1627732-201158-203496,PHI,481.0,5,8.0,6.0,21.0,19.0,9.0,40.0,4.0,7.0,1.0,13.0,1.0,13.0,1.0,2.0,6.0,5.0,12.0,14.0,1.0,1.0,5.0,,6.0,2.0,5.0,,5.0,7.0,2.0,9.0,0.07142857142857142,0.15384615384615385,0.25,0.16666666666666666,1.0,0.8571428571428571,0.9166666666666666,,,119.75051975051974,11.523809523809524,12.578947368421053,11.142857142857142,12.052631578947368,0.2857142857142857,0.5,0.07142857142857142,0.35714285714285715,0.4991678571428571,0.13333333333333333,0.14285714285714285,6.892307692307692,27.6,0.42857142857142855,2.0,5.0,6.0,19.0,7.0,3.0,7.0,6.0,4.0,3.0,4.0,2.0,9.0,2.0,2.0,19.0,7.0,0.6,0.6,0.38461538461538464,0.4642857142857143,0.5588235294117647,0.3888888888888889,0.14285714285714285,0.25,0.25,0.3333333333333333,0.5,0.6666666666666666,1.0,0.4819428571428572,0.3684210526315789,2.0,1.0,1.0,2.0,2.0,,1.0,,1.0,2.0,2.0,,3.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,,,1.0,1.0,0.8571428571428571,,0.14285714285714285,0.16666666666666666,,0.14285714285714285,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,2.0,,,1.0,,,1.0,,,,,,1.0,,,0.5,,,,,,0.61345,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.16666666666666666,0.5,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,True
101141-101161-1627732-201158-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, Marco Belinelli, T.J. McConnell","Ilyasova, Johnson, Simmons, Belinelli, McConnell",101141-101161-1627732-201158-204456,PHI,794.0,8,13.0,-2.0,27.0,27.0,12.0,54.0,8.0,4.0,7.0,17.0,8.0,35.0,7.0,,6.0,3.0,9.0,12.0,3.0,,,1.0,3.0,,2.0,,8.0,7.0,3.0,12.0,0.32,,,1.0,1.0,1.0,1.0,,,97.93450881612091,15.407407407407407,14.0,14.962962962962964,13.74074074074074,0.32,0.16,0.28,0.64,0.502608,0.11538461538461539,0.16666666666666666,7.964705882352941,25.775,0.4444444444444444,6.0,9.0,3.0,33.0,8.0,2.0,13.0,14.0,4.0,7.0,10.0,4.0,23.0,3.0,3.0,33.0,13.0,0.7777777777777778,0.7777777777777778,0.5294117647058824,0.6,0.5925925925925926,0.5,,0.375,0.25,,0.75,0.75,0.6666666666666666,0.48058333333333336,0.3939393939393939,8.0,3.0,2.0,1.0,5.0,1.0,3.0,4.0,4.0,,4.0,4.0,9.0,3.0,3.0,2.0,2.0,,2.0,2.0,,,,,,0.75,0.5,0.5,0.5,0.4583333333333333,,,,1.0,1.0,,0.5,0.5,1.0,0.2,0.2,0.2,0.04,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.42857142857142855,,1.0,,1.0,1.0,,,3.0,1.0,1.0,,,2.0,,,1.0,,,,1.0,1.0,2.0,,,,,,,0.5,,1.0,1.0,1.0,1.0,,1.0,0.59445,,,2.0,1.0,,,1.0,1.0,0.08333333333333333,,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,True
101141-101161-1627732-203496-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Ben Simmons, Robert Covington, T.J. McConnell","Ilyasova, Johnson, Simmons, Covington, McConnell",101141-101161-1627732-203496-204456,PHI,90.0,1,2.0,-4.0,3.0,3.0,,6.0,1.0,,,2.0,,5.0,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,,,,,,,,,,,96.0,16.0,14.0,16.0,11.333333333333334,0.5,,,0.5,0.4909,0.3333333333333333,0.3333333333333333,8.15,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,0.16666666666666666,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,True
101141-101161-1627789-201158-204456,1610612755,"Ersan Ilyasova, Amir Johnson, Timothe Luwawu-Cabarrot, Marco Belinelli, T.J. McConnell","Ilyasova, Johnson, Luwawu-Cabarrot, Belinelli, McConnell",101141-101161-1627789-201158-204456,PHI,61.0,1,1.0,-3.0,2.0,3.0,1.0,5.0,,,,,,5.0,,,1.0,,1.0,1.0,,,,,,,,,2.0,4.0,1.0,1.0,,,,,,1.0,1.0,,,118.03278688524591,14.0,11.0,14.0,11.0,,,,,,1.0,1.0,,,0.5,,,2.0,2.0,,1.0,1.0,,,,,,,,,2.0,1.0,,,,,0.5,0.5,,,,,,,,,0.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,True
101141-101161-1628365-200755-201158,1610612755,"Ersan Ilyasova, Amir Johnson, Markelle Fultz, JJ Redick, Marco Belinelli","Ilyasova, Johnson, Fultz, Redick, Belinelli",101141-101161-1628365-200755-201158,PHI,124.0,1,2.0,-7.0,4.0,4.0,,8.0,1.0,,1.0,1.0,2.0,9.0,1.0,,,,,,,,,,,,,,2.0,2.0,1.0,,0.6666666666666666,,,,,,,,,92.9032258064516,19.5,11.5,19.5,9.5,0.3333333333333333,,0.3333333333333333,1.0,0.5623333333333334,0.25,0.5,1.1,24.7,,,,2.0,2.0,,,,,,,,,,,,2.0,,,,,,0.25,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2018,2017-18,True
