EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,LongMidRangeFGA,FG2A,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,Minutes,DefPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,Fg2aBlocked,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,FoulsDrawn,Offensive Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,PlusMinus,SecondChanceOffPoss,SecondChanceAtRimFGA,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFtPoints,PenaltyPoints,OffTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,PenaltyPointsPct,PenaltyDefPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,DefTwoPtRebounds,FG3APct,DefTwoPtReboundPct,DefLongMidRangeReboundPct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,AtRimFGM,PenaltyAtRimFGM,Arc3FGM,PenaltyArc3FGM,FG2M,FG3M,PenaltyFG2M,PenaltyFG3M,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,Technical Free Throw Trips,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,PtsUnassisted2s,PtsUnassisted3s,LostBallSteals,LostBallTurnovers,SecondChanceTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,BlockingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,LongMidRangeFGM,FTDefRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,FTOffRebounds,SecondChanceFg3Pct,OffFTReboundPct,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,BlockedLongMidRange,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,ShortMidRangeAssists,Charge Fouls,ShortMidRangePctAssisted,Defensive 3 Seconds Violations,SecondChanceArc3FGM,SecondChanceArc3FGA,SelfOReb,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,BlockingFouls,BlockedShortMidRange,LongMidRangeAssists,LongMidRangePctAssisted,Offensive Fouls,LongMidRangePctBlocked,OffCorner3ReboundPct,Charge Fouls Drawn,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,3SecondViolations,OffensiveGoaltends,HeaveAttempts,Travels,BlockedCorner3,Fg3aBlocked,DefensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
101127-1626195-1627758-201584-202498,1610612752,"Jarrett Jack, Willy Hernangomez, Ron Baker, Courtney Lee, Lance Thomas","Jack, Hernangomez, Baker, Lee, Thomas",101127-1626195-1627758-201584-202498,NYK,15.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,15.0,15.0,1.0,0.2835,0.2835,16.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2018,2017-18,True
101127-1626195-1628373-201584-202683,1610612752,"Jarrett Jack, Willy Hernangomez, Frank Ntilikina, Courtney Lee, Enes Kanter","Jack, Hernangomez, Ntilikina, Lee, Kanter",101127-1626195-1628373-201584-202683,NYK,45.0,1,2.0,2.0,5.0,,2.0,2.0,2.0,160.0,10.0,10.0,,0.39755,0.39755,4.3,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.333333333333334,8.333333333333334,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2018,2017-18,True
101127-1626195-201196-201563-201584,1610612752,"Jarrett Jack, Willy Hernangomez, Ramon Sessions, Michael Beasley, Courtney Lee","Jack, Hernangomez, Sessions, Beasley, Lee",101127-1626195-201196-201563-201584,NYK,172.0,1,5.0,5.0,10.0,,5.0,5.0,5.0,83.72093023255813,20.8,20.2,,0.46252000000000004,0.46252000000000004,6.92,1.0,3.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,,,1.0,,0.2,,0.25,0.5,0.3333333333333333,1.0,13.6,13.6,0.2,0.8,0.2,0.2,-6.0,2.0,1.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.16666666666666666,0.16666666666666666,1.0,0.4,0.4,0.5,0.5,0.57975,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2018,2017-18,True
101127-1626195-201196-201584-204001,1610612752,"Jarrett Jack, Willy Hernangomez, Ramon Sessions, Courtney Lee, Kristaps Porzingis","Jack, Hernangomez, Sessions, Lee, Porzingis",101127-1626195-201196-201584-204001,NYK,69.0,1,2.0,2.0,4.0,,1.0,1.0,2.0,83.47826086956522,15.5,15.5,,0.45515,0.45515,7.3,1.0,1.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,19.0,10.5,,0.5,,0.5,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2018,2017-18,True
101127-1626195-201563-201584-202498,1610612752,"Jarrett Jack, Willy Hernangomez, Michael Beasley, Courtney Lee, Lance Thomas","Jack, Hernangomez, Beasley, Lee, Thomas",101127-1626195-201563-201584-202498,NYK,79.0,1,2.0,2.0,5.0,,1.0,1.0,2.0,91.13924050632912,8.0,8.0,,0.587975,0.587975,1.7,1.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,21.0,21.0,0.5,,0.5,1.0,1.0,,,1.0,6.0,5.0,,1.0,6.0,,,,,,,1.0,2.0,1.0,,1.0,1.0,1.0,6.0,6.0,,1.25,1.25,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,0.5,0.5,24.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2018,2017-18,True
101127-1626195-201563-201584-203501,1610612752,"Jarrett Jack, Willy Hernangomez, Michael Beasley, Courtney Lee, Tim Hardaway Jr.","Jack, Hernangomez, Beasley, Lee, Hardaway Jr.",101127-1626195-201563-201584-203501,NYK,428.0,2,16.0,7.0,30.0,,4.0,3.0,7.0,100.93457943925233,13.0,11.9375,,0.502890909090909,0.4973,5.4,0.4375,7.0,14.0,1.0,1.0,3.0,,,3.0,3.0,1.0,,5.0,,,,,,0.6,,15.714285714285714,14.928571428571429,0.09090909090909091,0.2727272727272727,0.16666666666666666,0.7272727272727273,-3.0,1.0,,7.0,17.0,20.0,,2.0,9.0,,,1.0,,1.0,,,1.0,9.0,,,,,17.0,9.0,,0.5666666666666667,0.6428571428571429,1.0,,,,,,0.5294117647058824,,5.0,2.0,7.0,3.0,5.0,3.0,0.6363636363636364,0.75,,0.45454545454545453,0.3333333333333333,25.485714285714288,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,,,0.5,0.5,0.5,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.5,0.6666666666666666,0.45454545454545453,0.5833333333333334,1.0,,1.0,1.0,1.0,0.4,0.4,0.5,1.0,0.5,0.4,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.16666666666666666,0.3333333333333333,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2018,2017-18,True
101127-1626195-201584-202498-203501,1610612752,"Jarrett Jack, Willy Hernangomez, Courtney Lee, Lance Thomas, Tim Hardaway Jr.","Jack, Hernangomez, Lee, Thomas, Hardaway Jr.",101127-1626195-201584-202498-203501,NYK,209.0,1,7.0,7.0,14.0,1.0,5.0,5.0,7.0,96.45933014354067,15.142857142857142,15.0,0.14285714285714285,0.5225857142857143,0.5225857142857143,5.7,1.0,3.0,7.0,3.0,3.0,1.0,,,2.0,3.0,,,1.0,,,,,,1.0,,14.714285714285714,14.714285714285714,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.7142857142857143,-1.0,1.0,1.0,2.0,9.0,10.0,1.0,2.0,9.0,1.0,1.0,,,,,,,2.0,,1.0,1.0,1.0,7.0,9.0,,0.5625,0.5625,,0.5,0.3333333333333333,,1.0,0.5048,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.2857142857142857,1.0,,0.2857142857142857,0.2857142857142857,26.55,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,1.0,,1.0,1.0,1.0,,3.0,,1.0,,,1.0,0.5,0.5,0.5,0.4,0.4,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,,,,4.0,,,,,,1.0,,,,,,0.125,0.16666666666666666,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2018,2017-18,True
101127-1626195-201584-202498-203926,1610612752,"Jarrett Jack, Willy Hernangomez, Courtney Lee, Lance Thomas, Doug McDermott","Jack, Hernangomez, Lee, Thomas, McDermott",101127-1626195-201584-202498-203926,NYK,346.0,2,11.0,8.0,23.0,2.0,5.0,4.0,8.0,95.72254335260115,11.545454545454545,11.545454545454545,0.2222222222222222,0.6222166666666666,0.6563714285714285,8.040000000000001,0.7272727272727273,6.0,12.0,3.0,3.0,,,1.0,6.0,6.0,1.0,,1.0,,,,,1.0,1.0,1.0,18.25,18.25,0.3333333333333333,,0.42857142857142855,0.7777777777777778,7.0,,,2.0,17.0,10.0,,,12.0,,,1.0,,1.0,1.0,2.0,3.0,2.0,,,,,17.0,12.0,,0.85,0.8571428571428571,1.0,,,,,,0.7058823529411765,5.0,3.0,3.0,4.0,3.0,3.0,5.0,0.4444444444444444,1.0,1.0,0.3333333333333333,0.42857142857142855,26.05,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,9.0,2.0,2.0,3.0,5.0,2.0,2.0,13.0,,,0.6666666666666666,0.6666666666666666,1.0,0.75,0.6666666666666666,0.75,0.6,0.75,0.8333333333333334,0.8571428571428571,1.0,,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,,1.0,,2.0,,1.0,1.0,,,1.0,1.0,,,0.1111111111111111,,0.1,0.16666666666666666,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2018,2017-18,True
101127-1626195-201584-202498-204001,1610612752,"Jarrett Jack, Willy Hernangomez, Courtney Lee, Lance Thomas, Kristaps Porzingis","Jack, Hernangomez, Lee, Thomas, Porzingis",101127-1626195-201584-202498-204001,NYK,143.0,1,4.0,3.0,9.0,1.0,1.0,1.0,3.0,90.62937062937063,12.25,12.25,0.5,0.436025,0.436025,16.4,0.75,2.0,5.0,,,,,,2.0,2.0,,,1.0,,,,,,1.0,,18.8,18.6,,,,0.5,-3.0,,,,2.0,5.0,,,2.0,,,,,2.0,1.0,,3.0,,,,,,2.0,2.0,,0.5,0.5,,,,,,,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,0.5,0.5,25.4,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,3.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2018,2017-18,True
101127-1626195-201584-202683-203501,1610612752,"Jarrett Jack, Willy Hernangomez, Courtney Lee, Enes Kanter, Tim Hardaway Jr.","Jack, Hernangomez, Lee, Kanter, Hardaway Jr.",101127-1626195-201584-202683-203501,NYK,200.0,1,7.0,7.0,15.0,1.0,5.0,5.0,7.0,108.0,14.714285714285714,14.714285714285714,0.16666666666666666,0.5079083333333333,0.5079083333333333,7.159999999999999,1.0,3.0,8.0,3.0,3.0,1.0,,,2.0,2.0,,,1.0,,,,,,0.3333333333333333,,12.125,10.875,0.5,0.16666666666666666,0.5,0.6666666666666666,-2.0,,,1.0,10.0,12.0,,1.0,10.0,,,,,,,1.0,1.0,2.0,1.0,,,,10.0,10.0,1.0,0.7142857142857143,0.7142857142857143,,,,,,,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,,0.16666666666666666,0.16666666666666666,24.4,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.6,0.6,0.75,0.75,,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2018,2017-18,True
