EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,Charge Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Corner3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFtPoints,FTDefRebounds,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,DefFTReboundPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyTurnovers,LongMidRangeAssists,LongMidRangePctAssisted,StepOutOfBoundsTurnovers,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangeFGM,SecondChanceArc3FGA,ShortMidRangeAssists,OffThreePtRebounds,Blocked3s,BlockedCorner3,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceAtRimFGA,SecondChanceFG2A,LongMidRangePctBlocked,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,Loose Ball Fouls Drawn,OffShortMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,HeaveMakes,HeaveAttempts,Corner3Assists,FTOffRebounds,LostBallOutOfBoundsTurnovers,Travels,BlockingFouls,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedArc3,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,ShortMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Technical Free Throw Trips,BlockedLongMidRange,OffensiveGoaltends,team_id,year,season,team_vs
101139-1626153-1626181-1627751-1627783,1610612761,"CJ Miles, Delon Wright, Norman Powell, Jakob Poeltl, Pascal Siakam","Miles, Wright, Powell, Poeltl, Siakam",101139-1626153-1626181-1627751-1627783,TOR,1329.0,7,22.0,-3.0,43.0,42.0,5.0,8.0,2.0,85.0,8.0,16.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,7.0,13.0,10.0,22.0,7.0,16.0,3.0,44.0,47.0,1.0,2.0,4.0,1.0,4.0,4.0,16.0,18.0,3.0,13.0,7.0,3.0,1.0,2.0,6.0,8.0,6.0,2.0,22.0,2.0,1.0,12.0,13.0,2.0,15.0,4.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,6.0,1.0,4.0,7.0,1.0,9.0,1.0,1.0,8.0,2.0,4.0,1.0,1.0,1.0,1.0,44.0,4.0,5.0,1.0,0.2,0.2,0.8571428571428571,0.4375,0.4375,0.45454545454545453,0.5,0.5394736842105263,0.4,0.5365853658536586,0.3333333333333333,0.42105263157894735,0.0625,0.13636363636363635,0.1875,0.3333333333333333,0.5,0.7058823529411765,0.16666666666666666,0.3333333333333333,0.65,0.09523809523809523,0.25,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,92.09932279909707,15.534883720930232,15.738095238095237,15.348837209302326,14.904761904761905,0.42105263157894735,0.5,0.6153846153846154,0.25,0.05263157894736842,0.10526315789473684,0.5,0.5,0.07894736842105263,0.34210526315789475,0.5384615384615384,0.5384615384615384,0.8571428571428571,1.0,0.2,1.0,0.2,0.8421052631578947,0.5384615384615384,0.4773986842105263,0.62715,0.39695,0.1,0.16666666666666666,0.09090909090909091,5.645454545454545,25.85625,0.11627906976744186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2018,2017-18,False
101139-1626153-1626181-1627751-1628384,1610612761,"CJ Miles, Delon Wright, Norman Powell, Jakob Poeltl, OG Anunoby","Miles, Wright, Powell, Poeltl, Anunoby",101139-1626153-1626181-1627751-1628384,TOR,138.0,1,2.0,1.0,6.0,6.0,6.0,6.0,,12.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,6.0,,1.0,2.0,1.0,7.0,2.0,,3.0,,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,5.0,,,2.0,3.0,,3.0,,,,,,,,,,,1.0,2.0,,2.0,,1.0,4.0,,2.0,,,,,7.0,7.0,6.0,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.8333333333333334,0.7,0.7,0.3333333333333333,,,,,,0.6666666666666666,,,0.6666666666666666,,,0.5,1.0,,,125.21739130434784,7.5,15.5,7.5,15.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,1.0,,0.6666666666666666,1.0,0.5885833333333333,,0.5885833333333333,0.4,0.5,1.0,2.9,25.4,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2018,2017-18,False
101139-1626153-1626181-1627751-200768,1610612761,"CJ Miles, Delon Wright, Norman Powell, Jakob Poeltl, Kyle Lowry","Miles, Wright, Powell, Poeltl, Lowry",101139-1626153-1626181-1627751-200768,TOR,90.0,2,2.0,2.0,4.0,4.0,2.0,2.0,,8.0,,,,,,,1.0,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,2.0,,1.0,,1.0,1.0,,2.0,,,1.0,1.0,2.0,1.0,,2.0,,1.0,,,,,2.0,,2.0,,,,,,,,,,,0.5,,,,,,,0.5,1.0,,,1.0,,,1.0,,1.0,,128.0,12.25,10.25,12.25,10.25,,,,,,1.0,,,,,,,,,,,,,,0.3762,,,0.5,0.5,,22.7,,0.5,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2018,2017-18,False
101139-1626153-1626181-1627751-201586,1610612761,"CJ Miles, Delon Wright, Norman Powell, Jakob Poeltl, Serge Ibaka","Miles, Wright, Powell, Poeltl, Ibaka",101139-1626153-1626181-1627751-201586,TOR,119.0,1,2.0,-3.0,4.0,4.0,4.0,,,8.0,,,,,,1.0,1.0,,,,,2.0,1.0,1.0,,2.0,,2.0,5.0,,1.0,1.0,2.0,2.0,2.0,,,,2.0,,,,1.0,,1.0,,,2.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,4.0,,1.0,1.0,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,,1.0,0.5,,,0.3333333333333333,,,,0.5,,,96.80672268907563,13.75,16.0,13.75,14.25,,,,,,0.3333333333333333,1.0,1.0,,0.6666666666666666,,,,,,,,0.6666666666666666,,0.46805,,0.46805,,,1.0,18.3,25.05,1.0,,2.0,,,,,,,0.6666666666666666,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2018,2017-18,False
101139-1626153-1626181-1627751-201942,1610612761,"CJ Miles, Delon Wright, Norman Powell, Jakob Poeltl, DeMar DeRozan","Miles, Wright, Powell, Poeltl, DeRozan",101139-1626153-1626181-1627751-201942,TOR,235.0,2,4.0,,8.0,8.0,1.0,4.0,,16.0,1.0,1.0,,,,1.0,1.0,,,,2.0,3.0,2.0,2.0,2.0,3.0,2.0,12.0,12.0,,,,,,2.0,2.0,3.0,3.0,3.0,2.0,,,1.0,1.0,2.0,1.0,1.0,5.0,,,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,2.0,,1.0,2.0,,2.0,,,2.0,,1.0,,1.0,,1.0,12.0,,1.0,,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,,1.0,,1.0,,0.6,,,,,0.5,0.5,,,0.5,,,0.5,,,,98.04255319148936,17.0,12.375,17.0,12.375,0.2,1.0,1.0,1.0,,0.2,1.0,1.0,,0.6,0.6666666666666666,0.6666666666666666,0.5,,,,,0.8,0.6666666666666666,0.46936999999999995,,,0.16666666666666666,0.3333333333333333,,9.4,25.53333333333333,0.125,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2018,2017-18,False
101139-1626153-1626181-1627751-203485,1610612761,"CJ Miles, Delon Wright, Norman Powell, Jakob Poeltl, Lorenzo Brown","Miles, Wright, Powell, Poeltl, Brown",101139-1626153-1626181-1627751-203485,TOR,506.0,1,8.0,1.0,17.0,16.0,,1.0,1.0,33.0,5.0,5.0,,,3.0,,1.0,1.0,,,1.0,8.0,8.0,9.0,1.0,9.0,,19.0,18.0,1.0,,,,,8.0,8.0,3.0,,8.0,1.0,,,4.0,1.0,5.0,1.0,3.0,11.0,,3.0,3.0,6.0,1.0,7.0,2.0,1.0,1.0,,,,,,,,2.0,2.0,,1.0,,,,,,,,,1.0,19.0,,,,0.5,0.5,1.0,0.1111111111111111,0.1111111111111111,0.8888888888888888,,0.5277777777777778,,0.5277777777777778,,0.5,,,,,,1.0,,1.0,1.0,0.125,,,1.0,,1.0,93.91304347826086,16.0,14.625,15.705882352941176,14.625,0.2777777777777778,1.0,1.0,0.6,0.16666666666666666,0.05555555555555555,,,0.05555555555555555,0.4444444444444444,0.125,0.125,1.0,,,,,0.7777777777777778,0.125,0.5095722222222222,,,,,,6.233333333333333,26.41111111111111,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2018,2017-18,False
101139-1626153-1626181-1627783-201586,1610612761,"CJ Miles, Delon Wright, Norman Powell, Pascal Siakam, Serge Ibaka","Miles, Wright, Powell, Siakam, Ibaka",101139-1626153-1626181-1627783-201586,TOR,231.0,2,4.0,,7.0,7.0,,1.0,1.0,14.0,1.0,2.0,,,1.0,1.0,2.0,,,,1.0,4.0,2.0,5.0,1.0,4.0,,7.0,7.0,1.0,,,,,2.0,2.0,3.0,,4.0,1.0,1.0,,1.0,1.0,2.0,1.0,,5.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,0.5,0.5,1.0,0.25,0.25,0.4,,0.3888888888888889,,0.3888888888888889,,0.4444444444444444,,0.2,,,,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,1.0,,1.0,87.27272727272727,18.142857142857142,14.857142857142858,16.0,14.857142857142858,0.2222222222222222,0.5,0.5,,0.1111111111111111,0.2222222222222222,0.5,1.0,,0.4444444444444444,0.25,0.25,1.0,,,,,0.6666666666666666,0.25,0.5079444444444445,0.4662,,,,,9.86,25.675,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,0.3333333333333333,0.3333333333333333,,,,,0.5,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2018,2017-18,False
101139-1626153-1626181-1627783-203512,1610612761,"CJ Miles, Delon Wright, Norman Powell, Pascal Siakam, Lucas Nogueira","Miles, Wright, Powell, Siakam, Nogueira",101139-1626153-1626181-1627783-203512,TOR,564.0,3,9.0,5.0,21.0,22.0,2.0,2.0,,43.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,5.0,11.0,6.0,7.0,5.0,11.0,1.0,28.0,23.0,,2.0,2.0,,4.0,10.0,2.0,15.0,,11.0,5.0,,,5.0,5.0,10.0,5.0,4.0,25.0,1.0,1.0,6.0,7.0,1.0,8.0,2.0,1.0,1.0,2.0,,1.0,2.0,1.0,4.0,,1.0,7.0,1.0,3.0,,1.0,1.0,1.0,1.0,,,,,28.0,4.0,2.0,,0.8333333333333334,0.8333333333333334,1.0,0.45454545454545453,0.45454545454545453,0.8571428571428571,1.0,0.75,1.0,0.7777777777777778,1.0,0.6111111111111112,,,,,0.5,0.75,1.0,0.5,0.7,0.14285714285714285,,0.75,0.6666666666666666,1.0,0.5,109.78723404255318,12.80952380952381,13.409090909090908,12.80952380952381,13.090909090909092,0.2777777777777778,1.0,1.0,0.8,0.05555555555555555,0.05555555555555555,1.0,1.0,,0.6111111111111112,0.45454545454545453,0.45454545454545453,1.0,,0.5,1.0,,0.8888888888888888,0.45454545454545453,0.5800444444444444,,0.6464,0.05555555555555555,0.14285714285714285,0.14285714285714285,4.071428571428571,26.3,0.09523809523809523,,,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2018,2017-18,False
101139-1626153-1626181-1628384-201942,1610612761,"CJ Miles, Delon Wright, Norman Powell, OG Anunoby, DeMar DeRozan","Miles, Wright, Powell, Anunoby, DeRozan",101139-1626153-1626181-1628384-201942,TOR,54.0,2,1.0,,2.0,1.0,2.0,,2.0,3.0,1.0,3.0,1.0,3.0,,,,,,,,1.0,1.0,3.0,,1.0,,2.0,2.0,,1.0,3.0,1.0,2.0,,2.0,,,1.0,,,,,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,,,,,,,0.5,,,0.6666666666666666,0.5,,,,,80.0,22.0,10.0,20.0,10.0,0.75,0.3333333333333333,0.3333333333333333,,,,,,,0.25,,,,,0.75,0.3333333333333333,,1.0,,0.611475,0.7726500000000001,0.611475,,,1.0,0.7666666666666667,26.2,1.0,,1.0,,,,,,,0.25,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,2.0,2.0,,,1.0,,,1.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2018,2017-18,False
101139-1626153-1626181-200768-202685,1610612761,"CJ Miles, Delon Wright, Norman Powell, Kyle Lowry, Jonas Valanciunas","Miles, Wright, Powell, Lowry, Valanciunas",101139-1626153-1626181-200768-202685,TOR,19.0,1,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2018,2017-18,False
