EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,FTDefRebounds,DeadBallTurnovers,Turnovers,Fouls,Charge Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,DefThreePtReboundPct,DefCorner3ReboundPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShortMidRangeFGM,ShortMidRangeFGA,PtsAssisted2s,TwoPtAssists,AtRimAssists,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,ShootingFouls,PenaltyFg3Pct,LiveBallTurnoverPct,DefArc3ReboundPct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3Assists,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,BadPassSteals,SecondChanceOffPoss,Fg3aBlocked,OffThreePtRebounds,OffRebounds,SecondChanceTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,BadPassOutOfBoundsTurnovers,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Fg2aBlocked,LongMidRangeAssists,LostBallTurnovers,Offensive Fouls,ThreePtShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,BlockingFouls,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,SelfOReb,SelfORebPct,SecondChanceAtRimPctAssisted,PtsPutbacks,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Charge Fouls Drawn,BlockedLongMidRange,LongMidRangePctBlocked,OffShortMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,Loose Ball Fouls Drawn,SecondChanceCorner3FGM,SecondChanceCorner3FGA,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,HeaveAttempts,Blocked3s,BlockedArc3,BlockedCorner3,FTOffRebounds,OffFTReboundPct,3SecondViolations,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101123-101161-1627759-201143-202340,1610612738,"Gerald Green, Amir Johnson, Jaylen Brown, Al Horford, Avery Bradley","Green, Johnson, Brown, Horford, Bradley",101123-101161-1627759-201143-202340,BOS,107.0,1,2.0,2.0,4.0,3.0,4.0,3.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,0.5,0.5,0.625,0.625,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,94.2056074766355,15.5,15.0,15.5,13.333333333333334,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5061875,0.5061875,0.25,0.5,1.0,2.65,25.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,True
101123-101161-1627759-203109-203935,1610612738,"Gerald Green, Amir Johnson, Jaylen Brown, Jae Crowder, Marcus Smart","Green, Johnson, Brown, Crowder, Smart",101123-101161-1627759-203109-203935,BOS,77.0,1,1.0,3.0,3.0,3.0,,3.0,6.0,,,,,1.0,,,,2.0,,3.0,,,,,,,,1.0,1.0,3.0,3.0,,,,,,3.0,,,,,0.75,,0.75,,1.0,1.0,1.0,1.0,,112.2077922077922,14.333333333333334,11.333333333333334,14.333333333333334,11.333333333333334,,,,0.5,,,,1.0,0.52965,,,,,,24.75,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,True
101123-101161-201973-202738-203935,1610612738,"Gerald Green, Amir Johnson, Jonas Jerebko, Isaiah Thomas, Marcus Smart","Green, Johnson, Jerebko, Thomas, Smart",101123-101161-201973-202738-203935,BOS,61.0,1,1.0,4.0,2.0,2.0,,,4.0,1.0,1.0,,,,,2.0,2.0,,,4.0,,,,,,,2.0,,2.0,2.0,2.0,,,,,,4.0,,,1.0,,1.0,,1.0,,,0.6666666666666666,0.6666666666666666,1.0,0.5,94.42622950819673,7.5,23.0,7.5,18.0,0.5,1.0,1.0,,,,,0.5,0.4954,,,,,4.7,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,True
101123-1626179-1627759-201143-202340,1610612738,"Gerald Green, Terry Rozier, Jaylen Brown, Al Horford, Avery Bradley","Green, Rozier, Brown, Horford, Bradley",101123-1626179-1627759-201143-202340,BOS,150.0,1,2.0,,6.0,7.0,6.0,,13.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,10.0,10.0,1.0,1.0,3.0,2.0,10.0,,2.0,,2.0,2.0,1.0,,2.0,,1.0,10.0,10.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,,0.5,,,124.8,11.833333333333334,11.285714285714286,11.833333333333334,11.285714285714286,0.25,1.0,1.0,0.5,0.25,1.0,0.5,1.0,0.5799625,0.5799625,0.2,0.5,1.0,2.7,24.733333333333334,1.0,1.0,2.0,2.0,6.0,2.0,2.0,3.0,2.0,8.0,1.0,1.0,,1.0,1.0,,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,0.25,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,True
101123-1626179-1627759-203109-203482,1610612738,"Gerald Green, Terry Rozier, Jaylen Brown, Jae Crowder, Kelly Olynyk","Green, Rozier, Brown, Crowder, Olynyk",101123-1626179-1627759-203109-203482,BOS,192.0,1,3.0,2.0,6.0,6.0,,,12.0,,,,,,,2.0,3.0,3.0,,7.0,5.0,,,,,,4.0,,2.0,3.0,3.0,2.0,,,,,7.0,,,0.6666666666666666,,0.5833333333333334,,0.5833333333333334,,0.5,0.6666666666666666,0.75,,1.0,90.0,14.5,17.5,14.5,16.166666666666668,,,,,,,,0.5,0.49715,,,,,15.466666666666667,24.166666666666668,,3.0,,1.0,3.0,,1.0,1.0,,3.0,1.0,,,,,,1.0,0.3333333333333333,0.3333333333333333,,1.0,,0.5,,,,,,1.0,,,,,,,,,,,,,0.16666666666666666,,,,,,1.0,1.0,,,,,,,1.0,,,2.0,2.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,True
101123-1626179-201143-202340-203109,1610612738,"Gerald Green, Terry Rozier, Al Horford, Avery Bradley, Jae Crowder","Green, Rozier, Horford, Bradley, Crowder",101123-1626179-201143-202340-203109,BOS,181.0,3,3.0,-3.0,5.0,6.0,1.0,,11.0,2.0,3.0,1.0,1.0,,,2.0,5.0,,,4.0,7.0,1.0,1.0,,,2.0,,,,1.0,1.0,1.0,,,,,4.0,2.0,1.0,0.4,1.0,0.4,1.0,0.4,1.0,,,0.5,,,87.51381215469614,16.8,16.166666666666668,16.8,16.166666666666668,0.6,0.6666666666666666,0.6666666666666666,,1.0,1.0,,0.6,0.54288,0.5538,,,0.5,6.24,,0.2,,,,,,,2.0,,4.0,1.0,,,,1.0,,,,,,0.5,,,,,,,,1.0,4.0,2.0,2.0,,,,,,1.0,1.0,,1.0,0.2,,,,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,0.2,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,True
101123-1626179-201143-203109-203935,1610612738,"Gerald Green, Terry Rozier, Al Horford, Jae Crowder, Marcus Smart","Green, Rozier, Horford, Crowder, Smart",101123-1626179-201143-203109-203935,BOS,90.0,1,2.0,1.0,3.0,2.0,3.0,,5.0,,,,,1.0,1.0,,,2.0,3.0,3.0,2.0,,,2.0,3.0,3.0,,1.0,,,1.0,2.0,1.0,3.0,,,3.0,3.0,3.0,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,80.0,15.666666666666666,21.5,15.333333333333334,19.5,,,,0.5,,,0.5,1.0,0.582075,0.582075,,,1.0,,24.65,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,0.5,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,True
101123-1626179-201143-203482-203935,1610612738,"Gerald Green, Terry Rozier, Al Horford, Kelly Olynyk, Marcus Smart","Green, Rozier, Horford, Olynyk, Smart",101123-1626179-201143-203482-203935,BOS,43.0,1,1.0,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,66.97674418604652,22.0,21.0,22.0,21.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,True
101123-1626179-201973-202738-203482,1610612738,"Gerald Green, Terry Rozier, Jonas Jerebko, Isaiah Thomas, Kelly Olynyk","Green, Rozier, Jerebko, Thomas, Olynyk",101123-1626179-201973-202738-203482,BOS,40.0,1,1.0,3.0,1.0,1.0,,,2.0,,,,,,,1.0,2.0,,1.0,3.0,,,,,,,2.0,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,,,0.5,,0.5,,0.75,,,1.0,1.0,,,72.0,23.0,17.0,15.0,17.0,,,,,,,,,0.40195,,0.5,0.5,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,0.5,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.5,1.0,1.0,0.4017,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,True
101123-1626179-201973-203482-203935,1610612738,"Gerald Green, Terry Rozier, Jonas Jerebko, Kelly Olynyk, Marcus Smart","Green, Rozier, Jerebko, Olynyk, Smart",101123-1626179-201973-203482-203935,BOS,757.0,4,13.0,-2.0,24.0,23.0,,,47.0,4.0,9.0,,,4.0,,5.0,14.0,7.0,4.0,23.0,25.0,,,,,,4.0,4.0,7.0,10.0,12.0,4.0,,5.0,,1.0,21.0,,,0.35714285714285715,,0.4523809523809524,,0.5,,0.3333333333333333,1.0,0.9,1.0,1.0,89.40554821664465,15.375,16.869565217391305,14.916666666666666,16.73913043478261,0.42857142857142855,0.4444444444444444,0.6666666666666666,0.19047619047619047,,,,0.7619047619047619,0.5278952380952381,,0.08695652173913043,0.06666666666666667,,7.828571428571428,24.314285714285713,,3.0,1.0,3.0,9.0,1.0,3.0,6.0,1.0,15.0,2.0,1.0,2.0,3.0,5.0,,1.0,0.42857142857142855,0.42857142857142855,1.0,0.6666666666666666,,0.14285714285714285,0.25,0.25,1.0,0.25,,1.0,6.0,3.0,2.0,,,,,,0.6,0.6,,0.5,0.047619047619047616,,,,,,4.0,1.0,1.0,,,1.0,,0.3333333333333333,0.6666666666666666,,,1.0,4.0,2.0,2.0,1.0,0.19047619047619047,0.25,0.25,0.6666666666666666,0.6666666666666666,1.0,3.0,2.0,,1.0,2.0,,,,,,,,0.25,0.15384615384615385,1.0,1.0,1.0,2.0,,2.0,1.0,0.5,0.5,0.5,0.1111111111111111,,0.5227,0.08695652173913043,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.21428571428571427,0.3333333333333333,0.2,1.0,1.0,0.5,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,True
