EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,NonShootingPenaltyNonTakeFouls,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,FG2M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,Fg2aBlocked,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,BlockingFouls,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyTurnovers,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,LongMidRangePctAssisted,HeaveAttempts,OffArc3ReboundPct,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFoulsDrawn,Offensive Fouls,PtsPutbacks,BlockedShortMidRange,AtRimPctBlocked,OffAtRimReboundPct,Travels,Offensive Fouls Drawn,SelfOReb,SecondChanceTurnovers,BlockedLongMidRange,SelfORebPct,Technical Free Throw Trips,SecondChanceCorner3FGA,Loose Ball Fouls Drawn,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,StepOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,Loose Ball Fouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,FTOffRebounds,Defensive 3 Seconds Violations,OffFTReboundPct,Charge Fouls,BlockedCorner3,LongMidRangePctBlocked,Clear Path Fouls,Charge Fouls Drawn,team_id,year,season,team_vs
1627775-201142-201580-201939-202691,1610612744,"Patrick McCaw, Kevin Durant, JaVale McGee, Stephen Curry, Klay Thompson","McCaw, Durant, McGee, Curry, Thompson",1627775-201142-201580-201939-202691,GSW,201.0,2,3.0,5.0,4.0,7.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,9.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,9.0,3.0,2.0,3.0,3.0,2.0,1.0,9.0,1.0,1.0,4.0,5.0,1.0,6.0,1.0,3.0,1.0,6.0,3.0,1.0,1.0,0.75,1.0,1.0,0.75,0.9,1.5,1.5,0.9,1.5,1.5,0.8,0.8,1.0,1.0,0.8333333333333334,0.5,1.0,1.0,0.5,1.0,1.0,78.80597014925372,16.75,19.142857142857142,15.5,18.857142857142858,0.2,0.2,1.0,1.0,1.0,0.6,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.52198,0.55785,0.62985,0.3333333333333333,0.3333333333333333,15.1,26.225,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,False
1627775-201142-201580-201939-2733,1610612744,"Patrick McCaw, Kevin Durant, JaVale McGee, Stephen Curry, Shaun Livingston","McCaw, Durant, McGee, Curry, Livingston",1627775-201142-201580-201939-2733,GSW,19.0,1,,1.0,1.0,1.0,,,2.0,,,,,,1.0,1.0,,,,1.0,1.0,3.0,2.0,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,,3.0,,,,,,,,1.0,,3.0,,,1.0,1.0,,,1.0,1.5,,,1.5,,,1.0,,,,,,,,,,,151.57894736842107,11.0,8.0,11.0,8.0,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,0.4443,,,,,,25.7,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,False
1627775-201142-201939-202691-203110,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, Klay Thompson, Draymond Green","McCaw, Durant, Curry, Thompson, Green",1627775-201142-201939-202691-203110,GSW,1280.0,3,21.0,23.0,47.0,50.0,4.0,4.0,97.0,4.0,3.0,6.0,,,3.0,9.0,,1.0,23.0,6.0,15.0,59.0,36.0,,1.0,4.0,,,8.0,12.0,9.0,3.0,4.0,11.0,1.0,3.0,26.0,2.0,8.0,18.0,27.0,4.0,31.0,6.0,9.0,11.0,55.0,8.0,4.0,0.6666666666666666,0.4,,,0.4,0.631578947368421,0.3333333333333333,1.0,0.686046511627907,0.5,1.0,0.39473684210526316,0.72,0.25,0.8,0.7428571428571429,0.23529411764705882,0.3333333333333333,0.7,0.625,0.8571428571428571,1.0,109.125,12.0,14.32,11.72340425531915,13.46,0.10526315789473684,0.15789473684210525,0.5,0.5,1.0,0.23684210526315788,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,0.631578947368421,0.3333333333333333,0.504428947368421,0.4056,0.4669666666666667,0.06779661016949153,0.13559322033898305,7.552173913043478,24.626666666666665,0.0851063829787234,5.0,,9.0,9.0,1.0,1.0,1.0,1.0,5.0,10.0,1.0,15.0,11.0,1.0,2.0,2.0,3.0,3.0,2.0,14.0,16.0,6.0,2.0,7.0,5.0,2.0,2.0,1.0,6.0,5.0,1.0,5.0,3.0,2.0,3.0,3.0,8.0,1.0,1.0,12.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,0.4666666666666667,0.4666666666666667,0.6521739130434783,0.5,1.0,0.08695652173913043,0.2,0.625,1.0,0.2222222222222222,0.2,0.6666666666666666,0.6,1.0,0.23684210526315788,1.0,1.0,0.5555555555555556,0.2631578947368421,0.5,0.625,0.4,0.25,0.25,0.3333333333333333,1.0,0.3333333333333333,1.0,0.16279069767441862,0.21428571428571427,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,False
1627775-201142-201939-202691-2561,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, Klay Thompson, David West","McCaw, Durant, Curry, Thompson, West",1627775-201142-201939-202691-2561,GSW,119.0,1,2.0,7.0,4.0,3.0,4.0,,7.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,2.0,12.0,5.0,,,,2.0,2.0,12.0,3.0,1.0,1.0,1.0,3.0,,1.0,7.0,,,1.0,1.0,,1.0,1.0,2.0,2.0,12.0,12.0,4.0,0.5,1.0,,1.0,1.0,1.25,,1.25,1.5,,1.5,0.5,0.5,,,0.5,,,,1.0,,,84.70588235294117,13.75,21.333333333333332,13.75,21.0,,0.25,1.0,1.0,1.0,0.25,1.0,1.0,,,,,0.25,1.0,1.0,1.0,0.6312125,,0.6312125,,1.0,0.8,25.1,1.0,,,2.0,2.0,,,2.0,2.0,,,,2.0,2.0,,,,2.0,2.0,2.0,4.0,,3.0,,2.0,2.0,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,False
1627775-201142-201939-203110-2733,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, Draymond Green, Shaun Livingston","McCaw, Durant, Curry, Green, Livingston",1627775-201142-201939-203110-2733,GSW,81.0,1,1.0,6.0,3.0,3.0,3.0,,6.0,,,,,,1.0,1.0,,,,1.0,1.0,6.0,,,,,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,,3.0,,1.0,1.0,2.0,,2.0,,,1.0,6.0,6.0,3.0,1.0,1.0,,1.0,1.0,1.5,,1.5,1.5,,1.5,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,106.66666666666666,8.0,19.0,8.0,19.0,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,0.51825,,0.51825,,1.0,,26.3,1.0,3.0,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,False
1627775-201142-201939-203546-2561,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, Ian Clark, David West","McCaw, Durant, Curry, Clark, West",1627775-201142-201939-203546-2561,GSW,407.0,2,7.0,,13.0,14.0,,,27.0,2.0,1.0,1.0,,,1.0,2.0,,,6.0,2.0,3.0,17.0,17.0,,,,,,,6.0,2.0,1.0,2.0,6.0,1.0,1.0,14.0,,1.0,2.0,4.0,,4.0,1.0,1.0,1.0,17.0,,,1.0,0.6666666666666666,,,0.6666666666666666,0.8888888888888888,,,0.9444444444444444,,,0.3333333333333333,0.6666666666666666,,0.5,0.6,,,,,1.0,0.5,95.52825552825553,15.846153846153847,14.357142857142858,15.846153846153847,14.142857142857142,0.2222222222222222,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,0.5,0.5,1.0,,,,,,0.5555555555555556,0.5,0.5126388888888889,,,,,10.483333333333333,26.266666666666666,,,,2.0,2.0,,,,,1.0,2.0,2.0,5.0,1.0,,,,,,,8.0,2.0,,,4.0,2.0,1.0,,1.0,2.0,1.0,1.0,3.0,,2.0,1.0,1.0,4.0,,,1.0,1.0,,1.0,,,,,,0.8,0.8,0.8333333333333334,,,,,0.75,1.0,,,,,,0.2222222222222222,1.0,1.0,1.0,0.2222222222222222,0.5,0.5,1.0,1.0,1.0,,,,,0.1111111111111111,0.16666666666666666,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,False
1627775-201142-201939-203546-2738,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, Ian Clark, Andre Iguodala","McCaw, Durant, Curry, Clark, Iguodala",1627775-201142-201939-203546-2738,GSW,29.0,1,,3.0,1.0,1.0,1.0,,2.0,,,,,,1.0,2.0,,,,1.0,2.0,3.0,,,,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,3.0,,,,,,,,,,3.0,3.0,1.0,1.0,0.5,,0.5,1.0,0.75,,0.75,0.75,,0.75,1.0,,,,,,,,,,,99.3103448275862,25.0,4.0,25.0,4.0,,,,,,1.0,0.5,0.5,1.0,,,,,,1.0,1.0,0.29835,,0.29835,,1.0,,44.85,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,False
1627775-201142-201939-2561-2733,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, David West, Shaun Livingston","McCaw, Durant, Curry, West, Livingston",1627775-201142-201939-2561-2733,GSW,116.0,1,2.0,-4.0,4.0,4.0,,1.0,8.0,1.0,,,,,,2.0,,,2.0,,2.0,2.0,6.0,,,2.0,,,,,2.0,,,1.0,,,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,0.25,1.0,,0.25,1.0,,0.5,1.0,,,1.0,0.3333333333333333,,,1.0,,,99.3103448275862,12.25,16.75,9.25,16.75,0.25,,,,,0.5,,,,,,,,,0.5,,0.4808125,,,1.0,,15.55,27.95,,3.0,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,2.0,,,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,0.5,1.0,,,,1.0,1.0,0.5,,,,,,,,,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,False
1627775-201142-201939-2733-2738,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, Shaun Livingston, Andre Iguodala","McCaw, Durant, Curry, Livingston, Iguodala",1627775-201142-201939-2733-2738,GSW,224.0,3,4.0,-5.0,6.0,7.0,6.0,,13.0,2.0,,,,,1.0,2.0,,,3.0,1.0,2.0,7.0,12.0,,,,1.0,2.0,7.0,,1.0,1.0,,,,,,,2.0,,2.0,,2.0,,,2.0,7.0,7.0,6.0,,0.5,,0.5,1.0,0.3,,0.3,0.5,,0.5,0.4,,,0.6666666666666666,0.6666666666666666,,,,,,,83.57142857142857,19.666666666666668,15.142857142857142,19.666666666666668,14.285714285714286,0.4,,,,,0.4,0.5,0.5,,,,,,,0.6,1.0,0.486375,,0.486375,,1.0,10.133333333333333,42.8,1.0,4.0,,,1.0,,,,1.0,,,,,4.0,,,,,3.0,4.0,,,3.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,0.2,,,,,,,,,,,,0.2,,,,,1.0,2.0,0.4,0.5,,,,,1.0,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,False
1627775-201142-202691-203110-2738,1610612744,"Patrick McCaw, Kevin Durant, Klay Thompson, Draymond Green, Andre Iguodala","McCaw, Durant, Thompson, Green, Iguodala",1627775-201142-202691-203110-2738,GSW,190.0,1,3.0,4.0,5.0,5.0,,1.0,10.0,1.0,,,,,2.0,3.0,,,1.0,2.0,3.0,10.0,6.0,,,2.0,,,,6.0,3.0,2.0,2.0,2.0,2.0,,6.0,,2.0,,3.0,1.0,4.0,1.0,4.0,1.0,8.0,,,1.0,0.6666666666666666,,,0.6666666666666666,1.0,,,1.0,1.0,,0.75,,,1.0,0.6666666666666666,1.0,,,,,1.0,75.78947368421053,18.4,19.6,18.4,19.4,0.25,,,,,0.75,0.6666666666666666,0.6666666666666666,1.0,,,,,,0.75,0.6666666666666666,0.4377,,,0.2,,16.9,26.166666666666668,,,,,,,,,,,,1.0,1.0,2.0,,,2.0,,,,,2.0,,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,2.0,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,0.2,0.5,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,False
