EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,OffRebounds,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LiveBallTurnovers,LostBallTurnovers,Turnovers,LiveBallTurnoverPct,AtRimFGM,AtRimFGA,AtRimAssists,LongMidRangeAssists,FTDefRebounds,BadPassTurnovers,DeadBallTurnovers,Travels,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,DefFTReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFtPoints,PtsPutbacks,OffTwoPtRebounds,BlockingFouls,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,DefCorner3ReboundPct,PenaltyAtRimFGA,HeaveAttempts,OffCorner3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimFGM,SecondChanceArc3FGA,SecondChanceFG3A,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,LostBallSteals,SelfOReb,Offensive Fouls,2pt And 1 Free Throw Trips,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceTurnovers,3SecondViolations,Loose Ball Fouls,Blocked3s,BlockedCorner3,BlockedShortMidRange,SecondChanceCorner3FGA,Charge Fouls,Technical Free Throw Trips,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceFG3M,PtsUnassisted3s,StepOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,LongMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,ShortMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,BlockedArc3,SecondChanceCorner3PctAssisted,BlockedLongMidRange,team_id,year,season,team_vs
101133-1626162-201160-202693-203490,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Markieff Morris, Otto Porter Jr.","Mahinmi, Oubre Jr., Smith, Morris, Porter Jr.",101133-1626162-201160-202693-203490,WAS,6.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,240.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,False
101133-1626162-201943-202322-202711,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Brandon Jennings, John Wall, Bojan Bogdanovic","Mahinmi, Oubre Jr., Jennings, Wall, Bogdanovic",101133-1626162-201943-202322-202711,WAS,256.0,1,9.0,4.0,17.0,1.0,2.0,3.0,,,,,1.0,0.6666666666666666,,95.625,,13.777777777777779,12.444444444444445,4.0,4.0,8.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,2.0,4.0,2.0,14.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,10.0,2.0,4.0,6.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,12.0,10.0,5.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.6666666666666666,0.5,0.75,1.0,1.0,0.75,1.0,1.0,0.7777777777777778,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,1.0,0.5,16.5,15.375,0.125,1.0,1.0,1.0,0.375,0.6666666666666666,0.6666666666666666,0.125,1.0,1.0,1.0,0.375,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0,0.5,0.5,0.5,0.3333333333333333,0.4566375,0.4917125,0.14285714285714285,0.7142857142857143,15.525,25.95,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,False
101133-1626162-201943-202693-202711,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Brandon Jennings, Markieff Morris, Bojan Bogdanovic","Mahinmi, Oubre Jr., Jennings, Morris, Bogdanovic",101133-1626162-201943-202693-202711,WAS,20.0,1,1.0,,2.0,,,,,,,,,,,144.0,,7.0,7.0,,-3.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,False
101133-1626162-201943-202711-203078,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Brandon Jennings, Bojan Bogdanovic, Bradley Beal","Mahinmi, Oubre Jr., Jennings, Bogdanovic, Beal",101133-1626162-201943-202711-203078,WAS,542.0,3,18.0,2.0,37.0,3.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,98.30258302583026,1.0,13.222222222222221,12.444444444444445,9.0,-10.0,19.0,2.0,,2.0,3.0,2.0,3.0,,,,,,3.0,,,5.0,9.0,,3.0,4.0,14.0,24.0,,,,,,,,4.0,4.0,6.0,4.0,,3.0,,3.0,,3.0,,,1.0,6.0,,2.0,,1.0,6.0,6.0,,7.0,1.0,14.0,4.0,2.0,1.0,1.0,0.6,0.6,,,,,0.5555555555555556,,,0.4166666666666667,,,0.4666666666666667,,1.0,0.25,0.5,,,,1.0,0.5,16.0,16.0,0.25,0.6666666666666666,0.6666666666666666,0.5,0.25,0.6666666666666666,0.6666666666666666,,,,,0.25,,,,,,,,0.5,,0.4665458333333334,,,0.2857142857142857,9.233333333333333,25.7,0.10526315789473684,2.0,,4.0,0.5,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5,0.14285714285714285,0.1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,False
101133-1626162-202322-202693-202711,1610612764,"Ian Mahinmi, Kelly Oubre Jr., John Wall, Markieff Morris, Bojan Bogdanovic","Mahinmi, Oubre Jr., Wall, Morris, Bogdanovic",101133-1626162-202322-202693-202711,WAS,129.0,1,4.0,,8.0,2.0,2.0,5.0,,,,,1.0,1.0,,89.30232558139535,,13.25,13.25,2.0,-1.0,4.0,,2.0,,3.0,,,,,,,,2.0,,,1.0,4.0,,2.0,1.0,3.0,4.0,1.0,2.0,3.0,,,,,,,,2.0,,2.0,,,,,,,,,1.0,,3.0,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,0.25,0.5,,0.16666666666666666,0.5,,0.21428571428571427,0.5,,0.3333333333333333,,0.5,0.6,0.5,1.0,,19.0,15.0,0.5,,,,,,,,,,,0.3333333333333333,,,,,,,,0.5,,0.507725,,1.0,,4.925,24.9,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,0.16666666666666666,1.0,1.0,,,0.14285714285714285,0.2,,1.0,1.0,1.0,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,0.8613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,False
101133-1626162-202322-202711-203078,1610612764,"Ian Mahinmi, Kelly Oubre Jr., John Wall, Bojan Bogdanovic, Bradley Beal","Mahinmi, Oubre Jr., Wall, Bogdanovic, Beal",101133-1626162-202322-202711-203078,WAS,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,False
101133-1626162-202322-202711-203490,1610612764,"Ian Mahinmi, Kelly Oubre Jr., John Wall, Bojan Bogdanovic, Otto Porter Jr.","Mahinmi, Oubre Jr., Wall, Bogdanovic, Porter Jr.",101133-1626162-202322-202711-203490,WAS,173.0,1,6.0,6.0,12.0,,2.0,4.0,,,,,,1.0,,99.88439306358381,,12.333333333333334,12.333333333333334,3.0,,6.0,,2.0,2.0,3.0,,1.0,,,,,,1.0,,,3.0,6.0,,1.0,,6.0,6.0,1.0,2.0,2.0,,,,,,,6.0,,,1.0,,3.0,,3.0,,,2.0,6.0,1.0,2.0,2.0,1.0,3.0,1.0,,2.0,,4.0,,,2.0,,1.0,1.0,,,,,0.5,0.5,,0.42857142857142855,0.5,,0.375,0.5,,0.14285714285714285,1.0,1.0,0.5,1.0,,,16.5,12.5,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.14285714285714285,,,,,,,0.14285714285714285,,,,,,,,0.42857142857142855,,0.4803357142857143,,0.3333333333333333,,9.783333333333333,26.1,,,,,,1.0,2.0,1.0,,,,,,,,,1.0,,,0.2857142857142857,0.5,1.0,1.0,,0.125,0.14285714285714285,,,,,,1.0,,0.3333333333333333,,,,,0.388,1.0,0.16666666666666666,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,False
101133-201160-201943-202322-202711,1610612764,"Ian Mahinmi, Jason Smith, Brandon Jennings, John Wall, Bojan Bogdanovic","Mahinmi, Smith, Jennings, Wall, Bogdanovic",101133-201160-201943-202322-202711,WAS,6.0,1,1.0,1.0,1.0,,,,,,,,,,,240.0,,6.0,6.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,False
101133-201160-202322-202711-203078,1610612764,"Ian Mahinmi, Jason Smith, John Wall, Bojan Bogdanovic, Bradley Beal","Mahinmi, Smith, Wall, Bogdanovic, Beal",101133-201160-202322-202711-203078,WAS,144.0,1,5.0,3.0,9.0,1.0,1.0,2.0,,,,,1.0,0.5,,90.0,,13.4,12.4,2.0,-8.0,4.0,3.0,,,,1.0,1.0,,1.0,,,,2.0,,2.0,1.0,2.0,,3.0,,2.0,10.0,,,,,1.0,,2.0,,,,2.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,2.0,,3.0,,,,,,,,,0.5,,,0.2,,,0.2,,,0.6,,0.5,0.3333333333333333,,1.0,,19.25,19.25,,,,,0.2,1.0,1.0,0.2,,,,0.4,,,,,,0.6666666666666666,,0.8,,0.494025,0.5074,,,9.85,39.53333333333333,0.75,,,,,,1.0,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,False
101133-201943-202322-202693-202711,1610612764,"Ian Mahinmi, Brandon Jennings, John Wall, Markieff Morris, Bojan Bogdanovic","Mahinmi, Jennings, Wall, Morris, Bogdanovic",101133-201943-202322-202693-202711,WAS,326.0,2,11.0,3.0,21.0,1.0,3.0,6.0,,,,,1.0,1.0,,92.76073619631902,,13.0,13.0,5.0,-2.0,10.0,7.0,2.0,,1.0,1.0,2.0,,1.0,,,,2.0,,,3.0,6.0,,3.0,2.0,8.0,10.0,1.0,1.0,2.0,3.0,6.0,,,,6.0,,6.0,,2.0,,,,,,,,,2.0,2.0,3.0,,2.0,2.0,,2.0,,6.0,6.0,7.0,1.0,,,,,,,,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.3333333333333333,1.0,0.6666666666666666,0.5,0.5,1.0,1.0,18.3,17.2,0.1111111111111111,,,,0.2222222222222222,0.5,0.5,0.1111111111111111,,,,0.2222222222222222,,,,,,,,0.6666666666666666,,0.48835,0.46715,0.25,0.75,7.466666666666666,25.53333333333333,0.7,1.0,,3.0,0.3333333333333333,2.0,3.0,,,,1.0,2.0,,,,,1.0,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,,,0.1,0.14285714285714285,,1.0,1.0,,2.0,1.0,,0.3333333333333333,,,0.3333333333333333,1.0,0.5236,,,,,,3.0,,1.0,0.5,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,False
