EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyFtPoints,PenaltyPoints,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,DefTwoPtRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,BlockingFouls,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PtsPutbacks,FTOffRebounds,OffFTReboundPct,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,Corner3FGM,Corner3Assists,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,DeadBallTurnovers,Travels,PenaltyTurnovers,2pt And 1 Free Throw Trips,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3A,PtsUnassisted3s,Fg3aBlocked,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Arc3PctBlocked,DefAtRimReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,SecondChanceFtPoints,Offensive Fouls Drawn,LostBallOutOfBoundsTurnovers,BlockedAtRim,ShortMidRangePctBlocked,FTDefRebounds,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,DefFTReboundPct,LongMidRangePctBlocked,Loose Ball Fouls,PenaltyArc3FGM,PenaltyFG3M,StepOutOfBoundsTurnovers,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,SecondChanceArc3FGA,Loose Ball Fouls Drawn,SecondChanceArc3Frequency,PenaltyCorner3FGM,Technical Free Throw Trips,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3Accuracy,DefensiveGoaltends,Charge Fouls Drawn,BlockedLongMidRange,3SecondViolations,Defensive 3 Seconds Violations,Corner3PctBlocked,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,Charge Fouls,OffensiveGoaltends,HeaveAttempts,team_id,year,season,team_vs
1627775-201142-201580-201939-202691,1610612744,"Patrick McCaw, Kevin Durant, JaVale McGee, Stephen Curry, Klay Thompson","McCaw, Durant, McGee, Curry, Thompson",1627775-201142-201580-201939-202691,GSW,201.0,2,3.0,-5.0,7.0,4.0,1.0,1.0,11.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,4.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,0.16666666666666666,0.14285714285714285,0.25,0.14285714285714285,0.2,1.0,0.5,0.16666666666666666,0.5,1.0,78.80597014925372,19.142857142857142,16.75,18.857142857142858,15.5,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,1.0,0.42857142857142855,0.43260714285714286,0.5601,0.125,0.14285714285714285,10.583333333333334,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,True
1627775-201142-201580-201939-2733,1610612744,"Patrick McCaw, Kevin Durant, JaVale McGee, Stephen Curry, Shaun Livingston","McCaw, Durant, McGee, Curry, Livingston",1627775-201142-201580-201939-2733,GSW,19.0,1,,-1.0,1.0,1.0,,,2.0,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,1.0,,,,,,,,151.57894736842107,8.0,11.0,8.0,11.0,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,True
1627775-201142-201939-202691-203110,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, Klay Thompson, Draymond Green","McCaw, Durant, Curry, Thompson, Green",1627775-201142-201939-202691-203110,GSW,1280.0,3,21.0,-23.0,50.0,47.0,4.0,6.0,97.0,16.0,6.0,9.0,4.0,11.0,6.0,11.0,36.0,11.0,11.0,36.0,59.0,9.0,18.0,6.0,9.0,10.0,3.0,21.0,7.0,7.0,13.0,9.0,22.0,11.0,9.0,13.0,5.0,32.0,0.8181818181818182,0.8181818181818182,0.3055555555555556,0.26595744680851063,0.33962264150943394,0.23404255319148937,0.28,0.7777777777777778,0.7647058823529411,0.2571428571428571,0.375,1.0,109.125,14.32,12.0,13.46,11.72340425531915,0.3404255319148936,0.19148936170212766,0.23404255319148937,0.36363636363636365,0.36363636363636365,0.75,0.1276595744680851,0.6666666666666666,0.574468085106383,0.4961212765957447,0.482425,0.11320754716981132,0.12195121951219512,8.31388888888889,24.227272727272727,5.0,2.0,6.0,,6.0,5.0,,0.375,0.16666666666666666,0.1,6.0,1.0,2.0,5.0,1.0,5.0,1.0,1.0,2.0,4.0,2.0,7.0,4.0,3.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,6.0,1.0,5.0,2.0,3.0,6.0,5.0,1.0,6.0,7.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.09090909090909091,0.09090909090909091,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.05555555555555555,0.125,1.0,0.75,0.2,0.3,0.14285714285714285,0.4,0.8,0.6666666666666666,0.3333333333333333,0.030303030303030304,1.0,0.375,0.42857142857142855,0.8333333333333334,0.1111111111111111,0.1111111111111111,1.0,0.10638297872340426,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.7142857142857143,0.4,0.16666666666666666,0.5371285714285714,0.08333333333333333,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,True
1627775-201142-201939-202691-2561,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, Klay Thompson, David West","McCaw, Durant, Curry, Thompson, West",1627775-201142-201939-202691-2561,GSW,119.0,1,2.0,-7.0,3.0,4.0,4.0,1.0,7.0,3.0,2.0,1.0,,,,2.0,4.0,,1.0,5.0,12.0,2.0,2.0,,1.0,1.0,,2.0,1.0,,,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.5,1.0,0.5,0.5,0.5,,0.5,,,0.5,,,84.70588235294117,21.333333333333332,13.75,21.0,13.75,0.75,0.25,,,,,,1.0,0.75,0.4765,0.4671,0.2,0.2,4.075,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,2.0,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,2.0,,1.0,,,,,,,,,0.5,,0.5,,0.5,,,,,,1.0,,,,,,0.5,,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,0.5,,,,,,0.4,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,True
1627775-201142-201939-203110-2733,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, Draymond Green, Shaun Livingston","McCaw, Durant, Curry, Green, Livingston",1627775-201142-201939-203110-2733,GSW,81.0,1,1.0,-6.0,3.0,3.0,3.0,,6.0,,,1.0,,1.0,1.0,,2.0,1.0,,,6.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.3333333333333333,,,,,,,106.66666666666666,19.0,8.0,19.0,8.0,,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,0.3333333333333333,0.37778333333333336,,,,10.05,26.4,3.0,,,,,3.0,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37778333333333336,,,,,,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,True
1627775-201142-201939-203546-2561,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, Ian Clark, David West","McCaw, Durant, Curry, Clark, West",1627775-201142-201939-203546-2561,GSW,407.0,2,7.0,,14.0,13.0,,2.0,27.0,4.0,2.0,1.0,1.0,3.0,3.0,5.0,8.0,4.0,1.0,17.0,17.0,2.0,4.0,3.0,2.0,4.0,,10.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,13.0,0.4,0.5,0.625,0.6666666666666666,0.6538461538461539,0.3333333333333333,0.3333333333333333,1.0,1.0,0.4,,1.0,95.52825552825553,14.357142857142858,15.846153846153847,14.142857142857142,15.846153846153847,0.3333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.3333333333333333,,0.25,1.0,0.6666666666666666,0.5549708333333333,0.8683,0.07692307692307693,0.1111111111111111,8.2125,24.6,,,,,,,,,,,3.0,2.0,,,1.0,1.0,1.0,2.0,2.0,4.0,,,6.0,6.0,1.0,,2.0,1.0,2.0,,1.0,1.0,,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,0.5,0.5,1.0,,1.0,,1.0,,,1.0,1.0,0.5,1.0,,,1.0,,,,,0.75,0.75,0.6666666666666666,1.0,1.0,,0.08333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,,,0.3333333333333333,,,0.23529411764705882,2.0,,,,,,1.0,1.0,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,True
1627775-201142-201939-203546-2738,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, Ian Clark, Andre Iguodala","McCaw, Durant, Curry, Clark, Iguodala",1627775-201142-201939-203546-2738,GSW,29.0,1,,-3.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3103448275862,4.0,25.0,4.0,25.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,True
1627775-201142-201939-2561-2733,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, David West, Shaun Livingston","McCaw, Durant, Curry, West, Livingston",1627775-201142-201939-2561-2733,GSW,116.0,1,2.0,4.0,4.0,4.0,,,8.0,2.0,,2.0,,,,3.0,4.0,,,6.0,2.0,,4.0,,2.0,2.0,,4.0,,1.0,2.0,,2.0,,1.0,1.0,1.0,6.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,,,0.5,0.6666666666666666,,,0.5,99.3103448275862,16.75,12.25,16.75,9.25,0.5,0.5,,,,,,,0.5,0.527425,,0.25,0.25,3.4,,3.0,,4.0,,4.0,3.0,,0.6666666666666666,0.6666666666666666,0.75,2.0,,2.0,2.0,1.0,,,,,,2.0,3.0,2.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,0.6666666666666666,,0.6666666666666666,,,,,1.0,,,,,,1.0,,,,1.0,1.0,0.5,0.5,0.5,1.0,,,,,,0.6666666666666666,1.0,,0.5606,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,True
1627775-201142-201939-2733-2738,1610612744,"Patrick McCaw, Kevin Durant, Stephen Curry, Shaun Livingston, Andre Iguodala","McCaw, Durant, Curry, Livingston, Iguodala",1627775-201142-201939-2733-2738,GSW,224.0,3,4.0,5.0,7.0,6.0,6.0,1.0,13.0,3.0,,,,,3.0,3.0,3.0,5.0,,12.0,7.0,,4.0,3.0,2.0,3.0,,7.0,,,3.0,1.0,4.0,2.0,,,,12.0,0.6666666666666666,0.6666666666666666,1.0,0.75,0.75,0.625,,,1.0,0.3333333333333333,,,83.57142857142857,15.142857142857142,19.666666666666668,14.285714285714286,19.666666666666668,0.375,,,,,,0.375,,1.0,0.6061375,0.5901,,,0.9666666666666667,24.8,4.0,,6.0,,6.0,4.0,,0.6,0.5,0.5714285714285714,3.0,,3.0,3.0,,2.0,2.0,2.0,,,3.0,3.0,2.0,3.0,2.0,,1.0,1.0,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,0.5,0.4,0.4,,1.0,,0.6,,,,,1.0,0.3333333333333333,,,,,1.0,,,,1.0,1.0,0.6666666666666666,,,,0.25,0.6666666666666666,1.0,0.5,,0.6,1.0,0.6666666666666666,0.65629,,,,,,1.0,2.0,0.2,,,1.0,,,,,,,,,1.0,1.0,1.0,3.0,1.0,2.0,0.2,0.3333333333333333,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,True
1627775-201142-202691-203110-2738,1610612744,"Patrick McCaw, Kevin Durant, Klay Thompson, Draymond Green, Andre Iguodala","McCaw, Durant, Thompson, Green, Iguodala",1627775-201142-202691-203110-2738,GSW,190.0,1,3.0,-4.0,5.0,5.0,,1.0,10.0,1.0,,1.0,,1.0,1.0,2.0,3.0,2.0,2.0,6.0,10.0,,,1.0,,,,,1.0,,,1.0,1.0,1.0,4.0,3.0,1.0,5.0,,,0.6666666666666666,0.4,0.5,0.4,1.0,,,0.3333333333333333,,,75.78947368421053,19.6,18.4,19.4,18.4,0.2,0.2,0.2,,,,0.2,,0.6,0.48206,,0.2,0.3333333333333333,7.966666666666666,24.8,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,0.2,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2017,2016-17,True
