EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,SecondChanceAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,SecondChanceFG2M,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Charge Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimAccuracy,DefensiveGoaltends,PenaltyDefPoss,PtsUnassisted3s,OffThreePtRebounds,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGA,SecondChanceFG3A,LongMidRangeAssists,FTDefRebounds,BadPassOutOfBoundsTurnovers,BlockingFouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PenaltyTurnovers,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,BlockingFoulsDrawn,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceArc3FGM,Travels,SecondChanceArc3Accuracy,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,HeaveAttempts,PenaltyCorner3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,Blocked3s,BlockedCorner3,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,Corner3PctBlocked,Clear Path Fouls,BlockedArc3,HeaveMakes,team_id,year,season,team_vs
1626145-1626157-1627739-201575-202357,1610612750,"Tyus Jones, Karl-Anthony Towns, Kris Dunn, Brandon Rush, Nemanja Bjelica","Jones, Towns, Dunn, Rush, Bjelica",1626145-1626157-1627739-201575-202357,MIN,214.0,1,4.0,2.0,8.0,7.0,1.0,15.0,2.0,1.0,1.0,2.0,2.0,5.0,2.0,3.0,7.0,2.0,11.0,9.0,1.0,2.0,2.0,9.0,5.0,2.0,3.0,3.0,2.0,1.0,9.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,9.0,1.0,0.42857142857142855,0.42857142857142855,0.5,0.55,0.5,0.7777777777777778,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.16666666666666666,100.93457943925233,15.125,13.285714285714286,14.875,13.285714285714286,0.2222222222222222,0.2222222222222222,0.5,0.5,1.0,0.5555555555555556,0.4,0.4,1.0,1.0,1.0,0.4,0.5420555555555555,0.5391,0.1,0.3333333333333333,0.18181818181818182,1.95,25.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2017,2016-17,True
1626145-1626157-1627739-201575-203498,1610612750,"Tyus Jones, Karl-Anthony Towns, Kris Dunn, Brandon Rush, Shabazz Muhammad","Jones, Towns, Dunn, Rush, Muhammad",1626145-1626157-1627739-201575-203498,MIN,1140.0,4,19.0,10.0,38.0,38.0,5.0,76.0,14.0,3.0,1.0,2.0,3.0,6.0,28.0,4.0,8.0,3.0,51.0,41.0,4.0,2.0,6.0,12.0,6.0,3.0,4.0,10.0,3.0,1.0,24.0,6.0,4.0,14.0,6.0,20.0,1.0,3.0,,3.0,7.0,5.0,5.0,3.0,45.0,1.0,0.5,0.5,0.6666666666666666,0.6710526315789473,0.6,0.2222222222222222,0.6,1.0,0.7368421052631579,0.42857142857142855,1.0,,0.09090909090909091,96.0,14.473684210526315,15.526315789473685,13.763157894736842,14.736842105263158,0.3888888888888889,0.05555555555555555,0.5,0.5,1.0,0.16666666666666666,0.5,0.5,1.0,0.75,0.6111111111111112,0.5,0.5368208333333333,0.5847,0.07894736842105263,0.1,0.11764705882352941,5.889285714285714,25.0375,9.0,2.0,7.0,11.0,2.0,3.0,18.0,2.0,12.0,24.0,4.0,3.0,6.0,4.0,2.0,10.0,4.0,1.0,2.0,1.0,3.0,6.0,1.0,6.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,0.3333333333333333,0.375,0.6428571428571429,0.5,0.5,0.10714285714285714,0.14285714285714285,0.09090909090909091,0.6666666666666666,0.6666666666666666,0.25,0.625,0.75,0.6666666666666666,1.0,1.0,0.6428571428571429,0.75,0.4444444444444444,0.3055555555555556,0.6363636363636364,0.7,0.2857142857142857,0.08333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2017,2016-17,True
1626145-1626157-1627739-201937-203476,1610612750,"Tyus Jones, Karl-Anthony Towns, Kris Dunn, Ricky Rubio, Gorgui Dieng","Jones, Towns, Dunn, Rubio, Dieng",1626145-1626157-1627739-201937-203476,MIN,152.0,1,3.0,-13.0,6.0,7.0,,13.0,1.0,,,1.0,,1.0,1.0,,2.0,2.0,2.0,15.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,2.0,,,,,0.25,,0.6666666666666666,,,,,,,,123.15789473684211,15.5,8.428571428571429,15.5,8.428571428571429,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,,,,1.0,,0.5409333333333334,,0.25,0.5,,2.2,24.75,,,,,,,,,,,,,,,,,2.0,1.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2017,2016-17,True
1626145-1626157-1627739-201937-203952,1610612750,"Tyus Jones, Karl-Anthony Towns, Kris Dunn, Ricky Rubio, Andrew Wiggins","Jones, Towns, Dunn, Rubio, Wiggins",1626145-1626157-1627739-201937-203952,MIN,363.0,2,6.0,1.0,11.0,9.0,2.0,20.0,3.0,3.0,,,2.0,4.0,10.0,2.0,4.0,2.0,14.0,13.0,3.0,,2.0,3.0,4.0,2.0,1.0,2.0,1.0,,5.0,2.0,,2.0,3.0,5.0,,,,,2.0,2.0,2.0,1.0,12.0,0.5,0.5,0.5,0.42857142857142855,0.5,0.3333333333333333,0.2857142857142857,0.2857142857142857,,0.4,0.3333333333333333,0.5,,,79.33884297520662,15.545454545454545,21.333333333333332,14.727272727272727,20.333333333333332,0.21428571428571427,,,,,0.2857142857142857,0.5,0.5,0.5,1.0,0.5,0.5,0.489875,0.5665,0.14285714285714285,0.1,0.14285714285714285,7.5200000000000005,25.125,1.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,,1.0,2.0,,,,,,,,1.0,,1.0,,,,,,0.3333333333333333,0.5,0.3,0.3333333333333333,0.3333333333333333,0.1,,0.2,,0.5,,,,1.0,,,0.3333333333333333,0.3333333333333333,,0.35714285714285715,0.2,0.25,1.0,0.14285714285714285,0.5,0.5,0.3333333333333333,1.0,1.0,3.0,1.0,1.0,1.0,0.5,1.0,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2017,2016-17,True
1626145-1626157-1627739-201956-203498,1610612750,"Tyus Jones, Karl-Anthony Towns, Kris Dunn, Omri Casspi, Shabazz Muhammad","Jones, Towns, Dunn, Casspi, Muhammad",1626145-1626157-1627739-201956-203498,MIN,4635.0,13,77.0,28.0,150.0,149.0,14.0,299.0,52.0,9.0,4.0,9.0,15.0,22.0,92.0,19.0,31.0,32.0,201.0,173.0,11.0,3.0,17.0,42.0,22.0,15.0,14.0,43.0,11.0,3.0,100.0,12.0,14.0,45.0,17.0,62.0,2.0,7.0,2.0,5.0,38.0,33.0,37.0,17.0,184.0,0.7368421052631579,0.6129032258064516,0.6129032258064516,0.6869918699186992,0.7246376811594203,0.6153846153846154,0.25203252032520324,0.34285714285714286,0.7777777777777778,0.5675675675675675,0.3617021276595745,0.45454545454545453,1.0,0.047619047619047616,92.89320388349515,14.76,16.248322147651006,14.206666666666667,15.161073825503356,0.42276422764227645,0.07317073170731707,0.4444444444444444,0.4444444444444444,0.75,0.17886178861788618,0.6818181818181818,0.6818181818181818,0.7333333333333333,0.75,0.6747967479674797,0.6818181818181818,0.5458776422764228,0.5539454545454545,0.13768115942028986,0.1619047619047619,0.0845771144278607,6.603260869565218,24.496774193548386,41.0,7.0,6.0,18.0,9.0,22.0,56.0,7.0,58.0,54.0,8.0,5.0,29.0,22.0,2.0,28.0,22.0,12.0,9.0,,10.0,31.0,4.0,25.0,,4.0,7.0,5.0,2.0,7.0,,0.5178571428571429,0.5576923076923077,0.6086956521739131,0.6363636363636364,0.5833333333333334,0.05434782608695652,0.057692307692307696,0.1111111111111111,0.7096774193548387,0.5,0.5,0.3333333333333333,0.5833333333333334,0.5714285714285714,0.75,,0.7884615384615384,0.8367346938775511,0.5365853658536586,0.14634146341463414,0.3333333333333333,0.375,0.3333333333333333,0.17886178861788618,0.4090909090909091,0.4090909090909091,0.7777777777777778,1.0,4.0,15.0,5.0,,2.0,0.4166666666666667,0.08333333333333333,0.5714285714285714,0.06060606060606061,1.0,1.0,5.0,3.0,5.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.2,0.5555555555555556,0.2857142857142857,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2017,2016-17,True
1626145-1626157-1627739-202332-202357,1610612750,"Tyus Jones, Karl-Anthony Towns, Kris Dunn, Cole Aldrich, Nemanja Bjelica","Jones, Towns, Dunn, Aldrich, Bjelica",1626145-1626157-1627739-202332-202357,MIN,279.0,1,5.0,9.0,10.0,10.0,1.0,20.0,3.0,1.0,,1.0,,,6.0,,1.0,7.0,15.0,6.0,1.0,,,,,,,1.0,,,2.0,,1.0,8.0,1.0,9.0,1.0,,,,3.0,3.0,7.0,,15.0,,,,0.5714285714285714,0.75,,0.14285714285714285,,1.0,1.0,0.3333333333333333,,,0.5,103.2258064516129,13.4,14.5,12.4,14.5,0.42857142857142855,0.14285714285714285,,,,,,,,1.0,0.5714285714285714,,0.5506,,0.125,,,8.633333333333333,23.5,2.0,,,1.0,2.0,2.0,4.0,,2.0,6.0,,1.0,1.0,1.0,,5.0,1.0,1.0,,,,1.0,,2.0,,,,,,,,0.25,0.25,0.6666666666666666,,,0.16666666666666666,0.3333333333333333,,1.0,1.0,,1.0,,1.0,1.0,,0.6666666666666666,1.0,0.5,0.14285714285714285,,,,0.2857142857142857,1.0,1.0,,,3.0,,1.0,,1.0,1.0,,,0.5,,,,2.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,7.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,8.0,1.0,2.0,8.0,7.0,2.0,0.5,0.4,0.5714285714285714,0.4,0.5,0.2,0.51244,0.5333333333333333,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2017,2016-17,True
1626145-1626157-1627739-202357-202362,1610612750,"Tyus Jones, Karl-Anthony Towns, Kris Dunn, Nemanja Bjelica, Lance Stephenson","Jones, Towns, Dunn, Bjelica, Stephenson",1626145-1626157-1627739-202357-202362,MIN,365.0,1,6.0,-2.0,10.0,11.0,1.0,21.0,2.0,2.0,,,1.0,3.0,7.0,1.0,3.0,3.0,14.0,16.0,2.0,,,3.0,3.0,1.0,1.0,1.0,1.0,,3.0,2.0,,3.0,2.0,5.0,1.0,1.0,1.0,,2.0,4.0,3.0,1.0,14.0,1.0,0.3333333333333333,0.3333333333333333,0.55,0.5909090909090909,,0.3,0.6666666666666666,,0.6,0.4,0.5,,0.25,82.84931506849315,17.8,17.0,17.5,16.636363636363637,0.2,,,,,0.3,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.44136,0.4931,0.09090909090909091,0.125,,7.671428571428572,25.766666666666666,,,2.0,3.0,2.0,2.0,4.0,,,8.0,,1.0,,,,3.0,,,1.0,,,1.0,,,,,,,,,,,,0.5714285714285714,,,0.14285714285714285,0.5,,,0.75,1.0,1.0,,1.0,,,,,,0.3,0.6666666666666666,0.6666666666666666,,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2017,2016-17,True
1626145-1626157-1627739-202357-203498,1610612750,"Tyus Jones, Karl-Anthony Towns, Kris Dunn, Nemanja Bjelica, Shabazz Muhammad","Jones, Towns, Dunn, Bjelica, Muhammad",1626145-1626157-1627739-202357-203498,MIN,4117.0,13,69.0,-4.0,131.0,130.0,20.0,261.0,50.0,13.0,5.0,8.0,6.0,23.0,93.0,11.0,31.0,20.0,141.0,145.0,16.0,4.0,26.0,33.0,23.0,6.0,11.0,34.0,6.0,5.0,79.0,19.0,13.0,51.0,24.0,75.0,3.0,8.0,6.0,2.0,22.0,31.0,25.0,14.0,115.0,1.0,0.3548387096774194,0.3548387096774194,0.4879032258064516,0.5303030303030303,0.5909090909090909,0.25,0.3877551020408163,0.7647058823529411,0.7313432835820896,0.34782608695652173,0.45454545454545453,0.5,0.05,91.28977410735973,15.595419847328245,15.953846153846154,14.610687022900763,15.46923076923077,0.4032258064516129,0.06451612903225806,0.625,0.625,1.0,0.18548387096774194,0.2608695652173913,0.2608695652173913,1.0,0.65,0.6532258064516129,0.2608695652173913,0.5200572580645161,0.5694842105263158,0.11363636363636363,0.14,0.18439716312056736,6.624731182795699,25.14516129032258,28.0,8.0,5.0,23.0,11.0,20.0,44.0,8.0,46.0,42.0,14.0,9.0,23.0,14.0,2.0,36.0,13.0,9.0,9.0,3.0,4.0,22.0,1.0,9.0,,7.0,9.0,6.0,3.0,9.0,4.0,0.5227272727272727,0.6216216216216216,0.4731182795698925,0.5,0.55,0.0967741935483871,0.1,0.13043478260869565,0.5909090909090909,0.72,0.3333333333333333,0.7058823529411765,0.6956521739130435,0.8,0.8461538461538461,0.4444444444444444,0.56,0.6222222222222222,0.5,0.18548387096774194,0.21739130434782608,0.25,0.4,0.16129032258064516,0.55,0.5789473684210527,0.6153846153846154,,1.0,,5.0,,1.0,0.25,0.3333333333333333,0.23529411764705882,0.03125,2.0,4.0,7.0,2.0,3.0,,1.0,2.0,1.0,5.0,2.0,1.0,,,1.0,0.3333333333333333,0.6363636363636364,0.125,0.1,2.0,1.0,1.0,,2.0,2.0,,,4.0,,,4.0,2.0,,1.0,1.0,1.0,0.5,1.0,,0.4178,0.028368794326241134,0.015267175572519083,,2.0,2.0,2.0,1.0,0.5,0.05,0.1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2017,2016-17,True
1626145-1626157-1627739-202357-203897,1610612750,"Tyus Jones, Karl-Anthony Towns, Kris Dunn, Nemanja Bjelica, Zach LaVine","Jones, Towns, Dunn, Bjelica, LaVine",1626145-1626157-1627739-202357-203897,MIN,124.0,1,2.0,3.0,4.0,4.0,,8.0,1.0,,,,1.0,2.0,1.0,1.0,2.0,2.0,7.0,4.0,,,,3.0,2.0,1.0,1.0,2.0,1.0,,5.0,,2.0,2.0,,2.0,,,,,1.0,2.0,3.0,2.0,7.0,1.0,0.5,0.5,0.8333333333333334,0.875,,0.6666666666666666,,1.0,1.0,,,1.0,,92.9032258064516,15.75,15.25,15.75,15.25,0.3333333333333333,,,,,0.6666666666666666,0.5,0.5,1.0,,1.0,0.5,0.5347000000000001,,0.5,1.0,,1.6,24.9,1.0,,,,,,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2017,2016-17,True
1626145-1626157-1627739-202357-203952,1610612750,"Tyus Jones, Karl-Anthony Towns, Kris Dunn, Nemanja Bjelica, Andrew Wiggins","Jones, Towns, Dunn, Bjelica, Wiggins",1626145-1626157-1627739-202357-203952,MIN,254.0,3,4.0,11.0,6.0,6.0,2.0,12.0,4.0,1.0,,,1.0,2.0,6.0,1.0,2.0,,13.0,2.0,2.0,,4.0,3.0,2.0,1.0,1.0,4.0,1.0,,9.0,1.0,2.0,3.0,2.0,5.0,,,,,1.0,1.0,,,9.0,1.0,0.5,0.5,0.8125,0.8125,1.0,0.25,1.0,1.0,0.6,1.0,1.0,,,68.03149606299212,20.5,21.833333333333332,17.5,21.833333333333332,0.5,,,,,0.25,0.5,0.5,1.0,0.5,0.75,0.5,0.48846875,0.5429,,,0.3076923076923077,6.166666666666667,26.95,3.0,1.0,,,2.0,2.0,5.0,2.0,6.0,4.0,2.0,,3.0,2.0,,1.0,,,,,,,,,,,,,,,,0.6,0.75,0.8333333333333334,1.0,1.0,,,,,0.3333333333333333,,,,1.0,1.0,,0.75,0.75,0.6666666666666666,,,,,0.25,1.0,1.0,1.0,,4.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,0.5,,,3.0,1.0,2.0,,2.0,3.0,2.0,,7.0,,,7.0,3.0,,0.6666666666666666,0.7,0.7,0.4,0.5,,0.45872999999999997,0.5384615384615384,0.5,,,,,,,,,,,1.0,2.0,1.0,0.5,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,1610612750,2017,2016-17,True
