EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,HeaveAttempts,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,LongMidRangeFGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChancePoints,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,LongMidRangeFGM,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGA,SecondChanceCorner3FGA,OffThreePtRebounds,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,LongMidRangeAssists,SelfOReb,SecondChanceTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,OffensiveGoaltends,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,SelfORebPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PtsAssisted3s,ThreePtAssists,Arc3Assists,Assisted3sPct,OffCorner3ReboundPct,Arc3PctAssisted,SecondChanceFtPoints,PenaltyCorner3FGA,Fg3aBlocked,BlockedShortMidRange,FG3APctBlocked,Corner3PctBlocked,PenaltyCorner3Frequency,PenaltyArc3FGM,PenaltyFG3M,Travels,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,SecondChanceFg3Pct,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,3SecondViolations,Blocked3s,BlockedArc3,Charge Fouls,BlockingFouls,StepOutOfBoundsTurnovers,HeaveMakes,Technical Free Throw Trips,Charge Fouls Drawn,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,Defensive 3 Seconds Violations,Arc3PctBlocked,3pt And 1 Free Throw Trips,Clear Path Fouls,BlockedCorner3,team_id,year,season,team_vs
1626192-1627774-1627817-202329-203943,1610612757,"Pat Connaughton, Jake Layman, Tim Quarterman, Al-Farouq Aminu, Noah Vonleh","Connaughton, Layman, Quarterman, Aminu, Vonleh",1626192-1627774-1627817-202329-203943,POR,183.0,1,3.0,1.0,5.0,5.0,2.0,10.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,0.2,0.16666666666666666,0.21428571428571427,0.16666666666666666,1.0,1.0,0.75,0.5,1.0,0.8,0.4,0.6666666666666666,1.0,1.0,78.68852459016394,0.6666666666666666,23.8,12.8,22.0,11.0,0.6666666666666666,0.25,0.25,1.0,0.16666666666666666,0.16666666666666666,0.5,0.5,0.8333333333333334,0.5655583333333333,0.596225,0.14285714285714285,0.16666666666666666,2.2800000000000002,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-1627774-1627817-203086-203090,1610612757,"Pat Connaughton, Jake Layman, Tim Quarterman, Meyers Leonard, Maurice Harkless","Connaughton, Layman, Quarterman, Leonard, Harkless",1626192-1627774-1627817-203086-203090,POR,180.0,1,3.0,-7.0,8.0,8.0,,16.0,,,,3.0,2.0,,1.0,3.0,2.0,1.0,3.0,10.0,,,2.0,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,3.0,,3.0,1.0,1.0,2.0,,,1.0,2.0,1.0,,,,,,3.0,1.0,1.0,0.3333333333333333,0.2,0.25,0.4,0.5,1.0,1.0,,1.0,1.0,,,1.0,1.0,128.0,,11.875,10.625,11.875,10.375,,,,,0.6,0.4,,,0.4,0.434225,,0.16666666666666666,0.25,8.0,34.15,7.0,7.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,0.3333333333333333,0.2,0.25,0.3333333333333333,0.3333333333333333,1.0,0.4,0.434225,1.0,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-1627774-1627817-203086-203943,1610612757,"Pat Connaughton, Jake Layman, Tim Quarterman, Meyers Leonard, Noah Vonleh","Connaughton, Layman, Quarterman, Leonard, Vonleh",1626192-1627774-1627817-203086-203943,POR,429.0,3,7.0,10.0,13.0,14.0,1.0,27.0,3.0,3.0,1.0,3.0,1.0,,5.0,10.0,1.0,4.0,17.0,7.0,1.0,,6.0,1.0,3.0,3.0,2.0,6.0,1.0,1.0,3.0,,4.0,1.0,5.0,1.0,,1.0,1.0,3.0,4.0,5.0,2.0,1.0,1.0,,1.0,,15.0,0.6,0.75,0.5,0.5909090909090909,0.6538461538461539,0.09090909090909091,1.0,,0.6,0.2,0.5,0.5714285714285714,0.2,,,0.5,90.62937062937063,,13.076923076923077,18.5,13.076923076923077,16.071428571428573,0.2727272727272727,1.0,1.0,0.6666666666666666,0.2727272727272727,0.09090909090909091,1.0,,0.36363636363636365,0.45512727272727277,0.5243,0.16666666666666666,0.18181818181818182,10.23,26.3,1.0,4.0,2.0,,,,,2.0,2.0,,1.0,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,0.5,,,0.11764705882352941,0.07692307692307693,1.0,4.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.36363636363636365,1.0,1.0,1.0,1.0,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-1627774-1627817-203090-203943,1610612757,"Pat Connaughton, Jake Layman, Tim Quarterman, Maurice Harkless, Noah Vonleh","Connaughton, Layman, Quarterman, Harkless, Vonleh",1626192-1627774-1627817-203090-203943,POR,274.0,1,5.0,,8.0,7.0,1.0,15.0,1.0,1.0,,5.0,2.0,,4.0,7.0,2.0,,8.0,8.0,2.0,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,2.0,,2.0,2.0,4.0,,,1.0,1.0,2.0,1.0,,,,,,,,6.0,0.25,0.25,0.5714285714285714,0.4444444444444444,0.4444444444444444,0.2222222222222222,,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.4,,,,78.83211678832117,,17.625,19.0,16.0,19.0,0.1111111111111111,1.0,1.0,1.0,0.5555555555555556,0.2222222222222222,,,0.3333333333333333,0.4297611111111111,0.3976,,,9.242857142857144,24.55,,,2.0,,,,,,,,,,1.0,,,,,,,0.4,0.5,,,,,,,1.0,,,1.0,2.0,6.0,,,,2.0,2.0,,,,,,,0.5,0.5,0.5,0.6666666666666666,,0.1111111111111111,,,,,0.25,1.0,1.0,0.14285714285714285,0.2,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-1627774-202323-202329-203086,1610612757,"Pat Connaughton, Jake Layman, Evan Turner, Al-Farouq Aminu, Meyers Leonard","Connaughton, Layman, Turner, Aminu, Leonard",1626192-1627774-202323-202329-203086,POR,244.0,1,4.0,2.0,10.0,9.0,2.0,19.0,,3.0,,1.0,2.0,,,6.0,3.0,2.0,2.0,,1.0,1.0,,2.0,,,,,1.0,2.0,6.0,,8.0,2.0,10.0,1.0,1.0,2.0,,,1.0,2.0,1.0,,,,,,2.0,,,,,0.1,0.3333333333333333,0.5,,1.0,0.16666666666666666,1.0,1.0,0.2222222222222222,,1.0,1.0,112.13114754098362,,12.1,13.666666666666666,10.1,13.0,0.3333333333333333,,,,0.1111111111111111,0.2222222222222222,,,0.6666666666666666,0.5124388888888889,0.4403,0.1,0.14285714285714285,9.416666666666666,24.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,0.2222222222222222,,,,,,,1.0,0.16666666666666666,1.0,1.0,,,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.1111111111111111,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-1627774-203086-203090-203894,1610612757,"Pat Connaughton, Jake Layman, Meyers Leonard, Maurice Harkless, Shabazz Napier","Connaughton, Layman, Leonard, Harkless, Napier",1626192-1627774-203086-203090-203894,POR,101.0,1,2.0,-2.0,4.0,3.0,1.0,7.0,,,,3.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,7.0,,1.0,2.0,1.0,1.0,1.0,,2.0,,,,,,1.0,1.0,,,,,,2.0,4.0,1.0,,,,,,5.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.25,,,,,,,,,,,99.8019801980198,,16.0,12.333333333333334,14.75,12.333333333333334,,,,,0.75,0.25,,1.0,0.25,0.45945,0.6024,0.4,0.3333333333333333,7.866666666666667,25.5,,,1.0,,,,,,,,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-1627774-203086-203894-203943,1610612757,"Pat Connaughton, Jake Layman, Meyers Leonard, Shabazz Napier, Noah Vonleh","Connaughton, Layman, Leonard, Napier, Vonleh",1626192-1627774-203086-203894-203943,POR,937.0,4,16.0,-4.0,31.0,31.0,6.0,62.0,8.0,13.0,4.0,1.0,3.0,,12.0,22.0,5.0,6.0,33.0,37.0,4.0,1.0,14.0,3.0,7.0,7.0,3.0,14.0,3.0,4.0,4.0,1.0,9.0,6.0,15.0,1.0,,6.0,2.0,8.0,6.0,7.0,3.0,,,,,,27.0,0.5833333333333334,0.7,0.5454545454545454,0.5,0.55,0.18518518518518517,0.16666666666666666,1.0,0.8,0.3,0.5714285714285714,0.6666666666666666,0.2857142857142857,0.4,1.0,0.8,95.28281750266808,,13.258064516129032,16.967741935483872,12.612903225806452,16.29032258064516,0.48148148148148145,0.6153846153846154,0.7272727272727273,0.375,0.037037037037037035,0.1111111111111111,0.8,,0.6666666666666666,0.5765796296296296,0.5924375,0.10344827586206896,0.125,7.668181818181818,24.660000000000004,7.0,24.0,1.0,,2.0,4.0,,2.0,6.0,,1.0,1.0,5.0,2.0,6.0,7.0,0.5,0.5,0.6,1.0,1.0,1.0,,0.51925,0.18181818181818182,0.22580645161290322,3.0,8.0,,1.0,3.0,6.0,10.0,3.0,4.0,,3.0,,3.0,1.0,1.0,1.0,0.2,0.2,0.75,0.6,0.6,,1.0,0.2962962962962963,,,0.75,,0.18181818181818182,3.0,2.0,0.09090909090909091,,0.6666666666666666,0.375,0.375,2.0,1.0,1.0,0.25,0.2,0.3333333333333333,,0.07407407407407407,0.2,2.0,,1.0,,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15384615384615385,0.08333333333333333,1.0,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-1627774-203090-203894-203943,1610612757,"Pat Connaughton, Jake Layman, Maurice Harkless, Shabazz Napier, Noah Vonleh","Connaughton, Layman, Harkless, Napier, Vonleh",1626192-1627774-203090-203894-203943,POR,135.0,1,2.0,,6.0,5.0,1.0,11.0,,,,1.0,2.0,,1.0,3.0,3.0,1.0,6.0,6.0,1.0,,,2.0,,1.0,,3.0,,,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,6.0,,,0.3333333333333333,0.4166666666666667,0.5,0.5,1.0,1.0,,,,,0.25,,,,117.33333333333333,,13.0,11.4,10.5,10.4,,,,,0.16666666666666666,0.3333333333333333,,,0.5,0.506675,,0.16666666666666666,0.3333333333333333,13.200000000000001,24.933333333333334,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,2.0,1.0,1.0,,,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333,0.5,0.5,,0.5,,,,,,,,,1.0,,1.0,0.5,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-1627817-202323-203086-203090,1610612757,"Pat Connaughton, Tim Quarterman, Evan Turner, Meyers Leonard, Maurice Harkless","Connaughton, Quarterman, Turner, Leonard, Harkless",1626192-1627817-202323-203086-203090,POR,100.0,1,2.0,-4.0,4.0,5.0,,9.0,,,,2.0,,,,3.0,,,,4.0,,,,,,,,,,1.0,1.0,,2.0,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,129.6,,9.75,12.2,9.75,12.2,,,,,0.6666666666666666,,,,,0.41996666666666665,,,,9.9,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-1627817-202323-203090-203943,1610612757,"Pat Connaughton, Tim Quarterman, Evan Turner, Maurice Harkless, Noah Vonleh","Connaughton, Quarterman, Turner, Harkless, Vonleh",1626192-1627817-202323-203090-203943,POR,339.0,1,6.0,5.0,10.0,11.0,,21.0,,1.0,,3.0,3.0,,4.0,5.0,3.0,3.0,17.0,12.0,,,2.0,3.0,1.0,2.0,,5.0,,3.0,,1.0,4.0,,4.0,,,,2.0,3.0,2.0,4.0,2.0,1.0,1.0,,1.0,,17.0,0.25,0.25,0.8,0.875,0.85,0.375,,1.0,,,1.0,0.5,,,,1.0,89.20353982300884,,14.1,18.0,14.1,17.181818181818183,0.125,,,,0.375,0.375,,,0.5,0.50976875,,0.2,0.2857142857142857,8.959999999999999,25.53333333333333,,1.0,3.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,0.3333333333333333,,,,,,1.0,2.0,2.0,,,6.0,3.0,,2.0,2.0,2.0,,,,,0.6666666666666666,0.6666666666666666,,,,,,0.125,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
