EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FirstChancePoints,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,BlockingFouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceArc3FGM,FtPoints,SecondChanceFG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,2pt And 1 Free Throw Trips,BlockingFoulsDrawn,Clear Path Fouls,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,HeaveAttempts,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,OffensiveGoaltends,BlockedCorner3,Corner3PctBlocked,team_id,year,season,team_vs
101139-101145-1626167-1626202-202331,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Joe Young, Paul George","Miles, Ellis, Turner, Young, George",101139-101145-1626167-1626202-202331,IND,87.0,1,1.0,2.0,3.0,4.0,1.0,7.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,115.86206896551724,10.666666666666666,13.75,10.0,13.75,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.4649,0.5683,0.5,11.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-101145-1626167-201152-201166,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Thaddeus Young, Aaron Brooks","Miles, Ellis, Turner, Young, Brooks",101139-101145-1626167-201152-201166,IND,849.0,9,14.0,2.0,27.0,27.0,4.0,54.0,6.0,10.0,2.0,3.0,4.0,10.0,19.0,32.0,30.0,2.0,3.0,4.0,16.0,4.0,4.0,6.0,10.0,4.0,14.0,1.0,1.0,5.0,10.0,28.0,0.5263157894736842,0.6666666666666666,0.5714285714285714,0.5,0.5714285714285714,0.5,0.8571428571428571,0.4444444444444444,0.7142857142857143,0.3076923076923077,0.6666666666666666,1.0,1.0,91.59010600706713,15.814814814814815,15.62962962962963,15.444444444444445,14.25925925925926,0.35714285714285715,0.6,0.6666666666666666,0.14285714285714285,0.75,0.6666666666666666,0.6785714285714286,0.49538392857142854,0.55955,0.125,6.8999999999999995,4.0,3.0,5.0,1.0,3.0,3.0,1.0,6.0,1.0,4.0,9.0,1.0,4.0,12.0,6.0,1.0,2.0,2.0,4.0,6.0,1.0,3.0,2.0,16.0,4.0,3.0,3.0,3.0,1.0,5.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,0.2,0.25,1.0,0.4444444444444444,0.4444444444444444,0.32142857142857145,0.10526315789473684,0.1,0.2,1.0,0.5714285714285714,0.25,0.5,0.5,0.5,1.0,0.6666666666666666,0.3333333333333333,0.17857142857142858,0.6,0.75,0.25,0.25,0.10714285714285714,1.0,1.0,1.0,0.21428571428571427,0.16666666666666666,0.16666666666666666,1.0,0.25,0.16666666666666666,25.366666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-101145-1626167-201152-201952,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Thaddeus Young, Jeff Teague","Miles, Ellis, Turner, Young, Teague",101139-101145-1626167-201152-201952,IND,2018.0,10,34.0,-16.0,69.0,73.0,5.0,142.0,8.0,13.0,,1.0,20.0,25.0,45.0,66.0,82.0,1.0,4.0,5.0,28.0,,4.0,16.0,27.0,6.0,33.0,6.0,5.0,6.0,14.0,61.0,0.5555555555555556,0.25,0.5254237288135594,0.5,0.5238095238095238,0.5,0.7619047619047619,0.2,0.7647058823529411,0.16666666666666666,,0.6,1.0,101.32804757185332,14.231884057971014,14.191780821917808,13.942028985507246,13.712328767123287,0.22033898305084745,0.6153846153846154,0.6666666666666666,0.3389830508474576,0.2,,0.4576271186440678,0.4692245762711864,0.49065,0.07575757575757576,10.395555555555555,16.0,6.0,12.0,11.0,,2.0,4.0,12.0,1.0,4.0,14.0,1.0,22.0,12.0,12.0,4.0,4.0,11.0,4.0,15.0,4.0,,3.0,34.0,10.0,7.0,4.0,12.0,,12.0,1.0,,3.0,2.0,,3.0,3.0,,2.0,0.44,0.44,1.0,0.2857142857142857,0.2857142857142857,0.23728813559322035,0.08888888888888889,0.07692307692307693,0.16666666666666666,0.5833333333333334,0.7692307692307693,0.4,0.3333333333333333,0.7,0.7777777777777778,0.75,1.0,0.375,0.2033898305084746,0.5,0.6,0.55,0.5789473684210527,0.03389830508474576,,,,0.2033898305084746,0.3333333333333333,0.3333333333333333,1.0,0.2,0.3333333333333333,25.335714285714285,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,0.5,0.5,0.5,0.05,1.0,1.0,0.1,0.125,0.038461538461538464,0.7272727272727273,1.0,1.0,0.37605,0.04838709677419355,0.0625,0.045454545454545456,0.057971014492753624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-101145-1626167-201152-202331,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Thaddeus Young, Paul George","Miles, Ellis, Turner, Young, George",101139-101145-1626167-201152-202331,IND,702.0,6,12.0,-4.0,24.0,23.0,3.0,47.0,2.0,4.0,,,6.0,5.0,12.0,28.0,32.0,,,5.0,8.0,,2.0,2.0,5.0,3.0,8.0,1.0,1.0,2.0,7.0,23.0,0.4166666666666667,,0.5789473684210527,1.5,0.6363636363636364,1.25,0.6666666666666666,0.2857142857142857,0.8333333333333334,0.3,0.25,1.0,,96.41025641025642,14.041666666666666,15.869565217391305,13.75,15.826086956521738,0.21052631578947367,0.5,0.6666666666666666,0.3157894736842105,,,0.5789473684210527,0.48777105263157894,0.5892,0.17857142857142858,11.383333333333333,15.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,,4.0,7.0,1.0,2.0,12.0,4.0,2.0,2.0,1.0,4.0,5.0,2.0,2.0,,14.0,3.0,4.0,2.0,5.0,,4.0,,1.0,,,,,,,2.0,0.2,0.2,1.0,0.5714285714285714,0.5714285714285714,0.3684210526315789,0.16666666666666666,0.25,,0.8,1.0,,1.0,0.5,1.0,1.0,,,0.10526315789473684,0.5,0.5,0.3333333333333333,0.4,0.15789473684210525,0.6666666666666666,0.6666666666666666,1.0,0.21052631578947367,0.5,0.5,1.0,,0.5,24.442857142857143,6.0,,6.0,1.0,1.0,2.0,2.0,7.0,1.0,1.0,,,1.0,,,1.0,2.0,,1.0,2.0,1.0,,,,6.0,2.0,1.0,,7.0,6.0,1.0,1.0,0.5,0.625,0.7,0.16666666666666666,,,0.3333333333333333,0.5,0.125,0.5,,,0.4764125,0.09523809523809523,0.14285714285714285,0.25,0.25,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-101145-1626167-201152-203922,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Thaddeus Young, Glenn Robinson III","Miles, Ellis, Turner, Young, Robinson III",101139-101145-1626167-201152-203922,IND,18.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,80.0,,16.0,,16.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-101145-1626167-201155-201952,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Rodney Stuckey, Jeff Teague","Miles, Ellis, Turner, Stuckey, Teague",101139-101145-1626167-201155-201952,IND,9.0,1,,-2.0,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,160.0,,9.0,,9.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-101145-1626167-201155-202331,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Rodney Stuckey, Paul George","Miles, Ellis, Turner, Stuckey, George",101139-101145-1626167-201155-202331,IND,1342.0,12,22.0,-21.0,40.0,44.0,2.0,84.0,9.0,12.0,2.0,2.0,8.0,14.0,24.0,43.0,64.0,2.0,2.0,4.0,16.0,2.0,2.0,9.0,13.0,2.0,15.0,3.0,3.0,4.0,10.0,39.0,0.5833333333333334,1.0,0.5714285714285714,1.0,0.5675675675675675,1.0,0.8181818181818182,0.2,0.7692307692307693,0.125,0.25,1.0,0.7142857142857143,90.13412816691505,17.0,15.045454545454545,16.925,14.409090909090908,0.34285714285714286,0.75,0.9,0.22857142857142856,1.0,1.0,0.6571428571428571,0.5146371428571429,0.54605,0.09302325581395349,8.1625,9.0,1.0,4.0,4.0,2.0,5.0,2.0,6.0,,4.0,11.0,,12.0,12.0,6.0,2.0,3.0,6.0,4.0,10.0,2.0,2.0,3.0,24.0,1.0,3.0,2.0,6.0,1.0,5.0,,,1.0,1.0,,1.0,1.0,,2.0,0.42857142857142855,0.46153846153846156,1.0,0.36363636363636365,0.36363636363636365,0.3142857142857143,0.125,0.16666666666666666,0.25,0.5,0.5,,0.3333333333333333,1.0,,0.5,1.0,0.3333333333333333,0.11428571428571428,0.25,0.3333333333333333,0.5,0.5,0.14285714285714285,0.4,0.4,1.0,0.17142857142857143,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,24.363636363636363,11.0,,3.0,,6.0,8.0,2.0,14.0,2.0,,,3.0,,,,3.0,1.0,1.0,,1.0,,3.0,1.0,,5.0,2.0,,,14.0,11.0,,,0.75,0.5454545454545454,0.5384615384615384,,1.0,,,,,0.5,,,0.4345954545454545,0.05405405405405406,0.07692307692307693,0.32558139534883723,0.275,,,,3.0,,,3.0,,,,,0.2727272727272727,,4.0,4.0,1.0,1.0,1.0,1.0,0.36363636363636365,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-101145-1626167-201155-203922,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Rodney Stuckey, Glenn Robinson III","Miles, Ellis, Turner, Stuckey, Robinson III",101139-101145-1626167-201155-203922,IND,248.0,5,4.0,5.0,9.0,9.0,,18.0,2.0,3.0,,,4.0,3.0,7.0,9.0,4.0,,,,2.0,,,1.0,4.0,,4.0,1.0,1.0,,,9.0,0.42857142857142855,,0.375,,0.45,,0.5,,0.8,,,,1.0,104.51612903225805,12.666666666666666,14.88888888888889,12.666666666666666,14.88888888888889,0.375,0.6666666666666666,0.6666666666666666,0.5,,,0.5,0.47339375,,,11.542857142857143,3.0,,,1.0,,,,1.0,,,1.0,,4.0,,1.0,,,2.0,,2.0,,,1.0,4.0,3.0,,,,,3.0,,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,0.125,,,,,1.0,,,,1.0,1.0,,0.5,,,,0.25,0.25,,,,,0.125,,,,,,25.3,3.0,,3.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,5.0,3.0,,,1.0,3.0,,,,,0.16666666666666666,,,,,,,1.0,,,0.42905,0.3,0.3333333333333333,0.1111111111111111,0.3333333333333333,,,,,,,,,,,,,,,1.0,,,,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-101145-1626167-201166-202331,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Aaron Brooks, Paul George","Miles, Ellis, Turner, Brooks, George",101139-101145-1626167-201166-202331,IND,176.0,2,3.0,5.0,6.0,5.0,,11.0,,,,,2.0,1.0,2.0,7.0,2.0,,,,2.0,,,2.0,3.0,,3.0,1.0,1.0,,1.0,7.0,0.5,,0.625,,0.7,,1.0,,1.0,,,,1.0,90.0,16.666666666666668,15.2,16.666666666666668,15.2,,,,0.5,,,0.5,0.4522875,,,16.55,,,,1.0,,1.0,1.0,1.0,,1.0,2.0,,,3.0,1.0,1.0,,,1.0,1.0,1.0,,,3.0,1.0,,,1.0,,3.0,,,,,,,,,,,,1.0,0.5,0.5,0.5,,,,,1.0,,,1.0,,1.0,,,,,,0.5,0.5,0.25,,,,0.25,1.0,1.0,1.0,,1.0,24.8,2.0,,2.0,,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,0.3289,0.2,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-101145-1626167-201166-202730,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Aaron Brooks, Lavoy Allen","Miles, Ellis, Turner, Brooks, Allen",101139-101145-1626167-201166-202730,IND,603.0,3,10.0,-5.0,17.0,19.0,1.0,36.0,3.0,5.0,1.0,1.0,3.0,6.0,9.0,18.0,23.0,1.0,1.0,2.0,8.0,2.0,1.0,3.0,6.0,1.0,7.0,1.0,1.0,2.0,3.0,16.0,0.6666666666666666,1.0,0.6923076923076923,1.0,0.6923076923076923,1.0,0.6,0.3333333333333333,0.625,0.2,,,0.5,85.97014925373134,15.529411764705882,17.842105263157894,15.470588235294118,16.736842105263158,0.38461538461538464,0.6,0.75,0.23076923076923078,1.0,1.0,0.6923076923076923,0.5158576923076923,0.5762,0.1111111111111111,7.588888888888889,1.0,1.0,1.0,2.0,,1.0,2.0,3.0,,2.0,4.0,,4.0,6.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,,1.0,10.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,,,,,,,,,0.3333333333333333,0.4,1.0,0.5,0.5,0.3076923076923077,0.1111111111111111,0.2,,0.4,0.6666666666666666,0.5,,0.6666666666666666,0.5,1.0,,0.3333333333333333,0.07692307692307693,1.0,1.0,0.6666666666666666,0.6666666666666666,0.07692307692307693,,,,0.23076923076923078,0.6666666666666666,0.6666666666666666,1.0,,0.6666666666666666,26.025,1.0,,,,,,,,1.0,,,1.0,,,1.0,3.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,0.5,,,0.3924,,,,0.058823529411764705,,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
