EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,DefPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,OffPoss,AtRimFGA,DefTwoPtRebounds,DefRebounds,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,AtRimPctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimFG3AFrequency,PenaltyDefPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,HeaveAttempts,Fg3aBlocked,FTDefRebounds,FG3APct,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,SecondChanceOffPoss,LongMidRangeFGA,SecondChanceFG2A,LongMidRangeFrequency,SecondChanceShotQualityAvg,Arc3FGM,FG3M,Points,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,FtPoints,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyFG2A,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,PenaltyShotQualityAvg,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG2M,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,TwoPtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,PenaltyFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Offensive Fouls Drawn,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,SecondChanceCorner3FGM,PenaltyCorner3FGM,Travels,BlockingFouls,Blocked3s,BlockedArc3,DefensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,BlockedShortMidRange,Corner3PctBlocked,BlockedLongMidRange,team_id,year,season,team_vs
1627734-201566-201959-203460-203518,1610612760,"Domantas Sabonis, Russell Westbrook, Taj Gibson, Andre Roberson, Alex Abrines","Sabonis, Westbrook, Gibson, Roberson, Abrines",1627734-201566-201959-203460-203518,OKC,33.0,1,1.0,-2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.63636363636363,15.0,15.0,1.0,0.3867,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,False
1627734-201566-202713-203506-203926,1610612760,"Domantas Sabonis, Russell Westbrook, Kyle Singler, Victor Oladipo, Doug McDermott","Sabonis, Westbrook, Singler, Oladipo, McDermott",1627734-201566-202713-203506-203926,OKC,91.0,2,2.0,-3.0,4.0,7.0,1.0,3.0,3.0,2.0,,,2.0,0.6666666666666666,1.0,,,,110.76923076923077,12.5,7.0,0.3333333333333333,0.5183333333333334,2.5333333333333337,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,13.666666666666666,13.666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,False
1627734-201566-203460-203506-203924,1610612760,"Domantas Sabonis, Russell Westbrook, Andre Roberson, Victor Oladipo, Jerami Grant","Sabonis, Westbrook, Roberson, Oladipo, Grant",1627734-201566-203460-203506-203924,OKC,1.0,1,,,1.0,1.0,,,,,,,1.0,,,,,,1440.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,False
1627734-201566-203460-203518-203924,1610612760,"Domantas Sabonis, Russell Westbrook, Andre Roberson, Alex Abrines, Jerami Grant","Sabonis, Westbrook, Roberson, Abrines, Grant",1627734-201566-203460-203518-203924,OKC,16.0,1,,,,1.0,,1.0,,,,,,,,,,,90.0,,,,0.3647,14.1,1.0,,,,1.0,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.3647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,False
201566-201959-202683-203460-203506,1610612760,"Russell Westbrook, Taj Gibson, Enes Kanter, Andre Roberson, Victor Oladipo","Westbrook, Gibson, Kanter, Roberson, Oladipo",201566-201959-202683-203460-203506,OKC,61.0,1,1.0,1.0,1.0,2.0,,,2.0,,,,,,,,,,47.21311475409836,27.0,27.0,,0.435,,1.0,,,,,,,,,,,,,,34.0,34.0,,1.0,,1.0,,1.0,,,,,1.0,,,,1.0,,27.4,,,,,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,False
201566-201959-202683-203460-203926,1610612760,"Russell Westbrook, Taj Gibson, Enes Kanter, Andre Roberson, Doug McDermott","Westbrook, Gibson, Kanter, Roberson, McDermott",201566-201959-202683-203460-203926,OKC,11.0,1,,2.0,1.0,2.0,,,,,,,1.0,,,,,,261.8181818181818,,,,,,1.0,,,1.0,,,,,,,,,,,11.0,11.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,1.0,2.0,,,,,1.0,,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,False
201566-201959-202713-203460-203924,1610612760,"Russell Westbrook, Taj Gibson, Kyle Singler, Andre Roberson, Jerami Grant","Westbrook, Gibson, Singler, Roberson, Grant",201566-201959-202713-203460-203924,OKC,55.0,1,1.0,,1.0,3.0,,1.0,,,1.0,1.0,2.0,,,1.0,0.5,,78.54545454545455,8.0,8.0,,0.4609,17.8,2.0,,1.0,1.0,,,,,,,1.0,1.0,,,23.5,14.0,,0.5,1.0,1.0,1.0,1.0,1.0,,,,0.5,,,,0.5,0.5,26.2,1.0,1.0,,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.4609,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,False
201566-201959-203460-203500-203506,1610612760,"Russell Westbrook, Taj Gibson, Andre Roberson, Steven Adams, Victor Oladipo","Westbrook, Gibson, Roberson, Adams, Oladipo",201566-201959-203460-203500-203506,OKC,4869.0,6,81.0,32.0,163.0,326.0,29.0,108.0,157.0,6.0,12.0,19.0,92.0,0.05555555555555555,,0.2727272727272727,0.265625,0.35714285714285715,96.41404805914972,16.41717791411043,15.325153374233128,0.21014492753623187,0.5121097826086957,7.423148148148148,163.0,53.0,24.0,73.0,21.0,36.0,15.0,15.0,15.0,0.11320754716981132,0.5714285714285714,0.6836734693877551,0.5517241379310345,0.7142857142857143,13.45398773006135,12.865030674846626,0.38405797101449274,0.6014492753623188,25.0,22.0,6.0,30.0,7.0,,,6.0,0.21739130434782608,,,1.0,0.15942028985507245,0.2727272727272727,24.83,19.0,26.0,10.0,0.18840579710144928,0.5191807692307692,9.0,10.0,189.0,24.0,22.0,9.0,8.0,41.0,7.0,90.0,35.0,164.0,0.8,0.3333333333333333,0.3333333333333333,0.5652173913043478,0.5943396226415094,0.4090909090909091,0.4090909090909091,0.7777777777777778,0.4090909090909091,33.0,46.0,18.0,0.12337662337662338,0.14634146341463414,29.0,15.0,8.0,3.0,25.0,2.0,4.0,29.0,0.2,0.5,0.47858863636363635,0.17791411042944785,32.0,6.0,6.0,4.0,7.0,15.0,16.0,1.0,8.0,1.0,1.0,1.0,5.0,1.0,63.0,10.0,1.0,6.0,2.0,25.0,9.0,1.0,8.0,29.0,66.0,60.0,6.0,12.0,33.0,1.0,18.0,9.0,6.0,5.0,2.0,43.0,3.0,18.0,11.0,7.0,17.0,1.0,8.0,9.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,5.0,6.0,29.0,1.0,1.0,0.5238095238095238,0.5789473684210527,0.16666666666666666,0.14285714285714285,0.5833333333333334,1.0,0.6,0.71875,0.4772727272727273,0.7352941176470589,0.5,0.68,0.4,0.7678571428571429,0.25,0.25,0.15384615384615385,0.42857142857142855,0.7777777777777778,0.7272727272727273,0.05084745762711865,0.4,0.6037735849056604,0.6808510638297872,0.5625,0.5172413793103449,0.5172413793103449,0.6,0.6153846153846154,0.6153846153846154,0.375,0.057971014492753624,0.125,0.125,1.0,0.375,1.0,0.0625,0.3125,0.2,1.0,0.3181818181818182,0.5714285714285714,0.045454545454545456,0.16666666666666666,0.03225806451612903,0.13227513227513227,0.15343915343915343,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,False
201566-201959-203460-203500-203518,1610612760,"Russell Westbrook, Taj Gibson, Andre Roberson, Steven Adams, Alex Abrines","Westbrook, Gibson, Roberson, Adams, Abrines",201566-201959-203460-203500-203518,OKC,551.0,2,9.0,4.0,20.0,40.0,1.0,6.0,17.0,,,1.0,9.0,,,,,,104.53720508166968,15.7,15.05,0.07142857142857142,0.5527142857142857,6.933333333333334,20.0,3.0,3.0,8.0,3.0,4.0,1.0,1.0,1.0,,0.75,0.7272727272727273,0.6666666666666666,1.0,11.85,11.55,0.21428571428571427,0.7857142857142857,12.0,8.0,4.0,8.0,4.0,,,,0.5714285714285714,,,,0.5714285714285714,0.6666666666666666,25.1625,1.0,2.0,,0.14285714285714285,0.5805,3.0,3.0,21.0,,8.0,3.0,,2.0,,4.0,6.0,18.0,,0.375,0.375,0.6071428571428571,0.65625,0.375,0.375,,0.375,4.0,4.0,2.0,0.125,0.25,8.0,2.0,1.0,,3.0,,1.0,8.0,,,0.49245,0.4,3.0,,,,,,1.0,,,,,1.0,1.0,1.0,4.0,,1.0,1.0,,3.0,,1.0,2.0,5.0,4.0,4.0,9.0,,2.0,,1.0,,1.0,,1.0,5.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,1.0,5.0,,,0.5,0.5,1.0,0.25,0.6666666666666666,,,1.5,0.25,1.5,0.35714285714285715,0.6666666666666666,0.5,0.7142857142857143,,,,,0.7142857142857143,,,1.0,1.0,1.0,0.3333333333333333,,,,0.5,0.5,1.0,,,,,,,,1.0,1.0,,,,,0.25,,0.14285714285714285,0.23809523809523808,1.0,,,,,,,,,,,,,,,,1610612760,2017,2016-17,False
201566-201959-203460-203506-203924,1610612760,"Russell Westbrook, Taj Gibson, Andre Roberson, Victor Oladipo, Jerami Grant","Westbrook, Gibson, Roberson, Oladipo, Grant",201566-201959-203460-203506-203924,OKC,788.0,5,13.0,3.0,24.0,47.0,2.0,15.0,24.0,1.0,3.0,6.0,13.0,0.06666666666666667,0.5,0.42857142857142855,0.46153846153846156,,85.88832487309645,17.458333333333332,17.166666666666668,0.08695652173913043,0.5527652173913044,6.819999999999999,23.0,9.0,1.0,7.0,3.0,3.0,,,,,0.3333333333333333,0.7,0.5,,16.043478260869566,13.608695652173912,0.391304347826087,0.7391304347826086,15.0,3.0,3.0,8.0,4.0,,,,0.34782608695652173,,,,0.13043478260869565,0.6,24.0,5.0,4.0,6.0,0.17391304347826086,0.4664125,1.0,2.0,27.0,3.0,3.0,1.0,1.0,3.0,,7.0,7.0,21.0,0.5,0.25,0.25,0.4782608695652174,0.5192307692307693,0.3333333333333333,0.3333333333333333,,0.3333333333333333,5.0,6.0,3.0,0.11538461538461539,0.16666666666666666,4.0,1.0,2.0,,4.0,,,4.0,,,0.53511,0.17391304347826086,5.0,2.0,3.0,,,,3.0,1.0,5.0,1.0,1.0,,,1.0,8.0,3.0,,1.0,,6.0,1.0,1.0,1.0,6.0,4.0,12.0,3.0,2.0,2.0,1.0,2.0,,,3.0,,6.0,1.0,3.0,3.0,,2.0,2.0,1.0,1.0,,,,,,,1.0,,,,,6.0,,,0.25,0.2857142857142857,,0.25,0.5333333333333333,0.5,1.0,0.42857142857142855,0.5,0.42857142857142855,0.5,0.5,,0.8571428571428571,0.5,0.75,,0.75,0.8571428571428571,,0.08333333333333333,,0.5555555555555556,0.5555555555555556,0.4,,,,0.75,0.75,,0.21739130434782608,0.2,0.2,1.0,0.42857142857142855,0.6666666666666666,0.14285714285714285,,,,,,0.2,0.3333333333333333,,0.2222222222222222,0.2222222222222222,1.0,0.5,,,,,,,,,,,,,,,1610612760,2017,2016-17,False
