EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,BadPassOutOfBoundsTurnovers,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,Steals,BadPassSteals,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,BlockedShortMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGM,Corner3FGA,Corner3Assists,BadPassTurnovers,2pt And 1 Free Throw Trips,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,BlockingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefLongMidRangeReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeAssists,Offensive Fouls Drawn,AtRimPctBlocked,DefCorner3ReboundPct,ShortMidRangePctAssisted,PenaltyFtPoints,PtsPutbacks,LostBallOutOfBoundsTurnovers,Travels,PenaltyTurnovers,BlockingFouls,SecondChanceTurnovers,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffAtRimReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,SelfOReb,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,SelfORebPct,OffLongMidRangeReboundPct,SecondChanceCorner3FGA,SecondChanceFG3A,PtsUnassisted3s,SecondChanceCorner3Frequency,SecondChanceArc3FGA,FTOffRebounds,Charge Fouls Drawn,OffFTReboundPct,SecondChanceArc3Frequency,HeaveAttempts,OffCorner3ReboundPct,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Offensive Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,OffensiveGoaltends,SecondChanceCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,BlockedCorner3,Technical Free Throw Trips,Corner3PctBlocked,Clear Path Fouls,LongMidRangePctBlocked,DefensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
101135-1627749-1627854-200746-203937,1610612759,"David Lee, Dejounte Murray, Bryn Forbes, LaMarcus Aldridge, Kyle Anderson","Lee, Murray, Forbes, Aldridge, Anderson",101135-1627749-1627854-200746-203937,SAS,214.0,2,4.0,-2.0,6.0,6.0,12.0,1.0,2.0,1.0,2.0,6.0,8.0,10.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,6.0,3.0,8.0,1.0,1.0,0.5,0.5,0.8,0.5,0.3333333333333333,0.5,80.74766355140187,20.166666666666668,15.5,20.166666666666668,14.333333333333334,1.0,0.5,0.5,1.0,0.3457,0.6,0.6,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,False
101135-1627749-1627854-201980-203473,1610612759,"David Lee, Dejounte Murray, Bryn Forbes, Danny Green, Dewayne Dedmon","Lee, Murray, Forbes, Green, Dedmon",101135-1627749-1627854-201980-203473,SAS,18.0,1,,-2.0,1.0,1.0,2.0,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,160.0,8.0,10.0,8.0,10.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,False
101135-1627749-1627854-202722-203937,1610612759,"David Lee, Dejounte Murray, Bryn Forbes, Davis Bertans, Kyle Anderson","Lee, Murray, Forbes, Bertans, Anderson",101135-1627749-1627854-202722-203937,SAS,174.0,2,3.0,1.0,6.0,6.0,12.0,,,1.0,2.0,6.0,11.0,10.0,2.0,1.0,2.0,,5.0,1.0,1.0,1.0,,,1.0,1.0,,3.0,6.0,3.0,11.0,1.0,1.0,0.5,0.8333333333333334,0.9166666666666666,0.5,0.5,,99.3103448275862,14.0,15.0,14.0,14.5,,,,,0.44956666666666667,0.5,0.6,3.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,False
101135-1627749-1627854-203473-203613,1610612759,"David Lee, Dejounte Murray, Bryn Forbes, Dewayne Dedmon, Jonathon Simmons","Lee, Murray, Forbes, Dedmon, Simmons",101135-1627749-1627854-203473-203613,SAS,61.0,1,1.0,-2.0,3.0,2.0,5.0,,,,1.0,,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,118.03278688524591,11.666666666666666,13.0,11.666666666666666,13.0,,,,,0.3951,,,11.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,False
101135-1627749-1938-200746-202695,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, LaMarcus Aldridge, Kawhi Leonard","Lee, Murray, Ginobili, Aldridge, Leonard",101135-1627749-1938-200746-202695,SAS,455.0,1,8.0,11.0,15.0,15.0,30.0,1.0,2.0,6.0,10.0,2.0,23.0,12.0,6.0,3.0,6.0,1.0,15.0,4.0,8.0,10.0,,1.0,,,,1.0,2.0,1.0,19.0,0.5,0.5,0.6,0.7,0.71875,0.5714285714285714,0.7,0.6666666666666666,94.94505494505495,14.933333333333334,15.4,14.266666666666667,13.333333333333334,0.13333333333333333,0.5,0.5,1.0,0.5075466666666667,0.0625,0.09090909090909091,6.5200000000000005,,4.0,4.0,4.0,3.0,5.0,3.0,5.0,9.0,5.0,3.0,3.0,3.0,2.0,1.0,,1.0,0.6,0.6,0.3333333333333333,0.6666666666666666,0.26666666666666666,1.0,1.0,0.5,0.26666666666666666,0.3333333333333333,0.6,0.6,1.0,0.6,0.6,25.04,,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.25,1.0,1.0,0.25,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.25,0.3333333333333333,1.0,1.0,0.5,0.6393,0.17391304347826086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,False
101135-1627749-1938-201980-202722,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, Danny Green, Davis Bertans","Lee, Murray, Ginobili, Green, Bertans",101135-1627749-1938-201980-202722,SAS,184.0,2,3.0,4.0,7.0,6.0,13.0,1.0,1.0,3.0,3.0,1.0,13.0,9.0,6.0,3.0,5.0,1.0,12.0,,1.0,1.0,,2.0,,,,2.0,1.0,1.0,13.0,1.0,1.0,1.0,1.2,1.3,,1.0,,101.7391304347826,14.142857142857142,14.166666666666666,14.142857142857142,14.166666666666666,0.2,1.0,1.0,1.0,0.53189,0.2,0.3333333333333333,7.3999999999999995,,2.0,2.0,,1.0,1.0,2.0,2.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.4,,0.4,1.0,1.0,1.0,,0.2,1.0,1.0,1.0,0.8,1.0,24.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,False
101135-1627749-1938-201988-203937,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, Patty Mills, Kyle Anderson","Lee, Murray, Ginobili, Mills, Anderson",101135-1627749-1938-201988-203937,SAS,289.0,1,5.0,10.0,9.0,10.0,19.0,,,4.0,4.0,,17.0,7.0,8.0,4.0,7.0,,17.0,4.0,4.0,4.0,,,,1.0,,2.0,3.0,2.0,17.0,1.0,1.0,1.0,1.0625,0.9444444444444444,0.8,0.8,,94.67128027681662,11.555555555555555,18.5,11.555555555555555,15.7,,,,,0.62415625,0.2222222222222222,0.4,1.375,,4.0,4.0,,2.0,3.0,3.0,4.0,9.0,3.0,2.0,3.0,2.0,4.0,2.0,,1.0,0.75,0.75,0.5,0.5,0.5,1.0,1.0,1.0,,0.375,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,24.325,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,0.125,1.0,1.0,1.0,9.0,2.0,4.0,4.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,17.0,1.0,17.0,9.0,0.75,1.0,1.0625,0.9444444444444444,1.0,0.5,1.0,0.125,1.0,0.375,0.6666666666666666,0.62415625,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,False
101135-1627749-1938-202695-203473,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, Kawhi Leonard, Dewayne Dedmon","Lee, Murray, Ginobili, Leonard, Dedmon",101135-1627749-1938-202695-203473,SAS,331.0,1,6.0,3.0,12.0,13.0,25.0,2.0,2.0,6.0,8.0,2.0,14.0,11.0,6.0,3.0,3.0,1.0,6.0,2.0,5.0,5.0,,1.0,2.0,2.0,,2.0,2.0,1.0,14.0,0.5,0.5,0.75,0.6,0.6363636363636364,0.6666666666666666,0.8333333333333334,1.0,108.76132930513596,13.083333333333334,13.384615384615385,13.083333333333334,12.076923076923077,0.2,1.0,1.0,0.5,0.547565,0.09090909090909091,0.1111111111111111,6.25,,2.0,4.0,2.0,,2.0,,2.0,,2.0,,,,1.0,2.0,1.0,,,,0.2,0.5,0.4,0.5,0.6666666666666666,0.5,0.2,0.2,,,,0.6,,24.6,,,,,,,,,,2.0,,,,6.0,1.0,,,3.0,,,1.0,1.0,,,,,,0.125,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,False
101135-1627749-1938-202722-203613,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, Davis Bertans, Jonathon Simmons","Lee, Murray, Ginobili, Bertans, Simmons",101135-1627749-1938-202722-203613,SAS,228.0,1,4.0,1.0,8.0,9.0,17.0,,,2.0,3.0,1.0,8.0,7.0,2.0,1.0,2.0,,5.0,,2.0,3.0,2.0,4.0,1.0,1.0,,3.0,1.0,1.0,6.0,0.5,1.0,0.6666666666666666,0.7,0.8,,0.5,,107.36842105263159,13.75,13.11111111111111,13.75,12.88888888888889,,,,,0.51288,0.2,0.3333333333333333,3.8000000000000003,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,1.0,0.5,0.5,0.4,,0.4,1.0,1.0,0.5,0.2,0.4,0.5,0.5,1.0,0.8,0.5,25.3,,,,,,,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,1.0,0.5,,0.5,1.0,,1.0,,,1.0,1.0,,0.7134,0.25,,,,1.0,1.0,,,,,4.0,5.0,2.0,2.0,,,,,2.0,3.0,,,5.0,,5.0,4.0,,0.6666666666666666,0.6666666666666666,0.8333333333333334,,0.6666666666666666,1.0,,,,,0.5058,0.625,0.5,,2.0,,,,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,False
101135-1627749-1938-203473-203613,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, Dewayne Dedmon, Jonathon Simmons","Lee, Murray, Ginobili, Dedmon, Simmons",101135-1627749-1938-203473-203613,SAS,18.0,1,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,1.0,2.0,1.0,1.0,,,,,0.5,,,,160.0,17.0,1.0,17.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,0.5,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,False
