EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,SelfOReb,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted2s,TwoPtAssists,ShortMidRangeAssists,DeadBallTurnovers,Offensive Fouls,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,ShootingFouls,OffShortMidRangeReboundPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsUnassisted3s,Fg3aBlocked,Corner3Assists,AtRimAssists,LongMidRangeAssists,LostBallSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,FG3APctBlocked,Corner3PctBlocked,AtRimPctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,Charge Fouls Drawn,Loose Ball Fouls Drawn,Loose Ball Fouls,3SecondViolations,NonShootingPenaltyNonTakeFouls,PenaltyCorner3FGM,FTDefRebounds,Travels,Charge Fouls,BlockingFoulsDrawn,NonShootingFoulsDrawn,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,DefFTReboundPct,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,BlockingFouls,HeaveAttempts,Blocked3s,BlockedCorner3,BlockedLongMidRange,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,BlockedArc3,Clear Path Fouls,OffensiveGoaltends,Arc3PctBlocked,team_id,year,season,team_vs
1626209-1627757-1627868-1627875-201571,1610612753,"Mario Hezonja, Stephen Zimmerman, Patricio Garino, Marcus Georges-Hunt, D.J. Augustin","Hezonja, Zimmerman, Garino, Georges-Hunt, Augustin",1626209-1627757-1627868-1627875-201571,ORL,307.0,1,5.0,5.0,8.0,8.0,16.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,4.0,1.0,12.0,7.0,1.0,1.0,2.0,8.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,10.0,1.0,0.25,0.25,0.8,1.0,0.6111111111111112,1.0,0.6,1.0,0.4444444444444444,0.5,0.3333333333333333,0.4444444444444444,0.25,0.3333333333333333,0.75,0.3333333333333333,75.04885993485343,13.125,25.25,12.125,18.375,0.2222222222222222,1.0,1.0,0.2222222222222222,0.5,0.5,0.1111111111111111,1.0,1.0,0.4444444444444444,0.25,0.25,1.0,0.6666666666666666,0.25,0.49818888888888885,0.2,0.3333333333333333,0.16666666666666666,7.1,25.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,True
1626209-1627757-1627868-203901-203932,1610612753,"Mario Hezonja, Stephen Zimmerman, Patricio Garino, Elfrid Payton, Aaron Gordon","Hezonja, Zimmerman, Garino, Payton, Gordon",1626209-1627757-1627868-203901-203932,ORL,146.0,3,2.0,-2.0,5.0,5.0,10.0,2.0,3.0,,,,1.0,,2.0,2.0,4.0,,3.0,2.0,6.0,8.0,2.0,4.0,6.0,4.0,,2.0,,,,,,1.0,,1.0,4.0,5.0,,,1.0,3.0,4.0,2.0,3.0,,,,,,,,,0.5,0.5,0.2857142857142857,0.5,0.375,0.75,0.42857142857142855,,0.3333333333333333,1.0,0.6,0.5,,,98.63013698630138,16.4,12.8,14.8,12.8,0.42857142857142855,0.6666666666666666,0.6666666666666666,,,,0.14285714285714285,,,0.2857142857142857,,,,0.8571428571428571,,0.5695642857142857,0.375,0.6,1.0,5.775,24.733333333333334,5.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,0.5,0.2857142857142857,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.14285714285714285,0.75,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.14285714285714285,0.2857142857142857,0.6049666666666667,0.5695642857142857,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,True
1626209-1627757-1627875-201571-201975,1610612753,"Mario Hezonja, Stephen Zimmerman, Marcus Georges-Hunt, D.J. Augustin, Jodie Meeks","Hezonja, Zimmerman, Georges-Hunt, Augustin, Meeks",1626209-1627757-1627875-201571-201975,ORL,356.0,3,6.0,10.0,13.0,10.0,23.0,,,2.0,3.0,,2.0,3.0,4.0,2.0,5.0,3.0,5.0,3.0,16.0,6.0,,,3.0,2.0,9.0,4.0,3.0,3.0,4.0,3.0,11.0,1.0,4.0,6.0,1.0,7.0,1.0,1.0,2.0,3.0,5.0,,1.0,1.0,,1.0,1.0,13.0,1.0,0.6,0.6,0.4,,0.65,1.5,0.6666666666666666,1.5,0.5,1.0,0.5,0.8571428571428571,0.2,,1.0,,93.03370786516854,12.615384615384615,19.2,12.307692307692308,18.2,,,,0.3,0.6666666666666666,0.6666666666666666,0.2,,,0.4,0.75,0.75,1.0,0.5,0.75,0.46116999999999997,0.16666666666666666,0.16666666666666666,0.1875,12.38,25.18,2.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,2.0,1.0,,,1.0,,,2.0,,,,,,,0.6666666666666666,,,,0.2,0.1,,,,,,,,0.3811,,0.15384615384615385,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,True
1626209-1627757-1627875-201975-203901,1610612753,"Mario Hezonja, Stephen Zimmerman, Marcus Georges-Hunt, Jodie Meeks, Elfrid Payton","Hezonja, Zimmerman, Georges-Hunt, Meeks, Payton",1626209-1627757-1627875-201975-203901,ORL,62.0,1,1.0,3.0,2.0,3.0,5.0,1.0,2.0,,,,,,,1.0,2.0,,,1.0,3.0,,,,,2.0,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,,1.0,,,,,3.0,,,,0.5,,0.5,,0.5,,,1.0,,1.0,,,,1.0,116.1290322580645,13.5,11.666666666666666,13.5,11.666666666666666,1.0,0.5,1.0,,,,,,,,,,,1.0,,0.57585,0.3333333333333333,0.3333333333333333,,1.8,,2.0,,,,,1.0,2.0,,,,,1.0,2.0,,1.0,3.0,,,,,,,,,,3.0,2.0,0.5,0.5,0.5,,,,,,,,,,,,1.0,0.5,,,,0.57585,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,True
1626209-1627757-1627875-203901-203932,1610612753,"Mario Hezonja, Stephen Zimmerman, Marcus Georges-Hunt, Elfrid Payton, Aaron Gordon","Hezonja, Zimmerman, Georges-Hunt, Payton, Gordon",1626209-1627757-1627875-203901-203932,ORL,114.0,1,2.0,-2.0,4.0,3.0,7.0,,2.0,1.0,2.0,,,,,1.0,4.0,,,,2.0,4.0,,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,,2.0,,,,0.25,,0.25,,0.25,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,,88.42105263157895,14.75,18.333333333333332,14.25,18.0,0.5,,,0.5,0.5,0.5,,,,,,,,0.5,,0.4324,,,,3.125,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,1.0,,,,,,0.5508,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,1.0,0.25,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,True
1626209-1627757-201145-201228-201571,1610612753,"Mario Hezonja, Stephen Zimmerman, Jeff Green, C.J. Watson, D.J. Augustin","Hezonja, Zimmerman, Green, Watson, Augustin",1626209-1627757-201145-201228-201571,ORL,1000.0,4,17.0,,33.0,32.0,65.0,7.0,9.0,2.0,4.0,1.0,2.0,,5.0,10.0,15.0,2.0,9.0,6.0,32.0,32.0,1.0,1.0,5.0,4.0,3.0,5.0,,1.0,9.0,,19.0,2.0,7.0,16.0,3.0,19.0,1.0,,2.0,6.0,9.0,1.0,5.0,1.0,1.0,,1.0,27.0,0.5,0.2222222222222222,0.2222222222222222,0.6666666666666666,1.0,0.5416666666666666,1.25,0.5714285714285714,1.25,0.375,0.875,0.2857142857142857,0.8421052631578947,0.25,0.4,1.0,0.6666666666666666,93.6,15.606060606060606,15.15625,15.181818181818182,13.5625,0.375,0.7777777777777778,0.7777777777777778,0.16666666666666666,0.5,0.5,0.08333333333333333,0.5,0.5,0.20833333333333334,,,,0.75,,0.530425,0.17857142857142858,0.2631578947368421,0.15625,5.086666666666667,25.477777777777778,,,3.0,1.0,1.0,,,4.0,,,,,,,,,,1.0,,9.0,,6.0,2.0,8.0,,,,,,,0.75,,0.2,0.8181818181818182,0.5,,1.0,,0.16666666666666666,0.5,1.0,,,,,0.55275,,,,,,1.0,1.0,16.0,8.0,,2.0,,,,1.0,0.8,0.8,1.0,,1.0,0.7777777777777778,1.0,,,,,,,,,1.0,,2.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,4.0,1.0,1.0,1.0,0.1111111111111111,0.25,1.0,1.0,0.5,0.6666666666666666,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,True
1626209-1627757-201145-201571-203095,1610612753,"Mario Hezonja, Stephen Zimmerman, Jeff Green, D.J. Augustin, Evan Fournier","Hezonja, Zimmerman, Green, Augustin, Fournier",1626209-1627757-201145-201571-203095,ORL,155.0,1,3.0,4.0,4.0,4.0,8.0,,,,,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,,11.0,7.0,,,3.0,2.0,9.0,3.0,3.0,3.0,3.0,3.0,9.0,,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,,8.0,1.0,1.0,1.0,0.5,,1.1,1.5,1.1,1.5,0.6,1.0,,1.0,1.0,,1.0,,74.32258064516128,19.25,19.5,15.25,19.5,,,,,,,0.4,0.5,0.5,0.6,1.0,1.0,1.0,0.6,1.0,0.48667999999999995,,,0.2727272727272727,17.2,25.433333333333334,4.0,1.0,1.0,,,,,,,3.0,,1.0,2.0,3.0,,11.0,,1.0,,,,,,,,11.0,4.0,0.5,1.1,1.1,,,1.0,,,1.0,,,,,,,,,0.6,0.5841,0.48667999999999995,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,True
1626209-1627757-201145-201975-203901,1610612753,"Mario Hezonja, Stephen Zimmerman, Jeff Green, Jodie Meeks, Elfrid Payton","Hezonja, Zimmerman, Green, Meeks, Payton",1626209-1627757-201145-201975-203901,ORL,314.0,1,5.0,8.0,11.0,10.0,21.0,2.0,2.0,2.0,2.0,,3.0,1.0,3.0,4.0,7.0,3.0,5.0,,17.0,9.0,2.0,2.0,4.0,8.0,9.0,3.0,1.0,3.0,3.0,1.0,9.0,,4.0,4.0,2.0,6.0,2.0,2.0,,,,,,,,,,13.0,1.0,0.6,0.6,0.5714285714285714,1.0,0.7083333333333334,1.0,0.7083333333333334,1.0,0.4166666666666667,1.0,,1.0,0.4,,1.0,1.0,96.30573248407643,14.272727272727273,15.7,14.090909090909092,15.7,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.25,,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5833333333333334,0.3333333333333333,0.4890125,,,0.23529411764705882,11.142857142857142,24.54,,,2.0,1.0,1.0,,,2.0,,,,,,,,,4.0,2.0,,,,1.0,,1.0,,,,,,,1.0,,0.6666666666666666,,,0.6666666666666666,,,0.16666666666666666,0.5,1.0,,,,,0.4637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,True
1626209-1627757-201145-203095-203901,1610612753,"Mario Hezonja, Stephen Zimmerman, Jeff Green, Evan Fournier, Elfrid Payton","Hezonja, Zimmerman, Green, Fournier, Payton",1626209-1627757-201145-203095-203901,ORL,149.0,1,2.0,-5.0,4.0,5.0,9.0,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,2.0,7.0,,,,2.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,2.0,,,,1.0,,0.5,,0.5,,0.5,0.3333333333333333,,0.25,,,,,86.97986577181207,19.0,14.6,19.0,12.6,0.5,1.0,1.0,,,,,,,0.5,,,,1.0,,0.3857,,,,2.2,28.1,4.0,5.0,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,2.0,,,,,,1.0,,3.0,3.0,2.0,4.0,1.0,0.5,0.5,0.3333333333333333,,,,,,,,,,,0.5,1.0,,0.5,,0.3857,1.0,1.0,,,,,,,,2.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,True
1626209-1627868-1627875-201571-202687,1610612753,"Mario Hezonja, Patricio Garino, Marcus Georges-Hunt, D.J. Augustin, Bismack Biyombo","Hezonja, Garino, Georges-Hunt, Augustin, Biyombo",1626209-1627868-1627875-201571-202687,ORL,126.0,1,2.0,-5.0,4.0,5.0,9.0,,3.0,,,,,,2.0,,3.0,,2.0,1.0,1.0,6.0,,1.0,,,,2.0,,,,,,,,,2.0,2.0,,,2.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,0.4,,,,0.4,,,,102.85714285714285,19.75,9.4,17.0,9.2,0.6,,,,,,,,,0.4,,,,1.0,,0.47709,,,,1.7666666666666666,27.7,,,1.0,,1.0,,,,,,,,,,,,,2.0,,,1.0,1.0,,1.0,,,,,,,1.0,,0.6666666666666666,,0.6666666666666666,,,0.3333333333333333,,0.5,,,,,,0.437475,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,0.5,,,,2.0,0.6666666666666666,0.6666666666666666,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,True
