EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffThreePtRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,FG3M,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,Loose Ball Fouls Drawn,FTA,Technical Free Throw Trips,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,FtPoints,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefAtRimReboundPct,PenaltyOffPoss,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3A,Fg2aBlocked,OffTwoPtRebounds,PenaltyOffPossExcludingTakeFouls,FG2APctBlocked,LongMidRangePctBlocked,OffTwoPtReboundPct,OffLongMidRangeReboundPct,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,PenaltyFtPoints,PenaltyPoints,HeaveAttempts,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,PenaltyPointsPct,PenaltyAtRimFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG2M,PenaltyFG3M,Corner3Assists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,AtRimPctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,FTDefRebounds,SelfOReb,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,DefFTReboundPct,OffFTReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3FGA,ShortMidRangeAssists,ShortMidRangePctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PtsUnassisted3s,StepOutOfBoundsTurnovers,PenaltyTurnovers,Charge Fouls Drawn,SecondChanceFtPoints,LostBallTurnovers,BlockedLongMidRange,Offensive Fouls,BlockingFoulsDrawn,LostBallOutOfBoundsTurnovers,ShortMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Travels,Blocked3s,BlockedCorner3,3pt And 1 Free Throw Trips,OffCorner3ReboundPct,HeaveMakes,Fg3aBlocked,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,FG3APctBlocked,Arc3PctBlocked,BlockedArc3,Clear Path Fouls,Corner3PctBlocked,team_id,year,season,team_vs
101108-101109-101138-200755-201578,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, JJ Redick, Marreese Speights","Paul, Felton, Bass, Redick, Speights",101108-101109-101138-200755-201578,LAC,39.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,73.84615384615384,18.0,21.0,18.0,21.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5512,1.0,1.6,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-101138-201578-2037,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, Marreese Speights, Jamal Crawford","Paul, Felton, Bass, Speights, Crawford",101108-101109-101138-201578-2037,LAC,150.0,2,2.0,5.0,6.0,,11.0,1.0,1.0,,,1.0,2.0,3.0,1.0,7.0,4.0,,,,2.0,,1.0,,,3.0,,,0.6666666666666666,,0.875,,0.875,,0.25,,,,105.6,14.6,12.833333333333334,14.6,9.666666666666666,0.25,1.0,1.0,0.25,,,0.5,0.5607625,,10.566666666666666,26.5,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-101138-201599-2037,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, DeAndre Jordan, Jamal Crawford","Paul, Felton, Bass, Jordan, Crawford",101108-101109-101138-201599-2037,LAC,40.0,1,1.0,1.0,2.0,,3.0,1.0,1.0,,,,1.0,1.0,,2.0,4.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,108.0,9.0,15.5,9.0,15.5,1.0,1.0,1.0,,,,1.0,0.9012,,0.1,,-2.0,,,,,,,2.0,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-101138-201933-2037,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, Blake Griffin, Jamal Crawford","Paul, Felton, Bass, Griffin, Crawford",101108-101109-101138-201933-2037,LAC,171.0,1,3.0,6.0,6.0,,12.0,1.0,2.0,,,1.0,1.0,3.0,1.0,5.0,6.0,,,,2.0,,1.0,,,2.0,1.0,1.0,0.3333333333333333,,0.25,,0.4166666666666667,,0.25,,,,101.05263157894737,12.5,16.0,12.5,16.0,0.5,0.5,0.5,0.25,,,0.75,0.5436625,,7.333333333333333,26.3,-1.0,,,,1.0,,,,,,,,,,,,,2.0,2.0,,,,2.0,,4.0,,5.0,,,,,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,,0.25,,,,,3.0,2.0,0.3333333333333333,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-101138-202325-2037,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, Wesley Johnson, Jamal Crawford","Paul, Felton, Bass, Johnson, Crawford",101108-101109-101138-202325-2037,LAC,85.0,1,1.0,3.0,3.0,,6.0,,1.0,,,,,3.0,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,101.6470588235294,19.0,9.333333333333334,19.0,9.333333333333334,0.3333333333333333,,,,,,0.3333333333333333,0.42683333333333334,,12.333333333333334,,-4.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-1718-201578-2037,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, Marreese Speights, Jamal Crawford","Paul, Felton, Pierce, Speights, Crawford",101108-101109-1718-201578-2037,LAC,79.0,1,1.0,2.0,2.0,,4.0,,,,,1.0,1.0,1.0,1.0,2.0,3.0,,,,2.0,,1.0,,,1.0,2.0,2.0,1.0,,0.5,,0.5,,0.5,,,,72.9113924050633,20.5,19.0,20.5,18.0,,,,0.5,,,0.5,0.386625,,5.9,28.4,-1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,2.0,,,,,,,0.5,,0.5,,,,,0.5,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-1718-201599-2037,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, DeAndre Jordan, Jamal Crawford","Paul, Felton, Pierce, Jordan, Crawford",101108-101109-1718-201599-2037,LAC,107.0,2,2.0,4.0,2.0,,6.0,,1.0,,,2.0,,3.0,2.0,,3.0,,,,,,2.0,,1.0,3.0,1.0,1.0,,,,,,,0.4,,0.25,,80.74766355140187,15.75,22.0,15.75,22.0,0.2,,,0.4,,,0.6,0.47556000000000004,,11.966666666666667,26.25,-3.0,,,,2.0,,,,,,,,,,,,,2.0,2.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,0.4,,,,,,,,,1.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.2,0.4,0.47556000000000004,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-200755-201578-201599,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, DeAndre Jordan","Paul, Felton, Redick, Speights, Jordan",101108-101109-200755-201578-201599,LAC,56.0,2,1.0,2.0,1.0,,3.0,1.0,1.0,,,,1.0,1.0,,4.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,77.14285714285714,19.0,18.0,19.0,17.0,1.0,1.0,1.0,,,,1.0,0.5421,,1.7,,4.0,1.0,,,,,,2.0,,,1.0,,1.0,,1.0,2.0,,,,,,,1.0,,2.0,,4.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-200755-201578-2037,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, Jamal Crawford","Paul, Felton, Redick, Speights, Crawford",101108-101109-200755-201578-2037,LAC,2.0,2,,1.0,,,1.0,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,0.5,,1.0,,,,720.0,2.0,,2.0,,,,,1.0,,,1.0,,,,70.3,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-200755-201599-201601,1610612746,"Chris Paul, Raymond Felton, JJ Redick, DeAndre Jordan, Luc Mbah a Moute","Paul, Felton, Redick, Jordan, Mbah a Moute",101108-101109-200755-201599-201601,LAC,1099.0,2,18.0,35.0,35.0,3.0,70.0,5.0,8.0,,1.0,13.0,13.0,22.0,14.0,48.0,33.0,1.0,3.0,2.0,8.0,2.0,13.0,3.0,5.0,21.0,,3.0,0.5909090909090909,0.3333333333333333,0.5694444444444444,0.2,0.5897435897435898,0.2,0.3888888888888889,0.3333333333333333,0.2777777777777778,0.3333333333333333,91.71974522292994,15.6,15.8,14.742857142857142,15.485714285714286,0.2222222222222222,0.625,0.8333333333333334,0.3611111111111111,0.2,,0.6111111111111112,0.5167657142857143,0.041666666666666664,11.15,25.807142857142857,15.0,11.0,1.0,3.0,11.0,4.0,5.0,18.0,15.0,4.0,9.0,5.0,14.0,4.0,4.0,33.0,6.0,10.0,16.0,,,1.0,8.0,,9.0,2.0,46.0,0.6923076923076923,0.75,1.0,0.35714285714285715,0.35714285714285715,,0.8333333333333334,0.8571428571428571,0.8421052631578947,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3055555555555556,0.3076923076923077,0.3076923076923077,1.0,0.3076923076923077,7.0,4.0,0.10256410256410256,0.16,1.0,7.0,1.0,2.0,4.0,2.0,2.0,2.0,7.0,0.09090909090909091,,0.2222222222222222,,0.16666666666666666,0.3333333333333333,0.5181083333333333,0.2,1.0,10.0,,,10.0,,0.7142857142857143,0.20833333333333334,1.0,7.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.75,0.75,0.25,0.3333333333333333,0.5,1.0,0.5,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.027777777777777776,1.0,1.0,1.0,0.4,1.0,0.5,0.5145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
