EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallTurnovers,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGA,PenaltyFG3A,OffArc3ReboundPct,PenaltyArc3Frequency,PenaltyAtRimFGA,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,LostBallSteals,BlockingFouls,PenaltyFg3Pct,PenaltyAtRimFrequency,PenaltyArc3Accuracy,PenaltyAtRimFGM,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,Corner3Assists,2pt And 1 Free Throw Trips,Technical Free Throw Trips,RecoveredBlocks,SecondChanceFg3Pct,AtRimPctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonShootingPenaltyNonTakeFouls,HeaveAttempts,SelfOReb,BlockedLongMidRange,SelfORebPct,Travels,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedShortMidRange,SecondChanceArc3FGA,Offensive Fouls Drawn,SecondChanceArc3Frequency,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,Defensive 3 Seconds Violations,Arc3PctBlocked,LongMidRangePctBlocked,SecondChanceArc3FGM,Charge Fouls,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,DefensiveGoaltends,3pt And 1 Free Throw Trips,OffensiveGoaltends,Blocked3s,BlockedArc3,team_id,year,season,team_vs
101106-101112-202681-202682-2594,1610612739,"Andrew Bogut, Channing Frye, Kyrie Irving, Derrick Williams, Kyle Korver","Bogut, Frye, Irving, Williams, Korver",101106-101112-202681-202682-2594,CLE,36.0,1,1.0,-2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,80.0,14.0,22.0,14.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,False
101106-101114-202682-2544-2594,1610612739,"Andrew Bogut, Deron Williams, Derrick Williams, LeBron James, Kyle Korver","Bogut, Williams, Williams, James, Korver",101106-101114-202682-2544-2594,CLE,22.0,1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,False
101112-101114-201567-202697-2544,1610612739,"Channing Frye, Deron Williams, Kevin Love, Iman Shumpert, LeBron James","Frye, Williams, Love, Shumpert, James",101112-101114-201567-202697-2544,CLE,220.0,1,4.0,1.0,7.0,7.0,,14.0,7.0,2.0,1.0,2.0,2.0,1.0,91.63636363636364,13.571428571428571,17.857142857142858,13.571428571428571,15.857142857142858,2.0,3.0,1.0,1.0,1.0,1.0,4.0,5.0,8.0,8.0,4.0,4.0,2.0,1.0,1.0,8.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,8.0,1.0,1.0,0.8,0.8,0.6666666666666666,0.3333333333333333,0.5,0.375,1.0,0.5,0.6,0.6666666666666666,0.6666666666666666,1.0,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.6,0.5302800000000001,0.16666666666666666,0.16666666666666666,6.540000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,False
101112-101114-201567-202697-2747,1610612739,"Channing Frye, Deron Williams, Kevin Love, Iman Shumpert, JR Smith","Frye, Williams, Love, Shumpert, Smith",101112-101114-201567-202697-2747,CLE,1092.0,1,18.0,-5.0,39.0,40.0,7.0,79.0,37.0,2.0,2.0,8.0,7.0,0.25,104.17582417582418,14.384615384615385,13.275,13.974358974358974,13.05,3.0,3.0,2.0,8.0,6.0,12.0,11.0,23.0,32.0,6.0,3.0,4.0,1.0,1.0,1.0,9.0,6.0,7.0,15.0,18.0,3.0,3.0,,,9.0,8.0,2.0,,,,30.0,0.2727272727272727,0.3,0.4782608695652174,0.4166666666666667,0.47058823529411764,0.875,0.8571428571428571,0.8666666666666667,1.0,1.0,0.1,1.0,1.0,0.3333333333333333,0.26666666666666666,0.25,0.2857142857142857,0.5,0.4,0.5,0.5,0.16666666666666666,0.3333333333333333,0.46452166666666667,0.0625,0.08,12.617391304347825,7.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,7.0,7.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,6.0,16.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,6.0,7.0,2.0,1.0,0.14285714285714285,0.14285714285714285,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.6,0.23333333333333334,0.14285714285714285,0.043478260869565216,0.125,0.3333333333333333,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.8,0.1,0.13333333333333333,0.25,0.25,1.0,0.5,1.0,0.5,0.25,0.5267,0.3941666666666667,0.0625,0.1875,24.057142857142857,0.1794871794871795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,False
101112-101114-201567-2544-2747,1610612739,"Channing Frye, Deron Williams, Kevin Love, LeBron James, JR Smith","Frye, Williams, Love, James, Smith",101112-101114-201567-2544-2747,CLE,26.0,1,,,1.0,,,1.0,,,,,,,55.38461538461538,26.0,,26.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.2544,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,0.2544,,,24.9,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,False
101112-101114-201567-2594-2747,1610612739,"Channing Frye, Deron Williams, Kevin Love, Kyle Korver, JR Smith","Frye, Williams, Love, Korver, Smith",101112-101114-201567-2594-2747,CLE,14.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,False
101112-101114-202681-202682-2544,1610612739,"Channing Frye, Deron Williams, Kyrie Irving, Derrick Williams, LeBron James","Frye, Williams, Irving, Williams, James",101112-101114-202681-202682-2544,CLE,32.0,1,1.0,,1.0,1.0,,2.0,2.0,,,,1.0,,90.0,11.0,21.0,11.0,21.0,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,0.4133,,,15.4,1.0,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.4133,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,False
101112-101114-202681-202682-2747,1610612739,"Channing Frye, Deron Williams, Kyrie Irving, Derrick Williams, JR Smith","Frye, Williams, Irving, Williams, Smith",101112-101114-202681-202682-2747,CLE,272.0,2,5.0,12.0,10.0,10.0,5.0,20.0,3.0,1.0,1.0,1.0,1.0,1.0,105.88235294117648,12.1,15.1,10.7,15.1,,2.0,1.0,1.0,,,1.0,3.0,15.0,2.0,1.0,3.0,,1.0,,8.0,1.0,5.0,6.0,6.0,1.0,,,,2.0,4.0,2.0,,,,13.0,1.0,1.0,0.3333333333333333,0.7857142857142857,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,,,,0.14285714285714285,1.0,1.0,1.0,,,,,0.8571428571428571,0.5097285714285714,0.2222222222222222,0.4,5.0,9.0,1.0,,,,,3.0,4.0,3.0,4.0,4.0,,,,2.0,1.0,3.0,2.0,13.0,,6.0,,4.0,3.0,,,2.0,2.0,,,,,,,,,1.0,,,,,,13.0,9.0,,0.6666666666666666,0.75,0.75,,0.3333333333333333,,0.7857142857142857,1.0,0.8125,0.5714285714285714,,,,,,,,,,,1.0,,,0.5714285714285714,0.75,0.75,0.6666666666666666,,,,0.75,,0.5097285714285714,0.13333333333333333,0.8666666666666667,26.9,0.9,4.0,4.0,,0.5714285714285714,2.0,3.0,2.0,3.0,3.0,1.0,1.0,0.75,0.2857142857142857,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,False
101112-101114-202681-202684-202697,1610612739,"Channing Frye, Deron Williams, Kyrie Irving, Tristan Thompson, Iman Shumpert","Frye, Williams, Irving, Thompson, Shumpert",101112-101114-202681-202684-202697,CLE,754.0,4,13.0,12.0,23.0,25.0,8.0,48.0,22.0,2.0,,3.0,2.0,0.6666666666666666,91.6710875331565,13.434782608695652,17.8,13.217391304347826,16.48,4.0,6.0,2.0,5.0,2.0,4.0,8.0,15.0,34.0,6.0,3.0,7.0,1.0,,2.0,18.0,4.0,8.0,12.0,14.0,2.0,1.0,2.0,,4.0,7.0,4.0,1.0,1.0,1.0,29.0,0.375,0.42857142857142855,0.5333333333333333,0.7,0.75,0.8,1.0,0.8571428571428571,1.0,1.0,0.3,0.6666666666666666,0.8,0.25,0.25,0.4,0.5,,0.2,0.5,0.5,1.0,0.55,0.4911975,0.18181818181818182,0.23529411764705882,8.026666666666667,12.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,1.0,1.0,5.0,5.0,7.0,3.0,19.0,10.0,12.0,2.0,3.0,2.0,2.0,,4.0,2.0,,2.0,,2.0,1.0,1.0,,,1.0,,,,,,19.0,12.0,,1.0,0.8,0.8,1.0,0.7142857142857143,1.25,0.8,1.25,0.8181818181818182,0.25,,0.13333333333333333,0.2,,,0.2857142857142857,,0.25,,,0.6666666666666666,,0.1,0.15,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,0.5,0.6666666666666666,0.805175,0.47532500000000005,0.14705882352941177,0.5588235294117647,24.68,0.5217391304347826,2.0,3.0,,0.2,3.0,1.0,,2.0,,1.0,,0.6666666666666666,0.3,0.5,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,False
101112-101114-202681-202684-2210,1610612739,"Channing Frye, Deron Williams, Kyrie Irving, Tristan Thompson, Richard Jefferson","Frye, Williams, Irving, Thompson, Jefferson",101112-101114-202681-202684-2210,CLE,160.0,1,3.0,-5.0,5.0,5.0,1.0,10.0,7.0,1.0,,1.0,1.0,1.0,90.0,12.6,19.4,12.6,18.2,1.0,1.0,,,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,2.0,2.0,,,1.0,,,,,,,,2.0,1.0,1.0,0.5,0.25,0.25,0.3333333333333333,1.0,0.5,,,0.25,1.0,1.0,1.0,,,,,0.25,,,,0.75,0.4727,,,8.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,1.0,,0.5,,,,,,,,,,,,29.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,False
