EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,FG2A,OpponentPoints,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyDefPoss,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,PenaltyOffPoss,PenaltyArc3FGA,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,DefShortMidRangeReboundPct,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PtsAssisted2s,PtsUnassisted3s,HeaveAttempts,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,Steals,BadPassSteals,BadPassTurnovers,DeadBallTurnovers,PenaltyTurnovers,BlockingFouls,Clear Path Fouls,Offensive Fouls,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,DefThreePtReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,LostBallSteals,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,SecondChanceFg3Pct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Loose Ball Fouls,Technical Free Throw Trips,SecondChanceArc3FGA,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceAtRimFGM,PtsPutbacks,DefCorner3ReboundPct,SecondChanceAtRimAccuracy,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,FTDefRebounds,DefFTReboundPct,SecondChanceFtPoints,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,3pt And 1 Free Throw Trips,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls,Charge Fouls Drawn,team_id,year,season,team_vs
1626150-1627782-1713-201148-201188,1610612763,"Andrew Harrison, Wayne Selden, Vince Carter, Brandan Wright, Marc Gasol","Harrison, Selden, Carter, Wright, Gasol",1626150-1627782-1713-201148-201188,MEM,108.0,1,2.0,-7.0,3.0,4.0,1.0,7,2.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,1.0,0.5,93.33333333333333,1.0,17.666666666666668,13.75,17.333333333333332,13.25,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5185333333333334,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627782-1713-201188-203210,1610612763,"Andrew Harrison, Wayne Selden, Vince Carter, Marc Gasol, JaMychal Green","Harrison, Selden, Carter, Gasol, Green",1626150-1627782-1713-201188-203210,MEM,304.0,2,5.0,-2.0,8.0,6.0,,14,,2.0,3.0,14.0,,,,,,,,1.0,1.0,1.0,,1.0,3.0,,,,,,,1.0,,,,,,,,66.31578947368422,,18.125,26.5,18.125,23.833333333333332,,0.3333333333333333,0.5,0.47869999999999996,13.700000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,12.0,4.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,12.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8571428571428571,0.5,0.5,0.5,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.5,0.14285714285714285,0.25,25.133333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627782-1713-201188-2216,1610612763,"Andrew Harrison, Wayne Selden, Vince Carter, Marc Gasol, Zach Randolph","Harrison, Selden, Carter, Gasol, Randolph",1626150-1627782-1713-201188-2216,MEM,282.0,2,5.0,2.0,7.0,7.0,,14,,2.0,3.0,6.0,,,3.0,3.0,,3.0,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,0.75,,,,,71.48936170212765,1.0,21.857142857142858,18.428571428571427,21.857142857142858,17.285714285714285,,0.2857142857142857,0.5714285714285714,0.46327857142857143,10.633333333333333,,2.0,,1.0,,,1.0,4.0,2.0,1.0,4.0,1.0,8.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,,3.0,1.0,2.0,1.0,8.0,1.0,0.25,0.25,0.6666666666666666,0.5,0.5,0.5714285714285714,1.0,1.0,0.14285714285714285,,,,,,,0.5714285714285714,0.25,0.25,1.0,0.25,0.125,0.25,25.325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.53985,0.125,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627782-201144-201188-203210,1610612763,"Andrew Harrison, Wayne Selden, Mike Conley, Marc Gasol, JaMychal Green","Harrison, Selden, Conley, Gasol, Green",1626150-1627782-201144-201188-203210,MEM,811.0,5,14.0,6.0,25.0,24.0,2.0,49,6.0,6.0,16.0,22.0,,1.0,4.0,9.0,2.0,11.0,,2.0,,3.0,,2.0,6.0,,,,,,,0.6666666666666666,1.0,0.125,0.75,0.18181818181818182,0.5,,,87.00369913686806,,16.04,17.083333333333332,15.4,16.208333333333332,0.2608695652173913,0.2608695652173913,0.5652173913043478,0.4837159090909091,8.7,22.0,3.0,1.0,4.0,,1.0,3.0,6.0,7.0,3.0,7.0,5.0,28.0,4.0,6.0,5.0,3.0,2.0,7.0,2.0,,16.0,4.0,5.0,2.0,26.0,0.6666666666666666,0.42857142857142855,0.5,0.4375,0.5,0.56,0.30434782608695654,0.5,0.5,0.17391304347826086,0.25,0.25,0.043478260869565216,,,,0.2608695652173913,0.5,0.5,0.6666666666666666,0.6,0.08333333333333333,0.11764705882352941,28.02857142857143,11.0,2.0,2.0,4.0,11.0,,11.0,11.0,0.55,1.0,0.25,0.4368625,0.39285714285714285,0.44,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,1.0,10.0,3.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.5,0.5,0.3333333333333333,0.5,0.4375,0.5,0.625,0.3333333333333333,1.0,1.0,0.7142857142857143,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.25,0.5,0.5,0.45645,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627782-201144-203210-2216,1610612763,"Andrew Harrison, Wayne Selden, Mike Conley, JaMychal Green, Zach Randolph","Harrison, Selden, Conley, Green, Randolph",1626150-1627782-201144-203210-2216,MEM,752.0,3,13.0,3.0,19.0,20.0,3.0,39,3.0,6.0,13.0,24.0,,2.0,5.0,5.0,3.0,8.0,1.0,,,2.0,,2.0,3.0,1.0,,1.0,,,,,0.8333333333333334,0.5,0.8333333333333334,0.375,1.0,1.0,0.125,74.68085106382979,,19.210526315789473,19.35,18.0,19.0,0.15789473684210525,0.3157894736842105,0.47368421052631576,0.49375263157894733,9.738461538461538,5.0,6.0,1.0,4.0,1.0,2.0,1.0,4.0,9.0,2.0,6.0,3.0,27.0,16.0,6.0,4.0,1.0,2.0,3.0,1.0,1.0,8.0,4.0,3.0,2.0,22.0,1.0,0.3333333333333333,0.3333333333333333,0.6923076923076923,0.631578947368421,0.675,0.3157894736842105,1.0,1.0,0.21052631578947367,0.25,0.25,0.10526315789473684,0.5,0.5,1.0,0.21052631578947367,0.25,0.25,1.0,0.25,0.1,0.14285714285714285,24.816666666666666,4.0,1.0,1.0,2.0,6.0,1.0,6.0,4.0,0.75,,0.3333333333333333,0.42663333333333336,0.2222222222222222,0.21052631578947367,2.0,,,,,1.0,2.0,5.0,2.0,2.0,,2.0,,,1.0,,1.0,,1.0,,2.0,,,2.0,,,,,,1.0,,,,0.1111111111111111,0.1111111111111111,,0.5,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,,0.25,,1.0,,0.6666666666666666,0.6666666666666666,,0.16666666666666666,,,,,,0.46965,0.18518518518518517,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627782-201188-203210-203516,1610612763,"Andrew Harrison, Wayne Selden, Marc Gasol, JaMychal Green, James Ennis III","Harrison, Selden, Gasol, Green, Ennis III",1626150-1627782-201188-203210-203516,MEM,16.0,1,,-3.0,,1.0,,1,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627782-201188-203210-203584,1610612763,"Andrew Harrison, Wayne Selden, Marc Gasol, JaMychal Green, Troy Daniels","Harrison, Selden, Gasol, Green, Daniels",1626150-1627782-201188-203210-203584,MEM,171.0,1,3.0,1.0,6.0,6.0,,12,1.0,,1.0,4.0,,,2.0,4.0,,4.0,,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,,,0.5,1.0,,1.0,,,1.0,,101.05263157894737,1.0,14.166666666666666,14.333333333333334,14.166666666666666,14.333333333333334,0.3333333333333333,,1.0,0.5068833333333334,1.9,,,,,1.0,1.0,,1.0,,1.0,2.0,2.0,5.0,,3.0,1.0,,1.0,1.0,,1.0,3.0,1.0,2.0,,5.0,1.0,0.5,0.5,,0.5,0.625,0.6666666666666666,,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,,,24.95,6.0,1.0,2.0,2.0,5.0,,5.0,6.0,0.625,,0.3333333333333333,0.5068833333333334,1.0,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,2.0,,,,1.0,2.0,,,,,,1.0,,,,,0.5,,,,0.5,,1.0,,,,1.0,,,,,,,0.3333333333333333,,,,,,,,,,1.0,,,,,,,,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627782-201188-203584-2216,1610612763,"Andrew Harrison, Wayne Selden, Marc Gasol, Troy Daniels, Zach Randolph","Harrison, Selden, Gasol, Daniels, Randolph",1626150-1627782-201188-203584-2216,MEM,228.0,1,4.0,-5.0,6.0,7.0,,13,3.0,,4.0,10.0,,,2.0,2.0,,2.0,,1.0,1.0,1.0,,2.0,3.0,,,,,,,1.0,1.0,,1.0,,,1.0,,82.10526315789474,,19.0,16.285714285714285,19.0,16.285714285714285,0.6,,0.8,0.49132,5.775,1.0,,1.0,1.0,,,,1.0,2.0,,1.0,1.0,5.0,2.0,,1.0,,,1.0,,,2.0,1.0,1.0,,5.0,,,,0.5,0.4,0.4,0.2,,,0.2,1.0,1.0,,,,,0.2,,,,,,,24.8,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,0.5,0.5,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1713-201144-201188-203210,1610612763,"Andrew Harrison, Vince Carter, Mike Conley, Marc Gasol, JaMychal Green","Harrison, Carter, Conley, Gasol, Green",1626150-1713-201144-201188-203210,MEM,121.0,3,2.0,-7.0,3.0,5.0,,8,,1.0,1.0,7.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,95.20661157024794,,17.0,14.0,17.0,14.0,,0.3333333333333333,0.6666666666666666,0.4977666666666667,7.6,5.0,,,,,1.0,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,,23.55,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1713-201144-201188-2216,1610612763,"Andrew Harrison, Vince Carter, Mike Conley, Marc Gasol, Zach Randolph","Harrison, Carter, Conley, Gasol, Randolph",1626150-1713-201144-201188-2216,MEM,246.0,2,4.0,-6.0,7.0,7.0,2.0,14,1.0,2.0,5.0,10.0,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,,2.0,1.0,1.0,1.0,,,,,0.2,1.0,0.5,1.0,0.5,1.0,0.4,,1.0,,81.95121951219512,,22.142857142857142,13.0,19.428571428571427,12.142857142857142,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.46969999999999995,9.78,3.0,1.0,1.0,2.0,,2.0,,2.0,2.0,,4.0,,4.0,,,2.0,,,2.0,,,4.0,1.0,,,4.0,,,,0.4,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.5,0.5,0.2222222222222222,0.5,0.5,0.2222222222222222,,,,0.2222222222222222,,,,,,,24.2,1.0,,,,,,,1.0,,,,0.2493,,0.14285714285714285,,,,,,,,,,1.0,,4.0,,,2.0,,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,0.3333333333333333,0.5,,,,,,1.0,1.0,,,,,0.50265,,,,,2.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
