EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,ShootingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3FGM,FG3M,PtsUnassisted3s,NonHeaveArc3FGM,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,Fg2aBlocked,FTDefRebounds,Loose Ball Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,ShortMidRangeAssists,DefThreePtRebounds,Steals,LostBallSteals,LostBallTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,DefThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,PtsAssisted3s,ThreePtAssists,Arc3Assists,LongMidRangeAssists,BadPassSteals,Assisted3sPct,LongMidRangePctAssisted,Arc3PctAssisted,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,Corner3Assists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,BlockingFouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyFtPoints,Offensive Fouls,BlockedAtRim,DefAtRimReboundPct,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3A,BlockingFoulsDrawn,OffCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceArc3FGA,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,DefCorner3ReboundPct,SecondChanceArc3Frequency,Technical Free Throw Trips,StepOutOfBoundsTurnovers,Charge Fouls,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,NonShootingPenaltyNonTakeFouls,HeaveAttempts,Offensive Fouls Drawn,Travels,3SecondViolations,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,LongMidRangePctBlocked,Clear Path Fouls,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,Defensive 3 Seconds Violations,BlockedCorner3,FTOffRebounds,OffFTReboundPct,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101135-1627749-1627854-200746-203937,1610612759,"David Lee, Dejounte Murray, Bryn Forbes, LaMarcus Aldridge, Kyle Anderson","Lee, Murray, Forbes, Aldridge, Anderson",101135-1627749-1627854-200746-203937,SAS,214.0,2,4.0,2.0,6.0,6.0,1.0,12.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,4.0,10.0,8.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,5.0,1.0,1.0,10.0,0.3333333333333333,0.3333333333333333,0.6,0.5,0.625,0.16666666666666666,1.0,0.5,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,80.74766355140187,15.5,20.166666666666668,14.333333333333334,20.166666666666668,0.6666666666666666,0.5,0.5,0.5,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,0.8333333333333334,0.5909916666666667,0.4839,0.25,0.16666666666666666,0.5,3.34,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-1627854-201980-203473,1610612759,"David Lee, Dejounte Murray, Bryn Forbes, Danny Green, Dewayne Dedmon","Lee, Murray, Forbes, Green, Dedmon",101135-1627749-1627854-201980-203473,SAS,18.0,1,,2.0,1.0,1.0,,2.0,,,,,,,1.0,1.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,160.0,10.0,8.0,10.0,8.0,,,,,,,,,,,0.4261,,,,,17.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-1627854-202722-203937,1610612759,"David Lee, Dejounte Murray, Bryn Forbes, Davis Bertans, Kyle Anderson","Lee, Murray, Forbes, Bertans, Anderson",101135-1627749-1627854-202722-203937,SAS,174.0,2,3.0,-1.0,6.0,6.0,1.0,12.0,1.0,2.0,,,1.0,2.0,1.0,3.0,2.0,2.0,10.0,11.0,,2.0,,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,,3.0,3.0,1.0,,3.0,,1.0,10.0,1.0,1.0,0.3333333333333333,0.8,0.8333333333333334,0.4,1.0,0.5,,1.0,0.5,1.0,,,,99.3103448275862,15.0,14.0,14.5,14.0,0.4,0.5,0.5,1.0,0.2,,,0.4,,0.8,0.49227999999999994,,0.16666666666666666,,0.3333333333333333,3.466666666666667,25.1,,,,,,2.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-1627854-203473-203613,1610612759,"David Lee, Dejounte Murray, Bryn Forbes, Dewayne Dedmon, Jonathon Simmons","Lee, Murray, Forbes, Dedmon, Simmons",101135-1627749-1627854-203473-203613,SAS,61.0,1,1.0,2.0,2.0,3.0,,5.0,1.0,2.0,,,,,1.0,2.0,,,2.0,,,2.0,,,1.0,1.0,1.0,2.0,,,1.0,2.0,,2.0,,,,1.0,,,,,2.0,1.0,1.0,0.5,0.5,0.5,,1.0,,,1.0,,,,,,118.03278688524591,13.0,11.666666666666666,13.0,11.666666666666666,1.0,0.5,1.0,1.0,,,,,,1.0,0.6756,,,,,1.3,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-1938-200746-202695,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, LaMarcus Aldridge, Kawhi Leonard","Lee, Murray, Ginobili, Aldridge, Leonard",101135-1627749-1938-200746-202695,SAS,455.0,1,8.0,-11.0,15.0,15.0,4.0,30.0,5.0,8.0,2.0,1.0,4.0,3.0,6.0,13.0,3.0,,12.0,23.0,3.0,10.0,2.0,3.0,5.0,5.0,4.0,10.0,,3.0,3.0,4.0,3.0,7.0,,1.0,1.0,,,,,,6.0,0.8333333333333334,1.0,0.46153846153846156,0.375,0.375,0.1875,0.75,0.42857142857142855,,0.6666666666666666,0.3,0.3333333333333333,,1.0,,94.94505494505495,15.4,14.933333333333334,13.333333333333334,14.266666666666667,0.5,0.625,0.625,0.8,0.25,0.25,0.3333333333333333,0.1875,0.6666666666666666,0.6875,0.544009375,0.53205,,,,4.292307692307692,25.433333333333334,,1.0,0.0625,,,,,,,1.0,,1.0,,,,1.0,0.6666666666666666,,,,1.0,,,0.07692307692307693,,,2.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-1938-201980-202722,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, Danny Green, Davis Bertans","Lee, Murray, Ginobili, Green, Bertans",101135-1627749-1938-201980-202722,SAS,184.0,2,3.0,-4.0,6.0,7.0,,13.0,2.0,2.0,,,,2.0,3.0,3.0,2.0,,9.0,13.0,,4.0,2.0,2.0,2.0,3.0,1.0,7.0,,,,,,,,1.0,2.0,,,,,,9.0,0.6666666666666666,0.6666666666666666,1.0,0.9,0.9,0.4,,,,,,,,,,101.7391304347826,14.166666666666666,14.142857142857142,14.166666666666666,14.142857142857142,0.4,1.0,1.0,0.5,,,,0.4,,0.8,0.61632,,,,,6.5,25.4,1.0,1.0,0.2,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.5,0.5,1.0,,0.5,0.5,0.5,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-1938-201988-203937,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, Patty Mills, Kyle Anderson","Lee, Murray, Ginobili, Mills, Anderson",101135-1627749-1938-201988-203937,SAS,289.0,1,5.0,-10.0,10.0,9.0,2.0,19.0,2.0,2.0,1.0,,2.0,,2.0,7.0,1.0,,7.0,17.0,1.0,4.0,,,2.0,3.0,2.0,7.0,,1.0,,3.0,1.0,4.0,,2.0,2.0,1.0,,,,,2.0,1.0,1.0,0.2857142857142857,0.4375,0.4375,0.125,,0.2,,1.0,0.2,,,,,94.67128027681662,18.5,11.555555555555555,15.7,11.555555555555555,0.25,1.0,1.0,1.0,0.25,,,,0.5,0.375,0.4868125,0.52405,,,,9.0,24.3,,3.0,0.375,,,,1.0,,,2.0,,3.0,,1.0,1.0,0.6666666666666666,,,,,,2.0,,,,1.0,1.0,1.0,5.0,,,1.0,,,2.0,,,,,1.0,1.25,1.25,,1.0,0.5,,1.0,,,1.0,1.0,0.7142857142857143,3.0,1.0,,,,1.0,,,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.833,0.2857142857142857,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-1938-202695-203473,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, Kawhi Leonard, Dewayne Dedmon","Lee, Murray, Ginobili, Leonard, Dedmon",101135-1627749-1938-202695-203473,SAS,331.0,1,6.0,-3.0,13.0,12.0,2.0,25.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,5.0,4.0,4.0,11.0,14.0,1.0,4.0,,3.0,2.0,3.0,1.0,7.0,,1.0,2.0,4.0,1.0,5.0,,1.0,2.0,2.0,,4.0,2.0,,9.0,1.0,1.0,0.4,0.3888888888888889,0.5,0.4444444444444444,1.0,0.3333333333333333,,1.0,0.16666666666666666,,,,,108.76132930513596,13.384615384615385,13.083333333333334,12.076923076923077,13.083333333333334,0.2222222222222222,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5030666666666667,0.5533,0.18181818181818182,0.2857142857142857,,4.16,25.15,,,,,,1.0,1.0,,1.0,2.0,1.0,3.0,1.0,0.25,0.25,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,1.0,1.0,2.0,,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,0.5,,1.0,1.0,1.0,1.0,1.0,0.18181818181818182,3.0,1.0,1.0,,1.0,1.0,,1.0,4.0,,,,,1.0,,,,,1.0,3.0,4.0,,,1.0,1.0,,4.0,4.0,,0.3333333333333333,0.3333333333333333,0.5,0.1111111111111111,,,,,,,,,0.39209999999999995,0.36363636363636365,0.3076923076923077,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-1938-202722-203613,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, Davis Bertans, Jonathon Simmons","Lee, Murray, Ginobili, Bertans, Simmons",101135-1627749-1938-202722-203613,SAS,228.0,1,4.0,-1.0,9.0,8.0,1.0,17.0,2.0,2.0,,1.0,1.0,1.0,3.0,3.0,2.0,1.0,7.0,8.0,,4.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,,,1.0,1.0,2.0,,1.0,3.0,1.0,,2.0,1.0,,6.0,0.6666666666666666,0.6666666666666666,1.0,0.6,0.5833333333333334,0.4,,,0.5,0.5,0.5,,,,,107.36842105263159,13.11111111111111,13.75,12.88888888888889,13.75,0.4,1.0,1.0,1.0,0.2,1.0,1.0,0.2,,0.8,0.55614,,0.16666666666666666,0.25,,2.433333333333333,24.75,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,1.0,,1.0,1.0,1.0,,,,0.5,,1.0,,,1.0,,,,,0.14285714285714285,,,,,1.0,,,,5.0,4.0,1.0,1.0,,1.0,,,,,1.0,1.0,3.0,,1.0,3.0,1.0,,3.0,5.0,,1.0,0.3333333333333333,0.375,0.2,,,,,,,0.3333333333333333,1.0,0.5838666666666666,0.42857142857142855,0.5555555555555556,1.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-1938-203473-203613,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, Dewayne Dedmon, Jonathon Simmons","Lee, Murray, Ginobili, Dedmon, Simmons",101135-1627749-1938-203473-203613,SAS,18.0,1,,-1.0,1.0,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,160.0,1.0,17.0,1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
