EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Arc3FGM,Arc3FGA,FG2M,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,HeaveAttempts,Corner3Assists,PenaltyTurnovers,Charge Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,ThreePtShootingFoulsDrawn,PenaltyFg2Pct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,BlockingFouls,DefCorner3ReboundPct,PtsPutbacks,NonShootingPenaltyNonTakeFouls,Offensive Fouls,DefLongMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,OffCorner3ReboundPct,NonShootingFoulsDrawn,Blocked3s,BlockedCorner3,NonShootingPenaltyNonTakeFoulsDrawn,StepOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,Defensive 3 Seconds Violations,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SelfOReb,LostBallOutOfBoundsTurnovers,OffShortMidRangeReboundPct,SelfORebPct,Travels,FTDefRebounds,ShortMidRangePctBlocked,DefFTReboundPct,DefensiveGoaltends,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,SecondChanceAtRimPctAssisted,Charge Fouls,SecondChanceCorner3FGA,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,BlockedArc3,3SecondViolations,FTOffRebounds,OffFTReboundPct,Technical Free Throw Trips,BlockedLongMidRange,OffensiveGoaltends,LongMidRangePctBlocked,SecondChanceCorner3FGM,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,HeaveMakes,Clear Path Fouls,team_id,year,season,team_vs
101150-101181-1626204-1627742-2736,1610612747,"Lou Williams, Jose Calderon, Larry Nance Jr., Brandon Ingram, Luol Deng","Williams, Calderon, Nance Jr., Ingram, Deng",101150-101181-1626204-1627742-2736,LAL,74.0,1,1.0,-2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,0.5,77.83783783783784,18.0,19.0,18.0,19.0,1.0,0.392,0.5,0.5,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2017,2016-17,True
101150-101181-1626204-203903-204028,1610612747,"Lou Williams, Jose Calderon, Larry Nance Jr., Jordan Clarkson, Tarik Black","Williams, Calderon, Nance Jr., Clarkson, Black",101150-101181-1626204-203903-204028,LAL,496.0,3,8.0,6.0,16.0,17.0,,33.0,4.0,10.0,2.0,22.0,16.0,2.0,3.0,2.0,20.0,0.7333333333333333,95.80645161290322,14.0625,15.941176470588236,13.875,14.470588235294118,0.2857142857142857,0.4666464285714286,0.13333333333333333,0.18181818181818182,10.809999999999999,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,7.0,2.0,4.0,1.0,1.0,2.0,8.0,6.0,3.0,3.0,4.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,11.0,1.0,1.0,2.0,4.0,6.0,2.0,8.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,0.5714285714285714,0.5714285714285714,0.5,0.5,0.5,0.7,1.0,0.7142857142857143,1.0,1.0,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.5,0.6,0.4,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14285714285714285,1.0,1.0,0.5,0.2857142857142857,0.75,0.75,0.3333333333333333,0.5,0.5,1.0,0.2857142857142857,0.5,0.5,0.5,0.42857142857142855,0.5,0.09090909090909091,26.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2017,2016-17,True
101150-101181-1627742-202389-203903,1610612747,"Lou Williams, Jose Calderon, Brandon Ingram, Timofey Mozgov, Jordan Clarkson","Williams, Calderon, Ingram, Mozgov, Clarkson",101150-101181-1627742-202389-203903,LAL,13.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2017,2016-17,True
101150-101181-1627742-203080-204028,1610612747,"Lou Williams, Jose Calderon, Brandon Ingram, Thomas Robinson, Tarik Black","Williams, Calderon, Ingram, Robinson, Black",101150-101181-1627742-203080-204028,LAL,228.0,1,4.0,3.0,7.0,8.0,3.0,15.0,2.0,4.0,1.0,13.0,10.0,3.0,1.0,1.0,13.0,0.9285714285714286,94.73684210526316,12.857142857142858,17.25,12.857142857142858,14.875,0.2857142857142857,0.490175,0.14285714285714285,0.25,10.7,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,,,,,6.0,6.0,,1.0,1.0,,2.0,2.0,1.0,,,,6.0,,,1.0,2.0,3.0,,3.0,,,1.0,,,1.0,1.0,,2.0,3.0,1.0,2.0,2.0,,2.0,,,,1.0,0.6666666666666666,1.0,0.75,,0.8571428571428571,,,0.42857142857142855,1.0,0.5,,0.5,,0.5,,,,0.3333333333333333,1.0,0.5,,0.14285714285714285,1.0,1.0,,0.14285714285714285,1.0,1.0,,0.5,0.5,,0.2857142857142857,0.5,0.5,1.0,0.5714285714285714,1.0,,33.43333333333333,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,0.5,0.75,0.75,0.14285714285714285,1.0,1.0,1.0,0.5,1.0,0.5,0.5691,0.23076923076923078,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2017,2016-17,True
101150-101181-1627742-203903-204028,1610612747,"Lou Williams, Jose Calderon, Brandon Ingram, Jordan Clarkson, Tarik Black","Williams, Calderon, Ingram, Clarkson, Black",101150-101181-1627742-203903-204028,LAL,197.0,1,3.0,,9.0,7.0,,16.0,2.0,6.0,,6.0,6.0,,,,6.0,0.42857142857142855,116.95431472081219,12.88888888888889,11.571428571428571,12.88888888888889,11.571428571428571,0.2857142857142857,0.6465142857142857,,,6.95,,2.0,3.0,,1.0,1.0,,1.0,3.0,,1.0,,,,6.0,,,,1.0,,3.0,,3.0,,2.0,,1.0,6.0,,,,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,0.5,,0.42857142857142855,,,0.14285714285714285,0.5,1.0,,,,1.0,,,,1.0,1.0,,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.14285714285714285,,,,0.5,0.5,1.0,0.14285714285714285,,,,0.5714285714285714,,,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2017,2016-17,True
101150-101181-1627742-203944-204028,1610612747,"Lou Williams, Jose Calderon, Brandon Ingram, Julius Randle, Tarik Black","Williams, Calderon, Ingram, Randle, Black",101150-101181-1627742-203944-204028,LAL,29.0,1,,1.0,2.0,1.0,1.0,3.0,,,1.0,1.0,,1.0,2.0,1.0,1.0,0.25,148.9655172413793,8.5,12.0,2.5,12.0,,0.537,0.5,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2017,2016-17,True
101150-101181-1627742-204028-2736,1610612747,"Lou Williams, Jose Calderon, Brandon Ingram, Tarik Black, Luol Deng","Williams, Calderon, Ingram, Black, Deng",101150-101181-1627742-204028-2736,LAL,48.0,1,1.0,-2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,2.0,,,,,,60.0,25.0,23.0,25.0,12.0,1.0,0.3731,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2017,2016-17,True
101150-101181-1627826-201156-2736,1610612747,"Lou Williams, Jose Calderon, Ivica Zubac, Nick Young, Luol Deng","Williams, Calderon, Zubac, Young, Deng",101150-101181-1627826-201156-2736,LAL,148.0,2,2.0,,6.0,5.0,,11.0,4.0,5.0,,2.0,2.0,,,,2.0,0.16666666666666666,107.02702702702702,11.666666666666666,15.6,11.666666666666666,11.8,0.6666666666666666,0.4362249999999999,,,14.040000000000001,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,3.0,3.0,,3.0,1.0,1.0,,,,,,,1.0,2.0,,1.0,1.0,,1.0,1.0,,,,,,0.2,,0.16666666666666666,,,0.16666666666666666,,1.0,,,,0.75,,,,1.0,1.0,,1.0,,,,,0.16666666666666666,,,,0.25,0.25,,0.16666666666666666,,,,0.16666666666666666,,,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2017,2016-17,True
101150-101181-1627826-203903-203944,1610612747,"Lou Williams, Jose Calderon, Ivica Zubac, Jordan Clarkson, Julius Randle","Williams, Calderon, Zubac, Clarkson, Randle",101150-101181-1627826-203903-203944,LAL,64.0,1,1.0,6.0,3.0,2.0,,5.0,,1.0,1.0,6.0,,2.0,4.0,1.0,6.0,1.0,112.5,12.333333333333334,13.5,12.333333333333334,13.5,,0.55795,0.6666666666666666,1.0,1.6,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,2.0,,3.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,5.0,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.25,,,0.5,,1.0,,,,1.0,,,,,1.0,,1.0,0.5,1.0,1.0,1.0,,,,,,,,0.5,1.0,1.0,1.0,1.0,1.0,,24.9,2.0,,,,,1.0,1.0,1.0,6.0,,,,,6.0,2.0,1.0,1.25,1.5,,,,,,,0.5,0.55795,1.0,0.6666666666666666,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2017,2016-17,True
101150-101181-1627826-203903-204028,1610612747,"Lou Williams, Jose Calderon, Ivica Zubac, Jordan Clarkson, Tarik Black","Williams, Calderon, Zubac, Clarkson, Black",101150-101181-1627826-203903-204028,LAL,535.0,2,9.0,5.0,20.0,20.0,,40.0,1.0,10.0,2.0,26.0,21.0,3.0,2.0,1.0,26.0,0.7222222222222222,107.66355140186917,11.6,15.15,11.6,15.05,0.058823529411764705,0.48005588235294117,0.05555555555555555,0.09090909090909091,7.859999999999999,,1.0,4.0,5.0,5.0,,4.0,6.0,6.0,4.0,7.0,,,,6.0,6.0,3.0,9.0,6.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,,9.0,,,1.0,6.0,7.0,,7.0,1.0,,2.0,1.0,,1.0,2.0,,1.0,2.0,,2.0,1.0,1.0,2.0,2.0,0.5,0.5,0.25,0.5714285714285714,0.5714285714285714,0.6,,0.7058823529411765,,,0.4117647058823529,1.0,0.75,,1.0,,0.7777777777777778,,,,0.8333333333333334,1.0,1.0,1.0,0.23529411764705882,0.25,0.5,1.0,0.29411764705882354,1.0,1.0,0.4,,,,0.35294117647058826,0.6666666666666666,0.6666666666666666,0.25,0.6470588235294118,0.6666666666666666,,25.271428571428572,,,1.0,,,,,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2017,2016-17,True
