EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,Fouls,Loose Ball Fouls,FoulsDrawn,Charge Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,LongMidRangeFGM,SecondChanceFG2A,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,DeadBallTurnovers,Turnovers,Charge Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceShotQualityAvg,PlusMinus,Fg2aBlocked,ShootingFouls,FG2APctBlocked,AtRimPctBlocked,AtRimAssists,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,AtRimPctAssisted,DefAtRimReboundPct,LostBallTurnovers,OffThreePtRebounds,BlockingFouls,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,OffThreePtReboundPct,OffCorner3ReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,FtPoints,PenaltyFtPoints,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,Arc3FGM,FG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,PenaltyFG2A,DefThreePtRebounds,DefThreePtReboundPct,DefCorner3ReboundPct,PenaltyShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffArc3ReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,ShortMidRangeAssists,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,ShortMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,Arc3Assists,Arc3PctAssisted,PenaltyDefPoss,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,DefFTReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,BlockedLongMidRange,SecondChanceTurnovers,Offensive Fouls,OffShortMidRangeReboundPct,Fg3aBlocked,LostBallSteals,FG3APctBlocked,Corner3PctBlocked,LongMidRangePctBlocked,PenaltyAtRimFGM,SecondChanceArc3FGA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,Travels,SecondChanceFtPoints,Offensive Fouls Drawn,Defensive 3 Seconds Violations,Arc3PctBlocked,SecondChanceAtRimPctAssisted,3SecondViolations,ShortMidRangePctBlocked,DefensiveGoaltends,PenaltyArc3FGM,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,Clear Path Fouls,OffensiveGoaltends,LostBallOutOfBoundsTurnovers,HeaveAttempts,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
1626153-1626181-200768-200782-201586,1610612761,"Delon Wright, Norman Powell, Kyle Lowry, PJ Tucker, Serge Ibaka","Wright, Powell, Lowry, Tucker, Ibaka",1626153-1626181-200768-200782-201586,TOR,206.0,1,3.0,5.0,6.0,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.3333333333333333,0.2,0.2,0.4,0.42857142857142855,0.3333333333333333,0.75,76.89320388349515,0.5,11.8,24.5,11.8,18.166666666666668,0.2,1.0,1.0,0.2,0.2,0.2,0.2,0.6,0.51259,10.733333333333334,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1626181-200768-200782-202335,1610612761,"Delon Wright, Norman Powell, Kyle Lowry, PJ Tucker, Patrick Patterson","Wright, Powell, Lowry, Tucker, Patterson",1626153-1626181-200768-200782-202335,TOR,120.0,1,2.0,4.0,5.0,9,,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,2.0,2.0,,,2.0,2.0,3.0,1.0,1.0,1.0,,1.0,,,,,,,2.0,0.3333333333333333,0.25,0.25,0.25,1.0,1.0,,108.0,,13.0,13.6,8.25,13.6,0.25,,,0.25,0.25,0.25,,0.5,0.5661125,9.066666666666666,22.6,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.4554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1626181-200782-201586-202335,1610612761,"Delon Wright, Norman Powell, PJ Tucker, Serge Ibaka, Patrick Patterson","Wright, Powell, Tucker, Ibaka, Patterson",1626153-1626181-200782-201586-202335,TOR,112.0,1,2.0,3.0,3.0,6,,1.0,,2.0,,,1.0,3.0,,2.0,8.0,2.0,,,,,,,1.0,,,,,,,,,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,77.14285714285714,,17.0,20.333333333333332,17.0,20.333333333333332,0.3333333333333333,,,,0.6666666666666666,,,0.3333333333333333,0.37506666666666666,14.466666666666667,,,1.0,,,,,,,,,,,,,,,,,,0.5,0.5,,,-6.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1626181-200782-201960-202335,1610612761,"Delon Wright, Norman Powell, PJ Tucker, DeMarre Carroll, Patrick Patterson","Wright, Powell, Tucker, Carroll, Patterson",1626153-1626181-200782-201960-202335,TOR,137.0,1,2.0,4.0,4.0,8,2.0,3.0,,,,,2.0,3.0,,4.0,7.0,2.0,,1.0,1.0,1.0,,,2.0,,1.0,,,,,,,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1.0,1.0,,84.08759124087592,,16.75,17.5,16.75,17.5,1.0,0.6666666666666666,0.6666666666666666,,,,,1.0,0.49993333333333334,2.1,,,,,2.0,1.0,1.0,,2.0,,,,1.0,,0.5,0.5,,,,1.0,,,,,-3.0,,1.0,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1626181-201942-201960-202335,1610612761,"Delon Wright, Norman Powell, DeMar DeRozan, DeMarre Carroll, Patrick Patterson","Wright, Powell, DeRozan, Carroll, Patterson",1626153-1626181-201942-201960-202335,TOR,85.0,1,1.0,3.0,3.0,6,1.0,1.0,,1.0,,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,,1.0,1.0,,1.0,,4.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,101.6470588235294,,10.333333333333334,18.0,10.333333333333334,17.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,,0.3333333333333333,0.6666666666666666,0.6135166666666666,10.75,25.4,,1.0,,2.0,1.0,1.0,,2.0,,,,,,0.5,0.5,,,,,1.0,1.0,,,2.0,,,,,1.0,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1627751-200768-201942-202335,1610612761,"Delon Wright, Jakob Poeltl, Kyle Lowry, DeMar DeRozan, Patrick Patterson","Wright, Poeltl, Lowry, DeRozan, Patterson",1626153-1627751-200768-201942-202335,TOR,25.0,1,,1.0,1.0,2,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,115.19999999999999,,10.0,15.0,10.0,15.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,-2.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1627751-200768-202335-202709,1610612761,"Delon Wright, Jakob Poeltl, Kyle Lowry, Patrick Patterson, Cory Joseph","Wright, Poeltl, Lowry, Patterson, Joseph",1626153-1627751-200768-202335-202709,TOR,156.0,1,3.0,4.0,4.0,8,1.0,2.0,2.0,,1.0,,1.0,4.0,1.0,2.0,7.0,2.0,,1.0,1.0,2.0,,,1.0,,3.0,,,,,,,2.0,0.25,0.2,0.2,0.2,1.0,1.0,,73.84615384615384,,26.25,12.75,21.75,12.75,0.4,0.5,0.5,0.4,,0.2,,0.6,0.53359,4.625,24.0,1.0,,1.0,,,,,,,1.0,,,,,,,0.25,,,,,,,-5.0,,,,,,,,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-200768-200782-201586-201942,1610612761,"Delon Wright, Kyle Lowry, PJ Tucker, Serge Ibaka, DeMar DeRozan","Wright, Lowry, Tucker, Ibaka, DeRozan",1626153-200768-200782-201586-201942,TOR,112.0,2,2.0,4.0,4.0,8,,,,2.0,,1.0,1.0,2.0,1.0,4.0,4.0,,1.0,2.0,2.0,2.0,,,2.0,,3.0,,1.0,,1.0,1.0,1.0,4.0,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,102.85714285714286,1.0,14.25,13.75,14.25,13.75,,,,,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.40923333333333334,20.2,25.2,,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,0.5,0.5,1.0,,,,1.0,,,,,,,,1.0,,,,,2.0,,1.0,,,0.25,0.3333333333333333,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-200768-200782-201586-202335,1610612761,"Delon Wright, Kyle Lowry, PJ Tucker, Serge Ibaka, Patrick Patterson","Wright, Lowry, Tucker, Ibaka, Patterson",1626153-200768-200782-201586-202335,TOR,119.0,1,2.0,4.0,3.0,7,,1.0,,,1.0,1.0,,1.0,2.0,6.0,4.0,,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,6.0,,1.0,1.0,0.6666666666666666,0.5,0.5,,84.70588235294117,,15.0,19.666666666666668,15.0,17.666666666666668,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,1.0,0.6145833333333334,1.0,24.55,,,,,,1.0,,3.0,,,,1.0,,,,,,,,,,,,2.0,,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-200768-200782-202335-202685,1610612761,"Delon Wright, Kyle Lowry, PJ Tucker, Patrick Patterson, Jonas Valanciunas","Wright, Lowry, Tucker, Patterson, Valanciunas",1626153-200768-200782-202335-202685,TOR,123.0,1,2.0,4.0,4.0,8,1.0,1.0,,1.0,,,1.0,2.0,,2.0,2.0,,,,,,1.0,1.0,,,1.0,,,,,,,2.0,0.5,0.5,0.5,,,,,93.65853658536587,,19.0,11.75,19.0,11.75,0.5,1.0,1.0,,0.5,,,0.5,0.57155,7.1,,,,,2.0,1.0,1.0,,2.0,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,1.0,2.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
