EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,DefArc3ReboundPct,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,FTDefRebounds,FoulsDrawn,DefFTReboundPct,SecondChanceOffPoss,ShortMidRangeFGM,Arc3FGM,PenaltyArc3FGM,FtPoints,PenaltyFtPoints,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,DeadBallTurnovers,Travels,PenaltyTurnovers,Charge Fouls,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,BlockedAtRim,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,FG3APctBlocked,Arc3PctBlocked,OffShortMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,FTOffRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,BlockingFouls,Loose Ball Fouls,Charge Fouls Drawn,Blocked3s,BlockedArc3,BlockedCorner3,RecoveredBlocks,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,BlockedLongMidRange,SecondChanceArc3FGM,SecondChanceFtPoints,StepOutOfBoundsTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,OffArc3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctBlocked,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,HeaveAttempts,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101106-101114-1626147-1627827-203084,1610612742,"Andrew Bogut, Deron Williams, Justin Anderson, Dorian Finney-Smith, Harrison Barnes","Bogut, Williams, Anderson, Finney-Smith, Barnes",101106-101114-1626147-1627827-203084,DAL,160.0,1,3.0,3.0,7.0,7.0,14.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,6.0,3.0,6.0,1.0,4.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,0.6,0.6,0.6,1.0,0.8,1.0,0.8333333333333334,0.5,1.0,1.0,126.0,10.0,12.857142857142858,10.0,12.428571428571429,0.2,1.0,1.0,0.2,0.6,0.6666666666666666,0.6666666666666666,0.2,0.46900000000000003,13.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,True
101106-101114-1626147-1717-203552,1610612742,"Andrew Bogut, Deron Williams, Justin Anderson, Dirk Nowitzki, Seth Curry","Bogut, Williams, Anderson, Nowitzki, Curry",101106-101114-1626147-1717-203552,DAL,142.0,1,2.0,,4.0,5.0,9.0,1.0,1.0,,,,1.0,1.0,8.0,8.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,8.0,1.0,1.0,1.0,,,1.0,1.0,,,,91.26760563380282,16.0,15.6,16.0,15.6,0.25,1.0,1.0,,,,,1.0,0.636775,0.1,4.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,8.0,2.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,8.0,8.0,4.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.25,0.25,1.0,0.5,1.0,0.25,0.636775,1.0,24.333333333333332,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,True
101106-101114-1626147-200826-202083,1610612742,"Andrew Bogut, Deron Williams, Justin Anderson, J.J. Barea, Wesley Matthews","Bogut, Williams, Anderson, Barea, Matthews",101106-101114-1626147-200826-202083,DAL,5.0,1,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,288.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,True
101106-101114-1626147-202083-203084,1610612742,"Andrew Bogut, Deron Williams, Justin Anderson, Wesley Matthews, Harrison Barnes","Bogut, Williams, Anderson, Matthews, Barnes",101106-101114-1626147-202083-203084,DAL,1155.0,8,19.0,5.0,39.0,38.0,77.0,9.0,11.0,2.0,3.0,7.0,13.0,20.0,44.0,39.0,12.0,5.0,7.0,12.0,13.0,3.0,1.0,2.0,8.0,5.0,9.0,2.0,,2.0,44.0,0.65,0.6785714285714286,0.671875,0.375,0.5384615384615384,0.8333333333333334,0.631578947368421,0.75,0.75,1.0,96.0,12.692307692307692,17.36842105263158,12.666666666666666,17.236842105263158,0.39285714285714285,0.8181818181818182,0.9,0.07142857142857142,0.25,0.42857142857142855,0.42857142857142855,0.6785714285714286,0.5660375,7.45,7.0,10.0,2.0,2.0,,2.0,,1.0,6.0,1.0,4.0,8.0,2.0,2.0,1.0,2.0,10.0,14.0,6.0,6.0,7.0,2.0,9.0,,5.0,20.0,10.0,7.0,0.5384615384615384,0.5384615384615384,0.5,0.5,0.5,0.5,1.0,0.875,0.8333333333333334,0.2857142857142857,0.8,0.5555555555555556,0.07142857142857142,,,,0.21428571428571427,0.5,1.0,0.25,,0.25,0.677725,0.22727272727272727,24.675,0.1794871794871795,,8.0,,1.0,1.0,4.0,1.0,6.0,3.0,6.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,0.05,0.09090909090909091,0.14285714285714285,0.09090909090909091,0.5,0.2,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.15625,0.17391304347826086,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,True
101106-101114-1626147-203084-203552,1610612742,"Andrew Bogut, Deron Williams, Justin Anderson, Harrison Barnes, Seth Curry","Bogut, Williams, Anderson, Barnes, Curry",101106-101114-1626147-203084-203552,DAL,382.0,4,6.0,14.0,11.0,12.0,23.0,2.0,2.0,3.0,,1.0,4.0,6.0,16.0,2.0,6.0,2.0,7.0,9.0,10.0,,,,2.0,1.0,3.0,,,,16.0,0.6666666666666666,0.5714285714285714,0.7272727272727273,,0.7777777777777778,1.0,0.8181818181818182,1.0,0.6,,86.70157068062828,12.727272727272727,20.166666666666668,12.545454545454545,17.0,0.2857142857142857,1.0,1.0,0.42857142857142855,0.14285714285714285,,,0.42857142857142855,0.5224857142857143,8.033333333333333,,1.0,,,,,,,1.0,,,1.0,,,,,,2.0,,1.0,1.0,,1.0,,1.0,2.0,,,0.25,0.25,,,,,,,,0.14285714285714285,1.0,0.5,,,,,0.14285714285714285,,,,,,,,27.8,,,5.0,,1.0,2.0,,,8.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,9.0,,,3.0,1.0,,,,,,0.5,0.3333333333333333,,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,0.36363636363636365,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,True
101106-101114-1626147-203084-2734,1610612742,"Andrew Bogut, Deron Williams, Justin Anderson, Harrison Barnes, Devin Harris","Bogut, Williams, Anderson, Barnes, Harris",101106-101114-1626147-203084-2734,DAL,222.0,2,4.0,-1.0,6.0,7.0,13.0,2.0,2.0,1.0,1.0,2.0,3.0,5.0,6.0,7.0,6.0,,4.0,4.0,4.0,,,,,,,,,,6.0,0.6,0.6,0.6,,0.8,,0.6666666666666666,1.0,1.0,,84.32432432432432,11.0,22.285714285714285,11.0,20.142857142857142,0.4,1.0,1.0,0.2,0.4,0.5,0.5,0.4,0.46726,9.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,True
101106-101114-1626780-1627852-203084,1610612742,"Andrew Bogut, Deron Williams, Jonathan Gibson, Nicolas Brussino, Harrison Barnes","Bogut, Williams, Gibson, Brussino, Barnes",101106-101114-1626780-1627852-203084,DAL,34.0,1,1.0,2.0,1.0,1.0,2.0,,,,,,,,2.0,,,1.0,,1.0,1.0,,,,,,,,,,2.0,,,1.0,,,1.0,1.0,,,,84.70588235294117,8.0,26.0,8.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,True
101106-101114-1627827-202083-203084,1610612742,"Andrew Bogut, Deron Williams, Dorian Finney-Smith, Wesley Matthews, Harrison Barnes","Bogut, Williams, Finney-Smith, Matthews, Barnes",101106-101114-1627827-202083-203084,DAL,4122.0,11,69.0,-22.0,122.0,124.0,246.0,19.0,36.0,20.0,8.0,31.0,35.0,87.0,127.0,149.0,36.0,21.0,22.0,43.0,59.0,7.0,3.0,4.0,16.0,7.0,20.0,4.0,1.0,6.0,118.0,0.40229885057471265,0.45454545454545453,0.516260162601626,0.4375,0.7857142857142857,0.6774193548387096,0.7288135593220338,0.6666666666666666,0.8333333333333334,0.6666666666666666,85.93886462882095,15.967213114754099,17.532258064516128,15.12295081967213,16.25,0.32727272727272727,0.5277777777777778,0.6333333333333333,0.18181818181818182,0.2818181818181818,0.25806451612903225,0.25806451612903225,0.5363636363636364,0.4981790909090909,9.093103448275862,8.0,,2.0,3.0,4.0,6.0,,,17.0,1.0,10.0,23.0,2.0,5.0,,1.0,9.0,34.0,30.0,17.0,17.0,10.0,27.0,4.0,11.0,64.0,9.0,8.0,0.4857142857142857,0.5,1.0,0.43478260869565216,,0.43478260869565216,0.4,0.3333333333333333,0.5,0.20909090909090908,0.6842105263157895,0.5789473684210527,0.05454545454545454,0.6666666666666666,0.6666666666666666,1.0,0.15454545454545454,0.5,0.6666666666666666,,,0.16666666666666666,0.47864166666666663,0.07086614173228346,24.434782608695652,0.06557377049180328,,29.0,,12.0,8.0,6.0,,27.0,5.0,,6.0,6.0,6.0,3.0,3.0,13.0,16.0,9.0,6.0,9.0,1.0,,1.0,4.0,1.0,34.0,8.0,,21.0,,3.0,1.0,,0.06896551724137931,0.16666666666666666,0.25,0.2153846153846154,0.23529411764705882,0.8571428571428571,0.4,0.4,0.375,0.375,0.35294117647058826,0.35294117647058826,1.0,,0.35294117647058826,0.17073170731707318,0.21,,,4.0,1.0,,,0.4166666666666667,2.0,7.0,1.0,1.0,1.0,3.0,13.0,1.0,2.0,9.0,2.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,0.5,0.23076923076923078,0.3,0.3,0.5,0.07692307692307693,0.17391304347826086,0.5,0.06779661016949153,0.8333333333333334,0.4666666666666667,0.2857142857142857,0.5,0.06666666666666667,1.0,1.0,0.06666666666666667,0.5305785714285715,0.07086614173228346,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,True
101106-101114-1627827-202083-203939,1610612742,"Andrew Bogut, Deron Williams, Dorian Finney-Smith, Wesley Matthews, Dwight Powell","Bogut, Williams, Finney-Smith, Matthews, Powell",101106-101114-1627827-202083-203939,DAL,369.0,3,6.0,-10.0,12.0,11.0,23.0,,2.0,1.0,,4.0,1.0,7.0,4.0,14.0,2.0,2.0,1.0,5.0,5.0,2.0,2.0,,2.0,3.0,3.0,1.0,,1.0,4.0,0.14285714285714285,0.1111111111111111,0.2,1.0,1.0,0.5,0.6,,,1.0,89.7560975609756,14.916666666666666,17.272727272727273,14.916666666666666,16.727272727272727,0.2222222222222222,,,0.1111111111111111,0.4444444444444444,,,0.4444444444444444,0.4414166666666667,11.6,2.0,,,1.0,,1.0,,,1.0,,,2.0,,1.0,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,0.2222222222222222,0.3333333333333333,,0.1111111111111111,,,,0.1111111111111111,1.0,,,,,0.3626,,23.25,0.16666666666666666,2.0,1.0,1.0,,1.0,,,2.0,,,,1.0,,,,,,1.0,1.0,,,1.0,,,,2.0,,,1.0,,1.0,1.0,,0.14285714285714285,0.5,,,,1.0,1.0,1.0,,,,,,,,0.1,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,True
101106-101114-1627827-203084-203552,1610612742,"Andrew Bogut, Deron Williams, Dorian Finney-Smith, Harrison Barnes, Seth Curry","Bogut, Williams, Finney-Smith, Barnes, Curry",101106-101114-1627827-203084-203552,DAL,302.0,2,5.0,-8.0,8.0,10.0,18.0,1.0,2.0,1.0,,2.0,1.0,5.0,2.0,10.0,,1.0,3.0,4.0,4.0,1.0,1.0,,1.0,1.0,2.0,,,,2.0,0.2,0.14285714285714285,0.14285714285714285,1.0,0.75,1.0,0.8,,0.75,,85.82781456953643,15.625,17.7,15.625,17.3,0.2857142857142857,0.5,0.5,0.14285714285714285,0.2857142857142857,,,0.5714285714285714,0.5255428571428571,9.48,,,,,,1.0,,,1.0,,,2.0,,,,,,2.0,,1.0,1.0,,1.0,,1.0,2.0,,,1.0,1.0,,,,,,,,0.2857142857142857,1.0,1.0,0.14285714285714285,,,,0.14285714285714285,,,,,,,,24.15,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,True
