EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,FtPoints,Points,OpponentPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PlusMinus,PenaltyOffPoss,SecondChanceOffPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Travels,Turnovers,Fouls,Loose Ball Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceFtPoints,PtsUnassisted2s,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,ShootingFouls,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGA,SecondChanceAtRimFrequency,PenaltyDefPoss,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceTurnovers,PenaltyTurnovers,OffShortMidRangeReboundPct,NonShootingPenaltyNonTakeFouls,Corner3FGM,Corner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,Corner3Assists,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Offensive Fouls,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,FTDefRebounds,SecondChanceFg3Pct,DefFTReboundPct,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffAtRimReboundPct,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FTOffRebounds,Charge Fouls,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallSteals,2pt And 1 Free Throw Trips,DefensiveGoaltends,LongMidRangePctBlocked,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,Offensive Fouls Drawn,BlockingFouls,Clear Path Fouls,BlockedShortMidRange,OffCorner3ReboundPct,BlockingFoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,HeaveMakes,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,Arc3PctBlocked,OffensiveGoaltends,3SecondViolations,BlockedCorner3,team_id,year,season,team_vs
101108-101109-101138-200755-201578,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, JJ Redick, Marreese Speights","Paul, Felton, Bass, Redick, Speights",101108-101109-101138-200755-201578,LAC,39.0,1,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,73.84615384615384,21.0,18.0,21.0,18.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-101138-201578-2037,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, Marreese Speights, Jamal Crawford","Paul, Felton, Bass, Speights, Crawford",101108-101109-101138-201578-2037,LAC,150.0,2,2.0,6.0,5.0,11.0,,4.0,7.0,,,,2.0,0.4,105.6,12.833333333333334,14.6,9.666666666666666,14.6,,,-3.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,0.5,0.4,1.0,0.5,1.0,0.5,0.2,1.0,1.0,1.0,0.2,0.6,0.6666666666666666,0.6666666666666666,1.0,0.2,0.2,0.40495,0.368,0.4065,0.5,0.5,15.925,25.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-101138-201599-2037,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, DeAndre Jordan, Jamal Crawford","Paul, Felton, Bass, Jordan, Crawford",101108-101109-101138-201599-2037,LAC,40.0,1,1.0,2.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,108.0,15.5,9.0,15.5,9.0,0.5,0.5,2.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,0.402,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-101138-201933-2037,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, Blake Griffin, Jamal Crawford","Paul, Felton, Bass, Griffin, Crawford",101108-101109-101138-201933-2037,LAC,171.0,1,3.0,6.0,6.0,12.0,2.0,6.0,5.0,1.0,2.0,1.0,4.0,0.5,101.05263157894737,16.0,12.5,16.0,12.5,0.16666666666666666,0.16666666666666666,1.0,,1.0,,1.0,4.0,,2.0,5.0,,,,2.0,,,,2.0,,1.0,1.0,,2.0,2.0,3.0,4.0,,,1.0,,1.0,2.0,,,,0.5,0.5,0.4,,,0.4,,,1.0,,,1.0,1.0,1.0,,0.8,0.25,0.25,,,0.2,0.41475999999999996,,,0.3333333333333333,,13.419999999999998,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-101138-202325-2037,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, Wesley Johnson, Jamal Crawford","Paul, Felton, Bass, Johnson, Crawford",101108-101109-101138-202325-2037,LAC,85.0,1,1.0,3.0,3.0,6.0,,4.0,,1.0,,,4.0,1.0,101.6470588235294,9.333333333333334,19.0,9.333333333333334,19.0,,,4.0,1.0,,1.0,,,,2.0,2.0,,,,,1.0,1.0,2.0,4.0,,2.0,2.0,,4.0,3.0,3.0,3.0,,,1.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,0.5,,,,,,0.5,0.4745,,0.5787,,0.5,2.9,,0.3333333333333333,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-1718-201578-2037,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, Marreese Speights, Jamal Crawford","Paul, Felton, Pierce, Speights, Crawford",101108-101109-1718-201578-2037,LAC,79.0,1,1.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,0.375,72.9113924050633,19.0,20.5,18.0,20.5,0.5,0.5,1.0,,1.0,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,0.5,,,,,0.5,0.47145,0.544,,,,9.35,,,,1.0,,,,1.0,1.0,1.0,,,,0.5,1.0,0.5,1.0,,1.0,,0.5,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-1718-201599-2037,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, DeAndre Jordan, Jamal Crawford","Paul, Felton, Pierce, Jordan, Crawford",101108-101109-1718-201599-2037,LAC,107.0,2,2.0,2.0,4.0,6.0,,3.0,,1.0,1.0,,3.0,0.5,80.74766355140187,22.0,15.75,22.0,15.75,0.3333333333333333,,3.0,,,,,1.0,1.0,,2.0,1.0,,,,,,,,1.0,,1.0,,3.0,2.0,3.0,3.0,,,,,,1.0,,,,,,,,,0.5,,,,,0.3333333333333333,0.6666666666666666,0.75,0.5,,0.3333333333333333,,,,0.3333333333333333,0.6666666666666666,0.54755,,,,,10.1,25.0,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-200755-201578-201599,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, DeAndre Jordan","Paul, Felton, Redick, Speights, Jordan",101108-101109-200755-201578-201599,LAC,56.0,2,1.0,1.0,2.0,3.0,,,4.0,,,,,,77.14285714285714,18.0,19.0,17.0,19.0,,,-4.0,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,0.3945,,0.3945,,,6.6,,1.0,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-200755-201578-2037,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, Jamal Crawford","Paul, Felton, Redick, Speights, Crawford",101108-101109-200755-201578-2037,LAC,2.0,2,,,1.0,1.0,,,2.0,,,,,,720.0,,2.0,,2.0,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-200755-201599-201601,1610612746,"Chris Paul, Raymond Felton, JJ Redick, DeAndre Jordan, Luc Mbah a Moute","Paul, Felton, Redick, Jordan, Mbah a Moute",101108-101109-200755-201599-201601,LAC,1099.0,2,18.0,35.0,35.0,70.0,2.0,33.0,48.0,3.0,3.0,,31.0,0.47058823529411764,91.71974522292994,15.8,15.6,15.485714285714286,14.742857142857142,,,-15.0,11.0,3.0,8.0,1.0,7.0,11.0,8.0,20.0,13.0,1.0,2.0,2.0,3.0,6.0,10.0,4.0,11.0,2.0,6.0,,16.0,7.0,13.0,16.0,,,2.0,,4.0,8.0,,10.0,11.0,0.25,0.2857142857142857,0.4,0.5,0.5,0.4696969696969697,0.5,0.5,0.5,0.5,0.3939393939393939,0.7777777777777778,0.7222222222222222,1.0,0.24242424242424243,0.21212121212121213,0.14285714285714285,0.14285714285714285,,0.3333333333333333,0.5454545454545454,0.4815774193548387,0.6131,0.42613888888888884,0.06060606060606061,0.30303030303030304,10.055,25.76153846153846,0.3142857142857143,2.0,5.0,,12.0,2.0,2.0,6.0,3.0,,1.0,4.0,0.16666666666666666,0.6666666666666666,0.15789473684210525,0.16666666666666666,0.6666666666666666,0.6666666666666666,,0.15151515151515152,0.4,0.5,1.0,,1.0,5.0,,,0.625,0.7142857142857143,,0.1111111111111111,,1.0,0.5,7.0,4.0,5.0,12.0,4.0,4.0,3.0,,,2.0,,2.0,0.8,0.38461538461538464,0.38461538461538464,0.36363636363636365,0.36363636363636365,0.75,0.36363636363636365,,1.0,1.0,0.3333333333333333,,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.3333333333333333,0.1,0.2,0.125,0.5,0.14285714285714285,0.16666666666666666,0.5,1.0,0.06060606060606061,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
