EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,Fg3aBlocked,2pt And 1 Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,FTDefRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,SecondChanceTurnovers,DefFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,Fg2aBlocked,ShortMidRangeAssists,BadPassTurnovers,Travels,PenaltyTurnovers,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,BlockedShortMidRange,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,BlockingFouls,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,HeaveAttempts,DefensiveGoaltends,LostBallOutOfBoundsTurnovers,3SecondViolations,ShortMidRangePctBlocked,Corner3PctBlocked,Defensive 3 Seconds Violations,Clear Path Fouls,team_id,year,season,team_vs
201588-202324-202330-203918-2207,1610612762,"George Hill, Derrick Favors, Gordon Hayward, Rodney Hood, Joe Johnson","Hill, Favors, Hayward, Hood, Johnson",201588-202324-202330-203918-2207,UTA,1433.0,5,24.0,9.0,41.0,44.0,12.0,16.0,5.0,85.0,13.0,18.0,2.0,4.0,3.0,4.0,1.0,7.0,4.0,6.0,1.0,1.0,1.0,1.0,3.0,9.0,1.0,2.0,18.0,31.0,4.0,10.0,8.0,56.0,47.0,3.0,5.0,6.0,4.0,8.0,2.0,3.0,6.0,20.0,22.0,14.0,6.0,6.0,4.0,9.0,3.0,11.0,2.0,13.0,1.0,1.0,10.0,1.0,28.0,1.0,5.0,10.0,6.0,16.0,6.0,22.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,7.0,2.0,9.0,11.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,50.0,20.0,12.0,2.0,1.0,0.6111111111111112,0.6875,0.5,0.4,0.6666666666666666,0.4,0.5806451612903226,0.6,0.5,0.5853658536585366,0.6,0.6363636363636364,0.6086956521739131,0.6,0.7142857142857143,0.24390243902439024,1.0,0.6666666666666666,0.38461538461538464,1.0,0.2,0.8421052631578947,0.3333333333333333,0.2,0.6666666666666666,0.2,0.75,0.5,1.0,1.0,1.0,0.05555555555555555,85.4152128401954,1.0,16.975609756097562,16.75,16.24390243902439,16.568181818181817,0.43902439024390244,0.7222222222222222,0.7222222222222222,0.7692307692307693,0.17073170731707318,0.14285714285714285,0.14285714285714285,0.14634146341463414,0.6666666666666666,0.6666666666666666,0.25,0.024390243902439025,1.0,1.0,1.0,0.21951219512195122,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.5,0.36363636363636365,0.75,0.09090909090909091,1.0,0.18181818181818182,0.5,0.6829268292682927,0.3333333333333333,0.5476280487804879,0.622,0.5104545454545455,0.1111111111111111,0.11428571428571428,0.1,0.10714285714285714,0.35714285714285715,6.180645161290323,25.97,0.2926829268292683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,True
201588-202324-202330-203918-2564,1610612762,"George Hill, Derrick Favors, Gordon Hayward, Rodney Hood, Boris Diaw","Hill, Favors, Hayward, Hood, Diaw",201588-202324-202330-203918-2564,UTA,153.0,3,3.0,3.0,5.0,4.0,2.0,3.0,2.0,9.0,,,,,,,2.0,2.0,,1.0,,,,,,3.0,,1.0,2.0,3.0,,3.0,1.0,5.0,2.0,,,,1.0,2.0,,1.0,1.0,3.0,,4.0,,,,3.0,,,,,,,,,,,1.0,3.0,,3.0,1.0,4.0,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,5.0,3.0,2.0,,,,,,,,,0.6666666666666666,,0.5,0.3333333333333333,,0.3333333333333333,0.4166666666666667,,0.5,0.5,,,1.0,1.0,,1.0,0.25,,,,,,,1.0,,,84.70588235294119,,14.0,20.75,9.6,20.75,,,,,0.3333333333333333,1.0,1.0,0.16666666666666666,,,,,,,,0.5,,,,,,,,,,0.3333333333333333,,0.5,,0.47104999999999997,0.530025,0.437,0.16666666666666666,0.3333333333333333,,,0.6,10.366666666666667,24.666666666666668,0.4,2.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,True
201588-202324-202330-203957-204060,1610612762,"George Hill, Derrick Favors, Gordon Hayward, Dante Exum, Joe Ingles","Hill, Favors, Hayward, Exum, Ingles",201588-202324-202330-203957-204060,UTA,98.0,1,2.0,2.0,4.0,3.0,,,,7.0,1.0,1.0,,,,,,,2.0,2.0,,,,,,1.0,,,3.0,3.0,,1.0,,6.0,4.0,,,,,,,,,,2.0,4.0,,,,1.0,,1.0,,1.0,,,1.0,,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,0.3333333333333333,0.3333333333333333,,,,,1.0,,,0.75,,,0.75,,,0.25,,1.0,,,,1.0,,,,,1.0,,,,,,102.85714285714286,,8.75,21.0,8.75,21.0,0.25,1.0,1.0,1.0,,,,0.5,1.0,1.0,,,,,,0.25,,,,,,,,,,,,0.5,,0.5697125,,,,,,,,12.700000000000001,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,True
201588-202324-202330-203957-2207,1610612762,"George Hill, Derrick Favors, Gordon Hayward, Dante Exum, Joe Johnson","Hill, Favors, Hayward, Exum, Johnson",201588-202324-202330-203957-2207,UTA,213.0,1,4.0,-8.0,7.0,8.0,,,1.0,15.0,1.0,3.0,,,,,,,,1.0,,,,,,1.0,,,1.0,4.0,,1.0,,2.0,10.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,1.0,,,1.0,2.0,1.0,3.0,,1.0,1.0,,2.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,0.25,,,0.2,,,0.2,,,0.2,0.6666666666666666,0.5,,,1.0,0.5,0.25,,,1.0,0.5,,,,,,101.40845070422536,,17.285714285714285,11.5,17.0,11.0,0.6,0.3333333333333333,0.3333333333333333,,,,,0.2,,,,,,,,0.2,,,,,,,,,,,,0.8,,0.587175,,,,,,,,5.1,26.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,True
201588-202324-202330-204060-2207,1610612762,"George Hill, Derrick Favors, Gordon Hayward, Joe Ingles, Joe Johnson","Hill, Favors, Hayward, Ingles, Johnson",201588-202324-202330-204060-2207,UTA,2401.0,11,40.0,-2.0,76.0,72.0,27.0,29.0,9.0,148.0,12.0,17.0,2.0,5.0,6.0,9.0,6.0,11.0,4.0,14.0,3.0,9.0,2.0,3.0,4.0,14.0,1.0,2.0,22.0,42.0,7.0,23.0,15.0,80.0,82.0,2.0,5.0,14.0,7.0,16.0,3.0,5.0,10.0,33.0,16.0,28.0,12.0,9.0,2.0,14.0,4.0,8.0,4.0,12.0,1.0,3.0,5.0,1.0,28.0,5.0,4.0,6.0,18.0,26.0,9.0,35.0,,5.0,3.0,2.0,6.0,2.0,11.0,8.0,18.0,2.0,16.0,19.0,,5.0,,5.0,1.0,,1.0,1.0,66.0,33.0,27.0,1.0,5.0,0.36363636363636365,0.38095238095238093,0.5714285714285714,0.30434782608695654,0.6,0.30434782608695654,0.5238095238095238,0.4,0.4375,0.5,0.8125,0.5476190476190477,0.5405405405405406,0.7777777777777778,0.6346153846153846,0.35384615384615387,0.5454545454545454,0.782608695652174,0.2,0.6666666666666666,0.3125,0.75,0.25,,0.4,0.3,1.0,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,,88.76301541024573,1.0,15.460526315789474,17.02777777777778,14.355263157894736,16.36111111111111,0.26153846153846155,0.7058823529411765,0.75,0.4166666666666667,0.16923076923076924,0.5454545454545454,0.5454545454545454,0.2153846153846154,0.2857142857142857,0.2857142857142857,0.25,0.13846153846153847,0.3333333333333333,0.3333333333333333,1.0,0.2153846153846154,0.2857142857142857,0.2857142857142857,0.25,0.625,0.4,0.42857142857142855,0.6666666666666666,0.14285714285714285,0.6666666666666666,0.09523809523809523,0.5,0.6153846153846154,0.2857142857142857,0.47690468750000004,0.54251,0.47861904761904756,0.07246376811594203,0.10869565217391304,,0.175,0.4125,8.852380952380951,25.2304347826087,0.35526315789473684,2.0,3.0,,1.0,,,0.2,0.25,2.0,1.0,5.0,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.023809523809523808,0.058823529411764705,0.3333333333333333,0.3333333333333333,0.125,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,True
201588-202324-202330-204060-2564,1610612762,"George Hill, Derrick Favors, Gordon Hayward, Joe Ingles, Boris Diaw","Hill, Favors, Hayward, Ingles, Diaw",201588-202324-202330-204060-2564,UTA,2686.0,4,45.0,3.0,83.0,82.0,2.0,5.0,9.0,165.0,21.0,32.0,3.0,5.0,1.0,1.0,1.0,9.0,8.0,18.0,,1.0,,,8.0,19.0,,,30.0,59.0,8.0,20.0,5.0,89.0,86.0,5.0,9.0,10.0,1.0,1.0,,,1.0,3.0,26.0,34.0,15.0,9.0,4.0,19.0,8.0,13.0,5.0,18.0,5.0,,11.0,2.0,41.0,3.0,9.0,11.0,17.0,32.0,13.0,45.0,2.0,7.0,6.0,1.0,7.0,1.0,13.0,12.0,21.0,1.0,21.0,10.0,,4.0,,1.0,5.0,,5.0,3.0,79.0,3.0,2.0,,1.0,0.43333333333333335,0.4642857142857143,0.625,0.4,,0.4,0.5084745762711864,0.5555555555555556,1.0,0.5316455696202531,0.5,1.0,0.5301204819277109,0.5,0.75,0.25316455696202533,0.5384615384615384,0.7727272727272727,0.3103448275862069,1.0,0.25,0.8484848484848485,0.2926829268292683,0.2727272727272727,0.5,0.18181818181818182,1.0,0.6666666666666666,1.0,1.0,1.0,0.05263157894736842,88.45867460908414,0.6,16.253012048192772,16.304878048780488,15.349397590361447,15.829268292682928,0.4050632911392405,0.65625,0.7,0.5238095238095238,0.11392405063291139,0.1111111111111111,0.1111111111111111,0.22784810126582278,0.4444444444444444,0.47058823529411764,0.25,0.012658227848101266,,,,0.24050632911392406,0.42105263157894735,0.42105263157894735,0.625,0.5,0.6,1.0,1.0,,,,,0.6582278481012658,0.42105263157894735,0.5243110389610389,0.62133125,0.5359,0.04878048780487805,0.06451612903225806,,0.11235955056179775,0.033707865168539325,7.532203389830508,26.044999999999998,0.024096385542168676,1.0,1.0,,1.0,,,0.2,0.1,4.0,3.0,6.0,1.0,1.0,,,,,,3.0,,6.0,,,,2.0,1.0,5.0,,0.05084745762711865,0.0625,1.0,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,0.05555555555555555,1.0,0.3333333333333333,,,,,,,,,1610612762,2017,2016-17,True
201588-202324-202714-203918-2564,1610612762,"George Hill, Derrick Favors, Shelvin Mack, Rodney Hood, Boris Diaw","Hill, Favors, Mack, Hood, Diaw",201588-202324-202714-203918-2564,UTA,93.0,1,2.0,2.0,4.0,3.0,,,,7.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,3.0,3.0,,1.0,,6.0,4.0,,,,,,,,,,6.0,,,,,1.0,,3.0,,3.0,,,1.0,1.0,6.0,,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,6.0,,,,,1.0,1.0,,,,,1.0,,,0.75,,,0.6,,,0.25,,0.5,,,,0.5,,,,,,,1.0,,,,108.38709677419355,,12.75,14.0,12.75,13.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,,,,,0.25,,,,,,,,,,,,0.5,,0.48965,,,,,,,,7.466666666666666,24.9,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,True
201588-202324-202714-204060-2207,1610612762,"George Hill, Derrick Favors, Shelvin Mack, Joe Ingles, Joe Johnson","Hill, Favors, Mack, Ingles, Johnson",201588-202324-202714-204060-2207,UTA,264.0,3,4.0,6.0,8.0,7.0,,,1.0,15.0,3.0,3.0,,,,,,,,,,1.0,,,2.0,3.0,,,3.0,3.0,2.0,4.0,3.0,15.0,9.0,,,3.0,,,,,,,6.0,,3.0,3.0,,3.0,2.0,3.0,1.0,4.0,1.0,,3.0,,9.0,1.0,,1.0,2.0,3.0,1.0,4.0,,,,,,,1.0,,,,1.0,3.0,,,1.0,,1.0,,1.0,1.0,12.0,,,,,1.0,1.0,0.5,0.5,,0.5,1.0,,,0.8571428571428571,,,0.9375,1.5,,0.5714285714285714,,1.0,,1.0,0.5,1.0,0.5,,,,,1.0,,1.0,,,81.81818181818181,1.0,17.0,18.285714285714285,15.5,18.285714285714285,0.42857142857142855,1.0,1.0,1.0,,,,,,,,0.14285714285714285,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,1.0,0.6666666666666666,0.6568071428571428,,,0.125,,0.2,0.2,,0.5,25.125,,,,,,,,,,,,1.0,,,,,,,3.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,True
201588-202324-203497-203918-204060,1610612762,"George Hill, Derrick Favors, Rudy Gobert, Rodney Hood, Joe Ingles","Hill, Favors, Gobert, Hood, Ingles",201588-202324-203497-203918-204060,UTA,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1610612762,2017,2016-17,True
201588-202324-203918-203957-2207,1610612762,"George Hill, Derrick Favors, Rodney Hood, Dante Exum, Joe Johnson","Hill, Favors, Hood, Exum, Johnson",201588-202324-203918-203957-2207,UTA,150.0,1,2.0,-2.0,4.0,5.0,,,1.0,9.0,,2.0,,1.0,,,,,,1.0,,,,,1.0,2.0,,,,3.0,1.0,2.0,,3.0,5.0,,1.0,,,,,,,,,,3.0,,,2.0,1.0,,1.0,1.0,1.0,,,,3.0,,1.0,,2.0,2.0,1.0,3.0,,,,,,,,1.0,2.0,,,,,,,,,,,,3.0,,,,,,,1.0,0.5,,0.5,,,,0.3,,,0.3,,,0.4,,0.6666666666666666,0.3333333333333333,,,0.6666666666666666,0.25,0.5,,,,0.5,1.0,,,,86.4,,15.5,17.6,15.0,17.6,0.4,,,,,,,0.2,,,,,,,,0.4,0.5,0.5,1.0,1.0,,,,,,,,0.8,0.5,0.49949000000000005,0.5078,,,,,,,8.1,25.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,True
