EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGA,Corner3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG3M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceAtRimFGA,PenaltyArc3FGA,SecondChanceFG2M,PtsPutbacks,FTDefRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,BlockingFouls,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyArc3FGM,PenaltyFG3M,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,DefCorner3ReboundPct,PenaltyArc3Accuracy,SecondChanceAtRimFGM,LongMidRangeFGM,SecondChanceCorner3FGA,SecondChanceFG3A,Offensive Fouls,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,Loose Ball Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,BlockedShortMidRange,LongMidRangeAssists,FTOffRebounds,Charge Fouls,OffFTReboundPct,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,OffLongMidRangeReboundPct,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,BlockedLongMidRange,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,DefensiveGoaltends,3SecondViolations,BlockedCorner3,Corner3PctBlocked,Clear Path Fouls,LongMidRangePctBlocked,team_id,year,season,team_vs
101150-1626149-1626155-201569-201935,1610612745,"Lou Williams, Montrezl Harrell, Sam Dekker, Eric Gordon, James Harden","Williams, Harrell, Dekker, Gordon, Harden",101150-1626149-1626155-201569-201935,HOU,98.0,1,2.0,-5.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,1.0,2.0,1.0,2.0,0.3333333333333333,0.5,88.16326530612245,19.0,13.666666666666666,19.0,12.333333333333334,0.5,0.5,0.5,0.5115,0.3333333333333333,0.5,15.6,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626149-1626155-201569-201976,1610612745,"Lou Williams, Montrezl Harrell, Sam Dekker, Eric Gordon, Patrick Beverley","Williams, Harrell, Dekker, Gordon, Beverley",101150-1626149-1626155-201569-201976,HOU,978.0,5,16.0,3.0,36.0,34.0,70.0,,5.0,16.0,13.0,12.0,45.0,42.0,8.0,15.0,7.0,43.0,0.6428571428571429,0.4482758620689655,103.06748466257669,11.833333333333334,16.235294117647058,11.666666666666666,15.411764705882353,,0.1724137931034483,0.8275862068965517,0.5408275862068965,0.22857142857142856,0.3333333333333333,3.225,24.876923076923074,3.0,2.0,8.0,11.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,8.0,9.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,12.0,6.0,15.0,8.0,3.0,1.0,6.0,5.0,11.0,3.0,2.0,5.0,1.0,27.0,1.0,1.0,1.0,6.0,7.0,2.0,9.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,9.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,0.6666666666666666,0.6666666666666666,1.0,0.38461538461538464,0.38461538461538464,0.5625,1.0,0.5689655172413793,0.5,0.5,0.6666666666666666,0.0625,0.09090909090909091,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.125,0.5833333333333334,0.13333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.8,0.5,1.0,0.3793103448275862,0.7272727272727273,0.8,0.625,0.1724137931034483,0.2,0.2,1.0,0.4,0.4,1.0,0.27586206896551724,0.375,0.375,1.0,0.5,1.0,0.5,0.375,0.6948,0.07142857142857142,0.044444444444444446,0.08888888888888889,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626149-1626155-201935-2772,1610612745,"Lou Williams, Montrezl Harrell, Sam Dekker, James Harden, Trevor Ariza","Williams, Harrell, Dekker, Harden, Ariza",101150-1626149-1626155-201935-2772,HOU,847.0,2,14.0,-10.0,28.0,27.0,55.0,,2.0,15.0,8.0,5.0,24.0,34.0,6.0,8.0,3.0,20.0,0.46153846153846156,0.34782608695652173,93.5064935064935,16.535714285714285,14.222222222222221,15.071428571428571,13.62962962962963,,0.08695652173913043,0.8695652173913043,0.5134282608695652,0.15384615384615385,0.17647058823529413,2.82,24.675,11.0,6.0,4.0,12.0,1.0,3.0,1.0,3.0,1.0,,2.0,6.0,5.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,6.0,6.0,4.0,9.0,6.0,2.0,4.0,3.0,3.0,6.0,2.0,1.0,3.0,,15.0,1.0,4.0,4.0,3.0,8.0,5.0,13.0,1.0,1.0,,4.0,1.0,2.0,3.0,,7.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,0.6,0.75,1.0,0.375,0.375,0.3333333333333333,0.3333333333333333,0.41304347826086957,0.16666666666666666,0.5,0.3333333333333333,0.26666666666666666,0.25,0.5714285714285714,0.6,0.4444444444444444,0.6666666666666666,0.2,0.6363636363636364,0.35714285714285715,0.375,,1.0,0.3333333333333333,0.6666666666666666,1.0,0.5217391304347826,0.3333333333333333,0.4444444444444444,0.75,0.13043478260869565,0.3333333333333333,0.5,,0.5,0.5,1.0,0.2608695652173913,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,,0.3333333333333333,0.5134,0.1111111111111111,0.16666666666666666,0.25,0.39285714285714285,19.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.25,1.0,0.1,0.6666666666666666,0.5,0.49289999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626149-1627786-1627819-2403,1610612745,"Lou Williams, Montrezl Harrell, Troy Williams, Isaiah Taylor, Nene","Williams, Harrell, Williams, Taylor, Nene",101150-1626149-1627786-1627819-2403,HOU,171.0,1,3.0,2.0,6.0,6.0,12.0,,2.0,2.0,3.0,1.0,6.0,4.0,2.0,2.0,,6.0,0.5,0.6,101.05263157894737,13.166666666666666,15.333333333333334,13.166666666666666,14.166666666666666,,0.4,1.0,0.6148100000000001,,,1.1,25.166666666666668,4.0,,1.0,2.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,1.0,4.0,2.0,,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,5.0,,,2.0,,2.0,,2.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,4.0,4.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,,0.5,0.5,,0.5,,,,,,0.6666666666666666,,0.5,,,,,,0.5,,0.4,0.5,0.5,1.0,,,,,,,,0.2,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,1.0,0.54305,,,0.6666666666666666,0.6666666666666666,1.0,,1.0,,,,,,,,,,,,,,,,,,,0.3333333333333333,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626149-1627786-201569-2403,1610612745,"Lou Williams, Montrezl Harrell, Troy Williams, Eric Gordon, Nene","Williams, Harrell, Williams, Gordon, Nene",101150-1626149-1627786-201569-2403,HOU,213.0,1,4.0,-2.0,8.0,8.0,16.0,2.0,1.0,6.0,2.0,,4.0,6.0,1.0,2.0,1.0,2.0,0.2222222222222222,0.25,108.16901408450705,14.875,11.75,14.375,11.75,0.25,0.125,0.625,0.5209875,0.1111111111111111,0.14285714285714285,7.283333333333334,25.8,,2.0,1.0,3.0,,,,1.0,,,,1.0,2.0,,1.0,,2.0,,,,,,,4.0,,1.0,,1.0,,,,,,,,,,2.0,2.0,1.0,4.0,2.0,6.0,,,,,,,1.0,,1.0,2.0,3.0,,,,,,,,,,,,,,,0.3333333333333333,,0.25,,0.5,,0.16666666666666666,0.3333333333333333,,1.0,0.5,1.0,,1.0,0.3333333333333333,1.0,,,,1.0,,0.375,0.3333333333333333,0.5,,0.125,,,,,,,0.125,,,,,,,,,,0.5,,,8.0,1.0,,1.0,2.0,1.0,,,,,,1.0,1.0,0.5,,1.0,,,1.0,,0.5,,0.56225,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626149-1627786-201628-201935,1610612745,"Lou Williams, Montrezl Harrell, Troy Williams, Bobby Brown, James Harden","Williams, Harrell, Williams, Brown, Harden",101150-1626149-1627786-201628-201935,HOU,214.0,1,4.0,3.0,7.0,8.0,15.0,,,3.0,4.0,3.0,8.0,5.0,1.0,3.0,,5.0,0.5,0.5714285714285714,100.93457943925233,15.857142857142858,12.875,12.285714285714286,12.875,,,0.5714285714285714,0.4694285714285714,0.125,,7.6000000000000005,25.05,4.0,1.0,,,,,1.0,3.0,,,1.0,4.0,1.0,1.0,1.0,,3.0,,1.0,4.0,,3.0,,2.0,,4.0,1.0,,,,,,,,,,1.0,1.0,3.0,1.0,4.0,2.0,6.0,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,3.0,4.0,,,,0.25,0.25,0.3333333333333333,,0.35714285714285715,0.3,0.75,0.3,,,,1.0,0.5,1.0,0.3333333333333333,1.0,0.4,,,,1.0,1.0,,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,,,0.5714285714285714,0.25,0.25,,,,,0.25,0.48997999999999997,0.2,0.375,0.375,0.5714285714285714,8.0,,4.0,,,,,,,,1.0,,,0.75,,,0.5,0.3333333333333333,,,,0.8,0.414,1.0,1.0,,,0.25,,0.25,,,,1.0,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626149-1627819-201569-2403,1610612745,"Lou Williams, Montrezl Harrell, Isaiah Taylor, Eric Gordon, Nene","Williams, Harrell, Taylor, Gordon, Nene",101150-1626149-1627819-201569-2403,HOU,215.0,1,4.0,-4.0,9.0,10.0,19.0,1.0,1.0,2.0,2.0,5.0,7.0,11.0,6.0,9.0,4.0,7.0,0.4375,0.5,127.25581395348837,12.0,10.7,12.0,10.7,0.25,0.25,0.75,0.6122125,0.5,0.6666666666666666,8.95,26.4,2.0,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,,2.0,4.0,,2.0,,1.0,,1.0,,,,,,,,,,,,2.0,2.0,,2.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,4.0,2.0,,,,,,0.5,1.0,0.25,1.0,,1.0,0.5,1.0,1.0,0.6666666666666666,,,,0.6666666666666666,,,,1.0,1.0,,,0.25,,,,,,,,,,,0.25,,,,,,,,0.4529,,,0.5714285714285714,0.2222222222222222,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626149-1627819-201935-201976,1610612745,"Lou Williams, Montrezl Harrell, Isaiah Taylor, James Harden, Patrick Beverley","Williams, Harrell, Taylor, Harden, Beverley",101150-1626149-1627819-201935-201976,HOU,93.0,1,2.0,1.0,4.0,3.0,7.0,,1.0,,1.0,3.0,3.0,2.0,1.0,3.0,,3.0,0.75,1.0,108.38709677419355,8.25,20.0,8.25,20.0,,1.0,1.0,0.61335,0.5,,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626149-1627819-201976-2403,1610612745,"Lou Williams, Montrezl Harrell, Isaiah Taylor, Patrick Beverley, Nene","Williams, Harrell, Taylor, Beverley, Nene",101150-1626149-1627819-201976-2403,HOU,51.0,1,1.0,4.0,2.0,1.0,3.0,,,1.0,1.0,2.0,4.0,,1.0,2.0,1.0,2.0,0.6666666666666666,0.5,84.70588235294117,16.5,18.0,13.0,18.0,,,0.5,0.2837,0.3333333333333333,0.5,5.5,25.0,2.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,2.0,2.0,1.0,1.0,1.0,2.0,4.0,,2.0,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,1.0,1.0,0.5,0.5,1.0,0.6666666666666666,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,0.5,1.0,1.0,,,,,0.5,,,,,,,,0.2837,,0.5,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626149-201569-201583-201976,1610612745,"Lou Williams, Montrezl Harrell, Eric Gordon, Ryan Anderson, Patrick Beverley","Williams, Harrell, Gordon, Anderson, Beverley",101150-1626149-201569-201583-201976,HOU,363.0,1,6.0,-8.0,12.0,13.0,25.0,1.0,3.0,4.0,7.0,2.0,9.0,17.0,3.0,4.0,2.0,7.0,0.34615384615384615,0.6363636363636364,99.17355371900827,14.833333333333334,14.23076923076923,13.416666666666666,13.846153846153847,0.09090909090909091,0.2727272727272727,0.8181818181818182,0.5393818181818182,0.15384615384615385,0.3333333333333333,7.925,25.428571428571427,,1.0,1.0,2.0,,,1.0,1.0,,,1.0,4.0,2.0,1.0,1.0,,2.0,,,,,,2.0,2.0,,4.0,1.0,,1.0,,1.0,,,1.0,,2.0,1.0,,,6.0,6.0,1.0,7.0,,,,,,,,,,,,,,,3.0,2.0,3.0,2.0,,,0.5,0.5,,0.14285714285714285,0.14285714285714285,0.5,,0.3181818181818182,,1.0,,,,,0.8571428571428571,,,0.16666666666666666,0.8571428571428571,0.125,,,0.5,1.0,,0.6666666666666666,0.18181818181818182,0.5,0.5,1.0,0.09090909090909091,1.0,1.0,,,,,0.36363636363636365,0.25,0.25,,,,,0.25,,,0.2222222222222222,,,,,,1.0,,,,,,,,,1.0,1.0,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
