EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,SelfOReb,LiveBallTurnovers,LostBallTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Steals,BadPassSteals,AtRimPctBlocked,LongMidRangeFGM,LostBallSteals,BadPassTurnovers,SecondChanceTurnovers,Offensive Fouls,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyArc3FGA,BlockingFouls,BlockingFoulsDrawn,NonShootingPenaltyNonTakeFouls,OffArc3ReboundPct,PenaltyArc3Frequency,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsAssisted3s,ThreePtAssists,Arc3Assists,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,RecoveredBlocks,Assisted3sPct,OffAtRimReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,Arc3PctAssisted,ThreePtShootingFoulsDrawnPct,BlockedShortMidRange,SecondChanceCorner3FGA,FTOffRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,Technical Free Throw Trips,BlockedLongMidRange,3pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,LongMidRangePctBlocked,Charge Fouls Drawn,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,3SecondViolations,PenaltyCorner3FGM,StepOutOfBoundsTurnovers,DefensiveGoaltends,OffensiveGoaltends,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedCorner3,Clear Path Fouls,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
101141-201566-202683-202713-203460,1610612760,"Ersan Ilyasova, Russell Westbrook, Enes Kanter, Kyle Singler, Andre Roberson","Ilyasova, Westbrook, Kanter, Singler, Roberson",101141-201566-202683-202713-203460,OKC,324.0,3,5.0,-4.0,13.0,11.0,3.0,5.0,1.0,24.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,8.0,2.0,2.0,10.0,14.0,1.0,2.0,2.0,1.0,5.0,6.0,2.0,1.0,3.0,3.0,2.0,1.0,6.0,1.0,2.0,2.0,4.0,1.0,5.0,2.0,2.0,3.0,6.0,1.0,3.0,1.0,4.0,2.0,1.0,10.0,5.0,3.0,0.75,0.75,0.5,1.0,0.4,1.0,0.4166666666666667,0.8333333333333334,0.2,1.0,1.0,0.5,1.0,0.16666666666666666,1.0,1.0,1.0,106.66666666666666,14.923076923076923,11.818181818181818,14.461538461538462,11.818181818181818,0.4,0.5,0.5,1.0,0.3,0.6666666666666666,0.6666666666666666,0.5,0.1,0.1,0.1,1.0,0.5,1.0,0.6,0.511955,0.67665,0.16666666666666666,0.2,0.5,5.3,23.8,0.23076923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,True
101141-201566-202683-202713-203506,1610612760,"Ersan Ilyasova, Russell Westbrook, Enes Kanter, Kyle Singler, Victor Oladipo","Ilyasova, Westbrook, Kanter, Singler, Oladipo",101141-201566-202683-202713-203506,OKC,6.0,1,,-1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,True
101141-201566-202683-202713-203902,1610612760,"Ersan Ilyasova, Russell Westbrook, Enes Kanter, Kyle Singler, Semaj Christon","Ilyasova, Westbrook, Kanter, Singler, Christon",101141-201566-202683-202713-203902,OKC,349.0,2,6.0,9.0,13.0,11.0,11.0,,3.0,24.0,4.0,4.0,4.0,4.0,3.0,6.0,1.0,1.0,1.0,,7.0,11.0,2.0,5.0,19.0,10.0,,7.0,10.0,5.0,19.0,4.0,10.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,5.0,3.0,8.0,,1.0,,1.0,,4.0,,5.0,2.0,,12.0,19.0,11.0,0.2857142857142857,0.3333333333333333,0.6363636363636364,0.7,0.5384615384615384,0.6363636363636364,0.6333333333333333,0.7307692307692307,0.15384615384615385,0.6666666666666666,0.5,0.5,0.625,0.5,1.0,,,99.02578796561605,15.0,14.0,13.692307692307692,13.272727272727273,0.3076923076923077,1.0,1.0,0.25,0.46153846153846156,0.5,0.6,0.3333333333333333,0.07692307692307693,0.07692307692307693,0.07692307692307693,,0.36363636363636365,1.0,0.46153846153846156,0.4921884615384616,0.4946409090909091,0.14285714285714285,0.16666666666666666,1.0,6.854545454545455,24.3,0.8461538461538461,1.0,1.0,1.0,3.0,3.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1666666666666667,0.09090909090909091,0.16666666666666666,1.0,0.5,0.6666666666666666,0.5,0.75,1.0,0.2,0.3333333333333333,1.0,0.09090909090909091,0.4402,0.3684210526315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,True
101141-201566-202683-203460-203506,1610612760,"Ersan Ilyasova, Russell Westbrook, Enes Kanter, Andre Roberson, Victor Oladipo","Ilyasova, Westbrook, Kanter, Roberson, Oladipo",101141-201566-202683-203460-203506,OKC,67.0,1,1.0,-2.0,2.0,3.0,1.0,,,5.0,1.0,2.0,1.0,1.0,,,,,,,1.0,2.0,,,2.0,4.0,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,0.5,1.0,0.5,1.0,0.5,1.0,,,,,,,,,,107.46268656716417,11.5,14.666666666666666,11.5,10.333333333333334,1.0,0.5,1.0,,,,,,,,,,1.0,1.0,1.0,0.646,0.6473,,,1.0,1.5,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,True
101141-201566-202713-203460-203500,1610612760,"Ersan Ilyasova, Russell Westbrook, Kyle Singler, Andre Roberson, Steven Adams","Ilyasova, Westbrook, Singler, Roberson, Adams",101141-201566-202713-203460-203500,OKC,150.0,2,2.0,-11.0,8.0,9.0,2.0,3.0,1.0,17.0,1.0,1.0,1.0,1.0,,1.0,2.0,,,,2.0,4.0,,,4.0,15.0,,1.0,1.0,,2.0,2.0,2.0,,1.0,1.0,1.0,,2.0,,,1.0,1.0,,1.0,1.0,4.0,3.0,4.0,,,,,,,4.0,2.0,2.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,,1.0,,,0.5,,,,,163.2,10.5,7.333333333333333,9.5,7.111111111111111,0.25,1.0,1.0,1.0,0.25,,,,0.5,,,,1.0,1.0,0.25,0.5434,0.8889,,,0.5,12.375,,0.25,,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,0.75,,,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,True
101141-201566-202713-203460-203530,1610612760,"Ersan Ilyasova, Russell Westbrook, Kyle Singler, Andre Roberson, Joffrey Lauvergne","Ilyasova, Westbrook, Singler, Roberson, Lauvergne",101141-201566-202713-203460-203530,OKC,198.0,1,3.0,-7.0,7.0,7.0,7.0,7.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,2.0,1.0,3.0,7.0,14.0,,2.0,2.0,3.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,2.0,,3.0,1.0,2.0,,2.0,,4.0,2.0,,5.0,7.0,7.0,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7,0.7,0.3333333333333333,,0.5,1.0,0.5,1.0,,,0.5,101.81818181818183,17.571428571428573,10.714285714285714,16.857142857142858,9.857142857142858,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,0.3333333333333333,,0.3333333333333333,1.0,0.6666666666666666,0.63205,0.63205,0.4,0.5,1.0,4.05,24.9,1.0,,,,,,2.0,2.0,1.0,,,,,3.0,1.0,3.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,0.2857142857142857,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,True
101141-201566-202713-203500-203902,1610612760,"Ersan Ilyasova, Russell Westbrook, Kyle Singler, Steven Adams, Semaj Christon","Ilyasova, Westbrook, Singler, Adams, Christon",101141-201566-202713-203500-203902,OKC,47.0,1,1.0,3.0,1.0,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,1.0,,3.0,,,,,,3.0,,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,3.0,3.0,1.0,,,,,1.5,1.5,1.5,1.5,1.0,,1.0,,1.0,,,,1.0,61.276595744680854,28.0,19.0,28.0,19.0,,,,,,,,,,,1.0,,,,1.0,0.4353,0.4353,,,1.0,,26.5,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,True
101141-201566-203460-203500-203506,1610612760,"Ersan Ilyasova, Russell Westbrook, Andre Roberson, Steven Adams, Victor Oladipo","Ilyasova, Westbrook, Roberson, Adams, Oladipo",101141-201566-203460-203500-203506,OKC,1086.0,4,18.0,-3.0,40.0,42.0,19.0,2.0,4.0,82.0,5.0,6.0,2.0,3.0,,6.0,2.0,4.0,13.0,2.0,6.0,14.0,17.0,11.0,38.0,41.0,2.0,3.0,8.0,7.0,19.0,10.0,2.0,13.0,5.0,10.0,4.0,,25.0,2.0,8.0,10.0,18.0,4.0,22.0,3.0,8.0,1.0,4.0,,9.0,,12.0,5.0,,36.0,19.0,19.0,0.8333333333333334,1.0,0.42857142857142855,0.375,0.43548387096774194,0.42857142857142855,0.5277777777777778,0.5588235294117647,0.5483870967741935,0.7142857142857143,0.8,0.16666666666666666,0.75,0.2,0.25,0.6666666666666666,0.6,108.7292817679558,13.525,12.976190476190476,12.975,11.857142857142858,0.1935483870967742,0.8333333333333334,1.0,0.8,0.1935483870967742,,,,0.06451612903225806,0.12903225806451613,0.41935483870967744,0.6666666666666666,0.21428571428571427,0.6666666666666666,0.7419354838709677,0.535058064516129,0.4905285714285714,0.16666666666666666,0.2777777777777778,0.5,6.185714285714285,25.00588235294118,0.475,1.0,1.0,1.0,1.0,1.0,,2.0,6.0,2.0,1.0,2.0,1.0,5.0,,4.0,1.0,,2.0,2.0,2.0,,1.0,0.3333333333333333,0.3333333333333333,0.07142857142857142,,0.625,0.25,0.16666666666666666,0.8333333333333334,0.5,1.0,0.05263157894736842,0.3333333333333333,1.0,0.07142857142857142,0.5197,0.05263157894736842,3.0,2.0,0.16666666666666666,1.0,1.0,5.0,1.0,,0.5,0.5,5.0,,1.0,,0.125,0.35714285714285715,5.0,2.0,5.0,2.0,,5.0,0.29411764705882354,0.3333333333333333,0.29411764705882354,0.38461538461538464,0.38461538461538464,0.4,0.38461538461538464,15.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,True
101141-201566-203460-203500-203518,1610612760,"Ersan Ilyasova, Russell Westbrook, Andre Roberson, Steven Adams, Alex Abrines","Ilyasova, Westbrook, Roberson, Adams, Abrines",101141-201566-203460-203500-203518,OKC,41.0,2,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,,,,,,,1.0,,,,1.0,1.0,,,2.0,,,1.0,1.0,,2.0,,2.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,70.2439024390244,26.0,15.0,17.0,15.0,,,,,,,,,1.0,,,,,,,0.4371,0.4371,,,1.0,15.9,,1.0,,,,1.0,1.0,,2.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,0.4371,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,True
101141-202683-202713-203460-203902,1610612760,"Ersan Ilyasova, Enes Kanter, Kyle Singler, Andre Roberson, Semaj Christon","Ilyasova, Kanter, Singler, Roberson, Christon",101141-202683-202713-203460-203902,OKC,91.0,1,2.0,-3.0,3.0,3.0,,3.0,,6.0,,,,,1.0,2.0,,,1.0,,1.0,2.0,1.0,,2.0,5.0,,,,,,,2.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,2.0,,,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,0.5,,0.5,,,,1.0,94.94505494505495,13.333333333333334,17.0,13.333333333333334,16.666666666666668,,,,,0.6666666666666666,0.5,0.5,,,,0.3333333333333333,,,,0.3333333333333333,0.46456666666666663,,,,,8.4,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2017,2016-17,True
