EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,DefThreePtRebounds,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,LongMidRangeFGA,LongMidRangeFrequency,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShortMidRangeFGM,PenaltyCorner3FGA,FtPoints,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,Charge Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,LongMidRangeFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,LongMidRangeAssists,OffThreePtRebounds,OffRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Offensive Fouls,BlockedShortMidRange,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,PenaltyFtPoints,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,SelfOReb,SecondChanceTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceFtPoints,ShortMidRangeAssists,Travels,BlockingFouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,DefensiveGoaltends,ShortMidRangePctBlocked,ShortMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,NonShootingPenaltyNonTakeFouls,SecondChanceArc3FGM,HeaveAttempts,Fg3aBlocked,BlockedArc3,BlockedLongMidRange,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,Technical Free Throw Trips,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101150-1626155-201569-201583-201935,1610612745,"Lou Williams, Sam Dekker, Eric Gordon, Ryan Anderson, James Harden","Williams, Dekker, Gordon, Anderson, Harden",101150-1626155-201569-201583-201935,HOU,119.0,1,2.0,3.0,6.0,6,6.0,12,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,0.3333333333333333,0.625,0.625,0.25,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,145.21008403361344,7.166666666666667,12.666666666666666,7.166666666666667,10.333333333333334,0.5,0.5,0.5,0.25,0.25,1.0,1.0,1.0,0.75,1.0,0.5549,3.6333333333333333,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626155-201569-201583-201976,1610612745,"Lou Williams, Sam Dekker, Eric Gordon, Ryan Anderson, Patrick Beverley","Williams, Dekker, Gordon, Anderson, Beverley",101150-1626155-201569-201583-201976,HOU,289.0,1,5.0,-9.0,9.0,9,,18,2.0,2.0,,2.0,6.0,2.0,2.0,2.0,7.0,10.0,19.0,2.0,6.0,6.0,2.0,2.0,3.0,2.0,8.0,,1.0,2.0,2.0,,,,,,10.0,1.0,0.2857142857142857,0.2857142857142857,1.0,0.5555555555555556,0.5555555555555556,0.7777777777777778,,1.0,,0.25,,,89.6885813148789,12.0,20.11111111111111,12.0,17.88888888888889,0.2222222222222222,1.0,1.0,,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5564055555555556,2.0,24.900000000000002,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,8.0,4.0,0.5,0.5,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.5,0.1111111111111111,0.25,1.0,0.75,0.6666666666666666,0.6005875,0.8,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626155-201569-201976-203991,1610612745,"Lou Williams, Sam Dekker, Eric Gordon, Patrick Beverley, Clint Capela","Williams, Dekker, Gordon, Beverley, Capela",101150-1626155-201569-201976-203991,HOU,156.0,1,3.0,-4.0,5.0,6,,11,,,1.0,1.0,2.0,,1.0,1.0,2.0,3.0,7.0,,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,3.0,1.0,0.5,0.5,,0.5,0.5,0.6666666666666666,1.0,,0.6666666666666666,0.5,0.6666666666666666,,101.53846153846153,12.2,15.833333333333334,12.2,14.333333333333334,,,,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,0.5,0.5149,8.0,24.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626155-201935-201976-203991,1610612745,"Lou Williams, Sam Dekker, James Harden, Patrick Beverley, Clint Capela","Williams, Dekker, Harden, Beverley, Capela",101150-1626155-201935-201976-203991,HOU,96.0,1,2.0,-3.0,3.0,3,,6,,,1.0,,1.0,,2.0,,1.0,,3.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.3333333333333333,,,,1.0,,,90.0,11.666666666666666,20.333333333333332,11.666666666666666,20.333333333333332,,,,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,0.4522833333333333,11.6,24.9,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-201569-201583-201935-201976,1610612745,"Lou Williams, Eric Gordon, Ryan Anderson, James Harden, Patrick Beverley","Williams, Gordon, Anderson, Harden, Beverley",101150-201569-201583-201935-201976,HOU,32.0,1,1.0,3.0,2.0,1,,3,,,,1.0,1.0,,,2.0,2.0,6.0,3.0,,6.0,1.0,1.0,2.0,2.0,1.0,6.0,,,,,,,,,,6.0,1.0,1.0,1.0,,1.5,1.5,1.0,,,,,,,135.0,6.0,20.0,6.0,20.0,,,,,0.5,1.0,1.0,1.0,1.0,1.0,0.4485,,26.15,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-201569-201583-201935-203991,1610612745,"Lou Williams, Eric Gordon, Ryan Anderson, James Harden, Clint Capela","Williams, Gordon, Anderson, Harden, Capela",101150-201569-201583-201935-203991,HOU,209.0,2,3.0,3.0,7.0,7,,14,1.0,1.0,1.0,,1.0,2.0,2.0,,2.0,5.0,2.0,2.0,,1.0,,,1.0,,2.0,4.0,,5.0,5.0,1.0,,,,2.0,5.0,,,,1.0,0.5,0.5,0.5,,,1.0,0.8333333333333334,1.0,1.0,96.45933014354067,14.142857142857142,15.714285714285714,14.142857142857142,13.142857142857142,0.25,1.0,1.0,0.25,0.25,,,,0.75,,0.5878375,3.7,23.85,5.0,1.0,1.0,1.0,,1.0,2.0,2.0,,2.0,4.0,2.0,1.0,1.0,1.0,,1.0,4.0,5.0,0.5,0.5,,1.0,0.5,0.5,0.5,1.0,1.0,0.25,0.25,1.0,0.25,,0.5878375,0.8,0.7142857142857143,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-201569-201583-201935-2403,1610612745,"Lou Williams, Eric Gordon, Ryan Anderson, James Harden, Nene","Williams, Gordon, Anderson, Harden, Nene",101150-201569-201583-201935-2403,HOU,654.0,4,11.0,7.0,22.0,21,3.0,43,4.0,4.0,3.0,2.0,3.0,8.0,10.0,4.0,6.0,30.0,23.0,10.0,12.0,3.0,2.0,4.0,7.0,2.0,18.0,7.0,2.0,10.0,11.0,,,2.0,1.0,4.0,27.0,1.0,0.6666666666666666,0.6666666666666666,0.8,0.875,0.8333333333333334,0.375,0.5,1.0,0.875,0.6666666666666666,1.0,0.8,94.6788990825688,12.954545454545455,17.571428571428573,12.227272727272727,16.19047619047619,0.25,1.0,1.0,0.1875,0.1875,0.6666666666666666,0.6666666666666666,1.0,0.625,0.6666666666666666,0.502259375,7.44,25.333333333333332,7.0,,,3.0,,1.0,1.0,2.0,1.0,2.0,5.0,6.0,3.0,2.0,1.0,3.0,7.0,5.0,7.0,0.375,0.375,0.5,0.5,0.625,0.5,0.25,0.3333333333333333,0.5,0.1875,,,0.25,,0.4641875,0.16666666666666666,0.3181818181818182,2.0,1.0,2.0,1.0,0.5,3.0,0.1875,2.0,2.0,0.6666666666666666,0.6666666666666666,1.0,3.0,1.0,2.0,,,2.0,1.0,,3.0,4.0,2.0,1.0,1.0,1.0,0.25,0.1111111111111111,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,0.5,0.25,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5538,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-201569-201583-201935-2772,1610612745,"Lou Williams, Eric Gordon, Ryan Anderson, James Harden, Trevor Ariza","Williams, Gordon, Anderson, Harden, Ariza",101150-201569-201583-201935-2772,HOU,1930.0,6,32.0,,64.0,62,15.0,126,16.0,28.0,2.0,6.0,18.0,18.0,32.0,8.0,22.0,73.0,73.0,26.0,15.0,18.0,6.0,5.0,10.0,3.0,25.0,11.0,1.0,16.0,25.0,5.0,2.0,5.0,3.0,9.0,65.0,0.625,0.36363636363636365,0.36363636363636365,0.5625,0.5555555555555556,0.5793650793650794,0.4074074074074074,0.5555555555555556,1.0,1.0,0.8823529411764706,1.0,1.0,94.01036269430053,14.9375,15.709677419354838,14.625,15.258064516129032,0.5185185185185185,0.5714285714285714,0.64,0.037037037037037035,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.9259259259259259,0.3333333333333333,0.5812157407407408,2.440625,25.231818181818184,23.0,5.0,9.0,4.0,3.0,6.0,5.0,10.0,4.0,7.0,29.0,10.0,5.0,4.0,4.0,4.0,10.0,29.0,23.0,0.2777777777777778,0.3333333333333333,0.5714285714285714,0.5,0.6470588235294118,0.6590909090909091,0.6666666666666666,0.6666666666666666,0.25,0.07407407407407407,0.5294117647058824,0.5555555555555556,0.35294117647058826,0.5,0.5581176470588235,0.3972602739726027,0.359375,,,,,,2.0,0.037037037037037035,2.0,2.0,0.5,0.5,1.0,1.0,1.0,13.0,3.0,1.0,4.0,3.0,,15.0,19.0,8.0,1.0,0.5,0.5,0.058823529411764705,0.13114754098360656,0.20512820512820512,8.0,1.0,,,1.0,,1.0,8.0,1.0,2.0,9.0,,2.0,2.0,,,0.5714285714285714,0.5,0.14285714285714285,0.3333333333333333,,0.5,0.5,1.0,,,,1.0,0.54349,0.1095890410958904,4.0,6.0,1.0,4.0,6.0,7.0,9.0,6.0,3.0,7.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.6666666666666666,0.09375,0.10714285714285714,0.5384615384615384,0.45454545454545453,1.0,1.0,0.16666666666666666,0.6666666666666666,0.08,0.8571428571428571,0.6666666666666666,0.25,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-201569-201583-201976-203991,1610612745,"Lou Williams, Eric Gordon, Ryan Anderson, Patrick Beverley, Clint Capela","Williams, Gordon, Anderson, Beverley, Capela",101150-201569-201583-201976-203991,HOU,2774.0,11,46.0,25.0,91.0,90,,181,19.0,27.0,20.0,10.0,26.0,35.0,51.0,10.0,26.0,123.0,98.0,40.0,24.0,26.0,10.0,8.0,23.0,8.0,54.0,32.0,,44.0,52.0,2.0,,5.0,3.0,11.0,113.0,0.8,0.38461538461538464,0.38461538461538464,0.6862745098039216,0.6493506493506493,0.6988636363636364,0.33766233766233766,0.45454545454545453,,0.8648648648648649,0.8301886792452831,0.875,0.6666666666666666,93.95818312905551,13.76923076923077,16.9,13.12087912087912,16.433333333333334,0.35064935064935066,0.7037037037037037,0.8636363636363636,0.2597402597402597,0.33766233766233766,0.38461538461538464,0.38461538461538464,0.8,0.6883116883116883,0.38461538461538464,0.5317967532467532,5.182352941176471,25.50384615384615,5.0,,1.0,,2.0,3.0,1.0,2.0,2.0,3.0,8.0,30.0,15.0,11.0,12.0,7.0,15.0,8.0,5.0,0.42857142857142855,0.46875,0.6666666666666666,0.5,0.8,0.8,0.75,0.8181818181818182,0.5789473684210527,,0.2,,0.6,0.6666666666666666,0.49394,0.06504065040650407,0.054945054945054944,7.0,7.0,8.0,7.0,0.875,4.0,0.05194805194805195,,,,,,14.0,,23.0,2.0,1.0,6.0,,,19.0,26.0,11.0,1.0,0.7,0.7368421052631579,,0.14772727272727273,0.18333333333333332,8.0,2.0,,,,,1.0,10.0,,4.0,8.0,2.0,2.0,1.0,,,0.5714285714285714,0.625,0.25,0.25,,0.5,0.5,,,,,,0.61769,0.08130081300813008,4.0,5.0,1.0,4.0,6.0,,6.0,6.0,6.0,4.0,2.0,,2.0,,,2.0,,,0.6666666666666666,0.11764705882352941,0.18518518518518517,0.25,0.25,0.3333333333333333,,0.25,0.6,0.07692307692307693,0.7142857142857143,0.8,0.25,0.14285714285714285,2.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.05,0.2857142857142857,0.07142857142857142,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-201569-201583-201976-2403,1610612745,"Lou Williams, Eric Gordon, Ryan Anderson, Patrick Beverley, Nene","Williams, Gordon, Anderson, Beverley, Nene",101150-201569-201583-201976-2403,HOU,460.0,3,8.0,-1.0,16.0,16,,32,4.0,7.0,3.0,,2.0,4.0,15.0,,2.0,15.0,16.0,6.0,,2.0,,,1.0,,2.0,3.0,,5.0,11.0,,,,,1.0,6.0,,,,0.26666666666666666,0.23529411764705882,0.35714285714285715,0.11764705882352941,,,1.0,0.8333333333333334,1.0,1.0,100.17391304347825,14.625,14.125,13.25,13.8125,0.4117647058823529,0.5714285714285714,0.6666666666666666,0.17647058823529413,0.11764705882352941,,,,0.5294117647058824,,0.5125235294117647,8.52,25.6,1.0,,,,,,,1.0,,,,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,0.25,0.3333333333333333,,,,,0.6666666666666666,0.6666666666666666,0.25,,,,,,0.3873,,0.0625,,,,,,5.0,0.29411764705882354,,,,,,,,7.0,,,1.0,,,5.0,9.0,3.0,1.0,,,,0.19047619047619047,0.16666666666666666,6.0,,,,,,,9.0,,1.0,6.0,1.0,,,,,0.75,0.75,0.5,0.38461538461538464,,,,,,,,,0.5791,0.6,3.0,3.0,,3.0,4.0,,,2.0,1.0,4.0,1.0,,,1.0,,,,,0.75,0.06666666666666667,0.14285714285714285,0.36363636363636365,0.6666666666666666,0.6666666666666666,,0.5,,0.08333333333333333,0.75,1.0,0.3333333333333333,,3.0,,,,,,1.0,,,,,,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
