EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,SecondChanceCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,LongMidRangeFGM,Arc3FGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefThreePtRebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Fouls,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Offensive Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,SecondChanceArc3FGA,Blocked3s,BlockedArc3,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3Frequency,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Fg3aBlocked,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,Loose Ball Fouls,Offensive Fouls Drawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,BlockedLongMidRange,3SecondViolations,PenaltyCorner3FGA,PenaltyCorner3Frequency,Travels,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,DefensiveGoaltends,OffensiveGoaltends,FTOffRebounds,OffFTReboundPct,Clear Path Fouls,BlockedCorner3,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101106-101114-1626147-1627827-203084,1610612742,"Andrew Bogut, Deron Williams, Justin Anderson, Dorian Finney-Smith, Harrison Barnes","Bogut, Williams, Anderson, Finney-Smith, Barnes",101106-101114-1626147-1627827-203084,DAL,160.0,1,3.0,-3.0,7.0,7.0,1.0,14.0,1.0,3.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.16666666666666666,0.14285714285714285,0.1875,0.14285714285714285,0.16666666666666666,0.3333333333333333,1.0,0.2,1.0,0.16666666666666666,0.5,1.0,1.0,126.0,12.857142857142858,10.0,12.428571428571429,10.0,0.42857142857142855,0.3333333333333333,0.5,1.0,0.42857142857142855,0.14285714285714285,1.0,0.14285714285714285,0.42093571428571425,0.58005,0.125,0.14285714285714285,14.366666666666667,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,False
101106-101114-1626147-1717-203552,1610612742,"Andrew Bogut, Deron Williams, Justin Anderson, Dirk Nowitzki, Seth Curry","Bogut, Williams, Anderson, Nowitzki, Curry",101106-101114-1626147-1717-203552,DAL,142.0,1,2.0,,5.0,4.0,,9.0,,,3.0,,,3.0,3.0,1.0,2.0,8.0,8.0,,,,,,,,,,1.0,,1.0,,,,1.0,2.0,1.0,8.0,,,1.0,0.75,0.8,0.25,,,,,1.0,,,,,91.26760563380282,15.6,16.0,15.6,16.0,,,,,0.75,,,0.25,0.4007625,,0.2,0.25,18.366666666666667,25.3,5.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,8.0,6.0,1.0,1.0,8.0,5.0,1.0,0.75,0.8,1.0,1.0,1.0,1.0,0.25,0.25,0.4007625,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,False
101106-101114-1626147-200826-202083,1610612742,"Andrew Bogut, Deron Williams, Justin Anderson, J.J. Barea, Wesley Matthews","Bogut, Williams, Anderson, Barea, Matthews",101106-101114-1626147-200826-202083,DAL,5.0,1,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,False
101106-101114-1626147-202083-203084,1610612742,"Andrew Bogut, Deron Williams, Justin Anderson, Wesley Matthews, Harrison Barnes","Bogut, Williams, Anderson, Matthews, Barnes",101106-101114-1626147-202083-203084,DAL,1155.0,8,19.0,-5.0,38.0,39.0,4.0,77.0,4.0,8.0,6.0,1.0,,13.0,26.0,7.0,10.0,39.0,44.0,,4.0,2.0,2.0,3.0,,7.0,6.0,6.0,12.0,7.0,19.0,3.0,1.0,2.0,9.0,14.0,5.0,31.0,0.15384615384615385,0.2,0.5,0.4393939393939394,0.48717948717948717,0.21212121212121213,0.07692307692307693,,0.8571428571428571,0.46153846153846156,0.9090909090909091,0.3684210526315789,0.25,1.0,1.0,96.0,17.36842105263158,12.692307692307692,17.236842105263158,12.666666666666666,0.24242424242424243,0.5,0.5,,0.18181818181818182,0.030303030303030304,,0.5757575757575758,0.48912272727272726,0.4898,0.13513513513513514,0.16666666666666666,7.153846153846154,25.514285714285712,10.0,7.0,2.0,6.0,1.0,3.0,8.0,1.0,6.0,12.0,22.0,6.0,4.0,12.0,10.0,0.375,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.1111111111111111,0.44609444444444446,0.3076923076923077,0.2631578947368421,8.0,7.0,12.0,3.0,5.0,2.0,4.0,1.0,1.0,3.0,5.0,2.0,8.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,3.0,7.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.14285714285714285,0.14285714285714285,0.6,0.6,0.5714285714285714,0.16666666666666666,0.5714285714285714,1.0,0.16666666666666666,0.8,0.25,0.2,0.5,1.0,0.11764705882352941,0.36363636363636365,0.5833333333333334,0.7,0.2857142857142857,0.16666666666666666,0.16666666666666666,1.0,1.0,0.6,0.4444444444444444,0.5,0.16666666666666666,0.20512820512820512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,False
101106-101114-1626147-203084-203552,1610612742,"Andrew Bogut, Deron Williams, Justin Anderson, Harrison Barnes, Seth Curry","Bogut, Williams, Anderson, Barnes, Curry",101106-101114-1626147-203084-203552,DAL,382.0,4,6.0,-14.0,12.0,11.0,2.0,23.0,,2.0,5.0,,,,9.0,2.0,2.0,2.0,16.0,1.0,,,,,,,2.0,1.0,2.0,2.0,4.0,,,,3.0,2.0,1.0,2.0,,,,,0.08333333333333333,0.18181818181818182,,,0.5,0.2222222222222222,0.6666666666666666,0.18181818181818182,,,1.0,86.70157068062828,20.166666666666668,12.727272727272727,17.0,12.545454545454545,0.18181818181818182,,,,0.45454545454545453,,,0.36363636363636365,0.4465318181818182,0.46485,0.08333333333333333,0.1,11.344444444444443,25.3,1.0,,,2.0,,,,,2.0,2.0,,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,,0.18181818181818182,,,1.0,0.08333333333333333,5.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,4.0,1.0,,1.0,,,,,,1.0,,,,,,,,,0.5,,,,0.4,,,,,0.18181818181818182,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,False
101106-101114-1626147-203084-2734,1610612742,"Andrew Bogut, Deron Williams, Justin Anderson, Harrison Barnes, Devin Harris","Bogut, Williams, Anderson, Barnes, Harris",101106-101114-1626147-203084-2734,DAL,222.0,2,4.0,1.0,7.0,6.0,2.0,13.0,,3.0,1.0,1.0,,2.0,7.0,2.0,,7.0,6.0,,,,,1.0,,3.0,1.0,2.0,3.0,2.0,5.0,,,,,,,3.0,,,0.2857142857142857,0.3888888888888889,0.3888888888888889,0.2222222222222222,,,1.0,0.2,1.0,0.3333333333333333,,1.0,1.0,84.32432432432432,22.285714285714285,11.0,20.142857142857142,11.0,0.3333333333333333,,,,0.1111111111111111,0.1111111111111111,,0.5555555555555556,0.481,0.5126,,,6.585714285714286,23.85,,,,1.0,,,,,,,4.0,1.0,,,,,,,,,,,0.1111111111111111,,,,,,2.0,3.0,2.0,2.0,,,,1.0,2.0,2.0,,4.0,3.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,,,,,1.0,1.0,,,,0.5714285714285714,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,False
101106-101114-1626780-1627852-203084,1610612742,"Andrew Bogut, Deron Williams, Jonathan Gibson, Nicolas Brussino, Harrison Barnes","Bogut, Williams, Gibson, Brussino, Barnes",101106-101114-1626780-1627852-203084,DAL,34.0,1,1.0,-2.0,1.0,1.0,,2.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,84.70588235294117,26.0,8.0,26.0,8.0,,,,,,,,1.0,0.3342,,,,,27.6,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,False
101106-101114-1627827-202083-203084,1610612742,"Andrew Bogut, Deron Williams, Dorian Finney-Smith, Wesley Matthews, Harrison Barnes","Bogut, Williams, Finney-Smith, Matthews, Barnes",101106-101114-1627827-202083-203084,DAL,4122.0,11,69.0,22.0,124.0,122.0,14.0,246.0,9.0,18.0,20.0,16.0,2.0,33.0,61.0,55.0,11.0,149.0,127.0,7.0,38.0,4.0,19.0,40.0,2.0,101.0,6.0,39.0,53.0,16.0,69.0,7.0,3.0,4.0,20.0,13.0,7.0,128.0,0.5757575757575758,0.6129032258064516,0.5409836065573771,0.5948275862068966,0.6157024793388429,0.47413793103448276,0.06557377049180328,0.05555555555555555,0.75,0.21428571428571427,0.7846153846153846,0.2711864406779661,0.3333333333333333,0.5833333333333334,0.8260869565217391,85.93886462882095,17.532258064516128,15.967213114754099,16.25,15.12295081967213,0.15517241379310345,0.5,0.5294117647058824,0.2222222222222222,0.1724137931034483,0.13793103448275862,0.14285714285714285,0.6724137931034483,0.5327581896551724,0.5865428571428571,0.05785123966942149,0.10606060606060606,9.250819672131147,24.44181818181818,,8.0,8.0,39.0,,,,,,,28.0,39.0,12.0,,,,,,0.9230769230769231,1.0,0.4,0.4,0.33620689655172414,,,,,29.0,16.0,23.0,2.0,4.0,,,20.0,24.0,3.0,7.0,,21.0,63.0,4.0,20.0,21.0,17.0,12.0,10.0,2.0,,9.0,4.0,6.0,11.0,20.0,,21.0,1.0,4.0,1.0,2.0,1.0,,6.0,6.0,6.0,,0.875,0.43636363636363634,0.43636363636363634,0.42857142857142855,0.75,0.75,0.13043478260869565,0.45,0.5,0.3225806451612903,0.14285714285714285,0.16666666666666666,0.3157894736842105,0.7647058823529411,0.5,,0.19827586206896552,0.6956521739130435,0.8,0.75,0.5128205128205128,0.5263157894736842,0.85,0.2857142857142857,0.5,,,0.5128205128205128,0.14093959731543623,5.0,,,4.0,0.6666666666666666,0.35714285714285715,4.0,4.0,0.25,0.26666666666666666,1.0,1.0,4.0,5.0,9.0,2.0,5.0,1.0,3.0,2.0,1.0,2.0,2.0,0.7142857142857143,0.03636363636363636,0.0625,0.02564102564102564,0.3333333333333333,0.625,0.5,1.0,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,False
101106-101114-1627827-202083-203939,1610612742,"Andrew Bogut, Deron Williams, Dorian Finney-Smith, Wesley Matthews, Dwight Powell","Bogut, Williams, Finney-Smith, Matthews, Powell",101106-101114-1627827-202083-203939,DAL,369.0,3,6.0,10.0,11.0,12.0,1.0,23.0,1.0,1.0,1.0,2.0,,3.0,4.0,6.0,2.0,14.0,4.0,1.0,4.0,1.0,2.0,4.0,1.0,10.0,,6.0,8.0,2.0,10.0,2.0,2.0,,3.0,6.0,3.0,11.0,0.6666666666666666,0.6666666666666666,0.75,0.6,0.5416666666666666,0.6,0.25,,1.0,,1.0,0.4,,,1.0,89.7560975609756,17.272727272727273,14.916666666666666,16.727272727272727,14.916666666666666,0.1,1.0,1.0,1.0,0.1,0.2,,0.8,0.53252,,0.25,0.5,7.025,24.566666666666666,,2.0,1.0,4.0,,,,,,,2.0,4.0,2.0,,,,,,1.0,1.0,1.0,1.0,0.4,,,,,1.0,1.0,2.0,,,,,1.0,2.0,,,,3.0,6.0,,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,0.3333333333333333,0.3333333333333333,,1.5,1.5,0.5,0.5,,0.5,,,0.6666666666666666,1.0,1.0,0.25,0.2,0.5,1.0,1.0,0.25,0.25,1.0,,,,,0.25,0.21428571428571427,1.0,,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,False
101106-101114-1627827-203084-203552,1610612742,"Andrew Bogut, Deron Williams, Dorian Finney-Smith, Harrison Barnes, Seth Curry","Bogut, Williams, Finney-Smith, Barnes, Curry",101106-101114-1627827-203084-203552,DAL,302.0,2,5.0,8.0,10.0,8.0,1.0,18.0,1.0,1.0,5.0,,,4.0,8.0,1.0,2.0,10.0,2.0,,4.0,,2.0,2.0,1.0,4.0,1.0,4.0,6.0,1.0,7.0,1.0,1.0,,2.0,2.0,1.0,10.0,0.5,0.5,0.5,0.4444444444444444,0.5,0.1111111111111111,,,1.0,0.25,1.0,0.2,,1.0,1.0,85.82781456953643,17.7,15.625,17.3,15.625,0.1111111111111111,1.0,1.0,1.0,0.5555555555555556,,,0.3333333333333333,0.5092833333333333,0.4104,0.1,0.1111111111111111,11.85,27.8,,,1.0,1.0,,,,,,,4.0,1.0,2.0,,,,,,1.0,1.0,0.2,0.2,0.1111111111111111,,,,,1.0,2.0,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,0.25,,1.0,1.0,,0.2222222222222222,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2017,2016-17,False
