EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,SecondChanceFG2A,OffThreePtRebounds,BadPassTurnovers,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,SecondChanceAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,FTDefRebounds,DefFTReboundPct,SecondChanceAtRimFGM,ShortMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFtPoints,PtsPutbacks,ShortMidRangeAssists,LongMidRangeAssists,LostBallSteals,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedShortMidRange,RecoveredBlocks,SecondChanceFg2Pct,OffLongMidRangeReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3FGM,SelfOReb,Travels,Defensive 3 Seconds Violations,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,Loose Ball Fouls,LongMidRangePctBlocked,SecondChanceTurnovers,Charge Fouls,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,Charge Fouls Drawn,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,BlockedLongMidRange,BlockedCorner3,Corner3PctBlocked,team_id,year,season,team_vs
1626188-1627936-1628398-200765-203076,1610612747,"Quinn Cook, Alex Caruso, Kyle Kuzma, Rajon Rondo, Anthony Davis","Cook, Caruso, Kuzma, Rondo, Davis",1626188-1627936-1628398-200765-203076,LAL,509.0,3,8.0,5.0,19.0,18.0,13.0,13.0,1.0,37.0,4.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,2.0,4.0,5.0,8.0,5.0,8.0,1.0,26.0,21.0,1.0,1.0,3.0,3.0,6.0,3.0,5.0,1.0,16.0,8.0,2.0,9.0,6.0,1.0,6.0,4.0,1.0,4.0,3.0,7.0,2.0,1.0,4.0,17.0,1.0,2.0,3.0,5.0,1.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,23.0,16.0,13.0,1.0,1.0,0.8,0.8,0.6,0.625,1.0,0.6,0.7142857142857143,0.625,0.5,0.78125,1.5,0.6818181818181818,0.7647058823529411,1.5,0.6666666666666666,0.5,0.125,0.5,0.3333333333333333,0.6,0.3333333333333333,1.0,0.7142857142857143,0.2,0.5,0.5,1.0,1.0,1.0,104.67583497053046,12.31578947368421,15.277777777777779,12.210526315789474,15.277777777777779,0.3125,0.8,0.8,1.0,0.125,0.0625,1.0,1.0,0.0625,1.0,1.0,1.0,0.4375,0.5714285714285714,0.5714285714285714,0.5,1.0,1.0,1.0,0.2727272727272727,0.6666666666666666,0.09090909090909091,1.0,0.36363636363636365,0.5,0.8125,0.6666666666666666,0.52208,0.5985,0.5058409090909092,0.11538461538461539,0.6153846153846154,4.4,30.175,0.6842105263157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1626188-1627936-1628398-201162-2730,1610612747,"Quinn Cook, Alex Caruso, Kyle Kuzma, Jared Dudley, Dwight Howard","Cook, Caruso, Kuzma, Dudley, Howard",1626188-1627936-1628398-201162-2730,LAL,18.0,1,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1626188-1627936-1628398-201980-203076,1610612747,"Quinn Cook, Alex Caruso, Kyle Kuzma, Danny Green, Anthony Davis","Cook, Caruso, Kuzma, Green, Davis",1626188-1627936-1628398-201980-203076,LAL,289.0,2,5.0,1.0,10.0,8.0,,,2.0,18.0,2.0,5.0,,,,,,2.0,3.0,,,,,,2.0,,,2.0,5.0,2.0,5.0,2.0,12.0,11.0,,,,,,,,,,2.0,2.0,6.0,,,2.0,,2.0,1.0,2.0,3.0,,2.0,1.0,8.0,1.0,1.0,2.0,3.0,2.0,5.0,,,1.0,,,,1.0,,1.0,1.0,,1.0,,2.0,,12.0,,,,,0.5,0.5,1.0,0.4,,,0.4,0.4,,0.5,,,0.5454545454545454,,,0.5,0.4,,1.0,0.4,0.3333333333333333,1.0,0.5,0.3333333333333333,,,,1.0,,89.6885813148789,15.9,16.25,15.5,14.75,0.5,0.4,0.6666666666666666,0.5,,,,,0.3,0.6666666666666666,0.6666666666666666,1.0,0.2,,,,,,,,,,,,,1.0,,0.54233,0.5923,,,,2.2,24.46,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.09090909090909091,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1626188-1627936-1628398-202693-203079,1610612747,"Quinn Cook, Alex Caruso, Kyle Kuzma, Markieff Morris, Dion Waiters","Cook, Caruso, Kuzma, Morris, Waiters",1626188-1627936-1628398-202693-203079,LAL,30.0,1,,-3.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,96.0,24.0,6.0,24.0,6.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,0.4812,,,,,,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1626188-1627936-1628398-203076-203079,1610612747,"Quinn Cook, Alex Caruso, Kyle Kuzma, Anthony Davis, Dion Waiters","Cook, Caruso, Kuzma, Davis, Waiters",1626188-1627936-1628398-203076-203079,LAL,62.0,1,1.0,-6.0,2.0,3.0,,,,5.0,,,,,,,,,1.0,,,,,,1.0,,,,,,2.0,,,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,116.1290322580645,11.0,13.333333333333334,11.0,13.333333333333334,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,1.0,,0.58125,,,,,,25.25,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1626188-1627936-1628398-203076-203484,1610612747,"Quinn Cook, Alex Caruso, Kyle Kuzma, Anthony Davis, Kentavious Caldwell-Pope","Cook, Caruso, Kuzma, Davis, Caldwell-Pope",1626188-1627936-1628398-203076-203484,LAL,1243.0,7,21.0,-11.0,46.0,44.0,20.0,15.0,7.0,90.0,12.0,17.0,2.0,5.0,7.0,2.0,3.0,,3.0,,1.0,,2.0,3.0,10.0,2.0,6.0,17.0,27.0,3.0,13.0,12.0,55.0,66.0,,2.0,9.0,4.0,8.0,2.0,8.0,6.0,20.0,20.0,14.0,9.0,,,10.0,3.0,4.0,10.0,3.0,13.0,3.0,,7.0,29.0,4.0,4.0,8.0,13.0,7.0,20.0,3.0,2.0,5.0,1.0,3.0,2.0,8.0,4.0,5.0,8.0,1.0,9.0,,14.0,1.0,46.0,20.0,20.0,2.0,1.0,0.5882352941176471,0.7142857142857143,1.0,0.23076923076923078,,0.25,0.23076923076923078,0.6296296296296297,0.5,0.5375,0.5714285714285714,0.4375,0.5777777777777777,0.5625,0.47368421052631576,0.325,0.14814814814814814,0.14285714285714285,0.625,0.6666666666666666,0.4,1.0,0.75,0.3684210526315789,,0.5714285714285714,1.0,1.0,,104.26387771520515,14.456521739130435,13.136363636363637,13.934782608695652,12.681818181818182,0.425,0.7058823529411765,0.8571428571428571,0.5833333333333334,0.175,0.075,0.6666666666666666,0.6666666666666666,0.075,,,,0.25,0.3,0.3,1.0,0.14285714285714285,,,0.3125,0.4,0.125,,0.375,0.3333333333333333,0.75,0.3,0.51656125,0.5734375,0.51138125,0.16363636363636364,0.36363636363636365,5.433333333333333,26.03846153846154,0.43478260869565216,5.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,0.17647058823529413,0.3333333333333333,0.6,,0.75,0.7142857142857143,0.11363636363636363,0.16129032258064516,1.0,0.5,4.0,3.0,1.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.8,1.0,0.42857142857142855,0.6,0.42857142857142855,0.5,0.6666666666666666,0.5,0.8,0.25,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1626188-1627936-1628398-203076-203584,1610612747,"Quinn Cook, Alex Caruso, Kyle Kuzma, Anthony Davis, Troy Daniels","Cook, Caruso, Kuzma, Davis, Daniels",1626188-1627936-1628398-203076-203584,LAL,339.0,4,6.0,-6.0,13.0,14.0,5.0,8.0,1.0,27.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,,,,,,,1.0,5.0,,2.0,4.0,7.0,1.0,5.0,2.0,13.0,19.0,,1.0,,2.0,3.0,,2.0,1.0,5.0,2.0,6.0,3.0,,1.0,4.0,1.0,,1.0,1.0,2.0,1.0,,1.0,5.0,2.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,2.0,,,2.0,2.0,,1.0,1.0,,3.0,,4.0,,13.0,5.0,5.0,,,0.25,0.25,1.0,0.2,,,0.25,0.5714285714285714,0.6666666666666666,0.4583333333333333,,0.4,0.4642857142857143,,0.4166666666666667,0.4166666666666667,,,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8,0.3333333333333333,1.0,1.0,,0.6666666666666666,,114.69026548672565,12.538461538461538,12.571428571428571,11.153846153846153,12.071428571428571,0.08333333333333333,1.0,1.0,1.0,0.25,0.25,0.6666666666666666,0.6666666666666666,,,,,0.4166666666666667,0.2,0.2,1.0,,,,0.2,1.0,,,0.4,,0.5,0.25,0.45132000000000005,0.486825,0.4471125,,0.38461538461538464,11.242857142857144,32.86,0.38461538461538464,,1.0,,,2.0,,,,,,,,,,0.14285714285714285,0.2222222222222222,,,,1.0,1.0,,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1626188-1627936-1628398-203076-2544,1610612747,"Quinn Cook, Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James","Cook, Caruso, Kuzma, Davis, James",1626188-1627936-1628398-203076-2544,LAL,43.0,2,1.0,,2.0,1.0,2.0,,,3.0,,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,2.0,,3.0,3.0,,,,,,1.0,2.0,,3.0,,,3.0,,,1.0,,,,1.0,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,,,,,1.0,0.5,,0.5,0.5,,,0.75,,0.75,0.75,,0.75,1.0,,,,,,,,,,,,,,100.46511627906976,9.5,24.0,9.5,24.0,,,,,,,,,0.5,1.0,1.0,1.0,0.5,,,,,,,,,0.5,1.0,0.5,,1.0,,0.46492500000000003,,0.46492500000000003,,1.0,,24.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1626188-1627936-1628398-203076-2730,1610612747,"Quinn Cook, Alex Caruso, Kyle Kuzma, Anthony Davis, Dwight Howard","Cook, Caruso, Kuzma, Davis, Howard",1626188-1627936-1628398-203076-2730,LAL,156.0,3,3.0,-9.0,6.0,6.0,2.0,3.0,2.0,12.0,1.0,2.0,,1.0,2.0,,1.0,,,,,,,,1.0,,1.0,1.0,5.0,,1.0,,2.0,11.0,,,2.0,,2.0,,1.0,,,2.0,,,,,1.0,,,1.0,,1.0,,,1.0,2.0,1.0,,1.0,1.0,2.0,3.0,,,1.0,,1.0,,2.0,1.0,1.0,2.0,,1.0,,,,,,2.0,,,1.0,1.0,,,,,,0.2,,0.16666666666666666,0.3333333333333333,,0.16666666666666666,0.3333333333333333,,0.16666666666666666,,,0.5,1.0,0.25,,0.5,0.4,,,1.0,,,110.76923076923076,14.666666666666666,11.333333333333334,12.166666666666666,11.166666666666666,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.16666666666666666,,,,,,,0.16666666666666666,,,,,,,0.3333333333333333,,,,0.3333333333333333,,0.5,,0.4600416666666667,0.4405,0.49961666666666665,1.0,,8.24,27.4,0.3333333333333333,2.0,3.0,1.0,1.0,,,,,,1.0,1.0,,,0.6666666666666666,,,,,1.0,,,1.0,,,,,,1.0,,,,,,0.3333333333333333,,1.0,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1626188-1627936-1628398-203484-2730,1610612747,"Quinn Cook, Alex Caruso, Kyle Kuzma, Kentavious Caldwell-Pope, Dwight Howard","Cook, Caruso, Kuzma, Caldwell-Pope, Howard",1626188-1627936-1628398-203484-2730,LAL,1439.0,5,24.0,-7.0,52.0,50.0,10.0,17.0,9.0,102.0,12.0,21.0,,2.0,9.0,4.0,10.0,,,,,,,1.0,7.0,,,20.0,40.0,1.0,7.0,8.0,51.0,58.0,1.0,1.0,11.0,3.0,8.0,,,3.0,9.0,18.0,22.0,3.0,,,7.0,1.0,2.0,9.0,1.0,10.0,1.0,,5.0,21.0,9.0,6.0,11.0,17.0,11.0,28.0,4.0,3.0,5.0,2.0,4.0,2.0,9.0,3.0,4.0,6.0,1.0,10.0,,12.0,1.0,40.0,9.0,10.0,,1.0,0.45,0.5294117647058824,1.0,0.14285714285714285,1.0,,0.14285714285714285,0.5,0.375,0.4574468085106383,0.5625,0.375,0.4811320754716981,0.5,0.45,0.14893617021276595,0.05,,0.5555555555555556,0.6875,0.45,0.75,0.7083333333333334,0.4230769230769231,0.2,,0.8333333333333334,0.6666666666666666,0.8,102.07088255733147,13.26923076923077,14.98,12.653846153846153,14.5,0.44680851063829785,0.5714285714285714,0.631578947368421,0.4166666666666667,0.19148936170212766,0.2127659574468085,0.4,0.4,,,,,0.14893617021276595,0.14285714285714285,0.14285714285714285,1.0,,,,0.25,,,,,,0.5957446808510638,0.14285714285714285,0.5103340425531915,0.5675428571428571,0.4034,0.21568627450980393,0.17647058823529413,6.7575,26.057142857142857,0.19230769230769232,6.0,7.0,2.0,3.0,5.0,2.0,1.0,2.0,0.09523809523809523,0.3333333333333333,0.6666666666666666,,0.8571428571428571,0.75,0.09615384615384616,0.1111111111111111,,,3.0,4.0,1.0,3.0,2.0,6.0,2.0,2.0,1.0,,,,,1.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.5,0.4444444444444444,0.4444444444444444,0.5,0.5,0.5,,0.125,1.0,3.0,1.0,1.0,0.125,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
