EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,FtPoints,SecondChanceFG2M,SecondChancePoints,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,SelfOReb,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,LiveBallTurnoverPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyDefPoss,Corner3FGA,SecondChanceFtPoints,LostBallSteals,BadPassTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,OffCorner3ReboundPct,Corner3Frequency,SecondChanceAtRimPctAssisted,PenaltyFtPoints,HeaveAttempts,FTDefRebounds,DefFTReboundPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,FTOffRebounds,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,NonShootingFoulsDrawn,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,OffFTReboundPct,OffLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,BlockedShortMidRange,LongMidRangePctBlocked,DefCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Travels,BlockedLongMidRange,3SecondViolations,SecondChanceArc3PctAssisted,Charge Fouls,OffensiveGoaltends,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,BlockedCorner3,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1626209-1627746-1629014-1629018-203081,1610612757,"Mario Hezonja, Skal Labissiere, Anfernee Simons, Gary Trent Jr., Damian Lillard","Hezonja, Labissiere, Simons, Trent Jr., Lillard",1626209-1627746-1629014-1629018-203081,POR,179.0,1,3.0,-3.0,6.0,7.0,6.0,2.0,13.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,5.0,8.0,1.0,1.0,5.0,1.0,2.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,0.5,0.5,0.5,0.2,0.2,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.5,0.2,0.5,0.5,1.0,0.25,1.0,1.0,1.0,0.4,0.5,1.0,1.0,1.0,104.58100558659217,16.166666666666668,11.714285714285714,15.666666666666666,11.714285714285714,0.14285714285714285,1.0,1.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5,1.0,0.14285714285714285,1.0,0.2857142857142857,0.5,0.42857142857142855,0.5,0.4849785714285714,0.3927,0.4849785714285714,1.0,10.28,26.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1627746-1629014-1629018-203145,1610612757,"Mario Hezonja, Skal Labissiere, Anfernee Simons, Gary Trent Jr., Kent Bazemore","Hezonja, Labissiere, Simons, Trent Jr., Bazemore",1626209-1627746-1629014-1629018-203145,POR,459.0,2,8.0,6.0,14.0,13.0,,2.0,27.0,2.0,4.0,,,4.0,2.0,2.0,4.0,,,6.0,10.0,2.0,4.0,19.0,13.0,1.0,,,,,,6.0,3.0,4.0,2.0,2.0,,,2.0,2.0,4.0,6.0,2.0,8.0,,,,,1.0,1.0,,17.0,,,0.5,,0.5,0.6,,0.6428571428571429,,0.6333333333333333,,0.2857142857142857,,0.2,0.25,,1.0,0.5,1.0,,1.0,0.3333333333333333,,,1.0,1.0,84.70588235294117,17.571428571428573,16.384615384615383,17.357142857142858,16.384615384615383,0.2857142857142857,0.5,0.6666666666666666,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.5,0.5,,,,,0.5714285714285714,0.5,0.4712178571428572,0.6065,,,8.03,26.7,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6,0.5,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.25,1.0,0.5,0.5,0.6666666666666666,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.06666666666666667,0.09090909090909091,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1627746-1629014-1629018-203468,1610612757,"Mario Hezonja, Skal Labissiere, Anfernee Simons, Gary Trent Jr., CJ McCollum","Hezonja, Labissiere, Simons, Trent Jr., McCollum",1626209-1627746-1629014-1629018-203468,POR,397.0,4,7.0,-2.0,13.0,12.0,,2.0,25.0,4.0,6.0,,,3.0,,,5.0,,,5.0,9.0,,7.0,13.0,15.0,4.0,,,,,,4.0,,5.0,,1.0,,3.0,1.0,2.0,3.0,5.0,4.0,9.0,1.0,,,,1.0,,,6.0,,,,,,0.5555555555555556,,0.3125,,0.38235294117647056,,0.4375,,0.1111111111111111,0.3333333333333333,,1.0,0.25,0.5,0.42857142857142855,0.7142857142857143,0.36363636363636365,,0.4,1.0,0.5,90.68010075566751,17.384615384615383,14.25,16.846153846153847,13.583333333333334,0.375,0.6666666666666666,0.6666666666666666,0.1875,,0.3125,,,,,,,0.8125,,0.56934375,0.6627,,,3.5555555555555554,25.385714285714283,,3.0,4.0,1.0,,3.0,3.0,7.0,6.0,,4.0,3.0,,3.0,,2.0,1.0,,6.0,1.0,1.0,,,,6.0,4.0,2.0,,,,,0.6,1.0,,0.75,0.75,0.875,,1.0,0.5,1.0,,0.1,,0.5,0.3333333333333333,0.5,1.0,,,,,1.0,0.75,0.11764705882352941,0.2,0.5384615384615384,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.125,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1627746-1629014-1629642-203081,1610612757,"Mario Hezonja, Skal Labissiere, Anfernee Simons, Nassir Little, Damian Lillard","Hezonja, Labissiere, Simons, Little, Lillard",1626209-1627746-1629014-1629642-203081,POR,232.0,2,4.0,-9.0,8.0,10.0,6.0,1.0,18.0,1.0,3.0,1.0,3.0,2.0,,,3.0,,2.0,1.0,5.0,,4.0,3.0,12.0,2.0,1.0,5.0,,2.0,3.0,2.0,,2.0,,1.0,,,2.0,3.0,1.0,5.0,2.0,7.0,,,,,,,,1.0,3.0,6.0,,,,0.2,0.2,0.1111111111111111,0.14285714285714285,0.15,0.1875,0.4444444444444444,,0.2,,,0.5,0.5,1.0,,0.8,0.2857142857142857,0.5,,,1.0,111.72413793103448,14.0,12.0,13.625,11.4,0.3333333333333333,0.3333333333333333,0.5,0.2222222222222222,,0.3333333333333333,,,0.42857142857142855,0.3333333333333333,0.2857142857142857,,0.7777777777777778,,0.537425,0.5925,0.5213416666666667,1.0,3.6,28.2,0.75,1.0,2.0,,,1.0,1.0,2.0,,,2.0,,,,,,,,,1.0,,,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,0.5,0.5,0.5,0.3333333333333333,,0.5,,1.0,0.16666666666666666,,,,,,,,,,1.0,0.5,0.1,0.16666666666666666,0.6666666666666666,4.0,1.0,,,,,,,,0.1111111111111111,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1627746-1629014-1629642-203145,1610612757,"Mario Hezonja, Skal Labissiere, Anfernee Simons, Nassir Little, Kent Bazemore","Hezonja, Labissiere, Simons, Little, Bazemore",1626209-1627746-1629014-1629642-203145,POR,717.0,2,12.0,-7.0,24.0,28.0,14.0,7.0,52.0,3.0,6.0,,2.0,2.0,2.0,3.0,11.0,2.0,7.0,4.0,10.0,5.0,19.0,25.0,32.0,5.0,1.0,4.0,4.0,12.0,16.0,6.0,6.0,11.0,3.0,,,5.0,2.0,7.0,6.0,13.0,9.0,22.0,,,,1.0,2.0,1.0,1.0,18.0,16.0,14.0,0.2631578947368421,0.3333333333333333,0.2631578947368421,0.4,0.25,0.39655172413793105,0.4375,0.4032258064516129,0.4444444444444444,0.6551724137931034,,,,,0.6,0.3333333333333333,1.0,0.35714285714285715,0.7647058823529411,0.35,0.5,0.375,1.0,1.0,104.43514644351465,14.375,13.285714285714286,13.0,12.464285714285714,0.20689655172413793,0.5,0.5,0.06896551724137931,0.06896551724137931,0.3793103448275862,0.2727272727272727,0.2727272727272727,0.125,,0.4375,0.2857142857142857,0.8620689655172413,0.2727272727272727,0.5159293103448276,0.44821666666666665,0.511875,0.64,6.3,25.173684210526318,0.5833333333333334,2.0,4.0,,1.0,2.0,2.0,7.0,2.0,9.0,4.0,1.0,3.0,4.0,1.0,1.0,,,11.0,,1.0,,1.0,7.0,7.0,5.0,1.0,,,,,0.25,0.5,0.6,0.4,0.5,0.4375,,0.5,,0.5,0.6,,,0.3333333333333333,,,,0.5,0.5,,0.3333333333333333,0.5714285714285714,0.5,0.034482758620689655,0.1,0.28,9.0,8.0,,,1.0,,1.0,,0.3333333333333333,0.27586206896551724,,2.0,,,,2.0,2.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.5,1.0,1.0,0.25,0.25,1.0,0.2857142857142857,0.5,0.3125,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1627746-1629014-201229-203145,1610612757,"Mario Hezonja, Skal Labissiere, Anfernee Simons, Anthony Tolliver, Kent Bazemore","Hezonja, Labissiere, Simons, Tolliver, Bazemore",1626209-1627746-1629014-201229-203145,POR,173.0,1,3.0,4.0,6.0,6.0,,,12.0,3.0,3.0,,,1.0,,,1.0,,,3.0,4.0,,1.0,8.0,4.0,,,,,,,2.0,,1.0,,,,,,,3.0,3.0,,3.0,1.0,,,,,,,8.0,,,,,,0.75,,0.6,,0.6666666666666666,,0.2,,,,,0.75,,,,0.75,,,,1.0,,99.88439306358381,11.666666666666666,17.166666666666668,11.666666666666666,16.0,0.6,1.0,1.0,0.2,,0.2,,,,,,,0.8,,0.56924,,,,3.625,26.7,,,,,,2.0,,,4.0,,,2.0,,2.0,,2.0,,,4.0,,,,1.0,1.0,1.0,2.0,1.0,,,,,0.6666666666666666,0.6666666666666666,,,,,,,,,0.5,,,0.6666666666666666,,,,,,,,,,0.16666666666666666,0.2,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1627746-1629014-203081-203145,1610612757,"Mario Hezonja, Skal Labissiere, Anfernee Simons, Damian Lillard, Kent Bazemore","Hezonja, Labissiere, Simons, Lillard, Bazemore",1626209-1627746-1629014-203081-203145,POR,1835.0,11,31.0,-19.0,71.0,70.0,41.0,7.0,141.0,9.0,17.0,8.0,15.0,9.0,12.0,1.0,17.0,1.0,10.0,19.0,38.0,2.0,22.0,61.0,80.0,6.0,10.0,23.0,2.0,14.0,37.0,16.0,3.0,17.0,1.0,5.0,,1.0,5.0,7.0,17.0,24.0,6.0,30.0,3.0,2.0,2.0,5.0,8.0,,3.0,53.0,37.0,41.0,0.09090909090909091,0.14285714285714285,0.09090909090909091,0.5,0.43478260869565216,0.36666666666666664,0.35135135135135137,0.4420289855072464,0.43023255813953487,0.36666666666666664,,0.13157894736842105,0.1111111111111111,,0.7727272727272727,0.2777777777777778,0.6363636363636364,0.05263157894736842,0.7272727272727273,0.16216216216216217,,0.06666666666666667,1.0,0.6666666666666666,110.64850136239782,12.47887323943662,13.557142857142857,12.0,13.214285714285714,0.2833333333333333,0.5294117647058824,0.6428571428571429,0.15,0.2,0.2833333333333333,0.058823529411764705,0.058823529411764705,0.40540540540540543,0.5333333333333333,0.2702702702702703,0.1,0.65,0.058823529411764705,0.5049694915254237,0.5054,0.5373944444444444,0.6065573770491803,7.755263157894737,26.213636363636365,0.5774647887323944,2.0,3.0,4.0,6.0,17.0,3.0,8.0,22.0,3.0,4.0,11.0,1.0,12.0,,3.0,3.0,5.0,25.0,,3.0,3.0,10.0,15.0,18.0,20.0,6.0,4.0,3.0,4.0,2.0,0.5789473684210527,0.6470588235294118,0.5,0.5,0.5,0.5714285714285714,0.17647058823529413,0.375,0.625,0.5,0.8,,0.5,0.3333333333333333,0.4444444444444444,0.5,0.75,0.5,0.5454545454545454,0.8333333333333334,,0.5,0.6666666666666666,0.09375,0.14285714285714285,0.13114754098360656,37.0,5.0,2.0,1.0,,,2.0,,,0.08333333333333333,,11.0,,,,1.0,1.0,4.0,,,,,1.0,,,1.0,1.0,5.0,,1.0,5.0,,,,0.2,0.2,1.0,,,0.10810810810810811,0.25,2.0,1.0,1.0,0.08333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1627746-1629014-203081-203468,1610612757,"Mario Hezonja, Skal Labissiere, Anfernee Simons, Damian Lillard, CJ McCollum","Hezonja, Labissiere, Simons, Lillard, McCollum",1626209-1627746-1629014-203081-203468,POR,190.0,1,3.0,3.0,8.0,8.0,,2.0,16.0,1.0,3.0,,,1.0,,1.0,4.0,,,1.0,4.0,1.0,5.0,5.0,2.0,1.0,,,,,,,3.0,4.0,1.0,1.0,,1.0,2.0,,2.0,2.0,3.0,5.0,4.0,2.0,,1.0,2.0,,,5.0,,,0.2,,0.2,0.25,,0.2777777777777778,,0.2777777777777778,,0.5555555555555556,,0.25,1.0,,1.0,0.6666666666666666,,0.25,0.6666666666666666,0.42857142857142855,1.0,0.3333333333333333,1.0,,121.26315789473685,10.375,13.375,7.375,13.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111,,0.4444444444444444,0.25,0.25,,,,,0.8888888888888888,0.25,0.5672777777777778,0.5499333333333333,,,2.975,24.86,,,1.0,,,,,,2.0,,,1.0,,1.0,,1.0,,,2.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.5,0.5,1.0,,0.16666666666666666,1.0,1.0,,,,,,,,0.3333333333333333,,,,,,1.0,,2.0,,1.0,,,,0.1111111111111111,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1627746-1629014-203081-2546,1610612757,"Mario Hezonja, Skal Labissiere, Anfernee Simons, Damian Lillard, Carmelo Anthony","Hezonja, Labissiere, Simons, Lillard, Anthony",1626209-1627746-1629014-203081-2546,POR,138.0,1,2.0,8.0,4.0,5.0,1.0,,9.0,,,,,,,,1.0,,,,,2.0,3.0,8.0,,,,,1.0,1.0,3.0,,,1.0,,,,,,2.0,1.0,3.0,,3.0,1.0,1.0,,,,,,8.0,3.0,1.0,0.6666666666666666,1.0,0.6666666666666666,,,1.0,1.5,1.0,1.5,1.0,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,93.91304347826087,13.75,16.6,13.75,14.2,,,,,,0.3333333333333333,,,,,,,1.0,,0.55595,,0.56205,0.375,,23.0,0.25,,,,,2.0,,,,6.0,,,2.0,2.0,,,,,6.0,,,,,,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.25,1.0,,,2.0,,,,,,,,0.6666666666666666,,,,,,2.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1627746-1629014-203145-203468,1610612757,"Mario Hezonja, Skal Labissiere, Anfernee Simons, Kent Bazemore, CJ McCollum","Hezonja, Labissiere, Simons, Bazemore, McCollum",1626209-1627746-1629014-203145-203468,POR,1597.0,7,27.0,9.0,56.0,56.0,2.0,8.0,112.0,11.0,22.0,,1.0,5.0,7.0,4.0,15.0,,1.0,15.0,34.0,6.0,17.0,66.0,57.0,7.0,,1.0,,1.0,,14.0,3.0,15.0,4.0,3.0,,1.0,8.0,10.0,12.0,22.0,9.0,31.0,4.0,3.0,,4.0,4.0,,,52.0,,2.0,0.35294117647058826,,0.35294117647058826,0.4411764705882353,,0.47058823529411764,,0.5409836065573771,,0.3333333333333333,,0.08823529411764706,,,0.631578947368421,0.42105263157894735,1.0,0.09090909090909091,0.7586206896551724,0.3,0.3333333333333333,0.09090909090909091,0.7142857142857143,1.0,100.98935504070131,13.696428571428571,14.821428571428571,13.071428571428571,14.482142857142858,0.43137254901960786,0.5,0.5789473684210527,0.09803921568627451,0.13725490196078433,0.29411764705882354,0.26666666666666666,0.26666666666666666,0.5,,0.5,,0.7647058823529411,0.26666666666666666,0.5149,0.5435142857142857,0.527325,,6.414705882352941,25.700000000000003,0.03571428571428571,4.0,5.0,2.0,2.0,18.0,5.0,14.0,16.0,15.0,6.0,8.0,5.0,13.0,3.0,5.0,1.0,2.0,31.0,1.0,,,5.0,9.0,17.0,22.0,12.0,3.0,1.0,3.0,2.0,0.5333333333333333,0.6666666666666666,0.8333333333333334,0.7142857142857143,0.8125,0.7777777777777778,0.13636363636363635,,0.5454545454545454,1.0,0.5,0.037037037037037035,0.6666666666666666,0.45454545454545453,0.4,0.4,0.5,0.2857142857142857,0.2857142857142857,1.0,0.75,0.625,0.8,0.19672131147540983,0.2727272727272727,0.21212121212121213,,2.0,1.0,1.0,,,2.0,,,0.0392156862745098,,,,,,2.0,,,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,,,,1.0,,0.2,1.0,1.0,1.0,0.125,1.0,,,,2.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
