EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,DefTwoPtRebounds,Steals,BadPassSteals,ShootingFouls,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefAtRimReboundPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,AtRimAssists,FTDefRebounds,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,LiveBallTurnoverPct,DefFTReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShortMidRangePctBlocked,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,BlockedShortMidRange,SecondChanceFg2Pct,DefShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Corner3FGM,Corner3FGA,Corner3Assists,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Offensive Fouls,OffThreePtRebounds,LostBallTurnovers,Offensive Fouls Drawn,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,2pt And 1 Free Throw Trips,Technical Free Throw Trips,HeaveAttempts,Travels,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGA,Loose Ball Fouls Drawn,OffLongMidRangeReboundPct,PenaltyCorner3Frequency,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,StepOutOfBoundsTurnovers,ShortMidRangeAssists,SelfOReb,Blocked3s,BlockedArc3,LongMidRangePctBlocked,OffCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,Charge Fouls,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,LongMidRangeAssists,LongMidRangePctAssisted,Arc3PctBlocked,3pt And 1 Free Throw Trips,BlockedLongMidRange,BlockedCorner3,Defensive 3 Seconds Violations,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
1626187-1627863-200757-200782-201569,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, P.J. Tucker, Eric Gordon","Frazier, House Jr., Sefolosha, Tucker, Gordon",1626187-1627863-200757-200782-201569,HOU,240.0,1,4.0,-2.0,7.0,8.0,5.0,2.0,15.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,6.0,9.0,11.0,1.0,1.0,2.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,6.0,1.0,9.0,3.0,1.0,4.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3,1.5,0.5,1.25,0.6,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,90.0,18.285714285714285,14.0,16.428571428571427,14.0,0.2,0.2,0.6,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.8,0.3333333333333333,0.5200400000000001,0.6192,0.4444444444444444,0.6,0.25,0.5555555555555556,6.6,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200757-200782-203085,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, P.J. Tucker, Austin Rivers","Frazier, House Jr., Sefolosha, Tucker, Rivers",1626187-1627863-200757-200782-203085,HOU,77.0,1,1.0,3.0,3.0,3.0,3.0,,6.0,,,1.0,2.0,,,,1.0,2.0,1.0,4.0,1.0,,,,,,2.0,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,2.0,,,4.0,,0.5,,0.5,0.75,,0.6666666666666666,,1.0,,,,,1.0,,,,,112.2077922077922,13.0,12.666666666666666,13.0,12.666666666666666,,,1.0,0.5,0.5,,,,,1.0,0.5,0.56715,,,,,,,25.15,3.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,0.5,0.75,0.6666666666666666,1.0,1.0,1.0,0.5,0.56715,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200757-201569-203085,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, Eric Gordon, Austin Rivers","Frazier, House Jr., Sefolosha, Gordon, Rivers",1626187-1627863-200757-201569-203085,HOU,293.0,2,5.0,9.0,12.0,12.0,9.0,,24.0,6.0,,,1.0,,,7.0,,1.0,5.0,17.0,8.0,,,,,,1.0,,,,1.0,,2.0,,4.0,6.0,,6.0,4.0,3.0,,6.0,2.0,,17.0,,,,,0.75,,0.7727272727272727,,0.125,,,,0.8,0.7142857142857143,,,,1.0,117.95221843003412,9.666666666666666,14.75,9.666666666666666,14.166666666666666,0.75,,0.125,,,,,,,0.875,,0.5518562499999999,,0.2,0.2222222222222222,,,4.042857142857143,27.7,12.0,,1.0,,1.0,5.0,17.0,,1.0,2.0,1.0,2.0,1.0,17.0,12.0,,,0.75,0.7727272727272727,0.5,1.0,0.125,,0.5518562499999999,1.0,1.0,5.0,5.0,6.0,1.0,1.0,6.0,6.0,7.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.8571428571428571,0.8571428571428571,0.5,1.0,0.5,1.0,0.8333333333333334,0.8333333333333334,0.2,0.125,1.0,1.0,0.75,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200757-201935-203463,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, James Harden, Ben McLemore","Frazier, House Jr., Sefolosha, Harden, McLemore",1626187-1627863-200757-201935-203463,HOU,179.0,1,3.0,-5.0,4.0,4.0,3.0,,8.0,,1.0,1.0,2.0,,,1.0,1.0,2.0,,3.0,8.0,,,,,,2.0,1.0,1.0,,,,,,,,,,2.0,,,,,,3.0,,0.5,,0.5,0.5,,0.5,,0.6666666666666666,1.0,,,,,,,,,64.35754189944134,25.0,19.75,25.0,16.0,,0.3333333333333333,0.6666666666666666,0.5,0.5,,,,,0.6666666666666666,0.5,0.47798333333333337,,,,,,4.1,25.1,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200757-203085-203463,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, Austin Rivers, Ben McLemore","Frazier, House Jr., Sefolosha, Rivers, McLemore",1626187-1627863-200757-203085-203463,HOU,213.0,1,4.0,4.0,9.0,8.0,,,17.0,2.0,1.0,2.0,5.0,,,3.0,2.0,5.0,2.0,10.0,6.0,,,,,3.0,5.0,2.0,,1.0,1.0,1.0,3.0,,,,,,1.0,2.0,,2.0,,,10.0,0.5,0.4,,0.4,0.5,,0.5555555555555556,,0.625,,,,,,,,,,114.92957746478874,13.333333333333334,11.625,13.333333333333334,11.625,0.25,0.125,0.625,0.4,0.4,0.5,,,,0.875,0.4,0.529025,,,,,,5.033333333333333,25.44,8.0,2.0,5.0,2.0,5.0,2.0,10.0,3.0,,4.0,,,1.0,10.0,8.0,1.0,0.4,0.5714285714285714,0.625,,,0.7142857142857143,0.4,0.5547714285714286,1.0,0.8888888888888888,,,1.0,,,1.0,1.0,2.0,,2.0,,,,4.0,,,,,,,,,,,,,,,0.3333333333333333,0.5,,,,,,,,,,,0.14285714285714285,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200782-201569-203085,1610612745,"Michael Frazier, Danuel House Jr., P.J. Tucker, Eric Gordon, Austin Rivers","Frazier, House Jr., Tucker, Gordon, Rivers",1626187-1627863-200782-201569-203085,HOU,199.0,1,3.0,3.0,7.0,7.0,1.0,1.0,14.0,4.0,,1.0,2.0,,,4.0,1.0,2.0,3.0,10.0,7.0,,,,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,3.0,1.0,4.0,3.0,2.0,,4.0,,,8.0,1.0,0.5,,0.5,0.5833333333333334,1.0,0.625,1.0,0.3333333333333333,0.25,0.25,0.5,1.0,1.0,0.3333333333333333,0.5,,1.0,101.30653266331657,13.428571428571429,15.0,13.285714285714286,15.0,0.6666666666666666,,0.3333333333333333,0.5,0.5,1.0,,,,1.0,0.5,0.46270833333333333,0.5538,,,,0.2,2.725,25.1,7.0,1.0,2.0,1.0,2.0,3.0,10.0,,2.0,,,2.0,2.0,10.0,7.0,1.0,0.5,0.5833333333333334,0.625,1.0,,0.3333333333333333,0.5,0.46270833333333333,1.0,1.0,2.0,2.0,4.0,,,2.0,2.0,4.0,2.0,2.0,1.0,1.0,,,,,,,,,,1.0,,1.0,1.0,,0.5,1.0,0.5,0.5,,,,1.0,0.5,0.6666666666666666,0.5,,,,0.6666666666666666,0.5,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200782-201935-203463,1610612745,"Michael Frazier, Danuel House Jr., P.J. Tucker, James Harden, Ben McLemore","Frazier, House Jr., Tucker, Harden, McLemore",1626187-1627863-200782-201935-203463,HOU,107.0,1,2.0,1.0,4.0,4.0,,,8.0,1.0,,1.0,2.0,,,1.0,2.0,3.0,,6.0,5.0,,,,,6.0,2.0,1.0,,2.0,2.0,1.0,6.0,,2.0,2.0,,2.0,2.0,,,,,,6.0,1.0,0.6666666666666666,,0.6666666666666666,0.75,,0.75,,0.75,,,,1.0,1.0,,,,,107.66355140186916,11.5,15.25,11.5,15.25,0.25,,0.5,0.5,0.5,1.0,,,,1.0,0.5,0.551275,,,,,,2.4,25.266666666666666,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200782-203085-203463,1610612745,"Michael Frazier, Danuel House Jr., P.J. Tucker, Austin Rivers, Ben McLemore","Frazier, House Jr., Tucker, Rivers, McLemore",1626187-1627863-200782-203085-203463,HOU,42.0,1,1.0,-6.0,1.0,2.0,,,3.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.85714285714286,16.0,13.0,16.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-201145-203085-203463,1610612745,"Michael Frazier, Danuel House Jr., Jeff Green, Austin Rivers, Ben McLemore","Frazier, House Jr., Green, Rivers, McLemore",1626187-1627863-201145-203085-203463,HOU,168.0,1,3.0,-5.0,5.0,6.0,,,11.0,,,,3.0,,,,,4.0,,,5.0,,,,,,3.0,,,,,,,,2.0,3.0,,3.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,94.28571428571429,15.0,15.5,15.0,15.5,,,0.75,,,,,,,1.0,,0.5611875,,,,,,,25.275,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1628392-1629598-200757-203085,1610612745,"Michael Frazier, Isaiah Hartenstein, Chris Clemons, Thabo Sefolosha, Austin Rivers","Frazier, Hartenstein, Clemons, Sefolosha, Rivers",1626187-1628392-1629598-200757-203085,HOU,63.0,1,1.0,-2.0,3.0,2.0,2.0,,5.0,1.0,1.0,,,,,2.0,,,,2.0,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,0.5,,0.5,,,,,,,,,,,,114.28571428571428,14.333333333333334,10.0,14.333333333333334,10.0,0.5,0.5,,,,,,,,0.5,,0.41125,,,,,,4.8,,3.0,,,,,,2.0,,,,,,,2.0,3.0,,,0.5,0.5,,,,,0.41125,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,0.5,0.5,,,,,1.0,1.0,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
