EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,PenaltyAtRimFGA,FtPoints,PenaltyFtPoints,LiveBallTurnovers,BadPassTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,PenaltyAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,PenaltyAtRimFGM,SecondChanceFtPoints,SecondChancePoints,HeaveAttempts,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallTurnovers,SecondChanceTurnovers,Clear Path Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,PenaltyAtRimAccuracy,SecondChancePointsPct,SecondChanceFG2M,SecondChanceFG2A,BlockedShortMidRange,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,ShortMidRangePctAssisted,ShortMidRangePctBlocked,2pt And 1 Free Throw Trips,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,DefCorner3ReboundPct,Offensive Fouls Drawn,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,BadPassOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGA,PtsPutbacks,SelfOReb,LostBallSteals,Offensive Fouls,OffAtRimReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceShotQualityAvg,SecondChanceAtRimPctAssisted,Travels,OffLongMidRangeReboundPct,Loose Ball Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,DefLongMidRangeReboundPct,Charge Fouls Drawn,Defensive 3 Seconds Violations,Blocked3s,BlockedCorner3,Technical Free Throw Trips,FTOffRebounds,OffFTReboundPct,SecondChanceArc3PctAssisted,DefensiveGoaltends,BlockedArc3,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,Corner3PctBlocked,OffensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
1626187-1627863-200757-200782-201569,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, P.J. Tucker, Eric Gordon","Frazier, House Jr., Sefolosha, Tucker, Gordon",1626187-1627863-200757-200782-201569,HOU,240.0,1,4.0,2.0,8.0,7.0,5.0,15.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,3.0,11.0,9.0,1.0,1.0,1.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,11.0,5.0,5.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.7857142857142857,0.625,0.7857142857142857,0.625,0.42857142857142855,1.0,1.0,0.5,1.0,90.0,14.0,18.285714285714285,14.0,16.428571428571427,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.25,1.0,0.5,0.5714285714285714,0.5007571428571429,0.541925,0.45454545454545453,10.875,24.566666666666666,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,True
1626187-1627863-200757-200782-203085,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, P.J. Tucker, Austin Rivers","Frazier, House Jr., Sefolosha, Tucker, Rivers",1626187-1627863-200757-200782-203085,HOU,77.0,1,1.0,-3.0,3.0,3.0,3.0,6.0,,1.0,,,,,,,,,,,,1.0,,,1.0,4.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,3.0,,,,,,,,,,,0.25,0.25,,,1.0,1.0,1.0,112.2077922077922,12.666666666666666,13.0,12.666666666666666,13.0,1.0,,,,,,,,,,,,,,,,,,,1.0,0.4925,0.4925,1.0,2.9,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,True
1626187-1627863-200757-201569-203085,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, Eric Gordon, Austin Rivers","Frazier, House Jr., Sefolosha, Gordon, Rivers",1626187-1627863-200757-201569-203085,HOU,293.0,2,5.0,-9.0,12.0,12.0,9.0,24.0,1.0,2.0,1.0,2.0,,,,2.0,,2.0,4.0,2.0,2.0,4.0,,6.0,8.0,17.0,1.0,2.0,,4.0,6.0,,4.0,,3.0,,,,,,,,1.0,,2.0,4.0,,2.0,2.0,2.0,3.0,,4.0,,,,7.0,6.0,9.0,,,,,,,0.5,0.5,0.2,0.16666666666666666,0.3076923076923077,0.3333333333333333,0.6,,1.0,1.0,1.0,117.95221843003412,14.75,9.666666666666666,14.166666666666666,9.666666666666666,0.2,0.5,1.0,,0.2,0.5,0.5,,,,,0.2,,,,0.4,0.3333333333333333,,0.3333333333333333,0.8,0.5374611111111112,0.59112,0.75,3.625,29.933333333333334,0.75,12.0,2.0,4.0,4.0,2.0,1.0,6.0,2.0,,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,1.0,0.5,0.2,0.2857142857142857,1.0,0.5,1.0,0.5,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,True
1626187-1627863-200757-201935-203463,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, James Harden, Ben McLemore","Frazier, House Jr., Sefolosha, Harden, McLemore",1626187-1627863-200757-201935-203463,HOU,179.0,1,3.0,5.0,4.0,4.0,3.0,8.0,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0,2.0,3.0,,1.0,8.0,3.0,2.0,2.0,,1.0,6.0,,4.0,,1.0,,,,,,,,1.0,,2.0,4.0,,,,,,,2.0,1.0,,1.0,4.0,6.0,3.0,,,,,,,0.6666666666666666,1.0,0.5,0.6666666666666666,0.6666666666666666,0.75,0.25,,1.0,1.0,1.0,64.35754189944134,19.75,25.0,16.0,25.0,0.25,1.0,1.0,,0.5,0.5,0.5,,,,,,,,,0.25,,,0.3333333333333333,0.5,0.4825375,0.5228166666666666,0.75,8.166666666666666,26.2,0.75,,1.0,4.0,2.0,,,4.0,1.0,,,0.3333333333333333,0.2,0.25,2.0,1.0,2.0,4.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,True
1626187-1627863-200757-203085-203463,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, Austin Rivers, Ben McLemore","Frazier, House Jr., Sefolosha, Rivers, McLemore",1626187-1627863-200757-203085-203463,HOU,213.0,1,4.0,-4.0,8.0,9.0,,17.0,1.0,1.0,2.0,2.0,,,,,,,,,3.0,3.0,,,6.0,10.0,,,,,,4.0,2.0,,,2.0,,2.0,,1.0,,4.0,3.0,,5.0,5.0,1.0,5.0,,,2.0,,1.0,,,,6.0,,,0.6666666666666666,0.6666666666666666,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,114.92957746478874,11.625,13.333333333333334,11.625,13.333333333333334,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,0.3333333333333333,0.41936666666666667,,,5.666666666666667,,,8.0,,,,4.0,,,,1.0,0.8,,,,,,,,,,,,2.0,,,,4.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,True
1626187-1627863-200782-201569-203085,1610612745,"Michael Frazier, Danuel House Jr., P.J. Tucker, Eric Gordon, Austin Rivers","Frazier, House Jr., Tucker, Gordon, Rivers",1626187-1627863-200782-201569-203085,HOU,199.0,1,3.0,-3.0,7.0,7.0,1.0,14.0,2.0,2.0,,2.0,,,,,,,1.0,,2.0,4.0,,1.0,7.0,10.0,,1.0,,,,2.0,2.0,,1.0,1.0,,1.0,,1.0,,2.0,1.0,,2.0,2.0,,,,,2.0,,3.0,1.0,1.0,1.0,7.0,,1.0,0.5,0.5,,,,,0.5,,0.4,,0.5,,0.2,,1.0,0.6666666666666666,1.0,101.30653266331657,15.0,13.428571428571429,15.0,13.285714285714286,0.4,1.0,1.0,0.5,0.4,,,,,,,,,,,0.2,,,,0.6,0.51167,0.4497,,4.85,25.2,0.14285714285714285,7.0,,3.0,,,,4.0,2.0,1.0,,,0.2857142857142857,0.3333333333333333,,,,,,1.0,,,1.0,,,,,,,,,,,0.25,,0.5,,,,,,0.5,,,,,,1.0,,,,,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,True
1626187-1627863-200782-201935-203463,1610612745,"Michael Frazier, Danuel House Jr., P.J. Tucker, James Harden, Ben McLemore","Frazier, House Jr., Tucker, Harden, McLemore",1626187-1627863-200782-201935-203463,HOU,107.0,1,2.0,-1.0,4.0,4.0,,8.0,1.0,1.0,,,,,,2.0,,,,,1.0,1.0,,2.0,5.0,6.0,,,,,,2.0,,,,1.0,,1.0,,1.0,,2.0,1.0,,2.0,2.0,,,,,,,2.0,,,,5.0,,,1.0,1.0,,,,,1.0,,0.3333333333333333,,0.625,,0.6666666666666666,,1.0,1.0,1.0,107.66355140186916,15.25,11.5,15.25,11.5,0.3333333333333333,1.0,1.0,1.0,,,,,,,,0.6666666666666666,,,,,,,,1.0,0.6190333333333333,,,1.4,22.95,,,,3.0,,,,3.0,2.0,,,,0.5,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,True
1626187-1627863-200782-203085-203463,1610612745,"Michael Frazier, Danuel House Jr., P.J. Tucker, Austin Rivers, Ben McLemore","Frazier, House Jr., Tucker, Rivers, McLemore",1626187-1627863-200782-203085-203463,HOU,42.0,1,1.0,6.0,2.0,1.0,,3.0,,,,,,,,,,,2.0,,,,2.0,2.0,6.0,,,,,,,,,3.0,2.0,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,6.0,,,,,0.5,1.0,,1.0,,,1.5,,1.5,,1.0,,,,,102.85714285714286,13.0,16.0,13.0,16.0,,,,,,,,,,,,,,,,1.0,,,,1.0,0.550425,,,,24.75,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,True
1626187-1627863-201145-203085-203463,1610612745,"Michael Frazier, Danuel House Jr., Jeff Green, Austin Rivers, Ben McLemore","Frazier, House Jr., Green, Rivers, McLemore",1626187-1627863-201145-203085-203463,HOU,168.0,1,3.0,5.0,6.0,5.0,,11.0,2.0,2.0,,,,,,2.0,,,1.0,,2.0,2.0,,3.0,5.0,,,,,,,,4.0,,1.0,,,,,,,,4.0,,4.0,4.0,1.0,1.0,,,,,1.0,,,,5.0,,,,,,,,,1.0,,0.4,,0.4166666666666667,,0.6,,1.0,1.0,1.0,94.28571428571429,15.5,15.0,15.5,15.0,0.4,1.0,1.0,,,,,,,,,0.4,,,,0.2,,,,1.0,0.56434,,,1.5,23.933333333333334,,,,1.0,,,,2.0,1.0,,,,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,True
1626187-1628392-1629598-200757-203085,1610612745,"Michael Frazier, Isaiah Hartenstein, Chris Clemons, Thabo Sefolosha, Austin Rivers","Frazier, Hartenstein, Clemons, Sefolosha, Rivers",1626187-1628392-1629598-200757-203085,HOU,63.0,1,1.0,2.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,2.0,,,4.0,2.0,2.0,2.0,,,4.0,2.0,2.0,,,1.0,,1.0,,1.0,,2.0,,,1.0,1.0,,,,,,,1.0,,,,4.0,4.0,2.0,0.5,0.5,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,114.28571428571428,10.0,14.333333333333334,10.0,14.333333333333334,0.5,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,0.5,0.4977,0.4977,1.0,5.6,,1.0,3.0,1.0,,,,,,,,,0.5,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,True
