EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,Minutes,PlusMinus,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,DefThreePtRebounds,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,OpponentPoints,SecondChanceFG3A,PenaltyFtPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsPutbacks,LongMidRangeAssists,BlockedAtRim,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,DefAtRimReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChancePointsPct,SecondChanceFtPoints,OffThreePtRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SelfOReb,SelfORebPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,StepOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,PenaltyCorner3FGA,LostBallSteals,Charge Fouls,PenaltyCorner3Frequency,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,DefensiveGoaltends,HeaveAttempts,FTOffRebounds,SecondChanceTurnovers,BlockedLongMidRange,OffFTReboundPct,Loose Ball Fouls,OffLongMidRangeReboundPct,ThreePtShootingFoulsDrawn,BlockedCorner3,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,3SecondViolations,3pt And 1 Free Throw Trips,OffensiveGoaltends,team_id,year,season,team_vs
1626159-1627884-1628389-1629134-202710,1610612748,"Justise Winslow, Derrick Jones Jr., Bam Adebayo, Kendrick Nunn, Jimmy Butler","Winslow, Jones Jr., Adebayo, Nunn, Butler",1626159-1627884-1628389-1629134-202710,MIA,29.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.3103448275862,1.0,10.0,19.0,10.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2020,2019-20,False
1626159-1627884-1628389-1629639-202710,1610612748,"Justise Winslow, Derrick Jones Jr., Bam Adebayo, Tyler Herro, Jimmy Butler","Winslow, Jones Jr., Adebayo, Herro, Butler",1626159-1627884-1628389-1629639-202710,MIA,56.0,1,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,,,,,2.0,1.0,1.0,,102.85714285714286,,5.0,23.0,4.0,23.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4225,0.4225,1.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2020,2019-20,False
1626159-1627884-1629130-201609-203482,1610612748,"Justise Winslow, Derrick Jones Jr., Duncan Robinson, Goran Dragic, Kelly Olynyk","Winslow, Jones Jr., Robinson, Dragic, Olynyk",1626159-1627884-1629130-201609-203482,MIA,842.0,2,32.0,32.0,8.0,11.0,64.0,3.0,9.0,10.0,1.0,1.0,2.0,2.0,8.0,1.0,1.0,1.0,109.45368171021377,1.0,11.9375,14.375,11.75,14.375,0.25,14.0,4.0,1.0,5.0,7.0,,1.0,9.0,15.0,42.0,1.0,3.0,4.0,6.0,6.0,42.0,4.0,0.6,0.3333333333333333,0.6964285714285714,0.3333333333333333,0.7,0.4,1.0,1.0,1.0,0.25,0.7142857142857143,1.0,0.3333333333333333,,0.7142857142857143,0.5195357142857143,0.4351333333333333,0.09523809523809523,7.266666666666667,3.0,6.0,1.0,2.0,1.0,2.0,1.0,6.0,11.0,7.0,13.0,3.0,38.0,1.0,2.0,12.0,15.0,6.0,11.0,6.0,3.0,6.0,5.0,11.0,4.0,1.0,4.0,2.0,27.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,4.0,10.0,1.0,7.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.5384615384615384,0.5384615384615384,0.4642857142857143,0.2,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.3333333333333333,1.0,0.8,0.21428571428571427,0.5,0.6,0.6666666666666666,0.07142857142857142,0.5,0.5,0.07142857142857142,0.5,0.5,1.0,0.39285714285714285,0.5454545454545454,0.5454545454545454,0.6666666666666666,1.0,0.5454545454545454,0.5793,0.06896551724137931,0.125,26.384615384615383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2020,2019-20,False
1626159-1627884-1629130-202710-203482,1610612748,"Justise Winslow, Derrick Jones Jr., Duncan Robinson, Jimmy Butler, Kelly Olynyk","Winslow, Jones Jr., Robinson, Butler, Olynyk",1626159-1627884-1629130-202710-203482,MIA,273.0,1,11.0,9.0,5.0,4.0,20.0,2.0,4.0,6.0,1.0,,1.0,,5.0,0.6666666666666666,0.8,,105.4945054945055,,13.636363636363637,13.666666666666666,13.090909090909092,13.666666666666666,0.45454545454545453,5.0,7.0,2.0,3.0,5.0,,2.0,4.0,10.0,14.0,,4.0,3.0,6.0,2.0,12.0,3.0,0.4,,0.5384615384615384,0.25,0.5384615384615384,0.25,1.0,1.0,1.0,0.38461538461538464,0.6,0.6,0.3333333333333333,,0.6153846153846154,0.46958846153846157,0.5183,0.21428571428571427,7.5,,2.0,1.0,3.0,,,,2.0,3.0,2.0,3.0,,7.0,,,2.0,6.0,,3.0,2.0,,1.0,2.0,3.0,2.0,,,,8.0,2.0,2.0,,,,,,,,2.0,4.0,,,,,,,,,,,,0.25,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.23076923076923078,,,,0.3333333333333333,0.2857142857142857,0.5,,,0.15384615384615385,,,,0.23076923076923078,0.3333333333333333,0.3333333333333333,,,,,0.23076923076923078,0.6666666666666666,0.6666666666666666,1.0,,0.6666666666666666,0.40925,,,26.833333333333332,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.3333333333333333,0.5,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2020,2019-20,False
1626159-1627884-1629134-1629639-203482,1610612748,"Justise Winslow, Derrick Jones Jr., Kendrick Nunn, Tyler Herro, Kelly Olynyk","Winslow, Jones Jr., Nunn, Herro, Olynyk",1626159-1627884-1629134-1629639-203482,MIA,764.0,2,26.0,25.0,,,51.0,4.0,10.0,13.0,1.0,,1.0,,,0.6666666666666666,0.6428571428571429,1.0,96.12565445026179,,15.653846153846153,14.28,15.076923076923077,14.08,,13.0,-5.0,3.0,5.0,8.0,,,7.0,13.0,22.0,,,,4.0,5.0,15.0,,0.5384615384615384,,0.4,,0.42,,0.625,1.0,0.8,0.32,0.625,0.625,,,0.8,0.50732,,,6.038461538461538,1.0,2.0,1.0,3.0,,3.0,,2.0,9.0,2.0,12.0,2.0,27.0,,,10.0,,6.0,9.0,2.0,,5.0,,5.0,,,4.0,,10.0,1.0,3.0,4.0,4.0,1.0,1.0,,4.0,,4.0,6.0,,4.0,,,2.0,1.0,1.0,,,,,0.7142857142857143,0.8333333333333334,,0.16666666666666666,0.16666666666666666,0.48,,,,0.16666666666666666,0.1875,1.0,0.3333333333333333,0.8,0.08,0.5,0.5,,0.12,0.3333333333333333,0.3333333333333333,0.12,,,,0.36,0.2222222222222222,0.2222222222222222,,,0.2222222222222222,0.54965,0.04,0.07692307692307693,25.508333333333336,3.0,3.0,,,3.0,3.0,7.0,,,2.0,1.0,1.0,,,1.0,1.0,1.1666666666666667,,0.5,1.0,1.0,1.0,,,0.3181818181818182,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,0.75,1.0,0.2,0.14285714285714285,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2020,2019-20,False
1626159-1627884-1629134-1629735-201609,1610612748,"Justise Winslow, Derrick Jones Jr., Kendrick Nunn, Chris Silva, Goran Dragic","Winslow, Jones Jr., Nunn, Silva, Dragic",1626159-1627884-1629134-1629735-201609,MIA,10.0,1,,1.0,,1.0,1.0,,,,,,,,,,,,144.0,,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2020,2019-20,False
1626159-1627884-1629134-201609-203482,1610612748,"Justise Winslow, Derrick Jones Jr., Kendrick Nunn, Goran Dragic, Kelly Olynyk","Winslow, Jones Jr., Nunn, Dragic, Olynyk",1626159-1627884-1629134-201609-203482,MIA,9.0,1,1.0,1.0,,1.0,2.0,,,,,,,,,,,,320.0,,5.0,4.0,5.0,4.0,,,2.0,,1.0,1.0,,,1.0,1.0,2.0,,,,2.0,,2.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,0.6859,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2020,2019-20,False
1626159-1627884-1629134-202710-203482,1610612748,"Justise Winslow, Derrick Jones Jr., Kendrick Nunn, Jimmy Butler, Kelly Olynyk","Winslow, Jones Jr., Nunn, Butler, Olynyk",1626159-1627884-1629134-202710-203482,MIA,108.0,2,5.0,5.0,3.0,4.0,10.0,4.0,4.0,5.0,,,,,3.0,1.0,0.6666666666666666,1.0,133.33333333333334,,8.8,12.8,8.6,11.0,0.6,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,,,4.0,3.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.4,0.75,,1.0,,0.6666666666666666,0.5,0.5,1.0,1.0,0.6666666666666666,0.48500000000000004,0.5941,0.75,6.3,,1.0,,,,,,,,,,2.0,,,1.0,2.0,,,,,,1.0,,1.0,,,1.0,,2.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,2.0,,,4.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,1.0,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,0.4315,0.25,0.25,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2020,2019-20,False
1626159-1627884-1629639-201609-203086,1610612748,"Justise Winslow, Derrick Jones Jr., Tyler Herro, Goran Dragic, Meyers Leonard","Winslow, Jones Jr., Herro, Dragic, Leonard",1626159-1627884-1629639-201609-203086,MIA,340.0,2,12.0,12.0,,,24.0,3.0,6.0,7.0,,,,,,1.0,1.0,1.0,101.6470588235294,,15.333333333333334,13.0,15.166666666666666,13.0,,6.0,-2.0,1.0,,1.0,,,,1.0,12.0,,,,,3.0,9.0,,,,0.5625,,0.6,,1.0,,1.0,0.125,,,,,1.0,0.55149375,,,1.3,,,,,1.0,2.0,,2.0,5.0,3.0,7.0,3.0,14.0,1.0,,,9.0,,5.0,2.0,,,3.0,3.0,2.0,1.0,,,9.0,,1.0,,,,2.0,1.0,3.0,,2.0,3.0,,4.0,,,4.0,,2.0,,,,,,,1.0,0.42857142857142855,0.42857142857142855,0.875,,,,,0.2,,,,,,,,,,,0.25,0.5,0.5,1.0,0.625,0.4,0.4,1.0,,0.4,,0.2,0.6666666666666666,26.37142857142857,,,,,,,3.0,,,,,,,,,1.5,1.5,,1.0,,,,,,0.25,,1.0,,1.0,1.0,,,,0.3333333333333333,,0.25,0.3333333333333333,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2020,2019-20,False
1626159-1627884-1629639-201609-203482,1610612748,"Justise Winslow, Derrick Jones Jr., Tyler Herro, Goran Dragic, Kelly Olynyk","Winslow, Jones Jr., Herro, Dragic, Olynyk",1626159-1627884-1629639-201609-203482,MIA,484.0,3,21.0,19.0,7.0,8.0,40.0,5.0,8.0,11.0,,,,,7.0,1.0,1.0,1.0,119.00826446280992,,11.047619047619047,13.263157894736842,10.666666666666666,13.263157894736842,0.3333333333333333,8.0,6.0,3.0,6.0,9.0,3.0,5.0,6.0,14.0,20.0,3.0,7.0,6.0,6.0,3.0,14.0,6.0,0.42857142857142855,0.42857142857142855,0.47368421052631576,0.375,0.5,0.375,1.0,1.0,1.0,0.47368421052631576,0.6666666666666666,0.6666666666666666,0.625,0.6,0.7368421052631579,0.5070157894736842,0.50091875,0.3,3.457142857142857,,5.0,,,,,,2.0,5.0,2.0,5.0,2.0,14.0,,,6.0,6.0,,5.0,2.0,1.0,3.0,2.0,5.0,2.0,,3.0,,12.0,3.0,3.0,1.0,1.0,1.0,2.0,,4.0,1.0,1.0,2.0,,2.0,1.0,,2.0,,1.0,,,,,0.5,0.6,1.0,0.4,0.4,0.2631578947368421,0.07142857142857142,,0.2,0.375,0.2727272727272727,0.4,,0.5,0.2631578947368421,,,,,,,,,,,0.2631578947368421,0.4,0.4,1.0,,0.4,0.6229,0.05,0.06666666666666667,25.82,2.0,2.0,,1.0,2.0,2.0,6.0,,1.0,2.0,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,,1.0,1.0,0.125,,0.3,2.0,,,2.0,2.0,,,,0.5,,,,,,2.0,0.2,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2020,2019-20,False
