EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,HeaveAttempts,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,FoulsDrawn,Charge Fouls Drawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,ShortMidRangeFGA,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Fouls,Charge Fouls,Offensive Fouls,LiveBallTurnoverPct,DefAtRimReboundPct,ShortMidRangeFrequency,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,BadPassSteals,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG2M,PenaltyFtPoints,Fg3aBlocked,FTOffRebounds,FTDefRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg2Pct,FG3APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,PtsUnassisted3s,LongMidRangeAssists,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls,ThreePtShootingFoulsDrawn,BlockedShortMidRange,SelfORebPct,LongMidRangePctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Travels,Technical Free Throw Trips,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1626147-1627747-1627789-1629066-1629185,1610612751,"Justin Anderson, Caris LeVert, Timothe Luwawu-Cabarrot, Rodions Kurucs, Chris Chiozza","Anderson, LeVert, Luwawu-Cabarrot, Kurucs, Chiozza",1626147-1627747-1627789-1629066-1629185,BKN,166.0,1,3.0,6.0,6.0,12.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.5,0.5,0.5,1.0,0.5,104.09638554216868,15.833333333333334,11.833333333333334,15.833333333333334,10.833333333333334,0.2857142857142857,1.0,1.0,1.0,0.14285714285714285,0.5714285714285714,1.0,0.5110916666666666,1.75,30.560000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1626147-1627747-1629066-1629185-202066,1610612751,"Justin Anderson, Caris LeVert, Rodions Kurucs, Chris Chiozza, Garrett Temple","Anderson, LeVert, Kurucs, Chiozza, Temple",1626147-1627747-1629066-1629185-202066,BKN,201.0,1,3.0,7.0,7.0,14.0,1.0,1.0,,2.0,1.0,2.0,2.0,2.0,11.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,,,1.0,,2.0,1.0,1.0,0.5,0.25,0.25,0.5,0.5,1.0,0.6,,1.0,100.29850746268656,15.428571428571429,13.285714285714286,15.428571428571429,12.428571428571429,0.25,1.0,1.0,1.0,,0.5,0.75,0.4900125,7.9,26.75,-9.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1626147-1627789-1628386-1629185-202066,1610612751,"Justin Anderson, Timothe Luwawu-Cabarrot, Jarrett Allen, Chris Chiozza, Garrett Temple","Anderson, Luwawu-Cabarrot, Allen, Chiozza, Temple",1626147-1627789-1628386-1629185-202066,BKN,91.0,1,2.0,4.0,2.0,6.0,,,1.0,1.0,,2.0,2.0,3.0,,,,1.0,,1.0,,3.0,1.0,1.0,2.0,2.0,,,1.0,,3.0,,,,0.375,0.375,0.5,0.5,1.0,0.6666666666666666,,,94.94505494505495,11.25,23.0,11.25,22.0,,,,,0.25,0.25,0.5,0.50805,13.05,25.75,3.0,2.0,,,,,,,,,1.0,0.5,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1627747-1627789-1628386-1629185-202066,1610612751,"Caris LeVert, Timothe Luwawu-Cabarrot, Jarrett Allen, Chris Chiozza, Garrett Temple","LeVert, Luwawu-Cabarrot, Allen, Chiozza, Temple",1627747-1627789-1628386-1629185-202066,BKN,314.0,3,5.0,14.0,12.0,26.0,2.0,3.0,3.0,5.0,3.0,6.0,8.0,17.0,11.0,4.0,,5.0,2.0,5.0,1.0,13.0,2.0,1.0,3.0,5.0,3.0,2.0,1.0,,13.0,0.6666666666666666,1.0,0.5,0.5357142857142857,0.5666666666666667,0.5714285714285714,0.5,1.0,0.75,,1.0,119.23566878980891,9.285714285714286,15.333333333333334,8.571428571428571,15.083333333333334,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.5,0.21428571428571427,0.35714285714285715,0.7857142857142857,0.52505,6.25,24.925,6.0,3.0,,,,,1.0,,,,0.5,0.21428571428571427,1.0,3.0,9.0,1.0,3.0,1.0,1.0,0.375,0.375,1.0,0.2,0.2,1.0,0.2,3.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.6666666666666666,0.75,0.6666666666666666,0.75,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.25,1.0,0.25,0.5,0.3333333333333333,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,0.3333333333333333,0.5,1.0,0.5719,0.470425,0.06666666666666667,0.14285714285714285,0.23529411764705882,0.17647058823529413,0.21428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1627747-1627789-1628386-1629185-204020,1610612751,"Caris LeVert, Timothe Luwawu-Cabarrot, Jarrett Allen, Chris Chiozza, Tyler Johnson","LeVert, Luwawu-Cabarrot, Allen, Chiozza, Johnson",1627747-1627789-1628386-1629185-204020,BKN,12.0,1,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,120.0,,11.0,,11.0,,,,,,1.0,1.0,,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1627747-1627789-1628386-1629725-204020,1610612751,"Caris LeVert, Timothe Luwawu-Cabarrot, Jarrett Allen, Jeremiah Martin, Tyler Johnson","LeVert, Luwawu-Cabarrot, Allen, Martin, Johnson",1627747-1627789-1628386-1629725-204020,BKN,63.0,1,1.0,1.0,2.0,3.0,,,1.0,,,,1.0,3.0,6.0,,,,,1.0,,3.0,,,,,,,1.0,,3.0,,,,1.5,1.5,1.0,,,,,,68.57142857142857,31.0,16.0,31.0,16.0,,,,,1.0,,1.0,0.56205,,23.6,-3.0,,,,,,,,,,,,,1.0,3.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1627747-1627789-1628386-202066-203925,1610612751,"Caris LeVert, Timothe Luwawu-Cabarrot, Jarrett Allen, Garrett Temple, Joe Harris","LeVert, Luwawu-Cabarrot, Allen, Temple, Harris",1627747-1627789-1628386-202066-203925,BKN,2094.0,3,35.0,70.0,68.0,138.0,14.0,20.0,15.0,16.0,19.0,39.0,31.0,93.0,65.0,16.0,,16.0,8.0,21.0,8.0,55.0,16.0,11.0,30.0,47.0,3.0,1.0,21.0,,81.0,0.42105263157894735,0.42105263157894735,0.48717948717948717,0.55,0.58125,0.44285714285714284,0.7857142857142857,0.8888888888888888,0.84375,1.0,0.8666666666666667,94.89971346704871,14.142857142857142,16.235294117647058,12.82857142857143,15.926470588235293,0.2857142857142857,0.7,0.7777777777777778,0.5714285714285714,0.21428571428571427,0.22857142857142856,0.7285714285714285,0.50986,6.258974358974359,24.32903225806452,28.0,16.0,4.0,4.0,4.0,8.0,17.0,,1.0,0.5,0.6666666666666666,0.22857142857142856,10.0,13.0,39.0,10.0,13.0,10.0,1.0,0.41935483870967744,0.41935483870967744,1.0,0.625,0.625,1.0,0.625,21.0,21.0,10.0,2.0,4.0,4.0,3.0,2.0,2.0,6.0,16.0,3.0,8.0,5.0,12.0,12.0,3.0,10.0,16.0,22.0,,5.0,3.0,,5.0,11.0,17.0,2.0,22.0,11.0,3.0,3.0,3.0,1.0,16.0,21.0,0.3,0.375,0.34615384615384615,0.29545454545454547,0.375,0.32,0.1282051282051282,0.125,0.5789473684210527,0.29411764705882354,0.4444444444444444,0.6666666666666666,0.4,0.3333333333333333,0.25,0.2857142857142857,,0.2,0.21428571428571427,1.0,0.3076923076923077,0.5,0.5,0.15384615384615385,0.2727272727272727,0.3333333333333333,0.4695291666666667,0.4575818181818182,0.14102564102564102,0.23404255319148937,0.12903225806451613,0.17204301075268819,0.3,2.0,4.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,8.0,3.0,1.0,3.0,2.0,2.0,1.0,0.2,0.16666666666666666,0.03225806451612903,0.1,0.3333333333333333,0.06666666666666667,1.0,0.25,0.5,1.0,0.25,1.0,0.04285714285714286,0.3333333333333333,0.5,0.23076923076923078,0.5,1.0,0.18181818181818182,0.5,0.18181818181818182,0.25,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1627747-1627789-1628386-202066-204020,1610612751,"Caris LeVert, Timothe Luwawu-Cabarrot, Jarrett Allen, Garrett Temple, Tyler Johnson","LeVert, Luwawu-Cabarrot, Allen, Temple, Johnson",1627747-1627789-1628386-202066-204020,BKN,2524.0,3,42.0,90.0,91.0,181.0,2.0,7.0,9.0,38.0,12.0,35.0,47.0,95.0,115.0,12.0,,38.0,6.0,22.0,,60.0,16.0,13.0,31.0,44.0,6.0,1.0,15.0,1.0,84.0,0.5,0.5,0.34285714285714286,0.47560975609756095,0.5277777777777778,0.573170731707317,0.7222222222222222,0.7619047619047619,0.7435897435897436,0.6666666666666666,0.8235294117647058,103.26465927099841,13.922222222222222,13.967032967032967,13.122222222222222,13.527472527472527,0.08536585365853659,0.2857142857142857,0.3333333333333333,,0.10975609756097561,0.4634146341463415,0.6585365853658537,0.4913469512195122,10.194285714285714,26.08936170212766,-20.0,22.0,9.0,6.0,5.0,14.0,14.0,,2.0,0.6428571428571429,0.6,0.2682926829268293,13.0,18.0,48.0,13.0,16.0,12.0,0.8888888888888888,0.3829787234042553,0.3829787234042553,0.5,0.34210526315789475,0.34210526315789475,0.9230769230769231,0.34210526315789475,30.0,31.0,12.0,,1.0,6.0,5.0,5.0,4.0,10.0,17.0,1.0,3.0,7.0,11.0,12.0,7.0,15.0,42.0,12.0,,6.0,4.0,3.0,4.0,8.0,13.0,5.0,18.0,5.0,3.0,1.0,3.0,1.0,42.0,30.0,0.4666666666666667,0.3333333333333333,0.4,0.5740740740740741,0.5,0.65625,0.17142857142857143,0.22727272727272727,0.34782608695652173,0.13793103448275862,0.23076923076923078,0.6,0.16,0.3333333333333333,0.2727272727272727,0.35294117647058826,0.5,0.5555555555555556,0.5555555555555556,0.8,0.1,,,0.5,0.37037037037037035,0.4,0.515,0.49172037037037036,0.06896551724137931,0.1282051282051282,0.11578947368421053,0.4421052631578947,0.3333333333333333,1.0,4.0,4.0,6.0,2.0,3.0,5.0,1.0,2.0,3.0,5.0,11.0,,1.0,2.0,,3.0,4.0,7.0,2.0,1.0,1.0,3.0,1.0,3.0,0.2857142857142857,0.4166666666666667,,0.14285714285714285,,,1.0,1.0,0.3125,,,0.8,0.07317073170731707,0.6666666666666666,0.6666666666666666,0.2,0.2,1.0,0.14814814814814814,0.25,0.18518518518518517,0.6,1.0,6.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,0.021739130434782608,0.75,0.5,1.0,0.020833333333333332,,,,1610612751,2020,2019-20,False
1627747-1627789-1628386-203925-204020,1610612751,"Caris LeVert, Timothe Luwawu-Cabarrot, Jarrett Allen, Joe Harris, Tyler Johnson","LeVert, Luwawu-Cabarrot, Allen, Harris, Johnson",1627747-1627789-1628386-203925-204020,BKN,120.0,2,2.0,3.0,4.0,7.0,,,,1.0,1.0,2.0,1.0,2.0,6.0,,,1.0,,,,,,1.0,1.0,2.0,,,,,2.0,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,1.0,,,84.0,15.666666666666666,18.25,15.666666666666666,18.25,,,,,,0.3333333333333333,0.3333333333333333,0.45908333333333334,5.55,25.8,-4.0,2.0,,,1.0,1.0,1.0,,,,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.5,0.5,1.0,,0.5,,,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1610612751,2020,2019-20,False
1627747-1627789-1629058-1629066-1629185,1610612751,"Caris LeVert, Timothe Luwawu-Cabarrot, Dzanan Musa, Rodions Kurucs, Chris Chiozza","LeVert, Luwawu-Cabarrot, Musa, Kurucs, Chiozza",1627747-1627789-1629058-1629066-1629185,BKN,252.0,1,4.0,9.0,8.0,17.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,12.0,14.0,4.0,,3.0,2.0,2.0,1.0,4.0,,1.0,1.0,2.0,,,5.0,,10.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0,,0.5,1.0,,97.14285714285714,14.11111111111111,15.625,13.777777777777779,15.375,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,0.5,0.8333333333333334,0.4982583333333333,11.85,26.5,-2.0,,1.0,,1.0,2.0,3.0,,,0.5,,,2.0,2.0,,2.0,,,,0.5,0.5,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,1.0,3.0,1.0,1.0,1.0,,,,,,2.0,1.0,1.0,,2.0,1.0,,,3.0,,,,,,1.0,,1.0,,6.0,2.0,,,,,3.0,1.0,,1.0,1.0,1.0,1.0,0.75,,,,0.5,0.5,,,,,,,,,,1.0,1.0,1.0,,,,,0.4128,0.25,0.5,0.16666666666666666,0.25,0.1111111111111111,,,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,,,2.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,0.16666666666666666,1.0,1.0,,,,,,,,,6.0,1.0,,,1.0,,,,,1.0,,,,,,,1610612751,2020,2019-20,False
