EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Arc3FGA,FG3A,OpponentPoints,PtsUnassisted2s,NonHeaveArc3FGA,FG3APct,Arc3Frequency,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,FtPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,DefTwoPtRebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefLongMidRangeReboundPct,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,OffRebounds,Steals,BadPassSteals,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,OffTwoPtRebounds,FTDefRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,ShortMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGA,PenaltyFG3A,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,PenaltyCorner3Frequency,2pt And 1 Free Throw Trips,BlockedShortMidRange,OffLongMidRangeReboundPct,DefCorner3ReboundPct,DefensiveGoaltends,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyFG2M,PenaltyFG3M,Loose Ball Fouls Drawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,LongMidRangeFGM,PenaltyArc3FGA,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyArc3Frequency,PenaltyArc3FGM,SelfOReb,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,SelfORebPct,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,SecondChanceArc3FGM,PtsPutbacks,Fg3aBlocked,Charge Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,OffShortMidRangeReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveMakes,HeaveAttempts,ShortMidRangeAssists,FTOffRebounds,LostBallOutOfBoundsTurnovers,OffFTReboundPct,ShortMidRangePctAssisted,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,BlockedLongMidRange,BlockedCorner3,team_id,year,season,team_vs
101108-1627846-1628983-1629647-203457,1610612760,"Chris Paul, Abdel Nader, Shai Gilgeous-Alexander, Darius Bazley, Nerlens Noel","Paul, Nader, Gilgeous-Alexander, Bazley, Noel",101108-1627846-1628983-1629647-203457,OKC,53.0,1,1.0,2.0,2.0,1,3,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,81.50943396226415,15.5,22.0,15.5,22.0,0.5,1.0,1.0,1.0,0.5,0.5,0.54115,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,True
101108-1627846-1628983-1629647-203500,1610612760,"Chris Paul, Abdel Nader, Shai Gilgeous-Alexander, Darius Bazley, Steven Adams","Paul, Nader, Gilgeous-Alexander, Bazley, Adams",101108-1627846-1628983-1629647-203500,OKC,78.0,1,1.0,-4.0,2.0,3,5,1.0,1.0,,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,,2.0,,,1.0,0.5,0.5,0.5,0.5,0.5,92.3076923076923,16.0,15.333333333333334,16.0,14.0,0.5,1.0,1.0,,,1.0,0.637,0.7,1.0,1.0,6.0,2.0,1.0,0.5,0.5,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,True
101108-1627846-1629647-203457-203471,1610612760,"Chris Paul, Abdel Nader, Darius Bazley, Nerlens Noel, Dennis Schroder","Paul, Nader, Bazley, Noel, Schroder",101108-1627846-1629647-203457-203471,OKC,56.0,1,1.0,1.0,3.0,2,5,,1.0,1.0,,2.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,0.16666666666666666,,1.0,,128.57142857142856,14.333333333333334,6.5,14.333333333333334,6.5,0.5,,,,0.5,0.5,0.4219,7.65,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.25,0.5,1.0,1.0,1.0,0.392,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,True
101108-1627846-1629647-203471-203500,1610612760,"Chris Paul, Abdel Nader, Darius Bazley, Dennis Schroder, Steven Adams","Paul, Nader, Bazley, Schroder, Adams",101108-1627846-1629647-203471-203500,OKC,439.0,2,7.0,14.0,13.0,12,25,2.0,4.0,,2.0,4.0,23.0,,,3.0,,9.0,2.0,7.0,9.0,,19.0,,,0.5,0.7307692307692307,0.7666666666666667,0.6666666666666666,0.7777777777777778,0.6666666666666666,82.00455580865604,14.461538461538462,20.916666666666668,13.23076923076923,19.333333333333332,0.3076923076923077,0.5,0.5,,,1.0,0.5457307692307692,2.0,7.0,9.0,9.0,4.0,7.0,0.6923076923076923,0.5384615384615384,25.866666666666667,,,4.0,,,,,5.0,2.0,4.0,2.0,,,,,,0.8333333333333334,1.0,,0.13333333333333333,0.3333333333333333,,,2.0,1.0,1.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,4.0,9.0,6.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.6,0.5555555555555556,0.5555555555555556,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.75,1.0,0.5,0.15384615384615385,1.0,1.0,0.5,0.42857142857142855,0.42857142857142855,0.6666666666666666,1.0,1.0,0.42857142857142855,0.17391304347826086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,True
101108-1628390-1628983-201568-203488,1610612760,"Chris Paul, Terrance Ferguson, Shai Gilgeous-Alexander, Danilo Gallinari, Mike Muscala","Paul, Ferguson, Gilgeous-Alexander, Gallinari, Muscala",101108-1628390-1628983-201568-203488,OKC,56.0,1,1.0,,2.0,1,3,,,,,,3.0,,,,,,,,,,3.0,,,,0.75,0.75,,,,77.14285714285714,24.5,7.0,24.5,7.0,,,,,,1.0,0.5265,,1.0,2.0,3.0,,1.0,1.0,0.5,24.15,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,3.0,1.0,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,0.5,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,True
101108-1628390-1628983-201568-203500,1610612760,"Chris Paul, Terrance Ferguson, Shai Gilgeous-Alexander, Danilo Gallinari, Steven Adams","Paul, Ferguson, Gilgeous-Alexander, Gallinari, Adams",101108-1628390-1628983-201568-203500,OKC,747.0,2,12.0,-7.0,25.0,25,50,5.0,8.0,1.0,5.0,9.0,23.0,4.0,2.0,4.0,2.0,10.0,1.0,9.0,13.0,9.0,18.0,0.4,0.4,0.5555555555555556,0.4782608695652174,0.4782608695652174,0.3333333333333333,0.5714285714285714,0.3333333333333333,96.3855421686747,14.44,15.44,13.12,14.24,0.34782608695652173,0.625,0.7142857142857143,0.4,0.043478260869565216,0.9565217391304348,0.5265217391304348,3.1666666666666665,9.0,14.0,30.0,6.0,9.0,0.6086956521739131,0.391304347826087,25.035714285714285,,6.0,1.0,,,,1.0,7.0,2.0,1.0,,,,,0.1111111111111111,,0.6363636363636364,0.5,,,,,,4.0,1.0,1.0,3.0,5.0,1.0,4.0,1.0,1.0,,5.0,6.0,6.0,1.0,2.0,,2.0,3.0,4.0,2.0,,,,,,0.5,0.2857142857142857,0.2857142857142857,1.0,0.8333333333333334,0.8333333333333334,0.3,0.2857142857142857,0.25,0.6,0.75,,0.21739130434782608,0.6,0.6,0.6666666666666666,0.1111111111111111,0.1111111111111111,,0.3333333333333333,1.0,0.1111111111111111,0.21739130434782608,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,6.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.5,0.125,0.5,1.0,0.25,0.3333333333333333,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,True
101108-1628390-1629647-203457-203471,1610612760,"Chris Paul, Terrance Ferguson, Darius Bazley, Nerlens Noel, Dennis Schroder","Paul, Ferguson, Bazley, Noel, Schroder",101108-1628390-1629647-203457-203471,OKC,130.0,2,2.0,-1.0,5.0,3,8,,,2.0,1.0,3.0,2.0,,,,,,1.0,2.0,2.0,1.0,2.0,,,0.3333333333333333,0.2,0.2,1.0,1.0,1.0,88.61538461538463,16.4,16.0,16.4,16.0,,,,,0.4,0.4,0.47576999999999997,10.033333333333333,,2.0,3.0,2.0,,0.4,,22.8,1.0,,,,,,1.0,1.0,,,,,1.0,,0.3333333333333333,0.5,1.0,,0.56385,,,,0.2,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,True
101108-1628390-1629647-203471-203500,1610612760,"Chris Paul, Terrance Ferguson, Darius Bazley, Dennis Schroder, Steven Adams","Paul, Ferguson, Bazley, Schroder, Adams",101108-1628390-1629647-203471-203500,OKC,304.0,2,5.0,-3.0,11.0,12,23,3.0,5.0,,3.0,6.0,9.0,4.0,2.0,3.0,2.0,7.0,2.0,6.0,8.0,2.0,7.0,0.6666666666666666,0.6666666666666666,0.5,0.34615384615384615,0.34615384615384615,0.6666666666666666,0.8333333333333334,0.5,108.94736842105263,14.636363636363637,11.916666666666666,13.818181818181818,11.333333333333334,0.38461538461538464,0.6,0.6,0.6666666666666666,,0.9230769230769231,0.5361307692307692,5.483333333333333,5.0,7.0,12.0,2.0,5.0,0.5384615384615384,0.38461538461538464,25.385714285714283,,,,,,,,3.0,1.0,1.0,1.0,,,,,,1.0,,,0.07692307692307693,0.16666666666666666,,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,2.0,3.0,,,1.0,,1.0,,2.0,1.0,1.0,2.0,,2.0,2.0,1.0,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,,0.2222222222222222,,,1.0,1.0,0.15384615384615385,0.5,0.5,1.0,,,,1.0,1.0,,0.2222222222222222,,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,0.6666666666666666,0.5,,1.0,,,,0.5362,,1.0,,,,,0.07692307692307693,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,True
101108-1628390-201568-203471-203500,1610612760,"Chris Paul, Terrance Ferguson, Danilo Gallinari, Dennis Schroder, Steven Adams","Paul, Ferguson, Gallinari, Schroder, Adams",101108-1628390-201568-203471-203500,OKC,107.0,1,2.0,4.0,3.0,3,6,2.0,2.0,,2.0,2.0,7.0,4.0,2.0,3.0,2.0,7.0,2.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,1.1666666666666667,1.1666666666666667,1.0,1.0,1.0,80.74766355140187,11.666666666666666,24.0,11.666666666666666,24.0,0.6666666666666666,1.0,1.0,1.0,,1.0,0.5459333333333333,2.65,1.0,1.0,3.0,,1.0,0.3333333333333333,0.3333333333333333,25.6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,3.0,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,True
101108-1628977-1628983-1629647-203488,1610612760,"Chris Paul, Hamidou Diallo, Shai Gilgeous-Alexander, Darius Bazley, Mike Muscala","Paul, Diallo, Gilgeous-Alexander, Bazley, Muscala",101108-1628977-1628983-1629647-203488,OKC,60.0,1,1.0,-2.0,2.0,2,4,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,3.0,,,0.5,0.5,0.75,,,,96.0,16.0,14.0,16.0,14.0,0.5,1.0,1.0,,0.5,0.5,0.46775,5.05,,,5.0,2.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,True
