EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PenaltyDefPoss,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,PenaltyFG2M,PtsUnassisted2s,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Charge Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,SecondChanceOffPoss,PenaltyAtRimFGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,OffThreePtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGA,Arc3FGM,SecondChanceArc3FGM,FG3M,SecondChanceFG2A,SecondChanceFG3M,PtsUnassisted3s,NonHeaveArc3FGM,OffTwoPtRebounds,SelfOReb,Steals,BadPassSteals,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceArc3Accuracy,NonHeaveArc3Accuracy,Corner3FGM,SecondChanceCorner3FGA,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,SecondChanceTurnovers,Offensive Fouls,Offensive Fouls Drawn,Assisted3sPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceCorner3Frequency,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,SecondChanceFG2M,SecondChanceFg2Pct,PenaltyArc3FGM,PenaltyFG3M,HeaveAttempts,PenaltyFg3Pct,PenaltyArc3Accuracy,LongMidRangeAssists,LostBallSteals,Charge Fouls,LongMidRangePctAssisted,SecondChanceArc3PctAssisted,SecondChanceAtRimFGM,Loose Ball Fouls,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PtsPutbacks,LostBallOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,PenaltyCorner3FGM,Travels,ShortMidRangePctBlocked,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,BlockedShortMidRange,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,BlockedLongMidRange,SecondChanceCorner3PctAssisted,DefensiveGoaltends,FTOffRebounds,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,OffFTReboundPct,LongMidRangePctBlocked,OffensiveGoaltends,3SecondViolations,BlockedArc3,HeaveMakes,team_id,year,season,team_vs
1627736-1627750-1627823-1628420-203486,1610612743,"Malik Beasley, Jamal Murray, Juancho Hernangomez, Monte Morris, Mason Plumlee","Beasley, Murray, Hernangomez, Morris, Plumlee",1627736-1627750-1627823-1628420-203486,DEN,326.0,2,5.0,10.0,10.0,4.0,20.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,7.0,2.0,2.0,8.0,8.0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,3.0,3.0,2.0,1.0,6.0,3.0,2.0,1.0,6.0,6.0,1.0,2.0,1.0,2.0,1.0,8.0,2.0,4.0,1.0,1.0,0.42857142857142855,0.3333333333333333,0.4,0.25,0.2222222222222222,0.14285714285714285,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.34355828220859,17.6,15.0,17.6,15.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.5555555555555556,0.5074277777777777,0.5067166666666666,0.1,0.125,0.25,6.3999999999999995,26.15,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,False
1627736-1627750-1627823-203486-203924,1610612743,"Malik Beasley, Jamal Murray, Juancho Hernangomez, Mason Plumlee, Jerami Grant","Beasley, Murray, Hernangomez, Plumlee, Grant",1627736-1627750-1627823-203486-203924,DEN,467.0,4,8.0,16.0,17.0,10.0,33.0,,2.0,1.0,5.0,4.0,,,4.0,11.0,1.0,3.0,11.0,17.0,6.0,1.0,2.0,4.0,,,,,,,,,,5.0,1.0,6.0,6.0,2.0,5.0,3.0,3.0,1.0,11.0,4.0,10.0,,,0.36363636363636365,0.3333333333333333,0.4230769230769231,0.25,0.08333333333333333,,,1.0,0.8333333333333334,,0.7142857142857143,1.0,0.5,,,101.7558886509636,14.3125,14.0,14.3125,13.941176470588236,0.16666666666666666,,,,0.4166666666666667,0.2,0.2,,0.3333333333333333,,,0.25,0.4428,0.44498571428571426,0.08333333333333333,0.09090909090909091,0.36363636363636365,9.69090909090909,22.5,0.625,-6.0,10.0,1.0,3.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.14285714285714285,0.6666666666666666,1.0,0.75,0.75,0.08333333333333333,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,False
1627736-1627750-1627823-203924-203999,1610612743,"Malik Beasley, Jamal Murray, Juancho Hernangomez, Jerami Grant, Nikola Jokic","Beasley, Murray, Hernangomez, Grant, Jokic",1627736-1627750-1627823-203924-203999,DEN,167.0,3,3.0,6.0,4.0,5.0,10.0,1.0,1.0,,,2.0,2.0,1.0,1.0,3.0,2.0,3.0,5.0,7.0,3.0,1.0,2.0,4.0,,2.0,,,,,,,1.0,,,1.0,2.0,1.0,1.0,2.0,3.0,,4.0,4.0,5.0,,,0.3333333333333333,0.2,0.3333333333333333,0.4,0.4,,,,,1.0,1.0,,,1.0,,86.22754491017965,18.333333333333332,14.25,16.666666666666668,14.25,0.2,1.0,1.0,,,,,,0.4,0.4,0.25,0.6,0.47089,0.452825,,,0.8,13.966666666666667,26.05,0.8333333333333334,-2.0,3.0,1.0,,,,1.0,2.0,,,2.0,,2.0,1.0,,,1.0,,,1.0,0.3333333333333333,0.25,,,,,,0.25,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,1.0,0.546,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,False
1627736-1627750-1628420-1629008-203999,1610612743,"Malik Beasley, Jamal Murray, Monte Morris, Michael Porter Jr., Nikola Jokic","Beasley, Murray, Morris, Porter Jr., Jokic",1627736-1627750-1628420-1629008-203999,DEN,11.0,1,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,130.9090909090909,10.0,,10.0,,,,,,,,,,,1.0,1.0,1.0,0.34065,0.34065,,,,,26.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,False
1627736-1627750-1628420-203486-203924,1610612743,"Malik Beasley, Jamal Murray, Monte Morris, Mason Plumlee, Jerami Grant","Beasley, Murray, Morris, Plumlee, Grant",1627736-1627750-1628420-203486-203924,DEN,205.0,3,3.0,8.0,8.0,2.0,16.0,2.0,3.0,,2.0,,2.0,1.0,2.0,5.0,4.0,2.0,9.0,8.0,1.0,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,,3.0,5.0,1.0,2.0,1.0,2.0,1.0,6.0,,2.0,0.5,0.5,0.4,0.3888888888888889,0.45,,0.4444444444444444,0.2,0.3333333333333333,,1.0,1.0,1.0,,1.0,1.0,,112.39024390243902,12.25,13.375,11.25,13.375,0.3333333333333333,0.6666666666666666,1.0,0.5,0.2222222222222222,,,,,0.2222222222222222,0.5,0.7777777777777778,0.4984111111111111,0.373225,0.1,0.16666666666666666,,5.5200000000000005,24.725,0.25,1.0,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,0.2222222222222222,,,1.0,,1.0,1.0,,3.0,,2.0,,,,,0.4,,0.5,,0.47195,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.25,1.0,0.25,0.75,0.75,1.0,1.0,1.0,0.25,0.5,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,False
1627736-1627750-1628470-203486-203924,1610612743,"Malik Beasley, Jamal Murray, Torrey Craig, Mason Plumlee, Jerami Grant","Beasley, Murray, Craig, Plumlee, Grant",1627736-1627750-1628470-203486-203924,DEN,445.0,6,7.0,15.0,13.0,6.0,28.0,,3.0,1.0,5.0,2.0,4.0,1.0,1.0,10.0,8.0,,14.0,19.0,5.0,1.0,,2.0,,4.0,2.0,,4.0,,,12.0,,2.0,,2.0,7.0,2.0,4.0,3.0,1.0,1.0,14.0,2.0,6.0,,,0.1,0.3888888888888889,0.3888888888888889,0.16666666666666666,0.4444444444444444,0.2,0.6666666666666666,,1.0,,0.5,1.0,,,,90.6067415730337,17.866666666666667,13.615384615384615,16.066666666666666,12.538461538461538,0.16666666666666666,,,,0.2777777777777778,0.2,0.2,,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.6111111111111112,0.5066777777777778,0.423625,0.05555555555555555,0.1,0.14285714285714285,8.32,24.575,0.4,-5.0,2.0,,,4.0,,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,,1.0,,,,,0.2,0.16666666666666666,0.6666666666666666,1.0,,,0.2222222222222222,,,3.0,,,1.0,,,2.0,5.0,,,,0.5,0.38461538461538464,0.5,,,0.5106,,1.0,2.0,,4.0,2.0,,,2.0,3.0,1.0,1.0,1.0,0.5,,0.5,,,0.3333333333333333,0.3333333333333333,0.25,0.09090909090909091,0.5,0.5,0.3333333333333333,,0.5,2.0,1.0,12.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,False
1627736-1627750-1628470-203914-203924,1610612743,"Malik Beasley, Jamal Murray, Torrey Craig, Gary Harris, Jerami Grant","Beasley, Murray, Craig, Harris, Grant",1627736-1627750-1628470-203914-203924,DEN,28.0,2,,1.0,3.0,1.0,4.0,,,,,,,,,,,2.0,2.0,6.0,,,2.0,2.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,205.71428571428572,1.0,9.0,1.0,9.0,,,,,,,,,,,,,,,,,1.0,,,1.0,-4.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,False
1627736-1627750-1628470-203924-203999,1610612743,"Malik Beasley, Jamal Murray, Torrey Craig, Jerami Grant, Nikola Jokic","Beasley, Murray, Craig, Grant, Jokic",1627736-1627750-1628470-203924-203999,DEN,385.0,3,6.0,10.0,11.0,7.0,21.0,3.0,5.0,2.0,2.0,1.0,1.0,,5.0,8.0,2.0,1.0,14.0,15.0,6.0,1.0,,6.0,8.0,1.0,,4.0,5.0,3.0,1.0,11.0,2.0,1.0,,3.0,4.0,,1.0,2.0,1.0,1.0,12.0,6.0,7.0,0.8,0.8,0.625,0.65,0.7,0.42857142857142855,0.2,,,,0.5,0.6666666666666666,0.6,,,0.6666666666666666,,78.54545454545455,19.3,17.454545454545453,19.0,16.545454545454547,0.5,0.6,0.6,1.0,0.2,1.0,1.0,0.5,0.1,0.1,,0.7,0.48488,0.48768571428571433,0.1,0.125,0.42857142857142855,5.4125,24.25,0.7,-1.0,2.0,4.0,,1.0,1.0,3.0,2.0,,,,,,,,1.0,,,1.0,,0.5,0.42857142857142855,,1.0,,,0.1,0.5714285714285714,0.14285714285714285,1.0,2.0,,,,2.0,,1.0,,,,,0.3333333333333333,,,0.5,0.4366,0.14285714285714285,,1.0,,1.0,1.0,,,1.0,1.0,,,,0.5,,0.5,1.0,1.0,0.5,1.0,,,1.0,1.0,,,1.0,,,3.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,False
1627736-1627750-1629008-203486-203924,1610612743,"Malik Beasley, Jamal Murray, Michael Porter Jr., Mason Plumlee, Jerami Grant","Beasley, Murray, Porter Jr., Plumlee, Grant",1627736-1627750-1629008-203486-203924,DEN,187.0,2,3.0,7.0,6.0,4.0,13.0,2.0,2.0,1.0,1.0,,3.0,3.0,3.0,3.0,3.0,,9.0,6.0,1.0,3.0,,5.0,2.0,2.0,,1.0,2.0,1.0,,5.0,1.0,2.0,,3.0,3.0,,,,,,9.0,5.0,4.0,0.3333333333333333,0.3333333333333333,1.0,0.75,0.75,0.625,0.5,,,,1.0,1.0,1.0,1.0,,,1.0,100.10695187165776,13.0,16.0,13.0,16.0,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,,,0.5,0.75,0.8333333333333334,0.48495,0.5205833333333333,,,0.5555555555555556,5.8,34.733333333333334,0.5714285714285714,3.0,4.0,,,,,1.0,4.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,0.625,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,0.3333333333333333,,0.5,,,,,,,0.3333333333333333,0.3333333333333333,,,0.5,,,3.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,False
1627736-1627750-1629008-203924-203999,1610612743,"Malik Beasley, Jamal Murray, Michael Porter Jr., Jerami Grant, Nikola Jokic","Beasley, Murray, Porter Jr., Grant, Jokic",1627736-1627750-1629008-203924-203999,DEN,109.0,2,2.0,3.0,4.0,2.0,7.0,,,,,1.0,,,1.0,1.0,1.0,2.0,4.0,1.0,1.0,,2.0,4.0,,,,,,,,,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,4.0,4.0,2.0,,,1.0,0.5,0.6666666666666666,1.0,0.5,,,1.0,,0.5,0.3333333333333333,,,0.5,,92.4770642201835,14.0,16.75,14.0,13.0,,,,,,,,,0.5,,,0.5,0.47855,0.3355,,,1.0,16.1,23.8,0.6666666666666666,3.0,3.0,,1.0,1.0,,1.0,2.0,,,,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,False
