EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyFtPoints,2pt And 1 Free Throw Trips,Corner3FGM,PenaltyCorner3FGM,PtsUnassisted3s,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,Loose Ball Fouls Drawn,OffArc3ReboundPct,LiveBallTurnovers,BadPassTurnovers,Charge Fouls Drawn,LiveBallTurnoverPct,DefShortMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,Fg2aBlocked,LostBallSteals,Travels,SecondChanceFg2Pct,FG2APctBlocked,ShortMidRangePctBlocked,SecondChanceAtRimAccuracy,AtRimPctBlocked,HeaveAttempts,DefCorner3ReboundPct,LongMidRangeAssists,LostBallTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctAssisted,SecondChanceTurnovers,Charge Fouls,ThreePtShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,StepOutOfBoundsTurnovers,Offensive Fouls,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,SecondChanceFtPoints,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,3SecondViolations,Arc3PctBlocked,BlockedCorner3,BlockedLongMidRange,Clear Path Fouls,HeaveMakes,team_id,year,season,team_vs
1626143-1627742-1628366-1628402-1628404,1610612740,"Jahlil Okafor, Brandon Ingram, Lonzo Ball, Frank Jackson, Josh Hart","Okafor, Ingram, Ball, Jackson, Hart",1626143-1627742-1628366-1628402-1628404,NOP,684.0,4,11.0,-11.0,27.0,27.0,15.0,17.0,4.0,54.0,4.0,8.0,1.0,4.0,6.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,4.0,7.0,1.0,1.0,2.0,3.0,7.0,16.0,4.0,9.0,2.0,28.0,39.0,1.0,1.0,2.0,3.0,7.0,11.0,2.0,4.0,20.0,6.0,8.0,12.0,7.0,4.0,3.0,4.0,7.0,4.0,2.0,1.0,18.0,1.0,2.0,2.0,2.0,1.0,5.0,3.0,8.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,7.0,8.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,20.0,15.0,0.42857142857142855,0.42857142857142855,1.0,0.4444444444444444,0.5,0.5,0.4444444444444444,0.4375,0.6363636363636364,0.52,0.5,0.6666666666666666,0.5192307692307693,0.5,0.6666666666666666,0.36,0.5,0.3333333333333333,0.2222222222222222,1.0,0.2,0.5,0.21428571428571427,0.25,0.3333333333333333,0.5,0.5,1.0,1.0,0.07142857142857142,113.68421052631578,1.0,14.074074074074074,11.25925925925926,13.481481481481481,10.851851851851851,0.32,0.5,0.5,0.5,0.16,0.25,0.25,1.0,0.16,0.5,0.5,0.08,0.28,0.5714285714285714,0.5714285714285714,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.4,0.6666666666666666,0.06666666666666667,0.2,0.6666666666666666,0.68,0.5714285714285714,0.50314,0.60375,0.51977,0.038461538461538464,0.058823529411764705,0.10714285714285714,0.7142857142857143,6.375,25.22222222222222,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2020,2019-20,True
1626143-1627742-1628366-1628402-1629026,1610612740,"Jahlil Okafor, Brandon Ingram, Lonzo Ball, Frank Jackson, Kenrich Williams","Okafor, Ingram, Ball, Jackson, Williams",1626143-1627742-1628366-1628402-1629026,NOP,79.0,1,1.0,4.0,3.0,3.0,3.0,,,6.0,2.0,2.0,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,,,2.0,6.0,2.0,,,,,2.0,2.0,,,6.0,2.0,2.0,,,,1.0,,1.0,,1.0,,2.0,,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,2.0,,3.0,,2.0,,,,,6.0,6.0,3.0,0.5,0.5,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,0.5,,1.0,,0.6666666666666666,,,,,1.0,,1.0,,109.36708860759494,,12.0,14.333333333333334,12.0,14.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,0.56315,,0.56315,0.6666666666666666,0.6666666666666666,,1.0,1.95,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2020,2019-20,True
1626143-1627742-1628366-1628402-1629638,1610612740,"Jahlil Okafor, Brandon Ingram, Lonzo Ball, Frank Jackson, Nickeil Alexander-Walker","Okafor, Ingram, Ball, Jackson, Alexander-Walker",1626143-1627742-1628366-1628402-1629638,NOP,39.0,1,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,36.92307692307692,,,24.0,,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5338,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2020,2019-20,True
1626143-1627742-1628366-1628402-1629740,1610612740,"Jahlil Okafor, Brandon Ingram, Lonzo Ball, Frank Jackson, Nicolo Melli","Okafor, Ingram, Ball, Jackson, Melli",1626143-1627742-1628366-1628402-1629740,NOP,103.0,1,2.0,2.0,3.0,5.0,3.0,,,8.0,,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,8.0,6.0,,,,,1.0,1.0,2.0,2.0,8.0,,2.0,3.0,1.0,1.0,,1.0,1.0,,,,3.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,8.0,8.0,3.0,,,0.5,1.0,,1.0,1.0,1.0,1.0,1.3333333333333333,,1.3333333333333333,1.3333333333333333,,1.3333333333333333,0.6666666666666666,,,,1.0,,0.3333333333333333,,,,,,,1.0,,111.84466019417476,,8.666666666666666,15.4,8.666666666666666,13.2,,,,,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5308499999999999,,0.5308499999999999,,,,1.0,10.1,24.1,1.0,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2020,2019-20,True
1626143-1627742-1628366-1628402-200755,1610612740,"Jahlil Okafor, Brandon Ingram, Lonzo Ball, Frank Jackson, JJ Redick","Okafor, Ingram, Ball, Jackson, Redick",1626143-1627742-1628366-1628402-200755,NOP,54.0,1,1.0,-3.0,2.0,2.0,,,,4.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,1.0,2.0,,1.0,,2.0,5.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,0.5,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,1.0,,0.5,,,,,,,,106.66666666666666,,19.0,8.0,17.0,8.0,0.3333333333333333,1.0,1.0,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,,,,,0.6666666666666666,,0.5003833333333333,,,,,,,9.05,26.1,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2020,2019-20,True
1626143-1627742-1628366-1628402-201950,1610612740,"Jahlil Okafor, Brandon Ingram, Lonzo Ball, Frank Jackson, Jrue Holiday","Okafor, Ingram, Ball, Jackson, Holiday",1626143-1627742-1628366-1628402-201950,NOP,182.0,1,3.0,-1.0,7.0,8.0,7.0,,,15.0,2.0,3.0,,2.0,3.0,1.0,1.0,,1.0,,,,,,,,,,3.0,5.0,,,,6.0,7.0,,,,,3.0,5.0,,,6.0,4.0,2.0,,,,2.0,,2.0,,2.0,,4.0,,,,3.0,,3.0,,3.0,,1.0,1.0,,,,2.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,6.0,6.0,7.0,0.6666666666666666,0.6666666666666666,,,,,,0.6,0.6,0.6,,0.6,0.6,,0.6,,,1.0,,,,1.0,,,,,1.0,,,,118.68131868131869,1.0,11.857142857142858,12.375,11.857142857142858,12.375,0.6,0.6666666666666666,0.6666666666666666,1.0,0.2,1.0,1.0,,0.2,,,,,,,,,,,,,0.6,0.6666666666666666,,,,0.6,,0.59178,,0.59178,,,,1.0,5.16,,1.0,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2020,2019-20,True
1626143-1627742-1628366-1628402-202734,1610612740,"Jahlil Okafor, Brandon Ingram, Lonzo Ball, Frank Jackson, E'Twaun Moore","Okafor, Ingram, Ball, Jackson, Moore",1626143-1627742-1628366-1628402-202734,NOP,215.0,1,4.0,-5.0,7.0,7.0,6.0,7.0,1.0,14.0,2.0,3.0,1.0,2.0,3.0,,1.0,,,,,,,2.0,,,,1.0,2.0,4.0,,2.0,1.0,5.0,10.0,1.0,,,2.0,2.0,4.0,,1.0,5.0,,4.0,,2.0,,,,,,,,,,1.0,1.0,,1.0,2.0,1.0,3.0,,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,2.0,,1.0,,,,,3.0,5.0,6.0,,,,,,,,0.5,0.5,0.3333333333333333,1.0,0.4,0.35714285714285715,1.0,0.4166666666666667,0.3333333333333333,1.0,,0.5,0.5,,0.3333333333333333,0.25,1.0,,,,,1.0,,93.76744186046511,,16.0,14.714285714285714,15.714285714285714,12.285714285714286,0.5,0.6666666666666666,0.6666666666666666,,0.16666666666666666,,,,,,,,0.3333333333333333,,,,1.0,,,,,0.6,0.6666666666666666,,0.2,,0.8333333333333334,,0.5186916666666667,0.4541,0.51515,0.14285714285714285,0.2,0.4,1.0,3.4,26.05,0.8571428571428571,1.0,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2020,2019-20,True
1626143-1627742-1628366-1628404-1629026,1610612740,"Jahlil Okafor, Brandon Ingram, Lonzo Ball, Josh Hart, Kenrich Williams","Okafor, Ingram, Ball, Hart, Williams",1626143-1627742-1628366-1628404-1629026,NOP,96.0,1,2.0,2.0,5.0,4.0,2.0,2.0,,9.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,1.0,3.0,,,2.0,4.0,2.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,1.0,,1.0,2.0,,2.0,,,,,1.0,,1.0,1.0,,,1.0,,3.0,1.0,1.0,,,,,4.0,2.0,2.0,,,,,,,,0.3333333333333333,,0.3333333333333333,,,0.5,,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,,135.0,,12.8,8.0,12.8,8.0,0.3333333333333333,,,,0.6666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.4298,,,0.25,0.25,,0.5,7.766666666666667,,0.4,2.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2020,2019-20,True
1626143-1627742-1628366-1628404-1629638,1610612740,"Jahlil Okafor, Brandon Ingram, Lonzo Ball, Josh Hart, Nickeil Alexander-Walker","Okafor, Ingram, Ball, Hart, Alexander-Walker",1626143-1627742-1628366-1628404-1629638,NOP,222.0,2,4.0,10.0,7.0,9.0,6.0,3.0,,16.0,,1.0,,,1.0,2.0,3.0,1.0,1.0,,,,2.0,3.0,,,2.0,3.0,3.0,5.0,2.0,3.0,1.0,13.0,3.0,,,,,2.0,4.0,2.0,3.0,10.0,2.0,4.0,6.0,2.0,2.0,1.0,2.0,3.0,2.0,,1.0,8.0,,,2.0,4.0,,6.0,,6.0,,1.0,,,,,,,1.0,1.0,2.0,,1.0,,1.0,,,,,13.0,10.0,6.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,,0.6666666666666666,1.0,0.6,0.5,0.75,,0.7142857142857143,0.8125,,0.7142857142857143,0.375,,0.8,,1.0,,0.8571428571428571,,,,,1.0,,1.0,,103.78378378378378,,13.857142857142858,13.88888888888889,13.857142857142858,13.444444444444445,0.125,,,,0.375,0.6666666666666666,0.6666666666666666,0.5,0.125,1.0,1.0,,0.375,0.6666666666666666,0.6666666666666666,1.0,,,,,,0.14285714285714285,,,0.42857142857142855,0.6666666666666666,0.5,1.0,0.4576857142857143,,0.4688833333333333,0.125,0.2,,0.7692307692307693,8.74,36.13333333333333,0.8571428571428571,,1.0,,,,,,,,,,,,,,,0.75,,,,1.0,1.0,,,0.2,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2020,2019-20,True
1626143-1627742-1628366-1628404-200755,1610612740,"Jahlil Okafor, Brandon Ingram, Lonzo Ball, Josh Hart, JJ Redick","Okafor, Ingram, Ball, Hart, Redick",1626143-1627742-1628366-1628404-200755,NOP,1269.0,5,21.0,-3.0,48.0,48.0,12.0,7.0,9.0,96.0,11.0,21.0,3.0,2.0,5.0,2.0,5.0,3.0,3.0,5.0,1.0,2.0,5.0,13.0,2.0,2.0,1.0,3.0,16.0,29.0,5.0,18.0,8.0,55.0,58.0,6.0,2.0,3.0,12.0,2.0,6.0,1.0,5.0,11.0,20.0,12.0,15.0,13.0,5.0,10.0,5.0,15.0,5.0,8.0,,35.0,2.0,6.0,5.0,9.0,,14.0,8.0,22.0,,3.0,2.0,1.0,2.0,,6.0,1.0,4.0,9.0,9.0,1.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,43.0,11.0,12.0,0.625,0.625,1.0,0.2777777777777778,0.6666666666666666,0.2,0.2777777777777778,0.5517241379310345,0.3333333333333333,0.5,0.6666666666666666,0.3181818181818182,0.5294117647058824,0.6666666666666666,0.4230769230769231,0.3829787234042553,,0.6,0.46153846153846156,0.7142857142857143,0.15384615384615385,0.6363636363636364,0.3076923076923077,0.5,0.3333333333333333,0.4,0.3333333333333333,1.0,0.6,,108.93617021276596,1.0,13.666666666666666,12.770833333333334,12.833333333333334,12.041666666666666,0.44680851063829785,0.5238095238095238,0.6111111111111112,0.7272727272727273,0.10638297872340426,0.4,0.4,,0.06382978723404255,1.0,1.0,0.10638297872340426,0.2765957446808511,0.38461538461538464,0.38461538461538464,1.0,0.3333333333333333,0.1111111111111111,0.2222222222222222,1.0,1.0,0.45454545454545453,0.4,0.18181818181818182,0.2727272727272727,0.3333333333333333,0.8297872340425532,0.38461538461538464,0.5571329787234043,0.55713125,0.5877863636363636,0.04081632653061224,0.06451612903225806,0.21818181818181817,0.2,4.406896551724138,24.950000000000003,0.25,4.0,,,,,,,,,,2.0,,4.0,2.0,,0.6666666666666666,0.7142857142857143,1.0,3.0,,3.0,1.0,,0.5,0.10344827586206896,,0.3333333333333333,0.14285714285714285,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2020,2019-20,True
