EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,LongMidRangeAssists,OffTwoPtRebounds,SecondChanceTsPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChancePointsPct,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG3A,Steals,LostBallSteals,Loose Ball Fouls Drawn,DefCorner3ReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,FTDefRebounds,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,DefFTReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShortMidRangeFGM,PtsAssisted3s,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,BadPassSteals,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,Assisted3sPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3PctAssisted,ThreePtShootingFoulsDrawnPct,Corner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG3A,Fg2aBlocked,Corner3Assists,SelfOReb,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,Travels,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,BlockedLongMidRange,3SecondViolations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,ShortMidRangePctBlocked,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,HeaveAttempts,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,OffLongMidRangeReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LostBallOutOfBoundsTurnovers,HeaveMakes,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,team_id,year,season,team_vs
1626178-1626181-1627783-1627832-201586,1610612761,"Rondae Hollis-Jefferson, Norman Powell, Pascal Siakam, Fred VanVleet, Serge Ibaka","Hollis-Jefferson, Powell, Siakam, VanVleet, Ibaka",1626178-1626181-1627783-1627832-201586,TOR,347.0,2,6.0,-4.0,10.0,11.0,3.0,4.0,21,4.0,5.0,2.0,3.0,1.0,3.0,4.0,6.0,3.0,3.0,11.0,15.0,2.0,3.0,4.0,6.0,2.0,3.0,3.0,3.0,3.0,6.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,11.0,4.0,3.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.55,0.6666666666666666,0.3333333333333333,1.0,0.6,1.0,0.3333333333333333,0.6666666666666666,0.2,0.3333333333333333,0.5,0.5,1.0,1.0,87.14697406340058,1.0,17.9,15.272727272727273,17.5,13.909090909090908,0.5555555555555556,0.8,0.8,0.75,0.1111111111111111,0.3333333333333333,1.0,0.6666666666666666,0.8888888888888888,0.5089611111111112,0.4941333333333333,0.2,0.2857142857142857,0.36363636363636365,3.266666666666667,25.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626178-1626181-1627783-200768-201586,1610612761,"Rondae Hollis-Jefferson, Norman Powell, Pascal Siakam, Kyle Lowry, Serge Ibaka","Hollis-Jefferson, Powell, Siakam, Lowry, Ibaka",1626178-1626181-1627783-200768-201586,TOR,70.0,1,1.0,4.0,3.0,3.0,3.0,3.0,6,,,,,1.0,,1.0,2.0,,4.0,6.0,2.0,1.0,2.0,6.0,2.0,,,1.0,1.0,,2.0,,,,,1.0,1.0,,,,,,2.0,4.0,,2.0,,,,,4.0,6.0,3.0,1.0,1.0,0.5,0.5,0.5,0.5,0.75,0.75,,,,,,,1.0,,,,,,123.42857142857142,,9.333333333333334,14.0,9.333333333333334,14.0,,,,,0.5,,,,,0.4304,0.4304,0.5,0.5,1.0,14.85,,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626178-1626181-1627832-200768-201586,1610612761,"Rondae Hollis-Jefferson, Norman Powell, Fred VanVleet, Kyle Lowry, Serge Ibaka","Hollis-Jefferson, Powell, VanVleet, Lowry, Ibaka",1626178-1626181-1627832-200768-201586,TOR,180.0,1,3.0,2.0,7.0,7.0,,,14,3.0,3.0,,,1.0,2.0,3.0,4.0,3.0,,6.0,4.0,,,,4.0,2.0,2.0,2.0,2.0,2.0,4.0,,3.0,,3.0,,3.0,,,,,1.0,1.0,,,,,,,,6.0,,,0.6666666666666666,0.6666666666666666,0.75,,0.42857142857142855,,0.42857142857142855,,0.42857142857142855,,,1.0,,1.0,,,,,,1.0,112.0,,14.714285714285714,11.0,13.0,11.0,0.42857142857142855,1.0,1.0,0.6666666666666666,0.14285714285714285,0.2857142857142857,,,0.8571428571428571,0.5289571428571429,,,,,3.4,24.666666666666668,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626178-1626181-1629744-200768-201586,1610612761,"Rondae Hollis-Jefferson, Norman Powell, Matt Thomas, Kyle Lowry, Serge Ibaka","Hollis-Jefferson, Powell, Thomas, Lowry, Ibaka",1626178-1626181-1629744-200768-201586,TOR,137.0,1,2.0,3.0,4.0,4.0,,,8,2.0,2.0,,,1.0,3.0,2.0,3.0,3.0,,7.0,4.0,,,,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,4.0,,,,1.0,2.0,,,,,,,,,5.0,,,0.5,1.0,0.6666666666666666,,0.5833333333333334,,0.5833333333333334,,0.5,,,1.0,0.5,1.0,0.6666666666666666,0.5,,,,1.0,84.08759124087592,,16.75,17.5,15.5,17.5,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,0.5,,,0.8333333333333334,0.5423833333333333,,,,,4.366666666666666,28.8,,2.0,,,,2.0,,,1.0,0.5,1.0,1.0,,,,,0.2857142857142857,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5,0.3333333333333333,0.6405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626178-1627832-1628384-200768-201586,1610612761,"Rondae Hollis-Jefferson, Fred VanVleet, OG Anunoby, Kyle Lowry, Serge Ibaka","Hollis-Jefferson, VanVleet, Anunoby, Lowry, Ibaka",1626178-1627832-1628384-200768-201586,TOR,47.0,1,1.0,-3.0,1.0,2.0,,2.0,3,,1.0,,,,,,1.0,,,,3.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,91.91489361702128,,19.0,14.0,19.0,14.0,1.0,,,,,,,,1.0,0.4405,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626178-1627832-1629744-200768-201586,1610612761,"Rondae Hollis-Jefferson, Fred VanVleet, Matt Thomas, Kyle Lowry, Serge Ibaka","Hollis-Jefferson, VanVleet, Thomas, Lowry, Ibaka",1626178-1627832-1629744-200768-201586,TOR,113.0,1,2.0,6.0,5.0,5.0,,,10,1.0,1.0,,,1.0,2.0,2.0,2.0,2.0,3.0,10.0,4.0,,,,4.0,,2.0,2.0,3.0,1.0,7.0,,1.0,,1.0,,1.0,,,,,1.0,2.0,3.0,,,,,,,10.0,,,1.0,1.0,1.0,,0.875,,1.0,,0.5,,,1.0,,1.0,,,,,,1.0,127.43362831858407,,11.8,10.8,11.8,10.8,0.25,1.0,1.0,1.0,0.25,0.5,,,0.75,0.538975,,0.2,,,2.9,27.7,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,0.5,0.5,,,,0.5,0.5,,,,0.5,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626181-1627783-1627832-1628384-200768,1610612761,"Norman Powell, Pascal Siakam, Fred VanVleet, OG Anunoby, Kyle Lowry","Powell, Siakam, VanVleet, Anunoby, Lowry",1626181-1627783-1627832-1628384-200768,TOR,2106.0,9,35.0,6.0,65.0,64.0,12.0,20.0,129,10.0,18.0,2.0,3.0,8.0,15.0,16.0,30.0,19.0,14.0,64.0,58.0,3.0,5.0,9.0,6.0,26.0,15.0,3.0,9.0,1.0,24.0,2.0,10.0,14.0,25.0,4.0,29.0,5.0,2.0,12.0,9.0,23.0,13.0,18.0,1.0,8.0,5.0,4.0,5.0,4.0,62.0,7.0,11.0,0.1875,0.2,0.5333333333333333,0.6,0.5102040816326531,0.375,0.5526315789473685,0.45,0.3877551020408163,0.4166666666666667,0.7777777777777778,0.6666666666666666,0.15384615384615385,0.7272727272727273,0.14814814814814814,0.2,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.5454545454545454,88.2051282051282,0.8,15.476923076923077,17.1875,15.276923076923078,16.46875,0.3673469387755102,0.5555555555555556,0.625,0.1,0.16326530612244897,0.30612244897959184,0.375,0.6666666666666666,0.7551020408163265,0.5206622448979592,0.483525,0.14285714285714285,0.21621621621621623,0.140625,5.95,26.42105263157895,0.18461538461538463,4.0,2.0,4.0,,2.0,3.0,1.0,2.0,0.25,0.14285714285714285,,0.08163265306122448,0.5,0.5,0.5,0.03125,4.0,,1.0,6.0,2.0,,1.0,0.08163265306122448,,1.0,2.0,5.0,1.0,6.0,1.0,3.0,,2.0,5.0,1.0,0.3157894736842105,0.3157894736842105,0.3333333333333333,0.25,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.25,0.3333333333333333,0.582675,4.0,18.0,6.0,5.0,1.0,4.0,,,1.0,0.5,0.5,0.25,1.0,,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,7.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.06666666666666667,0.1111111111111111,0.25,0.08,0.25,0.25,1.0,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626181-1627783-1627832-1628384-201188,1610612761,"Norman Powell, Pascal Siakam, Fred VanVleet, OG Anunoby, Marc Gasol","Powell, Siakam, VanVleet, Anunoby, Gasol",1626181-1627783-1627832-1628384-201188,TOR,570.0,3,10.0,13.0,21.0,20.0,,,41,2.0,3.0,,,3.0,8.0,3.0,7.0,10.0,6.0,24.0,11.0,,,,2.0,4.0,8.0,1.0,5.0,1.0,14.0,3.0,7.0,5.0,12.0,3.0,15.0,1.0,,3.0,1.0,2.0,5.0,8.0,,4.0,1.0,,1.0,1.0,24.0,,,0.3333333333333333,0.3333333333333333,0.42857142857142855,,0.5294117647058824,,0.5714285714285714,,0.5882352941176471,0.3333333333333333,1.0,0.7777777777777778,0.5,0.8571428571428571,0.3,0.5,1.0,1.0,,0.875,103.57894736842105,1.0,13.142857142857142,14.7,11.476190476190476,13.85,0.17647058823529413,0.6666666666666666,0.6666666666666666,0.5,0.17647058823529413,0.47058823529411764,,,0.7647058823529411,0.5076852941176471,,0.19047619047619047,0.36363636363636365,,6.357142857142857,26.23,,3.0,,1.0,,,,,,,,,0.058823529411764705,,,,,2.0,,1.0,2.0,1.0,,,0.11764705882352941,,,,2.0,1.0,4.0,,2.0,,,2.0,,0.4,0.4,,,,0.25,0.25,,,0.3333333333333333,0.25,,1.0,12.0,4.0,2.0,,1.0,,,1.0,0.3333333333333333,0.3333333333333333,,1.0,,2.0,,,,,2.0,,1.0,2.0,,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626181-1627783-1627832-1628384-201586,1610612761,"Norman Powell, Pascal Siakam, Fred VanVleet, OG Anunoby, Serge Ibaka","Powell, Siakam, VanVleet, Anunoby, Ibaka",1626181-1627783-1627832-1628384-201586,TOR,1872.0,12,31.0,-19.0,61.0,64.0,29.0,13.0,125,7.0,15.0,1.0,6.0,13.0,25.0,12.0,33.0,28.0,3.0,51.0,70.0,4.0,15.0,17.0,12.0,12.0,25.0,6.0,13.0,3.0,33.0,4.0,17.0,8.0,27.0,13.0,40.0,3.0,1.0,11.0,7.0,11.0,12.0,6.0,,2.0,4.0,3.0,4.0,3.0,45.0,17.0,29.0,0.5,0.6,0.36363636363636365,0.26666666666666666,0.39344262295081966,0.2833333333333333,0.3984375,0.27419354838709675,0.45901639344262296,0.2727272727272727,0.5714285714285714,0.85,0.2222222222222222,0.7352941176470589,0.34210526315789475,0.23529411764705882,0.625,0.5,0.5,0.8181818181818182,96.15384615384616,0.75,16.885245901639344,13.15625,16.098360655737704,12.609375,0.2459016393442623,0.4666666666666667,0.6363636363636364,0.42857142857142855,0.21311475409836064,0.4098360655737705,0.2,0.16666666666666666,0.7049180327868853,0.47078770491803273,0.45084,0.031746031746031744,0.05714285714285714,0.3333333333333333,7.348484848484849,26.185714285714287,0.47540983606557374,11.0,1.0,5.0,,6.0,,,9.0,0.3333333333333333,0.45,0.3333333333333333,0.08196721311475409,0.2,0.2,,0.11764705882352941,3.0,1.0,4.0,2.0,1.0,2.0,0.8888888888888888,0.04918032786885246,0.1111111111111111,2.0,3.0,6.0,3.0,8.0,3.0,5.0,3.0,4.0,6.0,2.0,0.2857142857142857,0.2857142857142857,0.6,0.3333333333333333,0.6666666666666666,0.24,0.24,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.24,0.43111666666666665,4.0,21.0,7.0,5.0,3.0,1.0,2.0,,0.875,0.3076923076923077,0.36363636363636365,0.75,0.8333333333333334,,2.0,2.0,13.0,15.0,6.0,2.0,1.0,2.0,8.0,1.0,5.0,,1.0,,,,1.0,,0.18181818181818182,0.26666666666666666,0.8571428571428571,0.03125,0.6666666666666666,0.6666666666666666,1.0,0.06666666666666667,0.43333333333333335,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.2,0.15384615384615385,0.5,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626181-1627783-1627832-1628449-201586,1610612761,"Norman Powell, Pascal Siakam, Fred VanVleet, Chris Boucher, Serge Ibaka","Powell, Siakam, VanVleet, Boucher, Ibaka",1626181-1627783-1627832-1628449-201586,TOR,142.0,1,2.0,-7.0,4.0,4.0,,,8,1.0,1.0,,,2.0,1.0,1.0,3.0,1.0,,2.0,9.0,,,,2.0,,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,2.0,,,1.0,1.0,0.3333333333333333,,0.25,,0.25,,0.25,,1.0,,,1.0,,,1.0,,,,81.12676056338029,,22.0,13.5,22.0,13.5,0.25,1.0,1.0,1.0,0.5,0.25,,,0.5,0.442525,,,,,5.666666666666667,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
