EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,Corner3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,SecondChanceFtPoints,Fg2aBlocked,BadPassSteals,FTA,TwoPtShootingFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceArc3FGA,2pt And 1 Free Throw Trips,SecondChanceArc3Frequency,BadPassOutOfBoundsTurnovers,Charge Fouls,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PtsPutbacks,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Defensive 3 Seconds Violations,PenaltyFg2Pct,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,HeaveAttempts,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceArc3PctAssisted,BlockedAtRim,OffLongMidRangeReboundPct,BlockedShortMidRange,AtRimPctBlocked,LongMidRangePctBlocked,Travels,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,3SecondViolations,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
1626144-1627777-1628396-203903-204060,1610612762,"Emmanuel Mudiay, Georges Niang, Tony Bradley, Jordan Clarkson, Joe Ingles","Mudiay, Niang, Bradley, Clarkson, Ingles",1626144-1627777-1628396-203903-204060,UTA,802.0,2,13.0,-4.0,24.0,25.0,1.0,9.0,5.0,49.0,2.0,5.0,1.0,3.0,3.0,7.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,8.0,1.0,1.0,6.0,13.0,4.0,13.0,24.0,28.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,3.0,8.0,4.0,6.0,6.0,8.0,3.0,1.0,4.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,14.0,4.0,3.0,3.0,7.0,1.0,11.0,7.0,18.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,6.0,1.0,2.0,6.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,19.0,3.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.3076923076923077,0.3333333333333333,1.0,0.3076923076923077,0.46153846153846156,0.3333333333333333,0.46153846153846156,0.4166666666666667,1.5,0.46153846153846156,0.4166666666666667,1.5,0.5,0.07692307692307693,0.2,0.3333333333333333,1.0,0.7777777777777778,0.42857142857142855,0.75,0.5,0.7692307692307693,0.4666666666666667,0.6666666666666666,0.25,0.5,0.5,1.0,0.5,1.0,0.6666666666666666,1.0,0.14285714285714285,87.98004987531172,1.0,19.375,13.48,18.541666666666668,13.2,0.19230769230769232,0.4,0.4,1.0,0.2692307692307692,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.038461538461538464,1.0,1.0,1.0,0.19230769230769232,0.2,0.25,1.0,0.3076923076923077,0.375,0.375,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,0.6923076923076923,0.375,0.4719673076923077,0.5302333333333333,0.26025,0.20833333333333334,0.125,6.961538461538462,24.9,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2020,2019-20,False
1626144-1627777-203497-203903-204060,1610612762,"Emmanuel Mudiay, Georges Niang, Rudy Gobert, Jordan Clarkson, Joe Ingles","Mudiay, Niang, Gobert, Clarkson, Ingles",1626144-1627777-203497-203903-204060,UTA,61.0,2,1.0,5.0,3.0,1.0,,,,4.0,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,2.0,5.0,,,,,,,,,,,2.0,3.0,,1.0,,,,1.0,1.0,,1.0,,,,3.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,5.0,,,,,,1.0,0.5,,,0.5,1.0,,0.8333333333333334,,,0.8333333333333334,,,0.6666666666666666,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,94.42622950819673,,8.0,37.0,8.0,37.0,0.3333333333333333,1.0,1.0,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,1.0,,0.5381833333333333,,,,,2.4,23.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2020,2019-20,False
1626144-1628396-1629752-203903-204060,1610612762,"Emmanuel Mudiay, Tony Bradley, Juwan Morgan, Jordan Clarkson, Joe Ingles","Mudiay, Bradley, Morgan, Clarkson, Ingles",1626144-1628396-1629752-203903-204060,UTA,80.0,1,1.0,2.0,3.0,4.0,,4.0,2.0,7.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,2.0,1.0,2.0,4.0,2.0,,,1.0,1.0,4.0,,,,,,3.0,,1.0,,,,1.0,1.0,,1.0,,,,3.0,,2.0,1.0,,,1.0,2.0,3.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,0.5,1.0,,0.5,,,0.375,1.5,,0.4,1.0,,0.5,,,,,,1.0,1.0,,1.0,0.6666666666666666,1.0,1.0,,,,,,1.0,,,126.0,,12.666666666666666,10.5,11.666666666666666,10.5,0.25,,,,0.25,,,,,,,,0.25,1.0,1.0,1.0,0.25,,,,,,,1.0,1.0,1.0,,,0.75,,0.4893,0.50325,,1.0,,4.3,25.1,,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2020,2019-20,False
1626220-1627777-1628378-1628396-1629752,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Tony Bradley, Juwan Morgan","O'Neale, Niang, Mitchell, Bradley, Morgan",1626220-1627777-1628378-1628396-1629752,UTA,66.0,1,1.0,-2.0,2.0,1.0,,,1.0,3.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,2.0,3.0,5.0,,,,1.0,,,,,2.0,,,,1.0,,,1.0,,1.0,,,1.0,,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,3.0,,,,1.0,1.0,,,,,,1.0,,0.3333333333333333,,,0.5,,,0.6666666666666666,,,,,,,,0.5,,0.5,,,,1.0,,,,,,,65.45454545454545,,20.0,26.0,18.0,26.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,,,1.0,,0.5530666666666667,,,,,1.9,23.8,,1.0,,,,1.0,1.0,,,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2020,2019-20,False
1626220-1627777-1628378-1628396-203903,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Tony Bradley, Jordan Clarkson","O'Neale, Niang, Mitchell, Bradley, Clarkson",1626220-1627777-1628378-1628396-203903,UTA,149.0,2,2.0,-3.0,6.0,6.0,,,1.0,12.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,2.0,,1.0,3.0,6.0,,,,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,2.0,2.0,,4.0,1.0,5.0,,,,,,2.0,,,2.0,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,0.5,,0.3333333333333333,,,0.375,0.5,,0.3333333333333333,,,,,1.0,1.0,1.0,,1.0,0.5,1.0,,,,1.0,,1.0,1.0,1.0,,115.97315436241611,,10.0,14.833333333333334,10.0,14.833333333333334,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,0.6666666666666666,,0.5274,,,0.3333333333333333,,6.35,26.9,,1.0,1.0,,,2.0,1.0,,,0.25,0.3333333333333333,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2020,2019-20,False
1626220-1627777-1628378-1629752-203497,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Juwan Morgan, Rudy Gobert","O'Neale, Niang, Mitchell, Morgan, Gobert",1626220-1627777-1628378-1629752-203497,UTA,202.0,2,3.0,,7.0,7.0,,,1.0,14.0,2.0,2.0,1.0,1.0,,1.0,,,,,,,1.0,2.0,,,2.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,,,2.0,,,,2.0,2.0,,3.0,2.0,1.0,,1.0,,1.0,,,1.0,,,2.0,,,2.0,,1.0,3.0,,3.0,,,,1.0,1.0,,,,1.0,,2.0,3.0,,1.0,,,,,,7.0,,,,0.5,0.5,,0.5,,,0.5,0.6666666666666666,1.0,0.7,1.0,,0.75,1.0,,0.4,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,,99.8019801980198,,15.428571428571429,13.428571428571429,13.714285714285714,13.428571428571429,0.4,1.0,1.0,0.5,0.2,,,,,,,,,,,,0.4,0.5,0.5,,1.0,1.0,,,,,,,0.8,0.5,0.46790000000000004,0.2739,,0.2222222222222222,,5.333333333333333,25.55,,2.0,,,,2.0,1.0,,,0.16666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2020,2019-20,False
1626220-1627777-1628378-201144-203497,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Mike Conley, Rudy Gobert","O'Neale, Niang, Mitchell, Conley, Gobert",1626220-1627777-1628378-201144-203497,UTA,135.0,2,2.0,-1.0,3.0,4.0,,,,7.0,2.0,2.0,,,,,,,,,,,,1.0,,,2.0,2.0,,1.0,5.0,6.0,,,,,,,,,2.0,2.0,,,1.0,,,1.0,,1.0,,,1.0,,,2.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,5.0,,,,0.5,0.5,,,,,,1.0,,0.6666666666666666,,,0.8333333333333334,,,0.3333333333333333,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,74.66666666666667,,21.0,18.0,21.0,18.0,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,1.0,,0.5019833333333333,,,,,2.55,25.0,,1.0,,,,1.0,1.0,,,0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2020,2019-20,False
1626220-1627777-1628378-203497-203903,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Rudy Gobert, Jordan Clarkson","O'Neale, Niang, Mitchell, Gobert, Clarkson",1626220-1627777-1628378-203497-203903,UTA,1369.0,7,23.0,-4.0,45.0,46.0,11.0,11.0,4.0,91.0,6.0,11.0,2.0,3.0,5.0,8.0,,1.0,4.0,5.0,,,5.0,10.0,2.0,2.0,11.0,20.0,9.0,15.0,60.0,64.0,2.0,4.0,1.0,1.0,7.0,3.0,3.0,20.0,6.0,16.0,21.0,6.0,10.0,5.0,,3.0,7.0,10.0,3.0,4.0,1.0,2.0,,27.0,1.0,2.0,6.0,8.0,,14.0,3.0,17.0,,3.0,,1.0,1.0,5.0,,2.0,6.0,,4.0,6.0,,11.0,2.0,,,,,53.0,20.0,11.0,,0.2727272727272727,0.3333333333333333,0.7777777777777778,0.6,1.0,1.0,0.6,0.55,0.5,0.7,0.7,1.0555555555555556,0.7317073170731707,0.7,1.1111111111111112,0.42857142857142855,,,0.16666666666666666,,0.8,0.2222222222222222,0.8571428571428571,0.16666666666666666,0.8235294117647058,0.2,0.4,,0.2,,1.0,0.3333333333333333,1.0,0.8571428571428571,,,95.71950328707085,,15.733333333333333,14.369565217391305,15.11111111111111,14.0,0.3142857142857143,0.5454545454545454,0.5454545454545454,0.16666666666666666,0.22857142857142856,0.625,0.625,0.4,0.02857142857142857,,,,0.14285714285714285,0.8,0.8,1.0,0.2857142857142857,0.5,0.5,0.6,0.6,0.6666666666666666,,,,,0.2222222222222222,1.0,0.7428571428571429,0.5,0.5276871428571428,0.545725,0.5754166666666667,0.11666666666666667,0.3333333333333333,5.904999999999999,25.540000000000003,0.24444444444444444,11.0,,,3.0,13.0,7.0,,,0.17073170731707318,0.2692307692307692,1.0,1.0,0.2,1.0,,3.0,4.0,1.0,1.0,1.0,5.0,6.0,1.0,4.0,2.0,3.0,1.0,0.8333333333333334,1.0,0.4444444444444444,0.75,0.1111111111111111,1.0,,,,,,,,,,,,,,,,,,,,,1610612762,2020,2019-20,False
1626220-1627777-1628378-203497-204060,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Rudy Gobert, Joe Ingles","O'Neale, Niang, Mitchell, Gobert, Ingles",1626220-1627777-1628378-203497-204060,UTA,110.0,2,2.0,-3.0,4.0,5.0,,,,9.0,,,,,,1.0,,,,1.0,,,2.0,2.0,,,,1.0,2.0,3.0,6.0,9.0,,,,,,,,,,,3.0,3.0,2.0,2.0,,,1.0,1.0,1.0,,,,,3.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,6.0,,,,,,0.5,0.6666666666666666,,,0.6666666666666666,,,0.75,,,0.75,,,0.75,,,1.0,,,1.0,,,,0.5,,1.0,,,,,,,,,117.81818181818183,,13.75,11.0,13.75,11.0,,,,,0.25,,,,,,,,0.25,,,,0.5,1.0,1.0,0.5,,,,,,,,,0.75,1.0,0.49645,,,,,4.1,25.46666666666667,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2020,2019-20,False
1626220-1627777-1628396-201144-203903,1610612762,"Royce O'Neale, Georges Niang, Tony Bradley, Mike Conley, Jordan Clarkson","O'Neale, Niang, Bradley, Conley, Clarkson",1626220-1627777-1628396-201144-203903,UTA,122.0,1,2.0,,4.0,4.0,4.0,,,8.0,2.0,2.0,,,,,,,,,,,,2.0,,2.0,2.0,2.0,,2.0,5.0,5.0,,,,,,,2.0,5.0,2.0,2.0,,,2.0,,,1.0,,1.0,,,1.0,,,2.0,,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,5.0,5.0,4.0,,0.5,0.5,,,,,,1.0,,0.5,,0.5,0.5,,0.5,0.5,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,94.42622950819673,,18.25,12.25,18.25,12.25,0.5,1.0,1.0,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,1.0,,0.56205,,0.56205,,1.0,2.1,25.75,1.0,1.0,,,,2.0,1.0,,,0.2,0.3333333333333333,,,,,,2.0,2.0,,,,2.0,2.0,1.0,,,,,1.0,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612762,2020,2019-20,False
