EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,PenaltyOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Minutes,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,Steals,LostBallSteals,OffTwoPtRebounds,DefThreePtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,SecondChanceShotQualityAvg,Arc3FGM,PenaltyArc3FGM,SecondChanceFtPoints,NonHeaveArc3FGM,Arc3Assists,BadPassSteals,BadPassTurnovers,2pt And 1 Free Throw Trips,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,NonShootingPenaltyNonTakeFoulsDrawn,DefShortMidRangeReboundPct,PtsUnassisted3s,SecondChanceArc3FGA,SecondChanceFG3A,Fg2aBlocked,FTOffRebounds,Offensive Fouls Drawn,BlockedAtRim,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,SecondChanceArc3Frequency,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,ShortMidRangeAssists,DefCorner3ReboundPct,ShortMidRangePctAssisted,StepOutOfBoundsTurnovers,Travels,OffShortMidRangeReboundPct,3SecondViolations,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,SecondChanceFg3Pct,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SelfOReb,SelfORebPct,SecondChanceTurnovers,Charge Fouls,Technical Free Throw Trips,Blocked3s,BlockedArc3,OffLongMidRangeReboundPct,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,DefensiveGoaltends,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1626209-1629014-1629018-1629658-203468,1610612757,"Mario Hezonja, Anfernee Simons, Gary Trent Jr., Jaylen Hoard, CJ McCollum","Hezonja, Simons, Trent Jr., Hoard, McCollum",1626209-1629014-1629018-1629658-203468,POR,3.0,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,480.0,3.0,3.0,1.0,1.0,1.0,0.2571,0.2571,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1629014-1629018-202355-203081,1610612757,"Mario Hezonja, Anfernee Simons, Gary Trent Jr., Hassan Whiteside, Damian Lillard","Hezonja, Simons, Trent Jr., Whiteside, Lillard",1626209-1629014-1629018-202355-203081,POR,285.0,2,6.0,12.0,10.0,22,,,4.0,4.0,19.0,3.0,3.0,15.0,4.0,17.0,15.0,10.0,1.0,1.0,0.6875,0.75,0.7916666666666666,0.8333333333333334,111.15789473684211,9.5,9.333333333333334,,,,0.58996875,0.551725,0.7894736842105263,5.775,0.8333333333333334,5.0,10.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,8.0,13.0,1.0,1.0,2.0,1.0,3.0,6.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,4.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,4.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.25,0.3333333333333333,0.25,1.0,1.0,1.0,0.5,1.0,1.0,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.3333333333333333,1.0,1.0,1.0,0.5,17.1,16.4,0.375,1.0,1.0,0.6666666666666666,0.125,1.0,1.0,0.25,0.5,0.5,1.0,0.25,1.0,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.875,0.2727272727272727,0.42857142857142855,0.10526315789473684,24.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1629014-1629018-202355-203468,1610612757,"Mario Hezonja, Anfernee Simons, Gary Trent Jr., Hassan Whiteside, CJ McCollum","Hezonja, Simons, Trent Jr., Whiteside, McCollum",1626209-1629014-1629018-202355-203468,POR,35.0,1,,1.0,1.0,2,,,,,,,,,,,,1.0,,,,,,,82.28571428571428,16.0,16.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1629014-1629018-203081-203994,1610612757,"Mario Hezonja, Anfernee Simons, Gary Trent Jr., Damian Lillard, Jusuf Nurkic","Hezonja, Simons, Trent Jr., Lillard, Nurkic",1626209-1629014-1629018-203081-203994,POR,85.0,1,2.0,4.0,4.0,7,,,1.0,3.0,2.0,1.0,3.0,2.0,2.0,,2.0,4.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25,118.58823529411764,9.5,9.5,,,,0.494625,0.494625,1.0,7.966666666666666,1.0,1.0,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,2.0,,1.0,,,,2.0,1.0,,,,,,,,,,3.0,1.0,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.25,,,,,1.0,0.3333333333333333,,,,,15.666666666666666,15.666666666666666,0.5,0.5,0.5,,0.25,,,,,,,0.25,1.0,1.0,0.5,0.5,,,0.25,0.75,,,1.0,25.9,,,1.0,3.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1629014-1629018-203468-203994,1610612757,"Mario Hezonja, Anfernee Simons, Gary Trent Jr., CJ McCollum, Jusuf Nurkic","Hezonja, Simons, Trent Jr., McCollum, Nurkic",1626209-1629014-1629018-203468-203994,POR,192.0,1,-1.0,7.0,4.0,15,,,1.0,3.0,7.0,1.0,2.0,7.0,2.0,4.0,7.0,4.0,0.3333333333333333,0.5,0.4166666666666667,0.5,0.5,0.5833333333333334,112.5,16.142857142857142,16.0,,,,0.5287583333333333,0.57511,1.0,2.6333333333333333,0.5714285714285714,3.0,8.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,,,2.0,,2.0,1.0,1.0,1.0,3.0,2.0,8.0,1.0,1.0,3.0,1.0,3.0,2.0,,3.0,2.0,1.0,,1.0,1.0,,,3.0,,,,2.0,1.0,3.0,2.0,1.0,2.0,,2.0,2.0,,4.0,3.0,2.0,,,,,,,,,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.5,0.5,1.0,,,,1.0,0.25,,,,,9.875,9.875,0.5,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,,0.16666666666666666,1.0,1.0,0.4,0.5,0.4,,0.2,1.0,0.2857142857142857,0.5,0.42857142857142855,23.7,1.0,,1.0,2.0,,,0.5,1.0,0.5,1.0,0.5488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1629014-1629658-202355-203468,1610612757,"Mario Hezonja, Anfernee Simons, Jaylen Hoard, Hassan Whiteside, CJ McCollum","Hezonja, Simons, Hoard, Whiteside, McCollum",1626209-1629014-1629658-202355-203468,POR,33.0,1,-1.0,1.0,1.0,2,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,0.5,0.5,87.27272727272727,6.0,6.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1629014-1629658-203468-2546,1610612757,"Mario Hezonja, Anfernee Simons, Jaylen Hoard, CJ McCollum, Carmelo Anthony","Hezonja, Simons, Hoard, McCollum, Anthony",1626209-1629014-1629658-203468-2546,POR,106.0,1,-3.0,4.0,4.0,9,1.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,0.5,0.5,0.5,0.5,122.26415094339623,16.0,16.0,0.25,1.0,1.0,0.5195,0.5195,1.0,4.1,1.0,2.0,5.0,5.0,,1.0,1.0,,,1.0,1.0,,,,,,,2.0,2.0,,2.0,,7.0,,,,,2.0,,2.0,,,2.0,1.0,,1.0,,1.0,2.0,,1.0,1.0,2.0,,2.0,,,,,2.0,2.0,,,,,,,,,,,,0.5,0.5,,,,,,,,0.5,,1.0,1.0,,1.0,,,,1.0,,8.4,8.4,0.25,1.0,1.0,1.0,,,,,,,,0.5,,,0.25,1.0,,,0.5,0.75,,,,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1629014-202355-203468-2546,1610612757,"Mario Hezonja, Anfernee Simons, Hassan Whiteside, CJ McCollum, Carmelo Anthony","Hezonja, Simons, Whiteside, McCollum, Anthony",1626209-1629014-202355-203468-2546,POR,28.0,1,3.0,1.0,1.0,2,,,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,102.85714285714286,7.0,7.0,,,,0.4643,0.4643,1.0,2.5,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,21.0,21.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1629014-203468-203994-2546,1610612757,"Mario Hezonja, Anfernee Simons, CJ McCollum, Jusuf Nurkic, Carmelo Anthony","Hezonja, Simons, McCollum, Nurkic, Anthony",1626209-1629014-203468-203994-2546,POR,45.0,1,5.0,3.0,3.0,5,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,2.0,5.0,5.0,3.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.8333333333333334,160.0,8.0,8.0,0.5,1.0,1.0,0.50905,0.50905,1.0,5.1,1.0,1.0,2.0,2.0,,,,,,,,,,,1.0,,1.0,,,,1.0,3.0,,,,,,1.0,3.0,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,0.5,,,1.0,,1.0,,,,1.0,,10.5,10.5,,,,,,,,0.5,,,,,,,,,0.5,,,0.5,0.5,1.0,,23.2,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
1626209-1629018-202355-203081-203468,1610612757,"Mario Hezonja, Gary Trent Jr., Hassan Whiteside, Damian Lillard, CJ McCollum","Hezonja, Trent Jr., Whiteside, Lillard, McCollum",1626209-1629018-202355-203081-203468,POR,39.0,1,,1.0,1.0,3,,,,,3.0,,,3.0,,3.0,3.0,1.0,,,1.5,1.5,1.5,1.5,110.76923076923076,11.0,11.0,,,,0.5412,0.5412,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,3.0,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,,,,,,14.0,14.0,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,27.4,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2020,2019-20,True
