EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,FtPoints,PtsUnassisted3s,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGM,Corner3FGA,Corner3Assists,DeadBallTurnovers,Turnovers,Charge Fouls,Charge Fouls Drawn,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,SecondChanceOffPoss,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,OffRebounds,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SecondChancePointsPct,LongMidRangeFGA,Loose Ball Fouls,LongMidRangeFrequency,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,PtsPutbacks,OffThreePtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,Fg2aBlocked,LostBallTurnovers,Travels,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyArc3FGA,PenaltyFG3A,LongMidRangeAssists,Offensive Fouls,LongMidRangePctAssisted,PenaltyArc3Frequency,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyFtPoints,NonShootingFoulsDrawn,BlockedShortMidRange,ShortMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,SelfOReb,SecondChanceTurnovers,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,PenaltyArc3FGM,PenaltyFG3M,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,LostBallOutOfBoundsTurnovers,PenaltyCorner3FGM,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,OffLongMidRangeReboundPct,Technical Free Throw Trips,HeaveAttempts,Offensive Fouls Drawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,OffensiveGoaltends,BlockedCorner3,Corner3PctBlocked,Clear Path Fouls,3SecondViolations,team_id,year,season,team_vs
1626145-1628367-1628395-1629001-203476,1610612763,"Tyus Jones, Josh Jackson, Jordan Bell, De'Anthony Melton, Gorgui Dieng","Jones, Jackson, Bell, Melton, Dieng",1626145-1628367-1628395-1629001-203476,MEM,163.0,1,3.0,10.0,7.0,7.0,14.0,3.0,3.0,2.0,2.0,1.0,2.0,5.0,5.0,1.0,2.0,13.0,3.0,4.0,6.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,0.4,0.4,1.0,0.5,0.5,1.0,0.9285714285714286,0.9285714285714286,0.2857142857142857,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,123.68098159509202,1.0,9.428571428571429,13.857142857142858,9.428571428571429,13.428571428571429,0.42857142857142855,1.0,1.0,0.3333333333333333,0.2857142857142857,1.0,1.0,0.5,0.2857142857142857,0.5,1.0,1.0,0.7142857142857143,0.5,0.5999,3.3600000000000003,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2020,2019-20,True
1626145-1628367-1628415-1628991-1629634,1610612763,"Tyus Jones, Josh Jackson, Dillon Brooks, Jaren Jackson Jr., Brandon Clarke","Jones, Jackson, Brooks, Jackson Jr., Clarke",1626145-1628367-1628415-1628991-1629634,MEM,76.0,1,1.0,6.0,3.0,2.0,5.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,2.0,,,1.0,1.0,,1.0,,1.0,,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,8.0,1.0,1.0,,1.0,1.0,1.0,1.25,1.3333333333333333,0.5,,,,,0.5,0.5,,0.5,94.73684210526316,,12.333333333333334,19.5,12.333333333333334,18.5,0.5,1.0,1.0,1.0,,,,,0.5,1.0,1.0,,1.0,1.0,0.51715,2.8,24.7,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2020,2019-20,True
1626145-1628367-1628415-1628991-203937,1610612763,"Tyus Jones, Josh Jackson, Dillon Brooks, Jaren Jackson Jr., Kyle Anderson","Jones, Jackson, Brooks, Jackson Jr., Anderson",1626145-1628367-1628415-1628991-203937,MEM,75.0,1,1.0,3.0,3.0,3.0,6.0,,,,1.0,,,,1.0,1.0,1.0,3.0,,,,3.0,,,,,1.0,1.0,,,,3.0,,2.0,,2.0,2.0,,,,,1.0,,,,,,3.0,,,1.0,1.0,1.0,,0.75,0.75,0.5,,,,1.0,,1.0,,,115.2,,11.666666666666666,13.333333333333334,11.666666666666666,13.333333333333334,,,,,0.5,,,,,,,,0.5,,0.47915,9.8,23.2,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2020,2019-20,True
1626145-1628367-1628415-1629001-1629634,1610612763,"Tyus Jones, Josh Jackson, Dillon Brooks, De'Anthony Melton, Brandon Clarke","Jones, Jackson, Brooks, Melton, Clarke",1626145-1628367-1628415-1629001-1629634,MEM,81.0,1,1.0,-1.0,5.0,5.0,10.0,1.0,2.0,,1.0,,,1.0,3.0,,,3.0,4.0,2.0,,,,,,1.0,,1.0,,1.0,,2.0,,1.0,,1.0,1.0,2.0,2.0,,1.0,1.0,,,,,,3.0,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,0.375,,,,,1.0,,1.0,,,177.77777777777777,,9.0,7.2,9.0,5.2,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,,,,,,,,0.6666666666666666,,0.7227666666666667,4.8999999999999995,,1.0,,1.0,2.0,,1.0,,,0.25,0.25,,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2020,2019-20,True
1626145-1628367-1628415-1629139-202685,1610612763,"Tyus Jones, Josh Jackson, Dillon Brooks, Yuta Watanabe, Jonas Valanciunas","Jones, Jackson, Brooks, Watanabe, Valanciunas",1626145-1628367-1628415-1629139-202685,MEM,126.0,1,2.0,1.0,4.0,5.0,9.0,,,,1.0,1.0,2.0,,1.0,1.0,2.0,6.0,5.0,,,3.0,2.0,1.0,,,1.0,1.0,1.0,,,3.0,,2.0,,2.0,3.0,,,,1.0,2.0,,,,,,4.0,,,1.0,0.5,0.5,,0.5,0.6,0.6666666666666666,,,,0.6666666666666666,,0.6666666666666666,,,102.85714285714285,,13.0,14.8,13.0,14.8,,,,,0.3333333333333333,,,,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,0.5,0.5072166666666666,8.7,25.05,3.0,,2.0,4.0,,2.0,,,0.4,0.6666666666666666,,,,,,,,0.6666666666666666,,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2020,2019-20,True
1626145-1628367-1628415-1629139-203476,1610612763,"Tyus Jones, Josh Jackson, Dillon Brooks, Yuta Watanabe, Gorgui Dieng","Jones, Jackson, Brooks, Watanabe, Dieng",1626145-1628367-1628415-1629139-203476,MEM,248.0,2,4.0,3.0,7.0,8.0,15.0,2.0,2.0,,1.0,1.0,1.0,2.0,4.0,1.0,1.0,9.0,6.0,4.0,,3.0,1.0,1.0,,2.0,1.0,3.0,1.0,2.0,,7.0,3.0,2.0,,5.0,6.0,1.0,,1.0,,2.0,,,,,,7.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7,0.75,0.2,,,,0.3333333333333333,0.75,0.5,1.0,1.0,87.09677419354838,,10.857142857142858,21.5,10.857142857142858,18.75,0.4,1.0,1.0,1.0,0.2,,,,0.2,1.0,1.0,1.0,0.6,1.0,0.5471199999999999,7.5,26.6,2.0,,1.0,2.0,,1.0,,,0.16666666666666666,0.2,,,,1.0,2.0,1.0,,0.25,,,,,,1.0,1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,0.2222222222222222,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2020,2019-20,True
1626145-1628367-1628415-1629630-202685,1610612763,"Tyus Jones, Josh Jackson, Dillon Brooks, Ja Morant, Jonas Valanciunas","Jones, Jackson, Brooks, Morant, Valanciunas",1626145-1628367-1628415-1629630-202685,MEM,195.0,5,3.0,-1.0,7.0,7.0,14.0,2.0,4.0,,1.0,,1.0,3.0,8.0,,2.0,6.0,7.0,,6.0,,1.0,,,,,,,,,,2.0,,,2.0,5.0,2.0,2.0,,2.0,3.0,,,,,,2.0,,,,,,0.375,0.3,0.3,0.2,,,,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,103.38461538461539,,15.142857142857142,12.714285714285714,13.714285714285714,12.571428571428571,0.4,0.5,0.5,,0.1,,,,0.1,,,,0.6,,0.5460200000000001,8.9375,24.85,,,1.0,,,,,,,,,1.0,,,,,,,,0.1,,,,,,,2.0,,4.0,2.0,3.0,0.6666666666666666,0.4,0.42857142857142855,,0.6666666666666666,3.0,,0.3,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2020,2019-20,True
1626145-1628367-1628415-1629630-203476,1610612763,"Tyus Jones, Josh Jackson, Dillon Brooks, Ja Morant, Gorgui Dieng","Jones, Jackson, Brooks, Morant, Dieng",1626145-1628367-1628415-1629630-203476,MEM,169.0,1,3.0,-1.0,6.0,6.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,8.0,9.0,,4.0,3.0,1.0,1.0,,,1.0,1.0,1.0,,,3.0,,1.0,,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,,,1.0,1.0,1.0,0.6666666666666666,0.875,1.0,0.25,,,,1.0,,0.5,1.0,,102.24852071005917,1.0,15.5,12.666666666666666,14.0,11.833333333333334,0.5,0.5,1.0,,0.25,1.0,1.0,,0.25,1.0,1.0,1.0,0.75,1.0,0.4821375,5.7,28.6,1.0,,1.0,1.0,1.0,1.0,,,0.25,0.3333333333333333,,,,1.0,3.0,,,,,,,,,2.0,1.0,0.6666666666666666,1.0,1.0,3.0,1.0,1.0,1.5,1.0,1.0,,0.375,,,,6.0,,,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,0.3464,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.5833,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2020,2019-20,True
1626145-1628367-1628415-1629634-203476,1610612763,"Tyus Jones, Josh Jackson, Dillon Brooks, Brandon Clarke, Gorgui Dieng","Jones, Jackson, Brooks, Clarke, Dieng",1626145-1628367-1628415-1629634-203476,MEM,337.0,2,6.0,-9.0,11.0,12.0,23.0,2.0,2.0,,2.0,,3.0,3.0,5.0,,3.0,8.0,17.0,2.0,4.0,,3.0,,,1.0,,1.0,,,,2.0,,4.0,,4.0,4.0,,,,1.0,4.0,1.0,1.0,1.0,,1.0,8.0,0.3333333333333333,0.3333333333333333,,,,0.6,0.375,0.4444444444444444,0.375,,,,0.4444444444444444,,0.4,0.4,,98.27893175074185,,12.363636363636363,16.75,12.363636363636363,15.5,0.25,1.0,1.0,,0.25,,,,0.375,,,,0.625,,0.47535625,7.9,25.900000000000002,2.0,,1.0,2.0,,1.0,,,0.1111111111111111,0.16666666666666666,,,,1.0,2.0,,,,1.0,,,,,1.0,1.0,0.5,,,,,,,,,,,1.0,,0.125,3.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,3.0,1.0,1.0,1.0,1.0,2.0,,,,,2.0,3.0,1.0,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,1.0,0.48933333333333334,0.25,0.2727272727272727,2.0,2.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2020,2019-20,True
1626145-1628367-1628415-1629634-203524,1610612763,"Tyus Jones, Josh Jackson, Dillon Brooks, Brandon Clarke, Solomon Hill","Jones, Jackson, Brooks, Clarke, Hill",1626145-1628367-1628415-1629634-203524,MEM,87.0,1,1.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,,5.0,2.0,2.0,2.0,,,,,1.0,,1.0,,1.0,,2.0,,1.0,,1.0,1.0,,,,,,,,,,,5.0,0.5,0.5,,,,1.0,1.0,1.25,,,,,0.5,,0.5,1.0,,82.75862068965517,,17.333333333333332,17.5,17.333333333333332,16.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,0.5,,0.58425,3.05,,1.0,,3.0,1.0,1.0,1.0,,,0.5,0.5,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2020,2019-20,True
