EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,LongMidRangeFGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,ShootingFouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Corner3FGM,PtsUnassisted3s,Corner3Assists,BadPassTurnovers,Blocked2s,BlockedShortMidRange,Blocks,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3FGM,PenaltyFG3M,PenaltyFtPoints,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,BlockedAtRim,RecoveredBlocks,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,LongMidRangePctBlocked,BlocksRecoveredPct,LongMidRangePctAssisted,PenaltyArc3Accuracy,PenaltyCorner3FGM,3SecondViolations,PenaltyCorner3Accuracy,Fg3aBlocked,FTOffRebounds,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,Corner3PctBlocked,Defensive 3 Seconds Violations,HeaveAttempts,team_id,year,season,team_vs
1626167-1627734-1627763-1628410-203087,1610612754,"Myles Turner, Domantas Sabonis, Malcolm Brogdon, Edmond Sumner, Jeremy Lamb","Turner, Sabonis, Brogdon, Sumner, Lamb",1626167-1627734-1627763-1628410-203087,IND,173.0,2,3.0,-8.0,5.0,6.0,5.0,6.0,1.0,11.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,10.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,0.25,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25,0.5,1.0,0.5,1.0,0.2,0.5,1.0,1.0,0.25,91.5606936416185,14.0,17.166666666666668,13.2,17.166666666666668,0.3333333333333333,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.50635,0.50635,1.0,8.75,22.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,False
1626167-1627734-1627763-1628410-203933,1610612754,"Myles Turner, Domantas Sabonis, Malcolm Brogdon, Edmond Sumner, T.J. Warren","Turner, Sabonis, Brogdon, Sumner, Warren",1626167-1627734-1627763-1628410-203933,IND,2131.0,4,36.0,-11.0,69.0,69.0,3.0,,7.0,138.0,25.0,3.0,2.0,5.0,19.0,11.0,3.0,,27.0,55.0,13.0,72.0,83.0,4.0,2.0,3.0,1.0,4.0,26.0,4.0,13.0,17.0,4.0,38.0,2.0,11.0,19.0,7.0,26.0,,12.0,61.0,4.0,3.0,,0.48148148148148145,0.5416666666666666,0.4909090909090909,0.6666666666666666,0.4852941176470588,0.5,0.5,0.5,0.19117647058823528,0.07272727272727272,0.12,0.6111111111111112,0.2222222222222222,0.6296296296296297,0.1891891891891892,,,0.6666666666666666,,93.25199436884093,14.826086956521738,16.057971014492754,14.46376811594203,15.46376811594203,0.36764705882352944,0.27941176470588236,0.2631578947368421,0.2777777777777778,0.8,0.16176470588235295,0.04411764705882353,0.5,0.5,,0.5588235294117647,0.5329676470588236,0.5809,0.05555555555555555,7.621818181818182,25.23076923076923,0.043478260869565216,18.0,2.0,2.0,4.0,1.0,4.0,10.0,1.0,1.0,1.0,4.0,6.0,3.0,1.0,2.0,2.0,11.0,28.0,12.0,6.0,10.0,4.0,4.0,4.0,9.0,5.0,6.0,2.0,10.0,3.0,7.0,2.0,3.0,2.0,1.0,5.0,5.0,1.0,14.0,1.0,1.0,8.0,1.0,1.0,4.0,1.0,0.3076923076923077,0.5,0.3076923076923077,0.75,0.75,0.7857142857142857,0.05263157894736842,0.4,1.0,0.17857142857142858,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.7,0.6666666666666666,0.6666666666666666,0.72,0.8181818181818182,0.5,0.36363636363636365,0.36363636363636365,0.14705882352941177,0.4,0.4,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.25,0.4,0.53688,0.056338028169014086,0.06896551724137931,0.1527777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,False
1626167-1627734-1627763-1628988-203087,1610612754,"Myles Turner, Domantas Sabonis, Malcolm Brogdon, Aaron Holiday, Jeremy Lamb","Turner, Sabonis, Brogdon, Holiday, Lamb",1626167-1627734-1627763-1628988-203087,IND,795.0,2,13.0,-5.0,25.0,25.0,,,3.0,50.0,10.0,2.0,,3.0,6.0,2.0,1.0,,9.0,18.0,7.0,27.0,32.0,2.0,,,,,10.0,,5.0,7.0,3.0,16.0,1.0,2.0,7.0,4.0,11.0,1.0,5.0,22.0,,,,0.5555555555555556,0.625,0.5,,0.54,,0.5192307692307693,,0.28,,,0.5,0.25,0.7,0.3076923076923077,,1.0,0.5,0.07692307692307693,90.56603773584905,16.44,15.36,15.0,15.0,0.4,0.24,0.5,0.5,1.0,0.08,0.04,0.6666666666666666,,,0.68,0.557114,,,6.1,26.74285714285714,,5.0,1.0,,1.0,,2.0,6.0,1.0,1.0,,3.0,,1.0,1.0,1.0,,5.0,8.0,6.0,2.0,6.0,2.0,2.0,1.0,2.0,3.0,5.0,,4.0,2.0,2.0,1.0,1.0,,,2.0,2.0,1.0,3.0,,,2.0,,,1.0,0.6666666666666666,0.42857142857142855,1.0,0.42857142857142855,0.5,0.8333333333333334,0.625,,0.5,,0.3333333333333333,0.8333333333333334,0.4,0.3333333333333333,,0.25,,0.75,1.0,0.5,0.5,0.4,0.5,0.5,0.24,0.3333333333333333,0.3333333333333333,0.5,0.5,,0.3333333333333333,1.0,,,,0.3333333333333333,0.591225,0.038461538461538464,0.05263157894736842,0.18518518518518517,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,False
1626167-1627734-1627763-1628988-203200,1610612754,"Myles Turner, Domantas Sabonis, Malcolm Brogdon, Aaron Holiday, Justin Holiday","Turner, Sabonis, Brogdon, Holiday, Holiday",1626167-1627734-1627763-1628988-203200,IND,121.0,1,2.0,3.0,3.0,3.0,,,,6.0,2.0,,,,,,,,2.0,2.0,1.0,5.0,2.0,,,,,,2.0,,1.0,1.0,,2.0,,,1.0,,1.0,,,5.0,,,,0.5,0.5,1.0,,0.6666666666666666,,0.8333333333333334,,0.3333333333333333,,,,,0.3333333333333333,,,,,,71.40495867768595,19.0,21.333333333333332,19.0,15.333333333333334,0.6666666666666666,,,,,,,,,,1.0,0.5317500000000001,,,2.0,26.3,,2.0,,,,,,1.0,,,,,1.0,,,,,,2.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,0.5,,,,,,1.0,,1.0,1.0,0.5,,,0.3333333333333333,,,,,,,,,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,False
1626167-1627734-1627763-1628988-203933,1610612754,"Myles Turner, Domantas Sabonis, Malcolm Brogdon, Aaron Holiday, T.J. Warren","Turner, Sabonis, Brogdon, Holiday, Warren",1626167-1627734-1627763-1628988-203933,IND,4653.0,10,78.0,-6.0,156.0,155.0,8.0,20.0,12.0,311.0,46.0,4.0,1.0,9.0,24.0,22.0,10.0,,45.0,92.0,41.0,161.0,167.0,4.0,1.0,3.0,2.0,10.0,48.0,8.0,24.0,35.0,5.0,81.0,4.0,32.0,68.0,15.0,83.0,4.0,20.0,149.0,10.0,8.0,1.0,0.5333333333333333,0.5714285714285714,0.4891304347826087,0.3333333333333333,0.49624060150375937,0.5,0.5335570469798657,0.625,0.3082706766917293,0.08695652173913043,0.08695652173913043,0.7804878048780488,0.14814814814814814,0.8589743589743589,0.20270270270270271,0.5,0.7619047619047619,0.8,0.06060606060606061,96.24758220502902,15.948717948717949,13.96774193548387,15.711538461538462,13.67741935483871,0.3458646616541353,0.18045112781954886,0.375,0.42857142857142855,0.5555555555555556,0.16541353383458646,0.07518796992481203,0.5714285714285714,0.2,,0.6541353383458647,0.5183785714285715,0.47333,0.062111801242236024,7.410869565217391,25.73414634146341,0.05128205128205128,27.0,3.0,,9.0,1.0,10.0,31.0,1.0,2.0,2.0,14.0,29.0,3.0,1.0,3.0,3.0,12.0,42.0,33.0,6.0,31.0,10.0,11.0,7.0,14.0,11.0,35.0,1.0,13.0,6.0,7.0,13.0,9.0,10.0,,22.0,10.0,1.0,28.0,,,37.0,3.0,2.0,17.0,0.7857142857142857,0.34146341463414637,0.3333333333333333,0.34146341463414637,0.75,0.6428571428571429,0.6111111111111112,0.125,0.5909090909090909,1.0,0.23404255319148937,0.9459459459459459,0.42105263157894735,0.2,,0.047619047619047616,0.8,0.9411764705882353,1.0,0.5869565217391305,0.6428571428571429,0.5185185185185185,0.4090909090909091,0.42857142857142855,0.23308270676691728,0.3225806451612903,0.3225806451612903,0.7,0.75,0.14285714285714285,0.2857142857142857,0.5,1.0,,0.4,0.3225806451612903,0.60488,0.11564625850340136,0.16037735849056603,0.07453416149068323,4.0,9.0,4.0,3.0,16.0,3.0,16.0,0.4,0.4,1.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,13.0,11.0,1.0,2.0,0.5,0.045454545454545456,0.6875,0.5555555555555556,0.5,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,False
1626167-1627734-1627763-203087-203200,1610612754,"Myles Turner, Domantas Sabonis, Malcolm Brogdon, Jeremy Lamb, Justin Holiday","Turner, Sabonis, Brogdon, Lamb, Holiday",1626167-1627734-1627763-203087-203200,IND,535.0,4,9.0,5.0,19.0,20.0,1.0,16.0,1.0,39.0,5.0,,,2.0,2.0,,1.0,,6.0,7.0,7.0,20.0,15.0,,,,1.0,1.0,4.0,,2.0,4.0,1.0,10.0,,2.0,7.0,,7.0,,3.0,20.0,1.0,1.0,,0.3333333333333333,0.3333333333333333,0.8571428571428571,,0.6428571428571429,,0.6666666666666666,0.25,0.5,,,0.6666666666666666,,0.75,,,,1.0,,104.97196261682244,14.105263157894736,13.35,13.31578947368421,12.9,0.35714285714285715,0.14285714285714285,1.0,1.0,0.5,,0.07142857142857142,,,,0.8571428571428571,0.5403571428571429,0.5505,0.05,4.271428571428571,25.75714285714286,0.05263157894736842,4.0,,,,,1.0,6.0,,1.0,1.0,2.0,2.0,,,1.0,,,8.0,6.0,,6.0,1.0,2.0,1.0,1.0,,4.0,1.0,3.0,2.0,1.0,1.0,4.0,,,5.0,1.0,2.0,5.0,,1.0,3.0,1.0,,2.0,1.0,0.2857142857142857,,0.2857142857142857,,,,,0.2,1.0,,0.8,,,,,0.5,0.6666666666666666,1.0,0.8,0.8,0.25,,,0.42857142857142855,0.16666666666666666,0.16666666666666666,1.0,,,1.0,,,,1.0,0.16666666666666666,0.46275,0.13333333333333333,0.25,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,False
1626167-1627734-1627763-203087-203506,1610612754,"Myles Turner, Domantas Sabonis, Malcolm Brogdon, Jeremy Lamb, Victor Oladipo","Turner, Sabonis, Brogdon, Lamb, Oladipo",1626167-1627734-1627763-203087-203506,IND,2543.0,5,42.0,-24.0,85.0,82.0,17.0,9.0,5.0,167.0,19.0,3.0,6.0,1.0,7.0,15.0,10.0,3.0,21.0,41.0,24.0,75.0,99.0,4.0,5.0,9.0,5.0,16.0,30.0,1.0,15.0,20.0,1.0,45.0,4.0,14.0,28.0,7.0,35.0,,18.0,67.0,16.0,17.0,,0.7142857142857143,0.7894736842105263,0.5121951219512195,0.5555555555555556,0.5076923076923077,0.4642857142857143,0.5285714285714286,0.5333333333333333,0.36923076923076925,0.024390243902439025,0.05263157894736842,0.6363636363636364,0.25,0.7105263157894737,0.19444444444444445,0.125,0.7,,,94.56547384978371,16.623529411764707,13.78048780487805,15.941176470588236,12.975609756097562,0.2923076923076923,0.1076923076923077,0.14285714285714285,0.14285714285714285,1.0,0.23076923076923078,0.15384615384615385,0.5,0.42857142857142855,0.21428571428571427,0.6615384615384615,0.5201623076923076,0.5368321428571429,0.21333333333333335,8.839024390243903,25.775000000000002,0.2,13.0,2.0,3.0,7.0,,6.0,14.0,1.0,2.0,2.0,8.0,9.0,2.0,1.0,2.0,1.0,8.0,12.0,15.0,4.0,14.0,6.0,5.0,4.0,8.0,3.0,13.0,1.0,5.0,,5.0,14.0,8.0,7.0,1.0,22.0,9.0,1.0,17.0,3.0,,12.0,1.0,1.0,5.0,0.625,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5833333333333334,0.6666666666666666,,0.6363636363636364,1.0,0.15,0.8125,0.5,,,0.375,0.7,0.8181818181818182,0.8,0.6842105263157895,0.7222222222222222,0.6153846153846154,0.4666666666666667,0.4666666666666667,0.2153846153846154,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,,0.3333333333333333,0.5,,0.5,0.14285714285714285,0.42857142857142855,0.5618875,0.07246376811594203,0.1111111111111111,0.10666666666666667,2.0,9.0,1.0,7.0,3.0,2.0,3.0,0.2,0.2,0.5,,1.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,1.0,0.2,,0.6666666666666666,0.8571428571428571,,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,False
1626167-1627734-1627763-203087-203926,1610612754,"Myles Turner, Domantas Sabonis, Malcolm Brogdon, Jeremy Lamb, Doug McDermott","Turner, Sabonis, Brogdon, Lamb, McDermott",1626167-1627734-1627763-203087-203926,IND,5.0,1,,-3.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,576.0,,2.5,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,False
1626167-1627734-1627763-203087-203933,1610612754,"Myles Turner, Domantas Sabonis, Malcolm Brogdon, Jeremy Lamb, T.J. Warren","Turner, Sabonis, Brogdon, Lamb, Warren",1626167-1627734-1627763-203087-203933,IND,21074.0,35,351.0,47.0,694.0,691.0,59.0,110.0,68.0,1385.0,180.0,32.0,7.0,62.0,129.0,150.0,35.0,3.0,246.0,459.0,153.0,751.0,704.0,49.0,13.0,30.0,10.0,57.0,276.0,27.0,138.0,178.0,30.0,396.0,14.0,145.0,283.0,73.0,356.0,13.0,136.0,672.0,56.0,58.0,10.0,0.5609756097560976,0.6026200873362445,0.5359477124183006,0.43333333333333335,0.5367647058823529,0.4375,0.5640060240963856,0.5277777777777778,0.25,0.058823529411764705,0.1,0.7004830917874396,0.14432989690721648,0.7613636363636364,0.2297734627831715,0.16,0.6413043478260869,0.8409090909090909,0.046263345195729534,94.63794248837429,14.989913544668587,15.442836468885673,14.504322766570604,14.960926193921852,0.29411764705882354,0.2107843137254902,0.4806201550387597,0.5166666666666667,0.4838709677419355,0.24509803921568626,0.05718954248366013,0.5333333333333333,0.175,0.075,0.5441176470588235,0.5022678921568627,0.49066,0.0758988015978695,8.968409586056644,25.836601307189543,0.08501440922190202,111.0,22.0,4.0,73.0,1.0,45.0,118.0,3.0,10.0,7.0,55.0,94.0,29.0,3.0,11.0,12.0,79.0,216.0,120.0,34.0,118.0,45.0,40.0,30.0,70.0,57.0,123.0,15.0,48.0,37.0,11.0,48.0,56.0,18.0,10.0,104.0,62.0,12.0,129.0,1.0,16.0,121.0,13.0,3.0,56.0,0.7272727272727273,0.35947712418300654,0.2727272727272727,0.35947712418300654,0.5918367346938775,0.5583333333333333,0.5895522388059702,0.06976744186046512,0.46153846153846156,1.0,0.2688679245283019,0.8482758620689655,0.36231884057971014,0.2835820895522388,0.17105263157894737,0.1388888888888889,0.6901408450704225,0.8333333333333334,0.8918918918918919,0.6166666666666667,0.6851851851851852,0.6306306306306306,0.4866666666666667,0.4866666666666667,0.19281045751633988,0.3813559322033898,0.38461538461538464,0.6666666666666666,0.6875,0.016666666666666666,0.16666666666666666,0.3,1.0,0.5714285714285714,0.175,0.3813559322033898,0.5209379999999999,0.08702290076335878,0.11155378486055777,0.1051930758988016,10.0,45.0,10.0,30.0,41.0,13.0,43.0,0.2857142857142857,0.2857142857142857,1.0,3.0,3.0,22.0,38.0,12.0,6.0,3.0,6.0,12.0,7.0,11.0,16.0,9.0,28.0,24.0,,8.0,0.3,,0.5581395348837209,0.5205479452054794,0.42857142857142855,,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.006535947712418301,0.00847457627118644,0.14285714285714285,0.18181818181818182,0.006535947712418301,,,,,,,,1610612754,2020,2019-20,False
1626167-1627734-1627763-203200-203506,1610612754,"Myles Turner, Domantas Sabonis, Malcolm Brogdon, Justin Holiday, Victor Oladipo","Turner, Sabonis, Brogdon, Holiday, Oladipo",1626167-1627734-1627763-203200-203506,IND,685.0,5,11.0,-9.0,21.0,24.0,3.0,5.0,3.0,45.0,8.0,1.0,1.0,1.0,4.0,3.0,1.0,,6.0,15.0,8.0,16.0,25.0,3.0,,2.0,2.0,,8.0,2.0,4.0,5.0,,11.0,2.0,4.0,8.0,5.0,13.0,,5.0,14.0,,3.0,,0.6666666666666666,0.6666666666666666,0.4,,0.32608695652173914,,0.34782608695652173,,0.34782608695652173,0.13333333333333333,0.25,0.8,0.2857142857142857,0.7777777777777778,0.3125,,0.6666666666666666,1.0,,94.59854014598541,17.238095238095237,13.458333333333334,14.666666666666666,12.5,0.34782608695652173,0.17391304347826086,0.25,0.25,,0.13043478260869565,0.043478260869565216,0.2,0.25,,0.6956521739130435,0.5051630434782608,0.4739,,6.76,27.3875,0.14285714285714285,4.0,,,1.0,,1.0,7.0,,2.0,2.0,1.0,1.0,1.0,,2.0,,2.0,4.0,3.0,,7.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,,,,1.0,2.0,,1.0,3.0,2.0,,4.0,1.0,,1.0,1.0,,1.0,1.0,0.125,,0.125,0.3333333333333333,0.2,0.2,,0.3333333333333333,1.0,0.3333333333333333,0.75,0.75,,,0.3333333333333333,1.0,0.75,,0.5,0.6666666666666666,0.75,0.3333333333333333,0.3333333333333333,0.30434782608695654,0.14285714285714285,0.14285714285714285,1.0,,,0.4,,,,0.5,0.14285714285714285,0.4959166666666666,0.043478260869565216,0.06666666666666667,0.125,,,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,False
