EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,ShortMidRangeFrequency,Arc3FGA,FG3A,NonHeaveArc3FGA,LostBallSteals,LostBallTurnovers,FG3APct,Arc3Frequency,Avg3ptShotDistance,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,SecondChanceTurnovers,Offensive Fouls,3SecondViolations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyDefPoss,SecondChanceAtRimFGA,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,FTDefRebounds,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,ShortMidRangeFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted3s,PtsPutbacks,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,BlockedAtRim,OffensiveGoaltends,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChancePointsPct,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,DefensiveGoaltends,OffCorner3ReboundPct,SecondChanceCorner3Frequency,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,StepOutOfBoundsTurnovers,Travels,Charge Fouls Drawn,Offensive Fouls Drawn,SecondChanceAtRimPctAssisted,BlockedLongMidRange,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Technical Free Throw Trips,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1626171-1628372-1628373-1628995-1629011,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Kevin Knox II, Mitchell Robinson","Portis, Smith Jr., Ntilikina, Knox II, Robinson",1626171-1628372-1628373-1628995-1629011,NYK,189.0,2,3.0,10.0,8.0,6.0,3.0,14.0,5.0,6.0,1.0,2.0,5.0,6.0,1.0,11.0,1.0,1.0,2.0,2.0,4.0,6.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,2.0,3.0,0.4,0.4,0.8333333333333334,0.5,0.8333333333333334,0.5,0.7857142857142857,0.5,1.0,1.0,1.0,1.0,1.0,1.0,106.66666666666667,1.0,9.25,19.166666666666668,9.25,19.166666666666668,1.0,0.8333333333333334,0.8333333333333334,0.4,1.0,0.5,1.0,0.67955,0.63725,0.14285714285714285,0.14285714285714285,0.18181818181818182,1.2833333333333334,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,False
1626171-1628372-1628373-1628995-1629628,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Kevin Knox II, RJ Barrett","Portis, Smith Jr., Ntilikina, Knox II, Barrett",1626171-1628372-1628373-1628995-1629628,NYK,30.0,1,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,21.0,,21.0,,,,,,,,,0.3754,,,,,6.2,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,False
1626171-1628372-1628373-1628995-201959,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Kevin Knox II, Taj Gibson","Portis, Smith Jr., Ntilikina, Knox II, Gibson",1626171-1628372-1628373-1628995-201959,NYK,75.0,1,1.0,-3.0,3.0,3.0,,6.0,,,,,,1.0,,,3.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,115.2,,19.0,6.0,19.0,6.0,,,,,,,0.5,0.424125,,,,,10.6,,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,False
1626171-1628372-1628373-1628995-201961,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Kevin Knox II, Wayne Ellington","Portis, Smith Jr., Ntilikina, Knox II, Ellington",1626171-1628372-1628373-1628995-201961,NYK,402.0,1,7.0,1.0,13.0,12.0,1.0,25.0,3.0,3.0,,,4.0,5.0,,17.0,16.0,,,,2.0,6.0,1.0,4.0,1.0,11.0,2.0,,2.0,3.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,,,,,,,17.0,,1.0,0.25,0.25,0.8,,0.85,,0.85,,0.25,,1.0,0.6666666666666666,,1.0,89.55223880597015,,15.923076923076923,16.25,15.23076923076923,16.083333333333332,0.3,1.0,1.0,0.3333333333333333,,,0.8,0.54326,,,,,6.9799999999999995,0.07692307692307693,,,4.0,5.0,4.0,,,0.5,0.4,25.619999999999997,1.0,1.0,2.0,1.0,1.0,2.0,3.0,9.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.6,0.6,0.5,0.3333333333333333,0.5,0.2,0.5,0.5,0.1,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,False
1626171-1628372-1628373-1628995-203944,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Kevin Knox II, Julius Randle","Portis, Smith Jr., Ntilikina, Knox II, Randle",1626171-1628372-1628373-1628995-203944,NYK,52.0,1,1.0,-3.0,1.0,1.0,,2.0,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,55.38461538461538,,24.0,28.0,24.0,28.0,,,,,,,,0.4158,,,,,10.7,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,False
1626171-1628372-1628373-1629011-1629628,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Mitchell Robinson, RJ Barrett","Portis, Smith Jr., Ntilikina, Robinson, Barrett",1626171-1628372-1628373-1629011-1629628,NYK,57.0,2,1.0,-2.0,1.0,3.0,,4.0,,1.0,,,,2.0,,,2.0,,,,,,,,,,1.0,,2.0,3.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,101.05263157894737,,40.0,5.666666666666667,36.0,5.666666666666667,0.5,,,,,,0.5,0.4533,,,,,10.5,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,0.5,,0.5,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.4857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,False
1626171-1628372-1628373-1629011-202694,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Mitchell Robinson, Marcus Morris Sr.","Portis, Smith Jr., Ntilikina, Robinson, Morris Sr.",1626171-1628372-1628373-1629011-202694,NYK,23.0,1,,-3.0,1.0,1.0,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.21739130434781,,13.0,10.0,13.0,10.0,,,,,,,1.0,0.5847,,,,,,,,,,1.0,,,,1.0,,23.6,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,False
1626171-1628372-1628373-202694-203944,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Marcus Morris Sr., Julius Randle","Portis, Smith Jr., Ntilikina, Morris Sr., Randle",1626171-1628372-1628373-202694-203944,NYK,32.0,1,1.0,-3.0,,1.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,False
1626171-1628372-1628422-1628995-1629011,1610612752,"Bobby Portis, Dennis Smith Jr., Damyean Dotson, Kevin Knox II, Mitchell Robinson","Portis, Smith Jr., Dotson, Knox II, Robinson",1626171-1628372-1628422-1628995-1629011,NYK,3472.0,14,58.0,-19.0,117.0,117.0,30.0,234.0,18.0,32.0,1.0,10.0,35.0,72.0,9.0,109.0,128.0,6.0,21.0,23.0,30.0,40.0,15.0,24.0,6.0,57.0,22.0,17.0,44.0,69.0,11.0,4.0,10.0,8.0,19.0,5.0,10.0,24.0,14.0,12.0,5.0,8.0,,8.0,5.0,87.0,23.0,30.0,0.42857142857142855,0.46875,0.4861111111111111,0.2857142857142857,0.43103448275862066,0.2903225806451613,0.44672131147540983,0.32857142857142857,0.5263157894736842,0.6296296296296297,0.8148148148148148,0.7222222222222222,0.7142857142857143,0.85,97.05069124423963,0.625,14.435897435897436,15.239316239316238,13.649572649572649,14.658119658119658,0.27586206896551724,0.5625,0.6,0.3333333333333333,0.3225806451612903,0.1,0.6551724137931034,0.5031396551724138,0.4610290322580645,0.04132231404958678,0.06493506493506493,0.21100917431192662,8.916666666666666,0.2564102564102564,17.0,0.14655172413793102,37.0,44.0,37.0,7.0,2.0,0.3793103448275862,0.31896551724137934,25.57045454545455,19.0,11.0,23.0,3.0,7.0,7.0,10.0,27.0,7.0,9.0,6.0,3.0,9.0,25.0,4.0,9.0,3.0,1.0,,0.9,0.22727272727272727,0.22727272727272727,0.2903225806451613,0.36363636363636365,0.3333333333333333,0.19827586206896552,0.4782608695652174,0.4782608695652174,0.0603448275862069,0.42857142857142855,0.42857142857142855,1.0,0.1891891891891892,0.1891891891891892,0.8571428571428571,0.1891891891891892,34.0,8.0,15.0,2.0,15.0,5.0,4.0,0.027777777777777776,0.0625,0.8333333333333334,0.42857142857142855,0.2727272727272727,0.7142857142857143,0.4444444444444444,0.4608615384615385,4.0,6.0,1.0,2.0,1.0,3.0,1.0,8.0,8.0,1.0,3.0,3.0,22.0,2.0,10.0,5.0,3.0,6.0,2.0,7.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,8.0,2.0,1.0,1.0,0.3333333333333333,0.2,0.5333333333333333,0.5277777777777778,0.55,0.3333333333333333,0.6153846153846154,0.36363636363636365,0.5333333333333333,0.8,0.03076923076923077,0.35294117647058826,0.35294117647058826,0.3333333333333333,0.6363636363636364,0.5,0.16666666666666666,0.3333333333333333,0.06451612903225806,0.5,0.25806451612903225,0.125,0.2018348623853211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,False
1626171-1628372-1628422-1628995-1629019,1610612752,"Bobby Portis, Dennis Smith Jr., Damyean Dotson, Kevin Knox II, Allonzo Trier","Portis, Smith Jr., Dotson, Knox II, Trier",1626171-1628372-1628422-1628995-1629019,NYK,257.0,1,4.0,-7.0,9.0,8.0,5.0,17.0,1.0,1.0,1.0,1.0,2.0,4.0,,7.0,14.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0,2.0,,,1.0,,1.0,,,,,,,,,,,7.0,4.0,5.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,95.25291828793775,,13.444444444444445,17.0,13.444444444444445,16.375,0.14285714285714285,1.0,1.0,1.0,0.25,1.0,0.5714285714285714,0.5075571428571429,0.48,,,0.5714285714285714,11.3,0.5555555555555556,1.0,0.14285714285714285,3.0,3.0,3.0,,1.0,0.42857142857142855,0.42857142857142855,26.766666666666666,,1.0,2.0,,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,,0.2857142857142857,0.5,0.5,,,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,False
