EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangePctBlocked,SecondChanceAtRimPctAssisted,Loose Ball Fouls Drawn,Offensive Fouls Drawn,OffCorner3ReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,Charge Fouls,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,BlockedLongMidRange,LostBallOutOfBoundsTurnovers,Fg3aBlocked,Clear Path Fouls,Offensive Fouls,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,BlockedCorner3,OffFTReboundPct,Corner3PctBlocked,3SecondViolations,LongMidRangePctBlocked,HeaveMakes,team_id,year,season,team_vs
1627759-1628369-1628400-1628464-202689,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Daniel Theis, Kemba Walker","Brown, Tatum, Ojeleye, Theis, Walker",1627759-1628369-1628400-1628464-202689,BOS,2987.0,7,50.0,11.0,97.0,100.0,11.0,15.0,10.0,197.0,16.0,24.0,1.0,4.0,5.0,5.0,8.0,12.0,3.0,6.0,6.0,7.0,1.0,1.0,1.0,1.0,12.0,39.0,2.0,5.0,2.0,4.0,27.0,42.0,18.0,46.0,12.0,120.0,109.0,1.0,4.0,3.0,6.0,2.0,13.0,5.0,5.0,3.0,5.0,3.0,22.0,30.0,24.0,39.0,15.0,2.0,1.0,38.0,12.0,2.0,15.0,13.0,28.0,7.0,6.0,9.0,4.0,2.0,69.0,6.0,5.0,13.0,23.0,4.0,40.0,11.0,51.0,2.0,7.0,4.0,3.0,9.0,5.0,5.0,6.0,4.0,1.0,15.0,1.0,1.0,9.0,23.0,3.0,15.0,1.0,16.0,3.0,1.0,7.0,2.0,9.0,1.0,1.0,4.0,5.0,10.0,7.0,1.0,107.0,22.0,11.0,1.0,2.0,0.5555555555555556,0.5769230769230769,0.7222222222222222,0.391304347826087,0.5,0.6,0.4,0.6428571428571429,0.25,1.0,0.6136363636363636,0.55,0.95,0.6382978723404256,0.5909090909090909,0.9166666666666666,0.5227272727272727,0.047619047619047616,0.08333333333333333,0.6,1.0,0.7666666666666667,0.3333333333333333,0.8125,0.2222222222222222,0.782608695652174,0.2619047619047619,0.375,0.25,0.3333333333333333,0.23076923076923078,0.6363636363636364,0.7272727272727273,1.0,0.7692307692307693,1.0,0.05,94.97154335453632,0.7,14.917525773195877,15.4,14.350515463917526,15.05,0.2727272727272727,0.6666666666666666,0.7272727272727273,0.5625,0.13636363636363635,0.6666666666666666,0.6666666666666666,0.5,0.06818181818181818,0.5,0.5,0.6666666666666666,0.07954545454545454,0.8571428571428571,0.8571428571428571,1.0,0.4431818181818182,0.3076923076923077,0.3076923076923077,0.5833333333333334,0.4,0.25,0.1,1.0,1.0,0.5,0.4,1.0,0.5,1.0,0.1,1.0,0.4,0.5,0.7954545454545454,0.3157894736842105,0.52848908045977,0.561925,0.5932499999999999,0.07608695652173914,0.15217391304347827,0.10833333333333334,0.18333333333333332,5.526190476190477,26.65,0.1134020618556701,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-1628464-202954,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Daniel Theis, Brad Wanamaker","Brown, Tatum, Ojeleye, Theis, Wanamaker",1627759-1628369-1628400-1628464-202954,BOS,473.0,6,8.0,-7.0,13.0,16.0,5.0,2.0,,29.0,1.0,2.0,,,1.0,1.0,,2.0,,,1.0,1.0,,,,,2.0,6.0,,,,2.0,1.0,4.0,3.0,7.0,3.0,14.0,21.0,,,,,,,1.0,2.0,,2.0,1.0,3.0,2.0,,9.0,,,,6.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,,,11.0,,,5.0,1.0,,6.0,,6.0,,,,,,1.0,,1.0,,,1.0,,1.0,4.0,6.0,,3.0,,3.0,1.0,,2.0,,,,,,,,,,14.0,3.0,5.0,1.0,,1.0,1.0,1.0,0.42857142857142855,,,0.42857142857142855,0.25,,0.5,0.5,,0.25,0.5833333333333334,,0.375,0.6363636363636364,0.25,,,,0.3333333333333333,,0.8333333333333334,,0.6666666666666666,,,,,,0.5,,,0.8,1.0,,88.28752642706131,,17.384615384615383,15.4375,17.384615384615383,13.6875,0.18181818181818182,0.5,0.5,1.0,0.18181818181818182,,,,,,,,0.09090909090909091,1.0,1.0,1.0,0.5454545454545454,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,0.25,1.0,,,0.5,,0.8181818181818182,0.3333333333333333,0.4748272727272727,,0.420525,0.16666666666666666,0.4,,0.21428571428571427,3.85,26.185714285714287,0.38461538461538464,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-1628464-203935,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Daniel Theis, Marcus Smart","Brown, Tatum, Ojeleye, Theis, Smart",1627759-1628369-1628400-1628464-203935,BOS,506.0,2,8.0,-7.0,15.0,14.0,,5.0,2.0,29.0,2.0,4.0,1.0,1.0,,,,4.0,,,,,,,,,1.0,3.0,,,,,2.0,8.0,1.0,3.0,4.0,11.0,18.0,1.0,1.0,,,,2.0,,,,,,,2.0,2.0,3.0,,,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,5.0,,2.0,2.0,2.0,,4.0,2.0,6.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,,3.0,1.0,,1.0,2.0,,5.0,,6.0,,,3.0,,1.0,,,,1.0,1.0,1.0,,9.0,,,,,0.5,0.5,1.0,0.3333333333333333,,,0.3333333333333333,0.25,1.0,,0.3181818181818182,1.0,,0.39285714285714285,1.0,,0.2727272727272727,0.125,0.25,0.6666666666666666,,0.6666666666666666,0.3333333333333333,0.6666666666666666,,0.6666666666666666,0.25,0.5,0.25,,,1.0,1.0,,1.0,,,82.5296442687747,1.0,18.8,16.0,18.333333333333332,15.714285714285714,0.36363636363636365,0.5,0.6666666666666666,0.5,0.36363636363636365,,,,,,,,,,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,0.6363636363636364,0.3333333333333333,0.46749545454545455,0.6989,,0.21428571428571427,0.2727272727272727,0.18181818181818182,,4.95,26.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-1629057-202689,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Robert Williams III, Kemba Walker","Brown, Tatum, Ojeleye, Williams III, Walker",1627759-1628369-1628400-1629057-202689,BOS,93.0,1,2.0,-5.0,3.0,2.0,,,1.0,5.0,1.0,2.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,3.0,,1.0,,2.0,7.0,,1.0,,,,,,,,,,,2.0,,,,,,1.0,,,1.0,,1.0,,,1.0,,,2.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,0.3333333333333333,,,0.25,,,0.25,,,0.25,,,,,,0.5,,,,0.3333333333333333,,1.0,,,,,,,,0.3333333333333333,77.41935483870968,,16.0,22.5,15.666666666666666,22.5,0.5,0.5,0.5,1.0,0.25,,,,,,,,,,,,0.25,,,,1.0,,,,,,,,,,,,,,0.75,,0.5010125,0.5279,,,,,,4.6000000000000005,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-1629057-202954,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Robert Williams III, Brad Wanamaker","Brown, Tatum, Ojeleye, Williams III, Wanamaker",1627759-1628369-1628400-1629057-202954,BOS,192.0,2,3.0,11.0,7.0,7.0,7.0,7.0,1.0,14.0,1.0,1.0,,,1.0,1.0,,,,,3.0,3.0,,,3.0,3.0,1.0,3.0,,,1.0,3.0,1.0,1.0,4.0,6.0,2.0,16.0,5.0,,,,,2.0,2.0,1.0,1.0,4.0,6.0,2.0,16.0,2.0,,6.0,6.0,,,3.0,1.0,,1.0,2.0,3.0,,2.0,1.0,,,8.0,1.0,,3.0,,1.0,4.0,1.0,5.0,1.0,2.0,,2.0,,,,,,,,,,2.0,3.0,,1.0,,2.0,,,1.0,,,,,,,,,,14.0,16.0,7.0,1.0,,1.0,1.0,0.5,0.6666666666666666,,0.6666666666666666,0.6666666666666666,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.8571428571428571,,,,0.5,,,1.0,0.5,1.0,0.5,,,,0.5,,,,1.0,1.0,0.5,105.0,,13.714285714285714,13.714285714285714,13.571428571428571,13.142857142857142,0.14285714285714285,1.0,1.0,1.0,,,,,,,,,0.42857142857142855,1.0,1.0,0.6666666666666666,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.14285714285714285,1.0,0.42857142857142855,1.0,0.42857142857142855,0.3333333333333333,1.0,0.3333333333333333,0.5457,,0.5457,0.125,0.5,0.125,1.0,2.1,24.583333333333332,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-1629684-202689,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Grant Williams, Kemba Walker","Brown, Tatum, Ojeleye, Williams, Walker",1627759-1628369-1628400-1629684-202689,BOS,672.0,4,11.0,17.0,24.0,23.0,13.0,7.0,3.0,47.0,4.0,7.0,2.0,2.0,2.0,5.0,4.0,5.0,1.0,2.0,1.0,3.0,,,,1.0,3.0,5.0,,,2.0,3.0,9.0,14.0,4.0,8.0,5.0,35.0,18.0,3.0,3.0,,,,6.0,5.0,8.0,2.0,4.0,2.0,18.0,6.0,12.0,12.0,,4.0,,5.0,3.0,1.0,3.0,4.0,7.0,3.0,1.0,,2.0,1.0,18.0,,3.0,3.0,7.0,,10.0,3.0,13.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,,2.0,,1.0,2.0,5.0,1.0,4.0,,6.0,,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,29.0,18.0,13.0,1.0,,0.3333333333333333,0.42857142857142855,1.0,0.5,,0.5,0.5,0.6428571428571429,1.0,0.625,0.6818181818181818,1.0,0.6666666666666666,0.7,1.0,0.6923076923076923,0.36363636363636365,0.07142857142857142,0.14285714285714285,0.5,,1.0,0.6,0.6,,0.8333333333333334,0.3333333333333333,0.6666666666666666,1.0,,,1.0,1.0,,0.6,,0.125,100.71428571428572,1.0,12.708333333333334,15.956521739130435,12.25,15.652173913043478,0.3181818181818182,0.5714285714285714,0.6666666666666666,,0.22727272727272727,0.8,0.8,0.5,0.09090909090909091,0.5,0.5,1.0,0.13636363636363635,0.3333333333333333,0.3333333333333333,1.0,0.22727272727272727,0.6,0.6,1.0,0.6666666666666666,1.0,,,,,,,0.4166666666666667,0.4,0.08333333333333333,,0.25,0.6666666666666666,0.6818181818181818,0.6,0.5277431818181818,0.5077666666666667,0.5281583333333334,0.08333333333333333,0.125,0.17142857142857143,0.5142857142857142,6.235714285714286,24.675,0.5416666666666666,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-1629684-202954,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Grant Williams, Brad Wanamaker","Brown, Tatum, Ojeleye, Williams, Wanamaker",1627759-1628369-1628400-1629684-202954,BOS,257.0,2,4.0,,9.0,11.0,,,,20.0,2.0,2.0,,,,,1.0,2.0,,1.0,,,,,,,1.0,2.0,,,,,3.0,5.0,1.0,2.0,,9.0,9.0,,,,,,,,,,,,,2.0,4.0,,3.0,,,2.0,1.0,,1.0,,1.0,,,1.0,,,2.0,,,2.0,2.0,1.0,5.0,,5.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,9.0,,,,,0.3333333333333333,0.3333333333333333,,0.5,,,0.5,0.6,,,0.6428571428571429,,,0.6428571428571429,,,0.2857142857142857,,,0.5,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,112.06225680933852,,13.11111111111111,12.636363636363637,13.11111111111111,12.636363636363637,0.2857142857142857,1.0,1.0,0.5,0.2857142857142857,0.5,0.5,,0.14285714285714285,,,,,,,,0.2857142857142857,0.5,0.5,,,,,,,,,,,,,,,,0.5714285714285714,0.5,0.5291857142857143,,,,,,,7.779999999999999,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-1629684-203935,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Grant Williams, Marcus Smart","Brown, Tatum, Ojeleye, Williams, Smart",1627759-1628369-1628400-1629684-203935,BOS,323.0,4,5.0,1.0,11.0,11.0,5.0,3.0,3.0,22.0,1.0,4.0,,1.0,,1.0,,3.0,1.0,1.0,,2.0,,,,,1.0,4.0,,1.0,,2.0,2.0,8.0,1.0,6.0,,7.0,6.0,,3.0,,1.0,,,1.0,2.0,,2.0,,2.0,,4.0,,3.0,,,4.0,1.0,3.0,,,,,,,,,,3.0,1.0,4.0,2.0,,6.0,4.0,10.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,7.0,2.0,5.0,,,,,,0.16666666666666666,,,0.16666666666666666,0.25,,0.5,0.25,,0.25,0.25,,0.25,0.42857142857142855,0.375,0.5,,,1.0,0.16666666666666666,0.6666666666666666,0.6,0.75,0.36363636363636365,,0.3333333333333333,,0.3333333333333333,,1.0,1.0,0.6666666666666666,,0.125,98.08049535603715,,13.818181818181818,15.545454545454545,11.545454545454545,14.636363636363637,0.2857142857142857,0.25,0.5,,0.21428571428571427,,,,0.07142857142857142,1.0,1.0,,0.14285714285714285,,,,0.2857142857142857,0.25,0.25,,0.25,,,,,0.25,,,0.25,,,,0.5,,0.7142857142857143,0.25,0.4992892857142857,0.3304,0.5531125,,,,0.2857142857142857,6.1625000000000005,24.96666666666667,0.45454545454545453,0.3333333333333333,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-202330-202683,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Gordon Hayward, Enes Kanter","Brown, Tatum, Ojeleye, Hayward, Kanter",1627759-1628369-1628400-202330-202683,BOS,7.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-202683-202689,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Enes Kanter, Kemba Walker","Brown, Tatum, Ojeleye, Kanter, Walker",1627759-1628369-1628400-202683-202689,BOS,270.0,4,4.0,5.0,10.0,7.0,1.0,1.0,3.0,17.0,1.0,6.0,1.0,5.0,,,,2.0,2.0,3.0,,1.0,,,,,,1.0,,,,,3.0,11.0,,2.0,3.0,9.0,4.0,2.0,6.0,,,,4.0,,,,,2.0,2.0,2.0,4.0,,,2.0,,1.0,,2.0,1.0,,1.0,,,,,1.0,2.0,1.0,5.0,2.0,2.0,,4.0,6.0,10.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,2.0,,5.0,,,,1.0,,,,,,,,,5.0,2.0,1.0,,1.0,0.3333333333333333,0.5,,,,,,0.2727272727272727,0.3333333333333333,,0.23076923076923078,0.3333333333333333,,0.3,0.3333333333333333,1.0,0.15384615384615385,0.18181818181818182,0.3333333333333333,1.0,,0.6666666666666666,0.625,1.0,0.5,0.8,0.6,0.8,0.5,,,1.0,,1.0,1.0,,0.125,90.66666666666667,,17.6,13.428571428571429,15.8,13.428571428571429,0.46153846153846156,0.16666666666666666,0.25,,0.15384615384615385,,,,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.07692307692307693,,,,0.07692307692307693,,,,0.8333333333333334,0.2,,,,,,,,,,,,,0.6153846153846154,,0.518576923076923,0.55084,,0.07142857142857142,,0.4444444444444444,0.2222222222222222,7.872727272727272,24.65,0.1,,,,,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
